ParlaMint-FR_2018-08-01-E1044.u1	The next item is the question to the Government.
ParlaMint-FR_2018-08-01-E1044.u370	All right!
ParlaMint-FR_2018-08-01-E1044.u371	The Secretary of State for Equality between Women and Men has the floor.
ParlaMint-FR_2018-08-01-E1044.u372	Madam President, the rapporteur, ladies and gentlemen, as he undertook on 25 November, the President of the Republic declared equality between women and men "great national cause" of his quinquennium. Less than a year later, it is an honour to be before you today to conclude together the drafting of the bill to strengthen the fight against sexual and gender-based violence, one of the cornerstones of this great cause. The text that you are about to vote today is the result of a long work that has been going on for several months – even several years, since it began in the presidential campaign. It is also the first major citizen's law of the quinquennium, thanks to the mobilization of 55,000 participants in the Tour de France de l'égalité femmes-hommes, the largest government consultation ever organised. Ladies and gentlemen, I know that many of you have made a significant contribution to this, and I thank you very much for that. In the same way, I welcome the work done by Members in the working group on the verbalization of street harassment, but also through the amendments that you tabled, and then in the Joint Joint Committee, under the leadership of the rapporteur for this bill, Member Alexandra Louis. At these meetings, everywhere, our fellow citizens told us the urgent need to act to reduce the violence experienced daily by millions of women in France. All over the world, these exchanges have shown the need to meet a threefold objective: better prevention of violence; better support victims; Better punish the aggressors. This is the ambition that guided the Government throughout the drafting of this law. And, at the end of this collective work, I would like to reiterate clearly that this text marks major advances, which are the concrete translation of the campaign commitments of the President of the Republic. [[Applause on the benches of the LaREM group]] First, we wanted to extend the statute of limitations for sexual crimes against minors to 30 years, in order to take account of the traumatic amnesia phenomena, which are now better known, but also to allow victims the time needed for what is now called the release of speech. Secondly, we wanted to better protect children under the age of 15 from sexual violence and better punish their aggressors, by facilitating the characterization of coercion or surprise. To assert that a minor, below a certain age, is not consenting to a sexual act with a major is in our view a real issue of civilization. And that's what this law says. This objective is now reinforced by the provision proposed by the Senate, which will also allow the age difference to be taken into account. [[Same movements]] I hear here and there some or some people argue that there would be no age in this bill. I invite everyone to start by reading this law before commenting on it: everyone will find that there is indeed a black-on-white written age, the age of 15 years, in accordance with the commitment of the President of the Republic. At a time when false news is spreading faster than the truth, I invite the elected representatives of the Republic to debate faithfully, on the basis of the texts, without sending contradictory or even false messages to the aggressors. Similarly, there is no mention in this bill of "looks," "supported" or not. [[Applause on the benches of the LaREM and MODEM groups and on a few benches of the GDR and FI groups]] The text proposed to your vote will also make it possible to better sanction cyber-harassment known as "in packs" – what we have called "digital raids" – so that the Internet is no longer a non-right space for women, who are today the first targets of online hate outbreaks, whether they are journalists, college women or political women. We have had another example recently, and I would like to take this opportunity to address all my thoughts of solidarity and sorority to the Chair of the Law Committee, Yaël Braun-Pivet. Finally, as soon as this law is enacted, the so-called "street" harassment can be verbalized. The news has just shown to those who might still doubt the urgent need to act since, last week, a young woman had to undergo these acts of street harassment, which even extended to insults and then physical assault. This phenomenon shows us the continuum of gender-based and sexual violence, which can begin with noises, degrading words, then with shouts, then continue with insults and finally, in this case, a jet of ashtray and an extremely violent blow to the face of this young woman, whose only harm was to walk in the street and refuse to be insulted, while she was walking on the street. The issue of combating street harassment is therefore neither more nor less than a civilizational issue. This includes respect for the fundamental values of the French Republic, respect for the freedom of women to come and go as they see fit in the public space, respect for equality between women and men in the occupation of public space. The legitimate indignation of these acts has shown that our society no longer tolerates such violence. I believe that the images of this violence have made it possible for everyone to become aware of the reality of street harassment, which women have been subjected to for generations. [[Applause on the benches of the LaREM and MODEM groups]] Too often, sometimes even in political debates, street harassment has been seen as a derisory or incidental subject. One could consider it not to be overriding, not important, or even fatal – "it has always been like this, so it will remain like that." Today, we reject this fatality and, with this law, place a clear social ban on the daily harassment of these women, which is still living too much, and which hinders their freedom to live their lives as they see fit. [[Same movements]] In addition to these major advances, the Government has reaffirmed its commitment to adapt the repressive arsenal to new forms of gender-based and sexual violence. I am thinking in particular of the inclusion in the law of the ban on the use of a substance intended to alter discernment, in particular the drug of rape – a proposal put forward by Members – and the prohibition of what is called "upskirting", i.e. voyeurism to which too many women are subjected. This practice, which consists of taking photographs of their private parts without their knowledge, particularly in public transport, is not, to date, characterized in law. With this law, it will be. [[Same movements]] Ladies and gentlemen, the bill we have debated, which has been improved by both chambers and adopted by the Joint Committee, is, I am convinced, a firm, balanced and certainly much more protective than the current legislation. I know that you all share the ambition that guided the Government throughout the drafting of this text. I would therefore like to pay tribute to your commitment to this issue, which is reflected in the work that has been carried out in the Committee on Laws, but also in the delegation to women's rights. [[Same movements]] The stakes of this text lead to the construction of convergences. For example, the Joint Joint Committee, which met last week, reached a consensus where some would have wanted to create divisions. Given the importance of the issue, you have been able to find common ground to ensure that this text, once voted and promulgated, makes it possible to better condemn the perpetrators of violence and to better protect the victims. You have only had these objectives in mind, throughout the Joint Joint Committee, and for that, ladies and gentlemen, thank you. I am delighted to see that wisdom and responsibility have prevailed over partisan considerations. You have shown that, beyond opposition, parliamentarians can work together, always with the support of the Government, and that they are resolutely mobilized in the fight against all forms of gender-based and sexual violence. Some of us have been told that we have a piece of legislation, but on the contrary, it is a consensual law that has been approved by the Joint Joint Committee, which will be voted on today. It is nevertheless strong and ambitious. This result has been possible, because beyond the Joint Joint Committee, parliamentarians have seized this text and have considerably enriched it with their many contributions, whatever their bench, to strengthen the protective arsenal that we are building together. Our law is an essential and indispensable pillar of this building, but it is part of a comprehensive system, the measures of which are deployed day after day. Thus, from the start, we will put in place local contracts to combat violence, especially domestic violence, which will allow better identification of victims through networked work of health professionals, justice, law enforcement and associations. As announced, the Ministry of the Interior will open a reporting platform in September, managed by police officers specifically trained by the inter-ministerial mission for the protection of women, to inform and guide victims of gender-based and sexual violence. I would add that ten psycho-trauma treatment centres will be opened in the territories, on an experimental basis, by the end of the year. The fight against gender-based and sexual violence at work is also a priority, as evidenced by the provisions of the bill on freedom to choose one's professional future, which you have just adopted. These measures will significantly strengthen the tools to be deployed by companies to combat gender-based and sexual violence in the workplace. I would also like to point out that this year we are spending an additional EUR 1 million to finance initiatives carried out by organisations, trade unions or associations, through a call for projects launched in May, the funds of which we allocated last week. As you know, we pay particular attention to the younger generation, which is reflected in the work we have undertaken with the Minister of National Education to raise awareness among children, from an early age, of respect for others, respect for their bodies and the concept of consent. Thus, a "equality" focal point will be appointed in each school to accompany students, and the emotional and sexual life education sessions, which have been planned since the 2001 Act, will be implemented throughout the country. The parents' briefcase will include, among other things, tools for combating early exposure to pornography. [[Same movements]] In September, we will also launch a large-scale communication campaign, with television spots aimed at witnesses of violence. Violence against women should no longer be seen as a private matter, and one should not interfere with it. It is a real social issue, which concerns us all. Knowing that a neighbor is hitting his wife, at home, in his apartment, sheltered behind his walls, it is not a private matter that is watching him. It is a matter of society, and we must denounce it. We must succeed in building this society of the vigilance that the President of the Republic called for when he launched the great cause of the quinquennium. When a woman is followed on the street, invectivated, obstructed in her freedom, threatened in public space, the witnesses must intervene. When there are witnesses of sexual assault, rape, physical violence, gender-based acts, public insults to women, acts aimed at degrading them, humiliating them, lowering them, they must report these facts, they must file complaints or handrails, they must produce testimony. It is also through the intervention of witnesses that we can ensure that the law that you are going to vote is effective and enforced. This is the message of the communication campaign which aims to lower the threshold of tolerance of our society in the face of gender-based and sexual violence and to escape this fatality, with an investment, unprecedented for such a campaign, of 4 million euros. [[Same movements]] This cultural change in relation to gender-based and sexual violence will remain a major priority for the entire quinquennium. But it must also extend to all the fields where inequalities and discrimination continue to be practised against girls and women: in schools, in the streets, in administrations, in companies, where equal pay will have to be achieved within three years, as you know, in the suburbs, in the countryside, in the cities, but also within families – and the question of a better reconciliation between work and personal life will also be one of the major subjects of this re-entry. In addition, with the President of the Republic and the Minister for Foreign Affairs, France conducts feminist diplomacy in all the bodies where it is present. Ladies and gentlemen, through the voice of the President of the Republic, our country has committed itself, with absolute and unprecedented determination, to the fight against all forms of gender-based and sexual violence. The rich and intense debates that we had during our consideration of this bill have shown this perfectly: we have now moved from fatality to responsibility. [[Applause on the benches of the LaREM and MODEM groups]] It is a cultural struggle that we must fight together. The questions you are asked today are: Do you find the current situation of violence against women admissible? If your answer is yes, then do not vote this law. On the contrary, do you find it unacceptable that at least 300,000 women are sexually assaulted every year, that eight out of ten women are afraid to go out alone in the evenings, in France, in 2018?, Do you find it normal for social networks to spread sexist insults? If you find all this to be abnormal, then let's act together. Vote on this law.
ParlaMint-FR_2018-08-01-E1044.u373	Excellent!
ParlaMint-FR_2018-08-01-E1044.u374	I have received from Mr Jean-Luc Mélenchon and from members of the La France group a motion to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mrs Clementine Autain has the floor.
ParlaMint-FR_2018-08-01-E1044.u375	[["We're here! » on the benches of the LaREM group]] Madam President, Madam Secretary of State, ladies and gentlemen, first of all I would like to express my astonishment at the idea that this bill against violence against women, which is supposed to embody the great cause of the quinquennium, can be voted on on 1 August and that is the last bill before our Parliament.
ParlaMint-FR_2018-08-01-E1044.u376	Say that, when we blocked Parliament for four days!
ParlaMint-FR_2018-08-01-E1044.u377	[[Exclaims on the banks of the LaREM Group – Applause on the benches of the FI Group]] Let me note, however, that yesterday, to defend Emmanuel Macron and Mr Benalla, you were far more numerous and that your ovations were significant. [[Exclaims on the banks of the LaREM Group]] It is August 1st: for a great cause of the quinquennium, you could have, Madam Secretary of State, imposed a date that would allow more Members to be present, but also to the media. Let me say something! Suffer that there is an opposition in this House, I beg you.
ParlaMint-FR_2018-08-01-E1044.u378	Only Mrs Autain has the floor.
ParlaMint-FR_2018-08-01-E1044.u379	I repeat, we are on 1 August and the media are not mobilised on this subject today. This great national cause deserved...
ParlaMint-FR_2018-08-01-E1044.u380	So it's because of the media!
ParlaMint-FR_2018-08-01-E1044.u381	[[Applause on the benches of the FI group]] You're not very respectful. After the scale of the # MeToo movement, and in view of the case defended, that of violence against women, we could have hoped for a full hemicycle, on a date that would have allowed the media to cover the event and the French, who today have the spirit on holiday, to follow the progress of a text that deals with an essential subject. If this is the case, the first reading had not been famous. This bill is far from meeting, not only the needs of our society in this area, but also the # MeToo movement that has grown up in our country, which has allowed women to put many words on what is, alas, very banal, sexual assault, harassment and rape. For a very long time these facts have been taboo. We weren't talking about it, they were supposed to be in the private sphere. Gradually, thanks to the mobilization of feminist movements in the 1970s, these violences came out of silence. The rocking effect associated with the # MeToo movement enabled you to type your fist on the table. By denouncing the rapes and gender-based violence they suffered, Hollywood artists freed millions of women around the world. They have finally been able, on social networks or in their private environment, to express their suffering. This is the sine qua non for complaints to be filed and for justice to do its job. When the movement was engaged, what was the responsibility of the public authorities? They were to accompany the movement of society with concrete measures. This text, even in its second version, does not meet this need in any way.
ParlaMint-FR_2018-08-01-E1044.u382	Of course I do!
ParlaMint-FR_2018-08-01-E1044.u383	The status quo, always!
ParlaMint-FR_2018-08-01-E1044.u384	There is no way to sound and stumble in support of the four wretched sections of this bill. No additional staff have been recruited, no training is planned, especially for public service staff dealing with victims. But these agents are not the only ones who need training. The training of police officers, justice, health and social support personnel should have been a priority of the Government and should have been translated into adequate resources. This text also suffers from the absence of a global vision. If rape, sexual assault or harassment exist, it is because we live in a society where male domination still prevails. To combat it, gender stereotypes must be addressed at an early age, and the necessary resources must be made available to improve education from an early age. We also regret that the burden of proof has not been reversed, in the case of rape of minors, while the violence of the act suffered by the victim is added to that of having to prove the absence of consent, the perpetrator being presumed to have acted normally. In short, the fundamental issues of which sexual violence is only the name, will not be addressed in this text, either totally or partially, because there is no beginning of a change. And because you don't have the political will. I was also well aware that the austerity that characterizes this government could not offer a mental framework capable of proposing solutions to the # MeToo movement. It was obvious, but I was far from thinking that we would be so far away from the demands of society. I didn't expect much from this government, but you managed to disappoint me, because none of the means we expected were given.
ParlaMint-FR_2018-08-01-E1044.u385	You're the one who's disconnected from reality! You have nothing to say, nothing to offer! We will simply note that you have opposed these advances!
ParlaMint-FR_2018-08-01-E1044.u386	If you do not expect much, your disappointment must not be unbearable!
ParlaMint-FR_2018-08-01-E1044.u387	You can continue, MP, it's not a dialogue.
ParlaMint-FR_2018-08-01-E1044.u388	I would like to understand why you were able to listen at first reading and that you are no longer. What has happened in the last few days so that your majority no longer suffers from any contradiction?(Applause on the benches of the FI group. – Exclaims on the banks of the LaREM Group.) I know that you are extremely welded and that you are going your energies, but suffer that the opposition is expressing itself in this country! Accept not only that I, as a feminist activist, am angry with this bill, but that the community world, which is working on these issues, declared loud and clear months ago that this text was not up to expectations and needs! Moreover, that you are preventing me from speaking in this Chamber is an additional attack on all those who are fighting on the ground against violence against women, and a denial of democracy. That is what I think and I would like to be able to finish my speech, without being constantly interrupted by your invectives. This is probably the way that you have found not to hear what action should have been taken.
ParlaMint-FR_2018-08-01-E1044.u389	You're in a good position to talk! Start by applying your lessons, it would be not bad already!
ParlaMint-FR_2018-08-01-E1044.u390	In 2004, Spain successfully passed a framework law that still does not exist in France. In New Zealand, a revolutionary law had been passed to grant 10 days' leave to women who were victims of domestic violence. I do not have the impression that our country is at the forefront on these issues. Suffer that another opinion emerges and that we regret that this text does not provide for any financial means. I'm in pain...
ParlaMint-FR_2018-08-01-E1044.u391	We've been here for over eight minutes, too!
ParlaMint-FR_2018-08-01-E1044.u392	...for in our country we could have drafted a less mediocre text. Last time I defended a motion for referral to committee, which was rejected.
ParlaMint-FR_2018-08-01-E1044.u393	Just like this one will be.
ParlaMint-FR_2018-08-01-E1044.u394	I know that, but let me explain the reasons for his deposit! Nothing upstream in the field of education. There's nothing to strengthen the police's and justice's means of action. No concrete proposals for emergency shelter for women victims of domestic violence. Elected from Seine-Saint-Denis, I regularly receive women who are victims of domestic violence. Not only do they sometimes have difficulty filing complaints at the police station, but it is extremely difficult for them to find emergency accommodation. You can have laws passed so that justice goes further, but if you don't afford the necessary means to support these women in practice, you miss out on the emergencies. Similarly, the funding of associations is completely absent from this bill, while associations are engaged in an essential fight against inequalities and violence against women. You missed that crucial date! It is recalled that the hotlines of the European Association against Violence against Women had exploded under the calls at the time of the # MeToo movement. Today, the Government wants to take over the scheme by creating its own number, which can be discussed and questionable. In any case, the means granted to associations will not be able to accompany their action, let alone strengthen it. On the contrary, they are also subject to the principle of austerity, which binds you and stifles public policies.
ParlaMint-FR_2018-08-01-E1044.u395	Austerity, it's not a term of your vocabulary!
ParlaMint-FR_2018-08-01-E1044.u396	Some people's behavior is particularly unworthy tonight!
ParlaMint-FR_2018-08-01-E1044.u397	Not yours, of course! You're exemplary!
ParlaMint-FR_2018-08-01-E1044.u398	I'm going on. This bill has not really evolved as a result of the Joint Joint Committee. First of all, as we said, there is no framework law. On the other hand, if it appears that you have heard the fears raised by Article 2, the same is not true of the rest. Article 2 had, in fact, discontented up to the benches of the majority. The danger was great of a correction of rape. You have finally heard, Madam Secretary of State, our challenge, but also that of associations and lawyers, and you have changed your proposal. For the rest, the definition of coercion that characterizes rape on minors could prove to be dangerous. Constraint could be inferred from the victim's sexual maturity. How could a judge appreciate a child's sexual maturity? What subjective elements will be taken into account in deciding this? Your Government had undertaken to set a threshold for the presumption of non-consent. In fact, I had questioned Mrs. Keeper of the Seals, who had given me a positive answer. What happened to this commitment? In essence, there is nothing in this piece of legislation that makes it possible to mark a firm ban, as we had requested. The presumption of non-consent, which would have been the only valid answer to avoid questioning the consent of minor victims, was not provided for in this text. The wording you are proposing will not change much. All for so little! Your text is very weak, just four articles. One of them suits us, since it increases the statute of limitations for women victims when they were minors from twenty to thirty years, which allows for the consideration of traumatic memory. I also welcome this progress. For the rest, you miss the subject. This text is miserable in view of the stakes involved. We could have voted for a text that would, if not for the needs, at least for the # MeToo movement.
ParlaMint-FR_2018-08-01-E1044.u399	Miserable? What you say is shameful!
ParlaMint-FR_2018-08-01-E1044.u400	There are also words that are miserable!
ParlaMint-FR_2018-08-01-E1044.u401	I am convinced that you also think so, Madam Secretary of State, but that you are lacking the necessary means to achieve a policy that is commensurate with the feminist ambitions that you are pursuing. Spain spends €0.54 per capita on the fight against violence, compared with €0.33 per capita for France. So Spain spends 60% more than we do, which is not nothing, but it has adopted a framework law, which explains this gap! France does not afford itself the means to catch up, which I regret. I am particularly moved to speak on this subject tonight. As a victim of rape myself, I attach great importance to this. Thinking of the women victims, I'm deeply sad, because we missed that date.
ParlaMint-FR_2018-08-01-E1044.u402	We don't agree!
ParlaMint-FR_2018-08-01-E1044.u403	The feminist associations have repeated this to you, too, but you have refused to review your copy, and we find ourselves here on August 1st, while the French have the spirit on holiday! [[Applause on the benches of the FI group]] You really missed the great cause of your quinquennium!
ParlaMint-FR_2018-08-01-E1044.u404	Miserable, indeed.
ParlaMint-FR_2018-08-01-E1044.u405	Mrs Alexandra Louis, rapporteur of the Joint Joint Committee, has the floor.
ParlaMint-FR_2018-08-01-E1044.u406	My dear colleague, you have said that you are sorry that we have missed the subject. As far as I am concerned, you are missing a text that does not include four articles, as you said, but nineteen. Contrary to your assertion, the notion of sexual maturity does not appear in section 2: it was retained by the Senate, but was not retained by the Joint Joint Committee. Let me read the text: "When the acts are committed against a person under fifteen years of age, moral coercion or surprise are characterized by the abuse of the victim's vulnerability without the necessary discernment for such acts". There is therefore no longer any danger, and there is no doubt on the subject. We were, like you, absolutely opposed to the notion of sexual maturity, and I had correctly stated it in the Chamber. [[Applause on the benches of the LaREM and MODEM groups]] [[Same movements on the same benches]] This text – which I repeat, therefore, does not have four articles, but nineteen – has been enriched in the Assembly, in the Senate and in the Joint Joint Committee and represents a real step forward for the victims. It is a pity that you did not mention the other articles, which were referred to by the Secretary of State and myself in our previous statements.
ParlaMint-FR_2018-08-01-E1044.u407	The Secretary of State has the floor.
ParlaMint-FR_2018-08-01-E1044.u408	I apologize for the possible length of my answer and its technical aspect: there are subjects on which it is good not to be approximate. I'm sorry to have to tell you, Mrs. Autain, but I don't think you know what austerity is. What characterizes this government's public policy in terms of equality between women and men is everything but austerity. In the context of an austerity policy, would there be a call for a EUR 1 million project for associations?
ParlaMint-FR_2018-08-01-E1044.u409	A million euros! Are you serious?
ParlaMint-FR_2018-08-01-E1044.u410	[[Applause on the benches of the LaREM and MODEM groups]] Would there be a 100 per cent retention of national subsidies for each association that combats gender-based and sexual violence, even if there were increases? The Feminist Collective Against Rape sees the amount of its grants, which already amounts to several hundred thousand euros, increase this year by 60000 euros. Is that austerity? In reality, the Government is providing financial resources – money ringing and stumbling – to combat sexual and gender-based violence. [[Exclaims on FI banks]] I have already replied to you at first reading about the AVFT – European Association against Violence against Women at Work, whose work is important. It signed a partnership with the State several years ago, which awards it a grant of several hundred thousand euros each year. The AVFT has unilaterally chosen to close its standard, because, since the launch of the # MeToo movement, it has been overwhelmed – I believe it, because, as a matter of principle, I believe the associations. [[Applause on the benches of the LaREM group]] May I continue? François Giroud said that feminism consists in finding intolerable for other women what we find intolerable for ourselves. You found it intolerable to be interrupted: I want to continue without being so. [[Applause on the benches of the LaREM and MODEM groups]] By deciding to unilaterally terminate part of its obligations, the AVFT contravenes the rules of any contract, whether commercial or ordinary, since it no longer provides part of the services for which it receives subsidies. These could therefore have been removed, or at least reduced. But we kept them 100 per cent. In terms of trade law and partnership, it is not possible to say that this decision is particularly unfavourable to the AVFT – which I am proud of. I would also like to correct the figures you have given with regard to Spain, because they are incorrect. I will rely on the statements of someone who is not a radical feminist, Mariano Rajoy. When asked about the billion euros Spain would spend on combating violence against women – this is indeed the figure that some of our opponents have given to all the media – he replied that it was not true: the first euro was not committed.
ParlaMint-FR_2018-08-01-E1044.u411	It went down because of austerity!
ParlaMint-FR_2018-08-01-E1044.u412	[[Applause on the benches of the LaREM and MODEM groups]] It is a declaration of intent by political parties and not by the Government. It is important to check the information that is relayed, including in the Chamber. Oppositions have also been heard calling for a law on education and equality between girls and boys. However, this law exists. You keep reminding us: we have not arrived first. Governments have preceded ours. Members of Parliament have preceded you. Thank God they have done some work, and often very good work. Since 2001, the Act has provided for three sessions of education on emotional and sexual life, combating gender stereotypes and equality between girls and boys in school. We are not going to redo a law that already exists! It seems to me that this is not the principle of the National Assembly – I am speaking under your control, ladies and gentlemen. [[Applause on the benches of the LaREM and MODEM groups]] We are implementing this text. The Minister of National Education sent a circular to all the rectors of France asking them to implement the 2001 law on education sessions for emotional and sexual life in schools. We have attached a catalogue including all the associations that have received IMS accreditation – school-based interventions – in order to value them and enable them to intervene effectively in schools, as provided for in the law of 2001, which had never been applied. Also, we must stop the little music that makes the government not like associations! Training is also provided. Everything, moreover, does not need to be included in the law. I invite you to take an interest, if not already done, in the work of MIPROF – inter-ministerial mission for the protection of women from violence and the fight against trafficking in human beings. Its Secretary-General, who has been very active, has been managing training for several years for police officers, gendarmes, municipal police officers and health personnel in order to enable them to better respond to the issue of sexual and gender-based violence. We are increasing training so that women are better received and monitored, especially in police stations. [[Applause on the benches of the LaREM and MODEM groups. – Exclaims on FI banks]] How can you not be surprised by your last words? You stressed your interest in the subject, which I am not discussing. In one year, however, I have never had to answer, in the context of questions to the Government, a question from the deputies of La France insoubted on public policies on equality between women and men. I am surprised that you are not interested enough in this subject to make it an issue for the Government.
ParlaMint-FR_2018-08-01-E1044.u413	That's not true!
ParlaMint-FR_2018-08-01-E1044.u414	You're lying!
ParlaMint-FR_2018-08-01-E1044.u415	That's totally wrong!
ParlaMint-FR_2018-08-01-E1044.u416	Mrs Autain, I would like to remind you of François Giroud's words: we do not interrupt by the others. Thank you! [[Applause on the benches of the LaREM and MODEM groups]] You said the media were not present. I'm surprised: I came by, they were there. They're interested in this. When you answer interviews, talk about it! Talk less about Alexandre Benalla and more about the bill against sexual and gender-based violence! [[Exclaims on FI banks]] [[Applause on the benches of the LaREM and MODEM groups]] I am also surprised at the substance of your remarks. You have indeed welcomed the progress made in the text. Is a text with some progress worthy of a motion to reject it beforehand? Rather, it deserves a debate or discussion to clarify disagreements. He does not deserve a motion of rejection. According to a well-known aphorism: "Everything looks like a nail for a hammer. It seems to me that you have discovered the process: you have systematically tabled a motion of rejection in advance on all the texts that have been considered before. It's called obstruction. [[Applause on the benches of the LaREM and MODEM groups]] I address the last subject only because you mentioned it yourself – otherwise, I would not have allowed myself. You said you were a victim of rape. I have the deepest respect for your journey and your commitment in many years. I have heard, in the course of the debates on this text, embarrassing or even insulting statements, not only against me, but above all against parliamentarians. I want to ask you a mathematical question. Taking into account the statistics of victims of sexual violence, of the 577 deputies of the National Assembly, how many, do you think, have been victims and suffer from these debates and insults?
ParlaMint-FR_2018-08-01-E1044.u417	In the explanations of vote on the motion for a preliminary rejection, Mrs Fiona Lazaar has the floor, for the La République group on the move.
ParlaMint-FR_2018-08-01-E1044.u418	The French expect us to take decisive action to put an end to the unworthy behaviour of our Republic. Beyond speeches, they expect more concrete actions and answers. Today, however, our colleagues at La France insoumé ask us to reject the text which carries this ambition and intends to include it in the law. I ask you: with this motion of rejection, do you mean no to our proposal to strengthen the repression of rape and sexual abuse of minors? Do you want to say no to raising the statute of limitations for sexual crimes against minors to 30 years? Do you want to say no to our proposal to take into account the age of the victim to characterize rape? With this motion, do you mean no to the fight against street harassment and the imposition of sanctions against stolen photographs that violate women's privacy? Finally, do you mean no to the legal tools that we are putting in place to combat digital raids and online harassment, particularly of adolescents? [[Applause on the benches of the LaREM and MODEM groups]] Ladies and gentlemen, I cannot believe it. While this text reflects the desire of the French to see more harshly sanction behaviour that does not belong within the Republic, I see in your motion, once again, the will to oppose everything, all the time, by all means, whatever the subject. The debates were lengthy and thorough, in the Committee on Laws, in the delegation to women's rights, in the Chamber, in the Senate or during the France round of equality. Now is the time to act. That is why we will vote against the motion to reject it beforehand.
ParlaMint-FR_2018-08-01-E1044.u419	The next speaker is Mr Erwan Balanant, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2018-08-01-E1044.u420	Things have already been brilliantly said by the Secretary of State and Fiona Lazaar. Mrs. Autain, I, too, answer you as a feminist. I understand the trauma...
ParlaMint-FR_2018-08-01-E1044.u421	Oh, it's fine!
ParlaMint-FR_2018-08-01-E1044.u422	[[Applause on the benches of the MODEM and REM groups]] Nor can you say that the definition of cyberharassment in the law is not a step forward. Thousands, even millions of women, are subjected to it every day: they receive messages that sometimes encourage them to close their Tweeter or Facebook accounts. I would like to pay tribute to those who have not, like the Chair of the Law Commission, who has been subjected to anti-Semitic and gender-based attacks. ... which may have been yours at first reading, since this difficult text has been instrumentalized. I understand your emotion. Recognize, however, that this text responds to the warnings of the # MeToo movement. Indeed, it cannot be argued that defining sexist outrage is not an answer to # MeToo. Gender-based outrage will lower the tolerance threshold. I even observe that society has already integrated this movement: slamming the language or engaging in obscene gestures will soon no longer be tolerated. By defining a ban, the law will make it possible to make further progress in this direction. I know the value of your commitment, Mrs. Autain. We are many here to share it. Perhaps we could continue to work together on these issues, because the construction site is far from complete. At least that is my wish.
ParlaMint-FR_2018-08-01-E1044.u423	Mrs Danièle Obono, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-08-01-E1044.u424	In general, it is not possible to say that we have not read or that we do not know this text: we have tabled many amendments, first or second reading, which is a sign that we have worked on it. Many activists and citizens in La France are committed to these issues. It is true that we are in frontal opposition on many subjects: we have always assumed our political positions. But if there is one topic, among other things – we will have the opportunity to discuss it again in the fall – on which we are particularly committed to building a good consensus so that we can vote on a text in a good unanimity, it is the one that this bill deals with. No one can give us lessons in this matter! On the other hand, we have a high level of demand. In view of the situation which has been revealed several months ago and which continues to be revealed every day, we assume this level of requirement and we consider that this text, which is insufficient, is not up to the level. Our motion of rejection is not intended to put an end to the discussions. Be sure that we will come back on this subject, with bills, amendments and a set of texts that we will defend, alongside the associations, to put this issue on the table. For us, it's not a fashion effect. For you, too, I think, so we will have to discuss it again. I repeat, Madam Secretary of State, your text is seriously inadequate. In fact, we are not the only ones in this opinion: you have met with associations that have told you and repeated, before the first reading as on the occasion of the vote on the text of the CMP. It is not simply a whim of the unsubs who want more and more, who always want too much: the whole feminist movement, whatever the sensitivities, from the most traditional to the most radical, thinks that this text is clearly insufficient. That is the meaning of our motion of prior rejection, which is not a rejection of the progress made in the bill.
ParlaMint-FR_2018-08-01-E1044.u425	Of course I do! A motion of rejection is to reject the text!
ParlaMint-FR_2018-08-01-E1044.u426	We have defended and voted, along with all the other groups in this House, for amendments that were in the right direction, but we reject the idea that this text serves as a major cause and that it responds to the dire needs in the fight against sexual and gender-based violence.
ParlaMint-FR_2018-08-01-E1044.u427	Thank you for closing, Mrs. Obono.
ParlaMint-FR_2018-08-01-E1044.u428	We therefore continue to call for the rejection of this bill. We will remain engaged in these debates and in this struggle, do you mind, with our arguments and proposals.
ParlaMint-FR_2018-08-01-E1044.u429	Mrs Typhanie Degois spoke in the general debate.
