ParlaMint-FR_2018-01-16-O1111.u1	The next item is the question to the Government.
ParlaMint-FR_2018-01-16-O1111.u331	Mr Stéphane Little has the floor.
ParlaMint-FR_2018-01-16-O1111.u332	Mr Secretary of State, it is not the prerogative of the HLM organizations to directly touch the APL: the paying third party system applies to all donors, both private and social. I would even add that some sleep merchants benefit from it, and calculate their rent according to the amount of LPA that can be collected by their tenants. My second question is kind of bouncing on your answer: it concerns the HLM model. The housing crisis in our country is above all a crisis of affordable housing, of low-cost housing. Indeed, housing is the item in the household budget which has worsened their purchasing power in the last 15 years. In this context, many countries are resenting the social housing system, which has more than one hundred and twenty years of existence, which needs to be modernised and renovated, which has already done so a great deal. This system is based on three pillars: the Caisse des dépôts et consignations, the 1% housing – which represents a deferred wage and allows for a wealth of housing for employees – and aid to stone, both from the State and from local authorities. These three pillars guarantee moderate rents and a dynamic sector. As you understand, I do not share your point of view: Article 52 of the Finance Act for 2018 is very much about the HLM model. The challenge is to create the conditions for financing housing in order to achieve balance, knowing that the LPA is not taken into account in the rent balance since it helps the tenant to pay it. Can you therefore commit yourself to consolidating this model by returning to the 1% of its original vocation, by strengthening the Caisse des dépôts and preserving the aid to the stone?
ParlaMint-FR_2018-01-16-O1111.u333	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u334	In the private park, the paying third party is optional: the possibility to benefit from it is often at the discretion of the tenant in his discussion with the owner. I am more than strongly committed to ensuring that the model resulting from entry aid, together with the Caisse des dépôts, is not only maintained, but even more consolidated: that is the very meaning of our reform. I repeat, the model of social donors is not reviewed; What is being reviewed is the time when the state, the communities and the Caisse des dépôts are helping social donors. Should it be done at the entrance, by helping more to build, or to exit, by subsidising rents to achieve the equilibrium rent? For us, it is better to help the entrance, to reconnect with the construction aid instead of the exit aid. The other question you raise is how to make social donors stronger. From this point of view, the social donors have defended, with us, the idea of groupings such as those that many of you – including yourself, Mr. MP – have wanted and led in the past, and that allow them to welcome more fragile audiences. Finally, there is the question of social accession – for the benefit of the occupant alone, the tenant, to the exclusion of any institutional, financial or other. It is fundamental, including for the balance rent. The latter's calculation is based only on the repayment of the debt, never on the possibility of the housing being sold to its tenant. But the sale of 20,000 social housing units in France, e.g. PLS – which out of 4.5 million social housing units is quite feasible – would earn around 2 billion euros each year, compared to just over 20 billion euros in rents received annually by social donors. You can see to what extent the equilibrium rent can be revised to pull it down, including through mechanisms such as social accession.
ParlaMint-FR_2018-01-16-O1111.u335	We turn to the five questions of the Republic Group on the move. Mr Michel Delpon has the floor.
ParlaMint-FR_2018-01-16-O1111.u336	The so-called SRU Act aims to restore a social balance in each territory and to avoid the concentration of social housing in the same communes, its first objective being to promote its construction. In 15 years, it has doubled production. The Act of 18 January 2013 strengthened social housing production requirements from 20 to 25 per cent. The Equality and Citizenship Act of 27 January 2017 and its implementing decrees of 5 May 2017 have changed the way in which Article 55 of the SRU Act is applied. The main development is the replacement of the composite indicator – vacancy, number of beneficiaries APL, tension – by a single indicator from the national registration system, the rate of tension, in order to estimate the percentage of social housing to be reached by the municipalities subject to the obligation. Decree No. 2017-840 sets the thresholds increasing the municipalities from 20 to 25 per cent of social housing and identifying the municipalities that can be exempted. In some municipalities that were in the process of meeting their catch-up targets to reach the 20% rate, the new targets may raise questions. For example, some elected officials fear that this increase in production will lead to an increase in the vacancy rate in existing social housing.
ParlaMint-FR_2018-01-16-O1111.u337	Here are some who have never sat on a board of directors...
ParlaMint-FR_2018-01-16-O1111.u338	An example is the town of Bergerac, Dordogne. Many of the so-called Pinel housing units are vacant and the social operators for housing report their difficulties in achieving the objective of building 1400 social housing units. In this context, Minister, how can we preserve the consensus on the principle of section 55 of the SRU Act and achieve the objectives set?
ParlaMint-FR_2018-01-16-O1111.u339	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u340	Your question, honourable Member, brings us back to the debate we had earlier after your colleague's question on the SRU law. This law emphasizes the need to build more social housing in France. This is a very simple and fundamental principle. I repeat, after what I have answered in particular to Messrs. Pupponi and Little: the idea behind the Government's positions is that there is not enough social housing in our country. In this regard, the SRU Act has made considerable progress in imposing the construction of social housing. The problem is that, in many cases, the SRU law as defined is more or less easily applicable depending on the specific nature of the territory. For this reason, of the 650 communes that do not respect it, only 269 are classified and are subject to the penalties provided for: the territorial particularities which may explain the impossibility of achieving the objectives laid down in Article 55 are taken into account. However, is it relevant to open, in the Housing Development and Digital Development Bill, section 55 of the SRU Act to amend certain rules? This topic is currently being discussed at the consensus conference, which brings together parliamentarians, professionals and local elected officials. In the end, a single compass should guide us: if we touch on section 55 of the SRU Act, under no circumstances should we send a negative signal to all local authorities who might believe that the Government is not totally inflexible on the SRU Act and can call on them to lift the foot of the accelerator and build a little less social housing. It would be dramatic to deprive the SRU law of its binding character. There is indeed a shortage of 1.5 million social housing units in France. We will be able to discuss the need to take account of the specific nature of the territories in the future housing law.
ParlaMint-FR_2018-01-16-O1111.u341	Ladies and gentlemen, before proceeding to the next question, this is the result of the election for the post of Quaestor of the National Assembly. Number of voters: 304 White or invalid bulletins: 83 Number of votes cast: 221 Absolute majority: 111 Have obtained: Mr. Eric Ciotti: 186 votes Mr. Ugo Bernalicis: 35 votes. [[Applause on the benches of the LR group]] As Mr Eric Ciotti has obtained an absolute majority of the votes cast, I declare him the quaestor of the National Assembly and congratulate him on behalf of all my colleagues.
ParlaMint-FR_2018-01-16-O1111.u342	Thank you!
ParlaMint-FR_2018-01-16-O1111.u343	You have to pay for it!
ParlaMint-FR_2018-01-16-O1111.u344	We are going back to the questions of the People's Republic on the move. Mrs Christelle Dubos has the floor.
ParlaMint-FR_2018-01-16-O1111.u345	Mr Secretary of State, the spirit of the housing strategy that you have presented to us is in particular to stimulate the supply of housing, to speed up the sale of social housing to their occupants and to facilitate mobility in the social park. For years I have been involved in the social sphere, as you know, these are questions that are dear to me, as well as to all my colleagues in this House. That is why we welcome the extension of the PTZ and Pinel arrangements for an additional four years, the continuation of the PTZ in the nine, as well as that of the PTZ for the purchase of old housing in HLM Park throughout the country, including in the tense areas that need it. These measures, adopted in the finance law a few weeks ago, will facilitate the ownership of modest households. However, the zoning of these devices raises more questions than ever before. In 2014, it is still based on a single criterion of imbalance in the supply and demand of housing. Organised around five areas according to the housing tension, it distributes, for example, the Parisian agglomeration in no less than four different areas, without taking into account the price criterion. The result is a lack of readability and regular inadaptation to the realities of the field. During our parliamentary debates, we questioned the relevance of this zoning by communes, which would benefit from being rethought to allow for greater coherence in the territory. We agreed to work on it again when you introduced the housing bill that you will be submitting to us soon. Do you intend to review the zoning of these schemes in favour of home ownership by modest households? If so, can you clarify the method?
ParlaMint-FR_2018-01-16-O1111.u346	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u347	Madam Member, this question calls for two elements of an answer. First of all, we have to ask ourselves whether zoning is or is not a good thing. For my part, I do not like it at all for a very simple reason: it is necessary to differentiate fiscal policies according to the territories; but the subjects we are talking about are subjects of spatial planning. Today, however, two cities classified as B2 may have nothing in common in terms of the development of their town centres or their peripheries. Therefore, encouraging construction in certain cities classified as B2 may make sense, whereas in other cities classified in the same area this may be a contradiction, because this could harm the vitality of the city centre. So we need to see the zoning again. A decree requires us to review it every three years. In 2017, due to electoral deadlines, this review was delayed. It arises now and will be dealt with in the coming months. But it also calls for another way of working, which will necessarily take time: how can we better territorialise all of these devices? How can we avoid a Jacobine organization that divides the territory into five zones to which the same rules apply everywhere, zone by zone? It is necessary to see how more flexibility can be given to local actors in order to deepen the territorialisation of tax systems in depth. It is important to talk about it, and we will have the opportunity to do so. But this will necessarily take time.
ParlaMint-FR_2018-01-16-O1111.u348	Mr Richard Lioger has the floor.
ParlaMint-FR_2018-01-16-O1111.u349	Secretary of State, 2018 will be a very important year, a year of revolution for urban planning and housing. You have told us of the spirit of the law that you are going to propose to us, and we know that the actors in the housing we meet and the elected representatives are eager to work on this law, to amend it and, if necessary, to develop it. In the consensus conference, there is a plethora of proposals from both our fellow senators and housing stakeholders. At the meeting I will shortly be hosting in Metz on the subject, almost two hundred people have already registered, which shows that, even in the regions, there is a real expectation to liberalise the standards that you recalled earlier and to free land. On the other hand, you are aware that urban planning and construction operations have been experiencing considerable delays for years because of numerous and, in many cases, abusive remedies that lead to the loss of years of construction. You intend to facilitate the exercise of the liability action against abusive remedies. How can we do this in practice? How do you intend to regulate financial transactions aimed at obtaining a withdrawal in the event of an appeal?
ParlaMint-FR_2018-01-16-O1111.u350	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u351	What are today the causes of higher project prices or the obstacles to building more in France? There are structural causes, including financing issues, which draw up prices; land release; One of your colleagues mentioned the standards earlier; Finally, a third subject, that of unfair remedies. They are responsible for stopping more than 30,000 housing projects, because some, who have become professionals of abuse, notably by visiting online sites where you are given a model of these remedies, hope to recover money by holding back all the projects of which they may be aware. We must be absolutely inflexible with regard to abusive remedies. We must fight much more firmly than we have done in the past. That is why we entrusted a mission several months ago to experts on the subject who have recently submitted their report, which feeds on the current consensus conference, and then feed on the bill that we will be debating in the coming weeks. There are several avenues for us at this stage, although of course we will discuss them together. These are possible ways to reduce the delays in judgements and to introduce maximum time limits for judgements in certain areas. Others aim to significantly increase the amount of fines in case of proven abuse, for those who are professionals. Still others aim to crystallize the means. Today, when you file an abusive remedy, you can, every two weeks, every three weeks, every month, ask to wait on the pretext that you have an additional grievance, and, in a way, put two pieces back in the machine. We must be able to put an end to such a possibility. The crystallization of means is an ancient subject, which the previous quinquennium had made optional. We propose to go much further by making it mandatory.
ParlaMint-FR_2018-01-16-O1111.u352	Mrs Annaig Le Meur has the floor.
ParlaMint-FR_2018-01-16-O1111.u353	Mr Secretary of State, I would like to address a subject that affects the lives of our most modest fellow citizens, but also people in great social distress: mal-housing, but above all unhealthy housing. This scourge affects everyday life and endangers the health of residents. In 2013, INSEE estimated that 1% of the French housing stock lacked basic sanitary comfort and that 3% had serious defects in thermal insulation, waterproofing or electrical installation. In Île-de-France alone, 180,000 dwellings are considered unworthy because of their unsanitaryness or lack of basic comfort, especially in old city centres. This topic is not limited to the Paris region alone. In 2011, the agglomeration of Quimper concentrated more than 600 potentially unworthy dwellings, inhabited by nearly 1,000 people. In addition to unsanitary apartments or houses there are cellars, uninsulated attices or garages rented to people in great difficulty by sleep merchants or unethical owners. I therefore welcome the willingness of the Government and, in particular, that of the Ministry of Territorial Cohesion to strengthen the fight against unworthy housing, on the occasion of Bill ELAN. Priority should be given to the treatment of emergency situations, particularly when the health of the inhabitants is affected. The current procedures are far too slow. The competent authorities must first visit the accommodation suspected of being unsanitary; then forward a report to the prefect, who in turn must refer the matter to a departmental commission for its opinion, before taking the order of insanity. This leads to abnormal situations, since it sometimes takes six to twelve months to obtain this order and allow tenants to relocate. Meanwhile, individuals or families remain on site and have to pay their rent. The decision of the Government to strengthen the mayor's police powers so that he can deal with emergency situations is in the right direction; and the creation of a presumption of income, to strike more effectively the portfolio those who engage in such practices. Secretary of State, can you explain in more detail the measures contained in the draft bill on this subject?
ParlaMint-FR_2018-01-16-O1111.u354	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u355	Member, unhealthy habitat is a very broad subject. Indeed, it is now estimated that there are about 800,000 unhealthy housing units in France, which is enormous. Not all are rented by sleep merchants. The first action must therefore be aimed at accompanying owners who rent unhealthy housing or sometimes live there. We have strengthened existing financial law tools, including the National Housing Agency – ANAH. We've got to get to the bottom of it. This is also the meaning of the Action Cœur de Ville plan that we launched, because we know that this unsanitaryness in housing can affect villages or medium-sized cities where city centres are sometimes abandoned. The second issue, which is unacceptable, is that of sleep merchants who are merchants of misery. They are criminals who must be fought with the utmost firmness. There are no 36,000 ways to achieve this. What scares them? These people only work at the lure of gain: only the smell of money attracts them. Criminal provisions could be strengthened; But in fine, it's like for drug traffickers, it doesn't change much. In the future bill, we will see sleep merchants as drug traffickers. In the General Tax Code, which lists drug, arms and narcotics traffickers, we will add sleep traffickers. From there there exists the presumption of income. They will no longer be able to go into insolvency or hide behind their little finger: they will be obliged to go to the caisse and pay. That is what will hurt them and help stop their trafficking. There is also a need to simplify procedures and encourage the formation of teams to identify sleep merchants, at the communal or intercommunal level. It is also necessary that the periodic penalty payments imposed on them can be paid directly to the control services of the municipalities or intercommunalities in order to finance their identification and enter the virtuous circle of a massive struggle against sleep merchants.
ParlaMint-FR_2018-01-16-O1111.u356	Mr Denis Sommer has the floor.
ParlaMint-FR_2018-01-16-O1111.u357	Mr. Secretary of State, one of the main objectives of the national urban renewal programme was to increase social mix in neighbourhoods by diversifying and renewing housing supply. The ANRU Evaluation and Monitoring Committee demonstrated, in an analysis carried out over the period 2003-2013, that although the living environment of the inhabitants had been improved, the same was not true for the social mix. Indeed, while the composition of housing has changed over this period, since the percentage of social housing has increased from 61 to 57% and about 40,000 private housing units have been built in or near these neighbourhoods, social diversity has not really spread. However, this diversification would be beneficial to our territories, where the concentration of social difficulties has far-reaching consequences. It would make it possible to fight more effectively against the stigmatizing image of these neighbourhoods, to improve the residential path and living conditions of their inhabitants, and to attract new ones. A great deal remains to be done in terms of social mix, and we need a truly diverse habitat in these neighbourhoods. Minister, you have announced a housing bill. In consultation with elected representatives and social donors, what measures do you intend to put in place to enable the ANRU to achieve its ambition of social mix, in particular by creating the conditions for more constructions in the private rental park and facilitating the acquisition of property? I have heard your answer to Mr Pupponi, but would it not be interesting, in the coming period, to work together on these issues in order to design an ambitious plan for social mix, which really involves the lodgers, the communes and intercommunalities, and of course the elected representatives concerned?
ParlaMint-FR_2018-01-16-O1111.u358	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u359	Mr President, the solution is first of all a better renovation of housing in the priority areas of the city, which means more funding for the ANRU. Some zoning may also be necessary to try to understand the mix not only at the municipal level, but also at the level of intercommunality. Finally, the conditions of intervention of the ANRU must be improved. All these concerns guide our action; They will not necessarily be applicable in the bill because they are not all in the legislative domain, but we are working on them, particularly with the Director General and the new president of the ANRU. However, we must not collectively make the mistake, sometimes made in the past, of thinking that social mix only involves housing. Let's take a concrete example: not long ago, I visited a neighbourhood in the commune of Les Mureaux, whose housing was incredibly well renovated with the support of the mayor and ANRU – it was the SNI group that worked on the site. The promoter explained to me that he had proposed some housing eligible for social home ownership, in the hope of bringing different people to this renovated area; but without success. Indeed, in the priority areas of the city, there are five times fewer crèches, twice fewer doctors, sometimes fewer post offices or means of transport than in the rest of the territory. In order to bring about social diversity, we must certainly work on housing, as we are going to do, but above all we must devise a comprehensive policy that gives the inhabitants of these neighbourhoods the same rights as those of the rest of our country. This is what we are working to do, with the help of Jean-Louis Borloo, following the clear road map set by the President of the Republic in Roubaix and Tourcoing in mid-November.
ParlaMint-FR_2018-01-16-O1111.u360	We turn to the questions of the Republican Group. Mr Alain Ramadier has the floor.
ParlaMint-FR_2018-01-16-O1111.u361	Minister, in a letter addressed to the Prefect of Seine-Saint-Denis on November 15, co-owners said – I quote – "for too long, victims of indelicate trustees who, with impunity, organize for speculative purposes the financial bankruptcy of the buildings. These strong words refer to a reality that we need to face. In a study dated May 2017, UFC-Que Choisir recalls that, four years after the ALUR law, "co-owners are still so badly affected". Indeed, according to this study, the lack of control of trustees – which was provided for in the ALUR law – would be the cornerstone of tariff drifts and a lack of transparency that blur the co-owners, especially the most modest ones. Mr. Minister, the Government's commitment to reinvigorating the construction of rental properties and to aerating the supply of housing will be futile if no vigorous action is taken to strengthen the rights of owners. For they are far from being wealthy, and we all know it: in France, housing is par excellence a refuge value, a popular placement that allows many French people, young workers or employees who have spared their entire lives, to secure a supplementary income. A recent study pointed out that "nearly 70% of respondents would choose real estate if they had money to invest." Talking about the owners is also about indelicate tenants, unpaid rents, and ransacked apartments. These tenants undermine the trust of landlords and fuel the vacation. While consultations on the draft housing law are under way, the time has come to put the problem of owners' rights on the table. Too many rules for honest people, too much manslaughter towards immoral behavior: this is a French evil! That is what, every day, undermines the trust contract that the Government claims to restore. Minister, in the face of these additional challenges, what do you intend to do in the coming weeks to respond to the legitimate ras-le-bol of our country's owners?
ParlaMint-FR_2018-01-16-O1111.u362	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u363	Mr President, the problem is that there are different types of owners. Some, like the sleep merchants mentioned earlier, have outrageous behavior; In the face of them, we must not bow, but punish them harshly. Others consider that the relationship with tenants is too complex and decide not to rent their homes, sometimes for good reasons, for example when the work to be done to restore their property is too important compared to the expected gain. These owners must be helped and explained that the National Habitat Agency can accompany them in the renovation of their buildings for rent. Finally, some owners have no reason not to rent their property, except for their tranquillity. Having a tenant is sometimes complicated; If in the first approach, the owners can mention the fact that the rental does not earn enough, in the second approach they admit to abstaining because in case of a problem they think they cannot expel the tenant. Very quickly, these owners ask us to review the right of expulsion in France. Rather than revising this right – an idea that I am absolutely not in favour of – we must give priority to other mechanisms, which both protect the rights of tenants and address the concerns of the owners. Thus, in the coming weeks, we will strengthen the guarantee mechanism that the tenant can offer to the owner, especially against the risk of non-payment or against the risk of deterioration of the premises. This guarantee fully covers the owner, including in cases where, for some reason, he or she is forced to try to expel the person who occupied his or her dwelling. In short, it is necessary to be very firm with some owners, to accompany others, and to understand their expectations without ever weakening the rights of tenants. The latter are now in a position of weakness vis-à-vis the owners; They should not be further weakened.
ParlaMint-FR_2018-01-16-O1111.u364	Mrs Valérie Lacroute has the floor.
ParlaMint-FR_2018-01-16-O1111.u365	Minister, as we have seen again in the 2018 Finance Act, in the area of real estate, the Government is focusing aid and tax schemes on so-called tense areas. Yet the challenge is to build better throughout the territory. Systematic opposition between tense and rural areas continues to exacerbate disparities in the territory, making cities increasingly attractive to the detriment of our more rural territories. If public policies continue to differentiate these aids on the sole criterion of demand pressure, there is a risk of stalling and impoverishment of so-called relaxed areas. However, they also need to renew their housing stock in order to make it attractive and improve its quality. I am elected from the South of the Seine-et-Marne, an area where many municipalities do not meet the criteria for tax benefits; Here too, we need to be able to offer standard housing, free of asbestos, well isolated and accessible to all. Local elected officials face the ageing of the population and seek to retain young couples to boost their sectors. However, the collective park of the 1960s was squandered by investors and tenants, with a vacancy rate of over 10 per cent. The measures adopted under the Finance Act do not encourage the renovation of this park. So my question is: Minister, what do you intend to do to encourage construction, but also the renovation of housing in the country's so-called untied rural areas?
ParlaMint-FR_2018-01-16-O1111.u366	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u367	Madam Member, I am very pleased that you are asking me this question because obviously some of the reforms promoted by the Government remain ununderstood. The PTZ scheme has been extended everywhere, including in the so-called relaxed zones B2 and C, for a period of four years in the old and two years in the nine. However, you are right to draw attention to the situation in certain territories; In this respect, the hearts of medium-sized cities are given special attention, with a very ambitious plan of action – I dare to say it even if I am the designer and director – which aims to renovate the city centres marked by the deterioration of the building, the relocation of shops and the loss of the city's very soul. In addition to the provisions related to economic activity, EUR 1.5 billion has been negotiated with Housing Action for the renovation of housing in the heart of the city, with calls for expressions of interest and calls for future projects. We believe, therefore, that the renovation of housing in rural areas is essential. The proposed bill, which will include provisions to this effect, focuses not only on tense areas, but on both tense and relaxed areas, including rural areas, and aims to promote construction and improve the quality of the building, both in terms of energy efficiency and access to digital technology. This is proof of the historic agreement that we have just signed with the operators in this area.
ParlaMint-FR_2018-01-16-O1111.u368	Mrs Isabelle Valentin has the floor.
ParlaMint-FR_2018-01-16-O1111.u369	Minister, the Government's housing plan has resulted in the reduction of APLs by 5 euros per month for 6.5 million beneficiaries since 1 October 2017. The State is disengaged and it is the only social donors who will have to bear the cost of this measure. But your Government does not intend to stop in such a good way since the decrease in APLs will reach 24.50 euros monthly per tenant in 2018, 36.75 euros in 2019 and almost 50 euros in 2020. As the State does not assume its responsibilities, the social donors will be forced to pass on this decrease in LPAs to the amount of rents. As you will have understood, this measure is contested by the social housing players. Minister, social donors will suffer significant financial losses and will have to face an increase in contributions to the National Stone Aid Fund, FNAP, and the rent freeze. In an attempt to reassure them, your Government shows its willingness to offer them counterpart, but they do not recognize the reality of our territories. First, few tenants are able to honour a solidarity rent supplement, SLS. Secondly, many small public housing offices, close to the land, will see their own funds decline dangerously to the point that some organizations may be absorbed by social donors far removed from the concerns of rural territories. In my constituency of Haute-Loire, which has eighty-two communes, the revenue decline will reach 12% in two to three years. Thirdly – and I will end with that – social donors will inevitably have to make choices: they will not be able to both renovate the existing park, rehabilitate old housing and start new construction. We do not understand, Minister, how you are going to fulfill your promise to relaunch housing construction in France. So my questions are as follows. What financial means will the state invest in housing policy? How do you intend to give concrete impetus to the construction of social housing throughout our territories in a fair and harmonious manner?
ParlaMint-FR_2018-01-16-O1111.u370	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u371	The reform we are defending is based on two pillars. First of all, it aims to simplify standards and free up land. Some things are sometimes upuesque – it is the qualifier that is required –, such as taxation on real estate capital gains: owners have always been encouraged to keep their land rather than sell it because the more they keep it, the less taxes they will have to pay afterwards. A provision was passed as part of the finance bill to review the taxation of real estate capital gains. We also show total firmness with regard to abusive remedies. We also accompany the most fragile ones, for example by building 60000 housing units for students and putting in place the guarantee that I mentioned earlier. This is the first pillar. The second pillar is to encourage construction. Our reform aims to give more to those who will build. As far as social donors are concerned, it is a question of helping more to enter, by promoting construction, rather than helping to exit. Contrary to what you said – let me correct your point – the beneficiaries of the APLs will not lose a euro with this reform. The social donors say that it is because they bear the full cost of the reform: but ask them what the impact of the financial support is that we assure them at the entrance! Of course, this is more complicated, because it requires changing a number of habits. The advantage will be greater as they build and renovate. But, in the end, the aim is to build more, to renovate more. Perhaps it is more complicated, probably not all social donors agree, but some are: we have signed an agreement with some of them for this reform. In any case, all agree to undertake other reforms, such as the grouping they now call for, or social accession or a new rent policy. We will have an opportunity to discuss this during the consideration of the bill: these three elements are included in the bill.
ParlaMint-FR_2018-01-16-O1111.u372	Mr Pierre Cordier has the floor.
ParlaMint-FR_2018-01-16-O1111.u373	Before I ask my question, I would like to go back to something that I am somewhat saddened by your demonstration, Secretary of State. Sitting on a board of directors of a social lessor for the last fifteen years, I think you're mixing the operation and the investment a little bit – I'll come back to that in the question I'm going to ask in a few moments. Revenues from rents feed into the operating budget of the social lessor; However, the measures you refer to relate to investment, which is different. In budgetary terms – all local elected representatives in this House know this well and may have been troubled to hear you – we must not confuse these two sections. After other colleagues, I would like to mention the concerns related to the APLs. To cite a concrete case, in the department of the Ardennes, of which I have the honour of being elected, the first social lessor has 12,500 housing units, of which 10282 are occupied, the others being vacant for technical reasons or because of a lack of demands in this department which is experiencing many difficulties. This social lessor will lose 331000 euros each month as a result of the decline in APLs for 6502 families. Of just over 10,000 housing units, 6502 families receive personalized housing assistance. This clearly means that there will be 331000 euros less to renovate, develop and improve housing, even taking into account the nuance that I have just given on what relates to operation and investment, respectively. Moreover, over the years, social donors have been subject to increasingly severe administrative constraints: energy performance diagnostics, asbestos and lead before any new leases; strict enforcement of the Accessibility Act. Since 1 January 2018, housing must also meet minimum energy standards to be rented, while private donors are not subject to all these obligations. I would therefore like to ask you again about simplification and easing of social donors, even though you have provided some answers earlier. In a very relaxed area, which is the case in the Ardennes department where 2200 housing units are vacant, will the social donors who in recent years have already applied rent reductions again have to lower them in the context of the policy you are leading? If so, are compensations planned and what? What is the status of the discussions on possible equalization between the various social donors? Will it be sufficient to allow them to continue to invest in order to prevent the park from deteriorating?
ParlaMint-FR_2018-01-16-O1111.u374	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u375	I am absolutely aware of the difference between operation and investment. In fact, it is necessary to go through the prism of the cash account, which tracks income and expenditure. The financial support we provide is different. The first, very conventionally, relates to the expenditure of social donors, in relation to their income from rents. These can be operating expenses, expenses. When you spend €3 billion on improving the energy efficiency of buildings, it is as much expense as you will save once the work is done. When you receive a fine-tuning loan of €4 billion at a fixed rate – the fine-tuning loan makes it possible to carry out improvements, low-cost rehabilitations – your expenses are reduced in the same proportion. quasi-equity also has a direct impact on the cash account. Finally, another item of expenditure is the repayment of the debt. As Mr. Stéphane said A little earlier, everything is based today on the rent of balance; This is only calculated on the repayment of the debt. Facilitating debt repayment reduces spending, with any debt prolongation that, by definition, makes it possible to pay less monthly payments.
ParlaMint-FR_2018-01-16-O1111.u376	Capital and interest!
ParlaMint-FR_2018-01-16-O1111.u377	You pay less capital and interest. To answer your question very clearly, you are right: you must remember only the prism of the treasury. There is no doubt that our reform is more complicated than a reduction – I refer once again to the amendments we have discussed in this House – in the rate of effort of the beneficiaries. I was totally opposed to it: I think the right reform is to accompany more constructions, without it having a negative impact on the beneficiaries. But I grant you, it's more complicated: you have to have the energy to put in place new financing tools at the entrance, new ways of supporting construction. Your question has a second point: equalization. It is essential, and it has already been passed in the finance law. Very complex in its formulation, it is quite simple to understand. There are several types of social donors: those who receive many LPA beneficiaries and people in difficulty, and others. In order to help those who play the game the most – that is, those who have in mind that in "social lessor", the word "social" is the most important – equalisation has been established in such a way that, to make simple, donors hosting in their park a number of beneficiaries of the APLs less than the average number of beneficiaries in France undergo a negative equalization, while those receiving a higher number receive a positive equalization. Another element is the fragility of the operator, whether it is a lessor or a company. The Equalization Fund was passed into law. It remains to be put in place – the services deal with it.
ParlaMint-FR_2018-01-16-O1111.u378	We come to the four questions of the Democratic and Related Movement Group. Mrs Sarah El Haïry has the floor.
ParlaMint-FR_2018-01-16-O1111.u379	Mr Secretary of State, I would like to ask you about the problem of vacant housing in tense areas. To combat this phenomenon, a tax on vacant housing was introduced in 1998. The tax base was extended in 2013 to cover vacant housing for more than a year in territories with more than 50,000 inhabitants, where there is a marked imbalance between the supply of and demand for housing, resulting in serious difficulties for housing throughout the residential park. As a result of this expansion, the tax on vacant housing is now applied in 1151 communes, compared with 818 in 1998. However, this tax does not seem sufficient. According to INSEE, the number of vacant dwellings has increased and their proportion of all dwellings has increased from 6.9% in 2009 to 7.9% in 2014, and to 8.3% in 2016. This rate can be much higher, as in the four central arrondissements of Paris, where it can reach up to 26%. However, these vacant dwellings have many perverse effects on the real estate market, contributing to the sharp increase in rental prices year after year. According to the General Inspectorate of Finance, 228,000 housing units located in tense areas, where the market remains very tense, would be in a situation of long-term vacancy, i.e. unoccupied for more than two years, and could be mobilised. Mr Secretary of State, I would like to know whether it is envisaged to increase the tax on vacant housing, to make it more effective or to participate more in the shock of the Government's bid to combat excessive rents in tense areas. Adding to this phenomenon that of Airbnb, I fear that the expected offer will not come to light in the tense areas – hence my question.
ParlaMint-FR_2018-01-16-O1111.u380	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u381	For me, vacant housing is an obsession – to say otherwise would be an understatement. Intellectually, if we consider that there are 3 million vacant dwellings, about 700000 to 800,000 square meters of vacant offices in Paris – another problem I will return to – and almost 2.5 million square meters of vacant offices in Île-de-France, we can only say that we should change that overnight. The problem is that this is much more complicated than it seems. What are the solutions? We have tested and discussed everything, in collegiality, to try to determine the best solutions. A first solution is the tax on vacant housing: many have tried and, as they say, they have had problems. This tax has been in existence for a long time and, obviously, it has not been able to change things. Today, the tax on vacant housing is very high; It is even so much that it is not obvious to continue to increase it. When it reaches the level of the housing tax, it is quite difficult to explain. Even if we did not discuss it during the review of the last finance law, there is nothing to be stopped: we can work on it this year in anticipation of the next finance law. Second, there is a need to understand why homeowners leave their homes vacant. You have to take a client-friendly approach if I can say: you have to help the owners who do not rent a dwelling because it is unsanitary and that it would cost them too much. It is necessary to explain to those who do not rent because they prefer not to bother with a tenant how the guarantee arrangements allow him to rent safely, while preserving all the rights of the tenants – this point is essential. Other aspects also seem important to me, such as rental intermediation: one must be able to convince owners to rent their homes through an association, which takes care of everything. It is all the more interesting that these associations praise people in fragile situations and create the social mix we were talking about earlier. Vacant housing is an essential and complex subject. Vacancies are just as important, perhaps just as complex, as they are. We will make very concrete proposals in the housing bill, so we will have an opportunity to discuss them again.
