ParlaMint-NO_2011-12-02.ana.ud1812e24	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2011-12-02.ana.ud1812e1121	Today, little has been said about the pilot schemes that have been implemented in the Follo and Hordaland police districts. The police officer in Follo has told the East German newspaper that he is proud of the efforts his employees put into the job – and he really has every reason to do so. Follo Police District has undergone a major reorganisation project. The aim was initially good: more police force for the benefit of the population. The municipalities were promised that more preventive work would be done by the police. That is why they finally said yes to the project, with clear expectations of these promises. Unfortunately, these assumptions are not met. Reality is downsizing and reducing police coverage. The police officer in Follo is very clear – there has not been a single penny for the conversion processes. So it's not only the local politicians who've been tricked, but maybe the police themselves. The rapporteurs in Follo tried for a long time – and in vain – to get former Minister of Justice Storberget to discuss this matter. Instead, they gathered to the Storting for two meetings – also to meet the Akershus bench on 22 November – and they left with one wish that the Judicial Committee should at least mention this situation in the budgetary position. Both of these meetings were before the committee had the actual release of the vote, and so it was time for change. In the meeting, a cross-political expectation was created that this could be resolved. Follo is mentioned in the setting, but unfortunately as a minority comment from the opposition alone. The rapporteurs hoped for cooperation from the whole Akershus bench. They didn't. This is the background when we can read that the Workers' Party's representatives Eldegard and Kernli, from Akershus, state to the East German magazine on 29 November that there is little doubt that the Follo Police are getting too little resources. We've heard that, too, Eldegard, today. That's what the Right believes, too. That is why we have proposed 400 million. kr more than the government of the 2012 police districts. It has been a long time since the recognition that some police districts, such as Follo, are underfunded. Police coverage in this district has fallen since 2006. The work of two officials per 1 000 inhabitants is a far-reaching objective for Follo, with a coverage rate of only 1.09 – down from 1.29 in 2006. I will challenge the representatives of the Workers' Party, and Eldegard in particular, on the following: What is cooperation on a better police offer for the Workers' Party? Why does the Labour Party not want to reverse developments and vote in favour of the Right's proposal for more money to the police districts? Firegard shows understanding of Follo's challenges. This we must take seriously, she says here today. But the government is not in the party with the representative of Eldegard in this matter.
ParlaMint-NO_2011-12-02.ana.ud1812e1138	After listening to the debate, all of a sudden, 3 minutes was very short, because there's a lot of things here that would have been exciting to comment on. I'm going to start with the broad consensus in Stortinget on increasing police personnel. There have been clear targets set, and the government continues to repeat that these targets are set. On 12 October Knut Storberget, who was then Minister of Justice, said here in the Chamber that, as we agree on the admission to the Police College, 'it is absolutely essential that we have all the good policemen we are trained to do'. Then I would like to comment on the use of numbers and statistics and how this is produced. The reality is that when people from the red-green parties talk about the amazing employment of educated policemen, there's a truth to modification. One thing is to be on the payroll, something else is to have work in the police department. The reality is that 10 pst. Of those who graduated from the Police College last spring, they have a permanent position in the police – 10 p.m. Of those who went out, have a firm position in the police! What we're talking about is using these resources. When I then heard from the representative, Bøhler, saying that when we now come up in the big hills, we can't deliver them right away, but it should be taken gradually. That means that this just escalates the wrong path. There is nothing, either in the budget or in the case of police resignation, that signals that a sudden will have many more places available. So in addition to all the police students coming out, there's a situation where there's now about to be cancelled policemen who want to get back into work. The gap is getting bigger and bigger. Since the Council of State has been so difficult to answer – and also the others from the Red-Green parties – about how the police coverage will be in 2012, I can at least give some of the answer. The police district had a police coverage of 1.56 in 2006. The current year they had 1.48. With the 2012 budget, they will receive 1.39. This means, then, that another police patrol is missing from office in the district of Agder. This is the reality of the current budget. So there are no signs of, no solutions to how all the good resources that are now being trained are to be put into use. Here it has to be taken a completely different way, and no one has given us the answer that it will happen. It cannot be taken by natural departure. We're waiting for concrete answers to this question.
ParlaMint-NO_2011-12-02.ana.ud1812e1151	After listening to the debate here today, one can slowly wonder if it was a government change in 2005. For the spouse of a discharge after six years of power, one should look for a long time. If we ignore a small handful of police districts, the country's other police officers have experienced budgets that are getting tighter and tighter. Police coverage does not go the way that the government has promised, and the police officers are forced to cut and restructure. With today's evolution, the ambition of two policemen per 1,000 people is becoming an increasingly distant dream. It's not obvious that the police are there when you need it. The population is experiencing a police force that needs to give increasing priority to the events on which it can be traced. Police patrols in the districts who experience having several hours of driving where the event is are faced with completely impossible choices. The result is that minor offences are not followed up because the preparedness for more serious incidents needs to be maintained. The long-term effect of this is just to think about. Police empty rooms invite to crime, and that's not the way we can have it. Worst hits are tight police budgets police districts with challenging geography, long distances, poor communication and unpalatable roads. Many rapporteurs have good reason to be concerned whether the police have the necessary resources to be adequately targeted in the fight against crime and to give priority to important close police and prevention tasks among children and young people. Less presence of police and high levels of drug traffic is a very poor combination if we want to create safe communities. It is extremely important that scarce police resources are used correctly. My home police district, Midre Hålogaland, still has no prison grounds. The entire political leadership in recent years has been on the lookout for Lødningen, which is a current location for a prison, but with no results so far. Why do I bring this up? Well, it's because detonated prison capacity means that the police in Central Hålogaland have to travel from country to country and spend valuable police time and money transporting criminals to and from prisons. I hope the Minister of Justice agrees that this is the wrong use of the police's scarce resources. The right again calls for a solution for prison in the Mid-Hålogaland police district, which is probably the only police district that has no detention sites yet within its borders. It is necessary for both police and judicial authorities to meet their needs and to keep costs down. The representative Akhtar Chaudhry said in his speech that it was the task of the state to provide security for the inhabitants. That is entirely in agreement with the Right. That is why police coverage is a priority in the alternative budget of the Right.
ParlaMint-NO_2011-12-02.ana.ud1812e1172	Now there'll be almost some kind of right-wing fat here! I'll try to sum up the debate. The Council of State cannot respond to the increase in police coverage in 2012. And then we're going to have even more losses in relation to the goals we've set ourselves. So the council keeps the resistance to partial privacy being able to analyze DNA. But the Council of State is very much so that whole-time private people can analyze the content of PCs and mobile phones – understand what they want. The Council of State did not say a single word about where ‘stupid’ it is to reduce the admission to the KRUS in a situation where criminal services are more under pressure than ever, with more and more foreign criminals. Governments have not said anything about how we're going to get more transparency about PST's resource situation. The right-hand side expects a written feedback on how to involve the Storting in that work, so that we can get more information and create a stronger PST. The representative, Sylvi Graham, made an excellent account of why for several years the Right Party has believed that the government has broken the premise for what is happening in Follo. Now this representative gave himself up because some former, competent rapporteurs from Oppegård believed in the Council of State. I didn't. I prided myself on the previous rapporteur in Oppegård. She was wrong, and I was right. But it's unfortunately a sad situation, because now we're both sitting in this room today and agreeing that Follo is simply tricked. So Hagebakken was in on a little remark about the Civil Defense. Then I just want to remind you that in the last few years, the Right has proposed tens of millions to the Civil Defense. I think maybe I'd go a little bit quieter in the doors, considering that the former Council of State has been dangerously close to misinforming the Stortinge about the situation in Civil Defense. It is likely to be dealt with by the Control and Constitutional Committee and in this Chamber in a relatively short time, and it may be possible to read it later. Otherwise there was a question here as to whether it would have been a problem to have Per Sandberg as Minister of Justice. I think it would have been a very good idea, for example. to have Per Sandberg as Minister of State. At that time, the number of municipalities might have been considerably reduced in this country, which would allow for the treatment of the interaction reform and child protection and increase the competence of the public auxiliaries, which are not working well today, because they are scattered and because they are small professional environments. I think that might be a good idea, but we're not going to discuss a new government composition here in Stortinget. Hat crime: It was a very good contribution from the Labour Party representative. It's incredibly important that we agree on this. The only thing that's a little sad is that it's the Right that's driving you to get this kind of registration routine. In Oslo today, the person in contact with minorities may not have a good enough understanding of the environment and the challenges. Now you gradually expand the whole field to become a Rosa Competence Justice. That's good. I hope it succeeds. Finally, I would like to challenge the Council of State to clarify when it is possible to evaluate the dog law – it has not been said – and whether it can happen within a reasonable time. If the Council of State can guarantee this, we may consider making the proposal a transmission proposal.
ParlaMint-NO_2011-12-02.ana.ud1812e1193	In Sørlanden we have a project called Project Agder. The aim is to improve police services for the best interests of the Agder population, based on the funds allocated. After what I understand, it means that you want more visible police in the city and the countryside, that is, strengthening operational services. The police coverage in Agder is 1.39 pst. per 1000 inhabitants — had it been per capita, there would have been something else. It's too little. In the case of crime pressures in Agder per 1 000 inhabitants, it has been numbering over the years. 2 or 3 after Oslo. The district therefore faces major challenges related to organised and cross-border crime. This suggests that more police are needed in Agder. We have problems in Agder autumn, winter and spring, but we have extra big problems in the summer. Then the South is invaded by tourists. When I say "invaded", it's because it feels like this to us, but we view it as a positive invasion. This applies to people who usually live elsewhere in Norway, but there are also tourists from other countries. You can sometimes double the number of people living in cities and our towns there at home. I can understand, of course, that people like to move to South Africa, because there's no better place than Southland in the summer. Back to figures: seasonal fluctuations have not been taken into account when allocating funds to the districts. Everyone sees that when the population is doubled for several months of the year, we also need more resources, so that we can deploy larger forces to secure the population. South is especially in the summer. It is – yes, I can say – extra people everywhere, both on land and at sea. In a few years, I guess I can also say in the air. Let's draw out Arendal, which is the second largest municipality and city in the South. There are 42,000 people living here who are to be protected by 58 policemen or women, a number that, in my opinion, are irresponsible. I continue my calculations and ask whether it is right in one of the richest countries in the world that 58 policemen in Arendal normally serve 42,000 people. What service do our residents and tourists get when the number of inhabitants has suddenly doubled and tripled in a summer season, without a corresponding increase in the police? Maybe it's not surprising that the crime pressure in Agder is as high as it is, when the police forces are so small that they disappear in the crowd? What follow-up and security do we have?
ParlaMint-NO_2011-12-02.ana.ud1812e1208	That there is a different perception of reality in this room at the opposition and at the position – not least the Minister of Justice – may not be so strange. At least it's okay to have the reality out there with ordinary people who meet the police is that you feel that things are being blamed even if the perpetrator is known, because you don't have time to deal with the case. It costs too much to deal with the case in relation to the criminal act that has been committed. It's at least the reality that people who meet the police, who have issues they ask for research and treatment, experience. So I've brought up with the Minister of Justice this with the LEN's offices. I am now recording that there is still a desire from police officers to shut down the canal offices, or to ‘put it down’ without doing so, because it does not help to have a canal office if the only thing left is the sign on the door – because inside there are no more people. I think it's important to have the local knowledge that's in many of the county's offices, in those who work there. That's why I'm very worried. In the Telemark police district, the chief of police has now merged Tokke and Fyresdal and hired one member of the county councils, who used to be two county councillors – or in Bamble, where it was formerly up against 20 police officers, where there are now four investigators and two in charge. It's something completely different than what was the assumption. This is a municipality with 14,000 inhabitants throughout the year – and almost twice in the summer, with people living within the municipality. It's a very serious concern. It does not help that the police chief and the Minister of Justice boast that they have received $12.2 million. More to the police district, when the result is that you have more than 20 vacant posts you do not employ people. We want the police out, we want the visible police, and we want the police to be local. It is important for most people – those who live around the municipalities. That's why I hope the Minister of Justice actually starts to look at what's going on around. In her answer, she says that the only thing the Minister of Justice and the Department now follow is where the boundaries are going, but you're not so concerned about what's going on inside, because it's left to the individual police officer. I think it is very regrettable, and I hope that the Minister of Justice will be able to respond to how she views this development, that more and more Länsmann offices are being closed down, and there will be fewer visible police in the streets. Bø and Sauherad were also merged. There would be more visible police officers in the district. So the result is that they are fewer than they were in one of the cannons' offices before they were merged. This is a development that we can't be familiar with. At least it is clear that the reality of the Minister of Justice and of me – and the one I get from the residents of Telemark – is different.
ParlaMint-NO_2011-12-02.ana.ud1812e1221	As I said in my first post: I thought it was important to be busy using resources in the best possible way, and that efficiency is an important goal. Then it's also very important that we look at the results. It is important that we also take it into account in the debate and not germs of it, when the criminality of power and profit has been reduced by 25-30 p.m.. I think that's important. It's a little wonder to me that the Right is against such an efficiency. That's what I think is extremely strange. I would like to comment, because I got a little time at the end of my first post, that when I asked the police officer in Follo for preventive work, he answered me – and this is a little bit to André Oktay Dahl, who has just talked about municipal mergers – that he thought it was important to use the resources where the need is greater, and that one in many ways is less busy with the municipal boundaries. It seems to me that we should take it further – use the resources where the need is greatest. Nevertheless, I stand for everything I said in my first post. When we get such serious feedback from the vocabulary, we're going to take this seriously, and we're going to look at it. It's fine with a comment, but I think action is much better. The reorganisation shall be evaluated in the first half of 2012, it is agreed, and in the context of the performance reform, award criteria shall also be assessed. I really look forward to that, and I think it's as important as the comment that Right has made in the budget line.
ParlaMint-NO_2011-12-02.ana.ud1812e1231	At the very end of the debate: I just want to point out what I said in my first post here today, that we want to be honest and to have a proper, common sense of reality. I got the line change because I said it's not like the police coverage – i.e. uniform policemen – has increased in all districts, it hasn't increased per 1,000 inhabitants. There will then be different results in different districts, as some representatives have described here. There's no doubt about it. However, with regard to the overall police force in Norway, when it comes to civilians who have been involved in the police since 2006, according to the Ministry of Renewal, Administration and Church, the number of annual works has increased by 1 600 in the period up to this year. The point is that we have to try to see that there is no simsalabim, no one can magic. The number of policemen we get in depends on how many are trained. The size has had a common plan — and common figures — for educational capacity — those who come out of the Police College and who can be admitted to the police. It's 422 this year. There's already about 320 working here. You can't shake that on your head, because the figures from the police department show how many people are at work. It is true that a large proportion of them have vicariates, things other than permanent jobs. So of those that went out in 2010, 95.5 pst. now working in the police department. Next year, 522 -- there's an increase of 100 from this year. But then, in 2013, as a result of this promise, it goes out of 720. The size has a common plan on how we're going to attack this to get the number of police officers up. It is quite right, as underlined here, that it is crucial, because there are different tasks in different districts. But what's fundamental to solving these problems, which can be done in different ways, is having enough policemen to get rid of them. We agree on this, and I believe that we should also be able to admit that today's police district budgeting system is designed so that it is not possible here and now to sit and calculate in detail how many are going to be per police district for the next year. The governance system is such that there is a letter from the Police Directorate to the police districts in January to February. There will be different dispositions in each district. If we're going to be able to control it in detail, we're going to have to add up to another budgeting regime, maybe discuss it in other contexts. Then there must be proposals on this, for example. related to the performance reform. We can guarantee what we're going to do, and what we're going to do is we're going to get the same good results for those who are newly educated this year, and for those who are newly educated next year – about 95 pst. have had a job in the last few years. [[President clubs]] We can guarantee that we will, but you can't guarantee the exact, complete number. [[President clubs]]
ParlaMint-NO_2011-12-02.ana.ud1812e1242	The President asks the speakers to respect the measured speaking time.
ParlaMint-NO_2011-12-02.ana.ud1812e1245	There have been a lot of questions about numbers today, and it is well that being a budget winner commits. However, measured after the debate, it should not be deleted that it is the justice sector in 2012. The right has challenged me on what kind of police coverage it is that we get next year. The budget for next year provides an opportunity for 343 new posts, including both the surplus of students leaving the Police College, for which funding has been provided – the 202 posts, plus reinforcement at the Oslo Police Chamber – and a number of other things. In addition, the full-year impact of the 108 year works that were included in the current year's budget comes to students who had completed their training this summer. It is known that districts are allocated a framework allocation to cover all costs incurred in the operation of police districts. It's pay, it's rent, it's energy, it's vehicle. Many in the hall today point out that the police officers are the ones who know best where the shoe prints. It is up to the individual police officer to decide how to use the money and what priority should be given from year to year. Then I get inquired when there are more from the Right and Advance Party who seem to want an annual management, and even for the districts, to meet the wishes and needs you had to see. Nor are there any police districts that have permanent job homes, so it is wrong to talk about vacations. But there is agreement in Police Norway that the goal is to increase police coverage to two police officers per thousand by 2020, and the government has followed up in line with this in the budgetary process. I thought it was such that the Progress Party had taken the order to lay down a number of LEN's offices, but I understand from the post by the representative Hoksrud that it does not include Bamble. I'm also a little busy with this DNA thing. I have no ideological objection to private laboratories, but the capacity is good in the public and the quality of the analyses as well. Then this new discussion about another check was a little sought out for me. It acts almost as an instrument to ensure that private suppliers fit in to do something that others consider to be professionally unnecessary. There will be a waste of public money in my world.
ParlaMint-NO_2011-12-02.ana.ud1812e1258	On 21 November, the Evening Post wrote about Sturla Nøstvik. 36-year-old Nøstvik is a drummer in the Oslo band TIM, originally from Brønnøysund, but has lived in Oslo for 14 years. He's always felt safe in town, but he doesn't. In October this year, Sturla Nøstvik was brutally assaulted and ransacked on Greenland in Oslo. He assumed peace and no danger until he suddenly got a gunfight turned into his forehead. It was the beginning of 50 minutes as a hostage in the gangster's violence. He was deprived of credit cards and cash and threatened to enter the code of the mini bank card with a gun against his head. One and a half months later, he's sick and afraid to go out into town in the dark. Nøstvik is ransoffer nr. 351 in Greenland this year only. Over the last ten years, more than 4,000 people have been raided in the city centre and in the areas of Greenland police stations. As I understand it's about half the number of armed rants in the country. So a small area, a few square miles, has as much of this kind of gross crime as the whole of Norway. Yesterday, the Storting discussed the assaults in Oslo. Many of them have happened in the same area, and here we also find Norway’s largest drug trafficking. When Nøstvik contacted the police, he was told that ‘everybody has a right to feel safe’, but that the police did not have the opportunity to prevent the cranes. They only had two patrol cars out in the downtown streets that night. «We have lost the city» was the message ransoffer nr. 351 got in the police station. I lack words for the frustration I feel about my Oslo, my city, having such problems. The causes are complex, but it is an undeniable fact that a small part of Oslo bears a disproportionately large part of the country's burden. Since 2006, the overall police budget has increased sharply. The admission of police high school has doubled, and on 1 May 2010 there were 1,637 more annual police and prosecution work than in the autumn of 2005. We have put in place stricter penalties for violence and abuse, and crime trends are moving in the right direction. I am proud and satisfied with the government's criminal policy. The representatives Nesvik, Vokskesen and Hoksrud of the Progress Party have all pointed to the number of citizens as a decisive criterion for police coverage. Nesvik was also within long distances, the goods mentioned tourism. I think we have to apply other criteria. We must have the most police where most criminal acts are committed.
ParlaMint-NO_2011-12-02.ana.ud1812e1275	I allow myself to hang a small appendix on the post just held by the representative Haugli from Oslo and the Workers' Party. He describes the situation in Oslo, and I just hang out and say yes. Follo police districts are in the periphery of Oslo, and many of the same challenges are spreading terribly easily the small 10 to 12 kilometres it is about. Then I want to say that, of course, as the rest of my party, I belong to those who believe that efficiency in the public sector is always necessary. It's the way we guarantee our citizens that we're always trying to make the best use of public money. We're for that, of course. This is also true of the reorganisation we have talked about today by Follo police districts and also by Hordaland police districts. It is also the case that the percentage of information has probably gone in the right direction, and I mentioned from this pulpit today that the chief of police, for example. In Follo have reason to be satisfied with the work he is doing there. They're doing a great job. Then we agree, both the representatives of the Labour Party and the representatives of the Right, that it is an objective that we should have two police officers per 1,000 inhabitants by 2020. Yes, if we agree on that, I don't understand why we can't get support for our 'boost' of the budget, which makes it possible. Comments are fine, said the representative Eldegard, but action is much more important. That's right. It's fine with evaluation. Yes, exactly, but it is even better to have the money finished budgeted if you find out in the evaluation that it is actually true that this police district or hint is underfunded and that you need more money. Then the action is to come and seek money in the next round. It's better to grant them now. It's like the representative from Oslo said, "It's more important to have enough policemen to get rid of those who need to be released than not to have it." Then I don't understand that you don't want to be part of the additional appropriations that the opposition, several of the parties, has called for to the police districts. It's not about annual management, it's about frameworks for real police coverage.
ParlaMint-NO_2011-12-02.ana.ud1812e1284	The meaning is no longer to make the debate, but I needed a few comments. The representative Boehler reported that I shook my head when it was about how many people were working in the police department. There we have to do an extra research both, I think, because I feel that way, and I've also got that in response from the former Minister of Justice, that we're talking about the number of those who are on the payrolls. It's something other than getting a job in the police, and we all agree that it's important to get the new police students out to work, and that they're going to work — and in permanent work — in the police. When it comes to some mention – and I have mentioned – of what the individual police districts have of staffing for the next year, it is linked to the fact that these police officers have people working, they have people to take seriously, they have to be predictable and plan for the next year, and of course they have already done so. They've taken all the signals they've got so far, over and planned from it. Therefore, when I talk about further decline, from 1.48 to 1.39 in terms of police coverage in Agder for next year, these are the concrete plans for Agder police district next year. They're added, and they're related, they're manned from. Then I must also be allowed to say that it does not help to get money for new jobs when existing budgets are not enough to maintain the old positions, so they have to cancel people. It is put on at one end and removed at the other end because of the operating costs. So a slightly different theme. I would like to congratulate and hang out with the representative, Eldegard, who is calling for an evaluation of the award criteria. I think that's absolutely necessary. You will forgive me that I am using my own police district as an example this time too, but Agder Police District – and the representative of the Progress Party was in it – is one of the districts that cannot catch up with many of the challenges. They have an extensive activity of captive transport for manufacturing and care, which takes a lot of resources. This is not taken into account in the criteria. We have a passenger port with large entries of people across the ports of Kristiansand. This has not been taken into account. We multiply the population on the coast in the summer and inland in the winter. This has not been taken into account. And there are living conditions challenges that present special challenges in districts, and are also not taken into account. We look forward to an evaluation of the award criteria being addressed, and recalling that spreadsheets are not suitable for using your head and taking into account local challenges.
ParlaMint-NO_2011-12-02.ana.ud1812e1295	I record that the Minister of Justice just mentioned one of the officers' offices I picked up. In fact, I brought up several lumbar carpentry offices and the problem around it. The problem is that when the police chief promises that there will be more police officers in the district, and the result is the very opposite where you reduce and lay down, it is very worrying. When you also have a police officer who says that people have to stop calling in and report and pick up small things, then you have a big problem. That's not how I want it to be, and it might not be so strange that part of the profit crime and other crime goes down, when you're encouraged not to contact the police to report or do anything about it. When many people who are exposed to burglaries, thefts, in addition, are told that they must meet the police, be questioned, and then feel that the matter is being blamed because there is too little money in each case – yes, people choose to stop reporting, because it takes too much time. Especially in business, where there may be a small enterprise, you choose to stop reporting instead of continuing to do so, and there is no good solution. I also think it is a problem when the police have no time and no resources to move out when there is a full-time truck on a rather busy road. These are just some of the examples that I experience in my own police district on challenges that people face in everyday life. The council says you shouldn't talk about vacations and that kind of thing, because it's not like that. The real world is that more than 20 police posts have been reduced to active service. That's how the police experience it in the Telemark police district. Then you shouldn't talk about vacations and other things, but I think it's important to be aware that it's the state, and that you don't have the resources to make sure that the positions you have are occupied. That's the result. As I said, one boasts that the budget has been increased by 4.5 p.m., but if it was sub-budgeted initially, it won't help. We know that most of it has disappeared in wage and price growth and that kind of thing, and then there will be no more police resources and more visible police. But that's what people expect. You want more visible police. Then I don't think the solution is just to shut down the janitor's offices and reduce the offer. I think it's important to make sure you have more resources, both in the districts and centrally.
ParlaMint-NO_2011-12-02.ana.ud1812e1306	André Oktay Dahl has had the word twice before, and gets the word to a short remark, limited to 1 minute.
ParlaMint-NO_2011-12-02.ana.ud1812e1309	I can assure the representative of Eldegard that the right is concerned with efficiency. That is why it is saddened that the Eldegard party is voting against all the proposals Right has to improve efficiency, as well as more money for the police. So when it comes to the Follo trial, it took place against the Storting's premise for the police reform, and if Eldegard is in doubt about what the Right has meant about it, you can read the records from both question rounds and interpellations. So you made a comment. The representative, Mr. Eldegard and the Workers' Party, had weeks to discuss with the Right and put a note into the budget, which is therefore a governance document. But I'm recording that the representative Eldegard is more concerned with giving control signals by being eager to get in the local way than doing his job in the country's parliament. In the case of the post from the State Council on DNA, it was marked by some confusion, it must be said. It seems that there is no reason from the Right over five years for us to want more people to be analysed, namely more legal certainty and faster clarification for reasons such as: the victims of rape. I hope that the Council of State does not lay down as far as the Department of Forensics as some others have done for years.
ParlaMint-NO_2011-12-02.ana.ud1812e1320	We are probably approaching the end of the justice debate. When we debate budgets, it is not unnatural that there is also a lot of talk about numbers. But it is also an opportunity, after hearing all the speeches, to make some thoughts, and my thoughts go in the direction that it is certainly not easy to be a Minister of Justice. On the one hand, we have the central government party, represented in the debate by the representative Klinge, who says that it is important at any price to maintain all the services, absolutely, and can overcome it with good arguments. Then we have the representative of the government party Labour Party, Eldegard, who says that borders are less important. Here we have to think differently and new, and in new directions – actually the true opposite of the representative Klinge. Then it ends with the representative Haugli of the Labour Party Government Party, who begins his intervention with a shocking and serious incident from Oslo, by which we were all strongly affected, but who is hanging in the loose air anyway, in the posts of the representative concerned, for the story ends with the fact that the representative is proud of the government's judicial policy, with the police coverage in Oslo, and that the police have lost the city, according to his own statement. I wonder where pride starts. This – these different signals – will then be linked to a comprehensive justice policy. I see the challenge with that. Therefore, it may also be explained that the only response of the government to the significant challenges we face is money – money, money and statistics. Right-wing calls for a direction in justice policy that we need more than ever, because challenges are increasing rapidly. In the past, our proposal to get a full police study for the police, which, according to our intention, would give that direction and the occasion for the National Assembly to gather on a general debate on the issue of social security, has been echoed. We have been down on that proposal. We have encouraged it again, and I hope the Storting can gather on that proposal to get that direction.
ParlaMint-NO_2011-12-02.ana.ud1812e1329	If, after such a lengthy and thorough debate and argument from the government parties, the Right representatives do not understand and understand that there is a line and a direction of justice policy in the country, then we just have to realize that the Right does not get it. I will say the following: ‘The police have been budget winners many times in the last decade.’ [[...]] The figures are clear: the police budget has increased by 48 pst. since we took over. The budget of the Oslo Police Department has almost doubled. Crime's gone down. The percentage of information has increased. Then we have problems understanding the equation from the opposition. Watches, there's someone saying, there's vacations. With my limited Norwegian skills, I don't understand the term "vacances". The police get a budget. Within that budget, they shall have employment which they can afford. There's nothing called vacations. Either you have employees, or you don't. Some people need to help me understand the concept of "vaccination". So the right is very busy with DNA. Never have we heard praise from the former forensic institute, the RMI, now the Public Health Institute, the FHI, from the Right. The police give them praise. I mentioned that last week – 10 days ago – I was in conversation with the Oslo police. I didn't even hear that the FHI couldn't deliver. They can deliver, the police say. The right hand side has shifted the line now. In the past, they wanted to have competition because they thought the delivery was too bad. It took too long to deliver the tests. Now it's second opinion, now you've changed the line. But who has asked for «second opinion»? Have the courts asked for a second opinion? Don't they have faith in FHI?
ParlaMint-NO_2011-12-02.ana.ud1812e1345	I did not intend to extend this debate, but I jumped a little in the chair when the representative, Mr. Werp, said something that was directly wrong about my views on the structure of the police. I'm not rejecting restructuring where it fits. But I want to end by saying it so that if Right stops telling lies about the Center Party, we're going to stop telling the truth about them.
ParlaMint-NO_2011-12-02.ana.ud1812e1352	The right line has been stuck all the way. We want increased legal certainty. That is, of course, the simple foundation that several representatives here clearly ignore. Akhtar Chaudhry says we don't see a line. Well, that line the government adds up to, we see very clearly, unfortunately. Let me use my own police district as an example: in 2006, there were 1.56 policemen per 1,000 inhabitants in the Agder police district. In 2012, the figure is 1.39. It's a very clear line. When Agder police districts were added new funds for 2011, there was an increase – when wage and price increases are removed – of $50,000 from 2010 to 2011. It's a very clear line! Right wants something completely different. Right wants a real reinforcement of the police. We want more policemen out there among people. We want greater legal certainty for those who want a second opinion. We know very well that all the policies are local, and so let me use a couple of new southern figures: In terms of crime, Agder -- this might shock a couple of my co-representatives -- actually as a no. 2 or 3, according to Oslo, measured per 1000 inhabitants. The award criteria for the seasonal variation police districts are not taken into account – although we know that my part of the country has many more summer guests than they do elsewhere in the country. There is considerable transport costs for the South African police district, all the time when this government does not want – we have seen from several Justice Ministers on several occasions – to look at the possibility of a prison in the region. In addition, there are significant living conditions problems. The sum is that Agder Police District is in a very difficult economic situation, which in turn goes back to the simple fact that the funds allocated are consumed by wage and price increases. Again, what you're left with is fewer policemen out there among people. It doesn't make much sense to refer to the number of millions added, when what actually happens, it's the exact opposite of the intention of the red-greens. I think it's strange to follow the debate from the sideline and see how the red-greens hit their chests and obviously go back to their own offices very pleased, and say, you know what, we've strengthened the budget, and so people are going to experience increased security. That's the opposite that's the case. With this budget, people will have less security – as we have seen with several other budgets – because there are fewer policemen out there among people. If you don't see that getting a second opinion – being present, using private DNA providers as well – is actually a police need, then it's no wonder, as Akhtar Chaudhry says, that we don't see a line.
ParlaMint-NO_2011-12-02.ana.ud1812e1363	Åse Michaelsen has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2011-12-02.ana.ud1812e1366	Now Stortinget has heard from my colleagues on the Agder bench how the stand is in Agder. But there is one thing that is forgotten in this debate, and that is actually the precariousness of the care situation. This applies throughout the country, not just in Agder, where one released 10–15 pieces two weeks ago that should not have been out. This applies throughout the country. There should have been much, much larger allocations in this area to secure custody sites.
ParlaMint-NO_2011-12-02.ana.ud1812e1373	Akhtar Chaudhry has had the word twice before and gets the word to a short remark, limited to 1 minute.
ParlaMint-NO_2011-12-02.ana.ud1812e1376	I only have one minute, but I see there are a lot of right-wing representatives present. Then they have the opportunity to answer the following: What does the Right Now mean about DNA? Can Right Confess that the problem is so big – that it takes too much time too many times – and that's why we need a competing DNA laboratory? Is that the problem? If this is not the problem – this needs to be covered – is the problem ‘second opinion’? And then it's like this: Who's asking for a second opinion? Should we ask for it, or should the courts? Do not the courts have confidence in the results that come from FHI, because that is what must be the reason why you might want a second opinion? I hope that's a clear answer.
