ParlaMint-HR_2018-04-25-0.u78151	The next will be an independent representative of the respected Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u80878	Thank you very much. The next Club of Representatives is the HDZ on behalf of which the respected representative, Marija Jelkovac, will speak.
ParlaMint-HR_2018-04-25-0.u80879	Thank you very much, dear Vice President of the Croatian Parliament. Dear Secretary of State, colleagues and colleagues. Here's a colleague of the coat of arms who detailed their club's proposal for a representative who actually proposes to supplement the executive law in an emergency procedure. A lot of things have already been said, so I'm just going to say a little bit about all this in front of the HDZ Club. This supplement, which is proposed, relates to the fact that the performance cannot be implemented on the overall income of the perpetrators, regardless of the previous days of the declaration of consent of the seized. As the colleague explained the need for the adoption of this proposal, namely the decision of the Constitutional Court of 2017, which abolished Article 26(3) of the Rules on the manner and procedure of the implementation of the implementation of the budget implementation procedure, so that since 2017, the implementing decision has been implemented on the whole income of the perpetrators on the basis of the preceding date of the instrument of consent of the seized salary, regardless of the current Executive Act, and only in those cases where those documents have been certified before the entry into force of the 2008 Act of Conduct, which was somewhere in effect in June 2008. In line with the view of the Government, we believe that the proposed amendment to the law is not a procedural provision as it is stated and explained that, on the basis of the procedural provision, there is no retroactive action, and therefore no obstacle to the adoption of such a proposed amendment. The proposed law would partially abolish the right of creditors to collect money demand and, as agreed by their counterpart, the debt dynamics would be affected by the proposed law. When we talk about all of this, and given the real and all that is said, we cannot allow citizens to lose their full income for the reason that they and the members of their families are left without the means to live, having all these truly justified reasons in mind, we must also not forget the essence of the mandatory and legal relationship, and that is also so that one of the principles of mandatory and legal relationship is dissuasion, which means that participants in a mandatory and legal relationship are fully free to determine mandatory relations with the limitations and tolerance of their content. Therefore, the fact that the 2005 Executive Act was allowed to make such a provision for the collection of the demand for full income and the fact that such a mandatory and legal relationship under such conditions was entered into by debtors on their own free will. The 2008 Act, which introduces a restriction on the exemption of two thirds of salaries from enforcement, also introduces a provision that does not apply to those documents which have been publicly certified prior to the entry into force of the law itself, means those documents on the seizure of the total amount of salary. It is therefore also the view of the Constitutional Court that, because of respect for the principle of rule of law, it would not be good to adopt provisions which would be contrary to what occurred at the time of the application of a certain law, which is this law of 2005 because such feedback could be permitted in accordance with the Constitution only if justified public interest is proved. In accordance with all that I have said, and also with the view of the Government, which in this way we have reason to believe that this proposal cannot be accepted as a club and I only appeal to the Ministry, and what the State Secretary himself has announced that, in the whole new draft implementing law that is currently under way, it is possible to reconsider whether and in any way possible to improve the status of these people for which the implementation of the full amount of salary can still be applied under the current rules. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80880	They tell me there's no replica of the new Rules of Procedure. And now he will take Mr. Peja Grbin's word on behalf of the promoter for five minutes.
ParlaMint-HR_2018-04-25-0.u80881	Five minutes, Mr. Vice President. Dear colleagues and colleagues. When I received the government's opinion on this law, I was uneasy and I hoped that at the moment when the debate of the HDZ Representatives Club was held, however, it would depart from the position of its Government. If for nothing else, then for something I will now read to you, and this is the following, I quote: “Article 26(3) provides a provision. This Regulation shall be binding in its entirety and directly applicable in all Member States. I read further "The right to work and to earn money is one of the fundamental human rights protected by the Constitution of the Republic of Croatia and is a prerequisite for the exercise of other rights. In the case of a whole salary seized, the worker is brought into a slave position, thereby giving undue protection to the settlement of demand, and restricts the right to a decent life of workers and his family," the worker is brought into a slave position. This is not written by colleagues from the Living Wall, this is not written by us from the SDP, this is part of the government's observation of the Republic of Croatia, which was delivered twice to the Constitutional Court in the process of discussing this rule before the Constitutional Court. Do you know who's in the signature of this? Minister Zdravko Maric. The government of the Croatian HDZ government was at the moment when proceedings were conducted before the Constitutional Court claimed that this is a solution that we have proposed well here and that, once again, I will prevent workers from being brought into a slave position. After the Constitutional Court has officially abolished this Regulation, when the SDP proposed law, we now have a diametrically opposite position. Therefore, I ask you, therefore, to have one position of the Government expressed in this statement, but you also have two positions that the Government of the Republic of Croatia sent to the Constitutional Court on 30 May 2016, the Minister was a colleague of Maric and a second, on 10 May 2017. Within a year, the same government has repeatedly claimed that this is a solution to be kept in the Regulation. I ask you, help us now to put that solution into law and return to what you said in 2016 and 2017. Ignore that the SDP is the promoter of this Law, if it bothers you so much, let's go solve the citizens' problem. Thank you.
ParlaMint-HR_2018-04-25-0.u80882	Thank you, too. You have four replicas. The first replica is Mr. Pernar.
ParlaMint-HR_2018-04-25-0.u80883	Dear Mr. Grbin, when the SDP came to power in 2011, then an article with the SDP T-portal, entitled "SDP is the main cause of the problem of blocked citizens," there were only 25 thousand blocked citizens. A few years later, with your authority, that number of blocked citizens went up to the number of 300,000 and didn't fall below that figure. It's really dramatic data that points to how much SDP has devoted its time to the issue of blocked citizens and I'll tell you one thought, that you haven't solved that problem, you've got a lot on your mind. You've lost simple voters with that, let's say the political spectrum, some of them have moved in with us. I'm sorry that these solutions you have today, they're good and I will especially support them, I'm sorry that you didn't propose them when you were in power and when you had most of them to spend. Thank you.
ParlaMint-HR_2018-04-25-0.u80884	Thank you. Mr. Grbin, answer.
ParlaMint-HR_2018-04-25-0.u80885	I'm sorry some MPs weren't here during the entire debate, so not some old man needs to be repeated over and over again, but I'm a patient man, so I'll repeat them. Like I told the predecessors from your club who were replicating us. In 2013, the SDP government adopted a regulation that resolved this issue. In 2013, the SDP government, if you haven't remembered, I hope you will now. In 2017, the Constitutional Court abolished this and immediately after the suspension, we proposed a way to resolve it. So, in 2013, we solved, it was worth 4 years, the Constitutional Court has abolished, now we continue where we left off. And as for the SDP government, you weren't there again when I explained to your colleague, Bunjac. The first session of the Parliament, the second day of the session, the abolition of public perpetrators. That's the law that SDP abolished. But today we're not here to politicize and boast, but to try to solve the problem, that you're obviously not able.
ParlaMint-HR_2018-04-25-0.u80886	Thank you, Mr. Grbin. Time's up. Mr. Bull.
ParlaMint-HR_2018-04-25-0.u80887	Thank you very much. My colleague Grbin, I really believe that the HDZ parliamentary representatives, regardless of what the SDP proposes, will support this proposal for the reason that this proposal is a step forward in relation to the current Executive Act, which is the cancer-earning Croatian society. This is not a question of voters or voters, this is a question of citizens. Our neighbors, our loved ones and those we know and don't know. They're so hungry, they don't have receipts. And I don't see the point of my fellow MPs not voting on their conscience this time. Me and my colleague Grbin, our HDZ colleagues, disagree on a number of things, but this is a good proposal and a step forward. That he can do better, that he can do better – he can. We at MOST have made a proposal, something has been accepted. But this is an even better step. I don't see any reason nor can you have an excuse, a colleague from HDZ,... Thank you. [[The speaker doesn't understand.]]
ParlaMint-HR_2018-04-25-0.u80888	Thank you. Mr. Peja Grbin, answer.
ParlaMint-HR_2018-04-25-0.u80889	Dear counterpart Bulj, when we come to vote on Friday, and we, as representatives of the opposition, take all the proposals the government has made in the procedure, study them and then decide whether to support or not. If we were guided by government logic and the ruling majority, this side of the assembly would be red every Friday, but it's not. And you know why? Because we study what is before us and on the basis of the content of the proposal, we make a decision whether we support it or not. The logic of the ruling is unfortunately different. I again appeal that on this proposal, devoid of any ideology, the proposal which was acceptable in 2017 and 2016, for example, Minister Maric. We don't conduct that division and political struggle. Not on this one. Thank you.
ParlaMint-HR_2018-04-25-0.u80890	Thank you very much. Mrs. Macar.
ParlaMint-HR_2018-04-25-0.u80891	Thank you very much. Well, the fact is, without pay, you really can't live. The fact is, the Constitutional Court has put this decision out of effect. However, I'm personally interested in whether or not you came up with the data, I personally failed, how many cases there were. Because if he's in a situation like this, that's a lot. I know because personal situations are first of all, and every citizen should be important to us. I know two of my own, I have a neighbor who signed those decisions in 2007. At times, they were in a situation where they did not regularly settle their obligations, one of them got lucky, the other one is in a blockade. But he's still getting one-third of his salary, not getting it all. So if you have more knowledge of this, maybe you can tell us a little bit more because I haven't been able to get that information. Thank you.
ParlaMint-HR_2018-04-25-0.u80892	Here you go, answer me.
ParlaMint-HR_2018-04-25-0.u80893	As for the total number of statements made, I have no record of it because as far as I know at that time, there was no record of such statements, so we don't have official data. Most of the business banks in the Republic of Croatia are currently taking the view that they will not act under this Constitutional Court decision and fortunately most of the business banks, if I am not wrong especially those associated with the Croatian Banks' Association, are not acting accordingly for the time being. But that under 1 is not a guarantee that tomorrow will not act, especially if we send them a message that we refuse to adopt this law, and part of the banks that are not associated, part of the smaller banks has already appeared several times in this way and there have been several newspaper articles, some citizens have also spoken to me personally at a time when we have proposed this law and told me their story where they have gone to their full pay, and counterpart Alexic also quoted such an attempt that ended in the county.
ParlaMint-HR_2018-04-25-0.u80894	Thank you. Mrs. Dark-Taritash, well better yet it doesn't matter. Dear Alexic.
ParlaMint-HR_2018-04-25-0.u80895	Thank you. Dear counterpart Grbin, you see, the thing that bothers me the most is that the ruling part is trying to get away with the half-truths, and then they say that because it's intruding into mandatory relations, and the intruding of mandatory relations is allowed, it's not prohibited, if it's not preventing the payment of debt. It's not forbidden, it's happened before, it's going to happen in the future. So then it's said the Constitutional Court said it can't be retroactive. The Constitutional Court didn't say it at all, it's a lie, it's a heavy, hard lie. The court has abolished some of the rules for technical reasons because the minister has no right to act on the law, very simply. And I repeat, at the end of 2009, the Constitutional Court made a decision saying, according to one final judgment of the county court, that the debtor who had to pay the full salary did not have to pay it because it is the opposite of the Constitution in the section that says that everyone has the right to pay a decent man. Thank you.
ParlaMint-HR_2018-04-25-0.u80896	Thank you, too. Mr. Gribn's answer.
ParlaMint-HR_2018-04-25-0.u80897	Dear fellow Alexic. Yes, you're right and that's what surprises me because not only did the Constitutional Court say that, but in 2016 and 2017 the Government of the Republic of Croatia said that. So the government of the Republic of Croatia in the constitutional court proceedings represents one point of view, and today, when we have a proposal from the SDP, it is probably the only reason why it represents the second point of view. But unfortunately, however, this is not an isolated case, see the explanation that we received, for example, on the proposal to amend the Law on Mandatory Relations, which should allow for a more even repayment of the debt. There they explained that the proposal was unacceptable to them because it would reduce the amount of interest that believers would collect. So it's obvious that no matter what this is, at least I thought it wasn't an ideological question, that we have a diametrically opposite view of who needs to be protected in a religious-debt relationship. Thank you.
ParlaMint-HR_2018-04-25-0.u80898	Thank you, too. And now Mr. Hrvoje Runtic in front of the Club of Representatives of the Independent Lists. Here you go.
ParlaMint-HR_2018-04-25-0.u80899	Honorable Vice President, MPs, MPs and state secretary. First of all, I want to say that the bridge club of independent lists will support this document. It's clearly one question, and I'd even say it doesn't matter if there's one case or no case, or if there's only a potential possibility that people get paid for the whole thing. It's really something that has to do with some constitutional provisions and maybe as well as a potential possibility it's some kind of burning problem because, as counterpart Grbin said, tomorrow the banks can decide to move into it. And it seems to me that in functional states when there's a potential for such a problem to exist, it reacts immediately. And that's why I think this is a good step. As for what Mr. Salapic said, it means, of course, that the whole public is waiting for those solutions and we're looking at these balloons that are being released right now, and I'm pretty closely following it, and I can tell you that about what we've seen so far looks like a cabbage salad. One is said to be introduced by public perpetrators and the other day is said not to be introduced, so let's say that the costs of the procedure will be reduced, but we do not see that they will be expelled from the procedure of FINA, public notebooks, lawyers etc. But when you say this shouldn't be accepted, but you should wait for those complete solutions that come in the summer, then I join what your colleague said to block your entire salary by summer, so I want to know what you'd say. As for what my colleague Jelkovac said, it means mandatory relationships or people, what's on the scale of the scales now? I don't know. I'd be kind of human, I think it's our role here to work for people, but good. And I agree with what has been said here on many occasions that we should vote on our conscience Friday. I know there will be stories in the halls and some of them will talk, but recently I heard during the vote a fellow colleague said so why we vote against this is good. But I wanted to draw attention to the fact that even by some miracle that this amendment to the Law and adoption remains a series of problems that we have with that law. So for years he's been constantly producing new blocked people, the debt is growing, everyone's looking at it, and it's just not doing anything. Now, here and there, we hear announcements that they're going to be going to change, so let's say at this point that the current public is one very interesting thing, everyone is writing a new executive law. So I read the paper, literally every other day I see that I'm a cartoon passing by the bar and people sitting outside, I say what you're doing, we're writing a new executive law. Everyone's writing a new executive law. If I didn't know otherwise, or if Prime Minister Plenkovic hadn't said this year was a reform and there was no choice in it, I'd think that in 15 minutes, everyone's writing a new executive law. Is there a club representative who doesn't write a new executive law to raise his hand, I'd like to see. So now I'm going to tell you one piece of information that's not often spoken of, so in this law, almost a thousand interventions have been carried out so far. Imagine having some old rag, some car, and you fix it a thousand times, and he still doesn't drive. I mean, there's this Einstein definition of madness when you do the same thing all the time, and you expect a different result. Nothing's improved. And it's interesting that in all these interventions, no one has thought of fees that can't protect those two-thirds or three-quarters of the average salary, so let's say the craftsmen who are in an even worse position because they guarantee their entire assets or say something recently announced by the DZS, which is that 95,000 of our fellow citizens have less pensions than 250 kunas, and if they're in a blockade, then they're taking out a quarter of those 250 kunas. I don't know what to call it without using hard words. So in a country in which the Constitution in the basic provisions of Article 1 states that the social state of these people has not been remembered. What is particularly unclear is that the entire competent ministry, or all the people in it, are not doing anything all these years, even though this huge number of problems that are blocked are being written and spoken in the media almost every day. It's incomprehensible because I'm kind of looking at this job of MPs, ministers, state secretaries, ministry employees, etc. It should be primarily the creation of a single framework in which every citizen can live this famous life worthy of man, I quote from the Constitution. And yet this problem is there, everyone knows about it, everyone talks about it, but there's nothing more or less to do, except some about a thousand cosmetic changes and other than more frequent announcements than rare that the problem will be solved. What is highlight of these current announcements is that the problem will be solved for honest consumers. And now watch this, this is black humor, the difference between honest and dishonest citizens is set so that those who owe up to 20,000 kunas are fair, and those who owe kuna are more unfair. That's a very interesting logic. This is how I like these logical things. The solution to the problem of 325,000 blocked and the debt for which at this point no one knows what it really is, but it is certain that somewhere over 60 billion kuna is because what FINA publishes is just as far as I understand it is just the principal. So the solutions to this problem have been in the air for years, various experts have been talking about it and it's enough to say just one week or a month to read ideas that communicate in public and could be written a law that would solve debt effectively, quickly and cheaply, but it doesn't seem. Now, which is why in this first-class social problem, the state acts like the one that keeps its head in the sand, that's what we can ask ourselves. Is the state acting that way maybe because it suits some lobbys? If that's the case, and it all points out that then it's some kind of crime, like a joint criminal enterprise. When I say that everything points to that, among other things, I mean the fact that the execution of the execution doesn't require a block of accounts, we both know that, and all of us who do so. The exercise may be carried out on the basis of, for example, a judicial solution in accordance with the receipts of the perpetrators so as to remain sufficient for normal life and without unnecessary costs of the executive procedure. So it's legitimate to ask the question, what in this process does FINA, public notebooks, lawyers and others, so I'll say parasites, tell me or give me a warning? Is their role just to increase the costs of the exercise, or in other words, their profit on something they should not do at all? It's actually fictional, I remember from Sopranos... a job that was invented you don't even show up on it, some computer out there something copy-paste. So if the citizens' accounts are blocked just because FINA on each payment for a certain purpose would take a fee of 180 kuna and not monthly, not annually and not once, as their lawyer, Vinka Ilak, recently falsely claims on national television, but on every transaction. Has anyone made an effort to calculate how much FINA has come through unnecessary high fees for each transaction? So literally, if a person's monthly salary costs, let's say, 2,000 kuna, and it's distributed to two creditors, not every believer gets 1,000 kuna, but minus 180 kuna, and FINA doubles charges him an 80 kuna fee. Now I'm interested in when I don't know if you're paying some bills or some bills in the bank, commissions are 5 kuna, 10 kuna, 15 kuna, what kind of transaction is 180 kuna? The solutions to this problem are simple, all you have to do is have the courage and some will to do them, here I will list a few, for the start of the execution should be returned to the courts, the blocking of the account that is not necessary for carrying out the tasks, should be thrown out of the process by the FINA, the public notebooks and lawyers, I did not see that you planned to reduce the costs. It is also necessary to introduce a deadline within which the implementation is started so that interest is not suddenly accumulated. And we should also introduce an absolute obsolescence so that the debts don't last for life or that our debts are inherited, so people literally spend their whole lives paying only interest, not touching the principal, and then when they die, the heirs receive these debts in the desert debate. That's amazing. And there's, of course, a question of tight interest, it's maybe even the worst evil, it's a tight interest, and it's a question of one other law, and we've put something in the process with colleagues from other clubs. After all, you can simply take over a model that is good and apply it, let's say the Slovenian Executive Act. Solutions mean there are and if we were willing today we wouldn't actually be where we are with these 325 000 blocked, with an abstract story. So this isn't your financial or legal story anymore, it's an abstract social problem. You're going to go into something now, we're following it, and we're going to see what it's going to be, but for now it looks like you have a yard that's grown into weeds and now you come in with a trimmer and it's 70 cm weeds, you cut down 20 cm above and you say we solved the problem. You haven't solved the problem. I'm not going to tell you now how many people got sick, how many suicides were committed, that was already talked about here, even though I saw it on the ground. In the end, I will use one part of the reasoning of this law supplement, or the reasons why the law is passed. It is the said Article 56(1). The Constitution of the Republic of Croatia, which stipulates that each employee has the right to earn a living free and worthy of his or her family. Indeed, in a country whose Constitution in the first article says that the social state should always keep in mind that a significant part of the population cannot ensure a decent life and a good part of it thanks to this Executive Law. I think that somehow every one of us MPs, ministers, state secretary and other people working in the system feel like politicians or not, in everything we do, we should always keep in mind this article 1 and this article 56. 1. The constitution of this country and we should always have the lives of the citizens of this country in the first place. Everything else is nonsense. And in that sense I cannot not ask the question how is it possible at all that the Constitutional Court opposes Article 56 of the Constitution. One, make a decision to confiscate anyone's entire salary? So it's the Constitutional Court that makes a decision that doesn't comply with something that's written in the Constitution. What is this Constitutional Court that goes against the Constitution?
ParlaMint-HR_2018-04-25-0.u80900	Thank you very much. We don't have any replicas, we move on to individual debates. The first debate is from Mr. Ivan Lovrinović, please.
ParlaMint-HR_2018-04-25-0.u80901	Thank you, Mr. Vice President. Dear colleagues and fellow MPs. We are discussing the SDP's proposal to amend the executive law so that people who made contracts between 2005 and 2008, so that not only one part of the salary can be made. Now what's important to say here? You see, we are constantly discussing the consequences and there is no discussion of the causes that led to this terrible phenomenon that we have 330,000 blocked by around 43 billion kuna of total debt. I remind you, at the end of 2010, there were about 25,000 blocked with about 6.5 billion kuna. So we have a real explosion of debts in Croatia and it is indeed a debt crisis of the private sector of citizens and we have a systemic problem that 1,000, 2.3 citizens are captured, believe that this would not be the case at all. But since it's 330,000 with family members about a million, this is a really big system problem. I will immediately say that I support this SDP proposal, but I said that it is a pity that in their term they did not only solve it through this law but simply solved the problem blocked and thus led to a normal civilizational level of Croatian society that there is no blocking of accounts in this today's way. And I'm sorry that today, with this important proposal, only colleague Bauk here defends the colors of the SDP, means for this important one change. Now what do you say? This is only about one article that needs to be changed in the executive law. It would have been better if it had been settled consistently, it might have been better if we had all gathered together in opposition, so we had, we had other quality suggestions not to hang on just one article then every little someone started such a change. I remind you of distinguished colleagues and fellow MPs that since 1990 until now, the Executive Law has been complemented, amended, something has been picking up on it and the situation has been getting worse all the time. So I am now asking the following question to all who have so far changed the Implementing Law in one way or another, why did you not put the following provisions in these Implementing Law proposals, e.g. that everyone pays their own costs of the executive procedure. On behalf of the party Let's change Croatia last year when HDZ and MOST were in power, I proposed such a solution. Unfortunately imagine what was rejected which particularly surprised me, MOST was then in a situation to score chess mat and they simply pushed one as in their opinion the most important provision that one who was thrown out on the road, in order not to be on the road, needed a country for a year and a half to pay for accommodation and it was as a solution to the problem. I mean, I won't comment any further. Too bad MOST, when he could really push HDZ, could do whatever he wanted in that law, too bad they didn't do it, we probably wouldn't be discussing it anymore today. To adopt this proposal that each party in the executive process pays its costs, according to experts, about 80% of these problems and the rise in debt would not exist. What other parties could we and which party will we change Croatia when we insist or about the amendments, what should be further written in the Official Law? That interest can't exceed the principal. What else can be introduced into the Law of Law? Here you go, Mr. Secretary of State, you're making this historic executive law anyway, so if you've already got it, then don't write it, right? What else can be included? To change the method of calculating the determination of tight interest. I'm sure, I don't really know what you're doing but in the '96s. The year's tight interest was 30%. You who ruled the land back then, you robbed these people, it's a robbery. Compared to Austria, Germany, where the tight interest rates then were 8.9%, we had between 20% and 30%. That's not 10%, that's 10 to 20% more points. That's how you expelled people from Croatia. What else is there to change and put? So, I'm not if I'm criticizing I'm giving arguments behind everything I say, right? It's already been said here, so I'll just repeat, let it be declared obsolete for all those cases relating to blocked cases where the procedure lasts longer than two or three years, there's no problem agreeing. No group in Croatian society is so exposed to policy manipulations such as blocked and completed. Whoever comes to power, they're getting rid of them, they need their votes in the elections, or they're getting ready, and nothing's done right because we see that there's both the number and the amount of the blocked citizens. This is about an organized executive business where financial institutions, where lawyers, public notebooks, have found themselves, have developed at an enviable level of the executive business. You are now announcing in the context of what I'm saying and what the ruling coalition is planning, means to solve this problem against a blocked one. How? You'll approach it discreetly, you'll forgive someone, you won't, you'll create a new electoral base, a new clientelism, and it won't solve the causes that lead to it. Why? Because you're not your own, you're in the government of financial institutions, you're intruding and they've imposed political power. And here we have left and right neoliberalism in Croatia. With the same consequences. One party pretends to be socially sensitive and the other preaches about patriotism or patriotism. Both sides sold or failed those fine words. What do we have in the end? We have the result of a blocked, demographic downturn. I'm gonna say one thing now that sounds scary. The executive law and your failure to take all those who have been in power so far were instruments of actually ethnic cleansing in Croatia, economic and political. That sounds awful. But, gentlemen, here's an argument, at the time of the war of Serbian aggression, there was not so much escape and expelled citizens from Croatia as it is so effective because of such an executive law, because of the authority of financial institutions and for your convenience over the past twenty years. A few dozen billion kunas taken from citizens unnecessarily because of huge tight interest and the cost of the execution. This happened with the blessing of the CNB, which for years exhausted the company of citizens with high interest and further undermines Croatia in this way. HDZ and HNS will unfortunately not solve anything here because they are in the power of stakeholders. It'll be like a charity concert whose profits are short-lived. As a party, we changed Croatia last week, we had a program convention, we gathered about twenty top experts, I'm sorry the media didn't come in, whether it was a blockade designed or not, it'll show time, and what I'm saying here, I'm talking to the citizens who are blocked, who are listening to me right now. The party Change Croatia at the end of May will come up with a unique proposal for a solution that no one has ever come up with in Croatia, so we care about solving this problem definitely. Anything to propose a law of law tomorrow and even be good, what will it solve? He'll just solve it from now on. And who's going to solve this 10 years ago, 20 to now, these 40 billion, 3 billion kuna. Well, we'll offer a solution to that. Now, let me get this straight. So it is not just the Executive Law, its change enough to solve this huge problem, a great burden for Croatian society and individuals. These people can't understand any of us for as long as we try because we don't live in their skin, but it's a civilization shame. There is no such way in the EU and a model to say that it is a blocked citizen. So this is not an accident, this is no conspiracy theory, conspiracy. We must finally take the chains off our hands, the shackles of the people in them. Thank you.
ParlaMint-HR_2018-04-25-0.u80902	Thank you very much. Mr. Lovrinović, you have two replicas. The first line has Mrs. Peric.
ParlaMint-HR_2018-04-25-0.u80903	Thank you, Mr. Vice President. So, fellow Lovrinovic, how can you and how can we even interpret that out of the total number of blocked citizens, which is 325 thousand, 160 thousand citizens are blocked towards teleopers. So, half of all the citizens in the blockade are debtors to teleopers. I don't think that's good. And their debt is only 2% of the total debt to those who owe 22.3 billion, which is mainly craftsmen, i.e. people who owe more than one million kuna and such debtors have 1.5%. So these are the figures we have to talk about.
ParlaMint-HR_2018-04-25-0.u80904	Thank you. Mr. Lovrinović's answer.
ParlaMint-HR_2018-04-25-0.u80905	Dear Mrs. Peric, I don't know what you wanted to ask. Your question is confusing. You may have wanted to clarify something, who is comatose and how much debt, how much a teleoper is involved, and so on. Well, it's you. Your client was selling HT. So, as you see, we come to extend, we want to buy, extend the contract, they say you have to close for two years. Why for two years? Why not for a year? So here in this country we've been working against people for years and it's no wonder they're mass evicting. This is a state of emergency and a state of emergency should be declared in Croatia because of the demographic decline and eviction of people and due to debt slavery. I repeat, the state of emergency needs to be declared in Croatia.
ParlaMint-HR_2018-04-25-0.u80906	Thank you very much. Mr. Downhill, replica.
ParlaMint-HR_2018-04-25-0.u80907	Thank you, Mr. Vice President. You told your colleague Lovrinović that MOST when he proposed amendments to the Executive Law should have solved this particular problem that we are discussing today. But let's remind ourselves, in fact, when we put forward the bill and when we decided on the final proposal in July 2017, we gave a number of additional amendments. At that point, we were not familiar with the fact that the Constitutional Court would abolish the regulation because it actually happened later. And that problem came up after we brought to the Parliament almost unanimous amendments and additions to the executive law. Now, unfortunately, and of course, all of us, that the Constitutional Court, when it was already intending to abolish the regulation, and knowing that the Parliament was discussing the Executive Law, could have done it a little earlier, so we would intervene in the amendments then and propose an amendment. That's probably how it would have gone.
ParlaMint-HR_2018-04-25-0.u80908	Thank you. Replication response, Mr. Lovrinović.
ParlaMint-HR_2018-04-25-0.u80909	Dear colleague Podolnjak, you should not always at all defend some of your failures because citizens are nicer and better heard sometimes when a man says or maybe we should have done this, we missed something, etc. That sounds better and more convincing. It's indisputable that you had the opportunity to do whatever you wanted. To block whatever you want, even to bring down governments for blocked purposes. Why not? You knocked her down anyway. Therefore, if it is to be torn down, it should be torn down for the right things. I will no longer enter the controversy because we are here opposition, but it is necessary to say what it was, therefore, could be introduced, to respect that amendment that everyone pays their own costs in the Executive Procedure, 80% of people would not be in this situation as they have been. So let's not argue about it now, that's how it was and that's it.
ParlaMint-HR_2018-04-25-0.u80910	Thank you very much. Injury of the Rules of Procedure, Mr. Grmoy.
ParlaMint-HR_2018-04-25-0.u80911	Dear Vice President, Article 238. My colleague Lovrinovic, what you are now, I will not enter the controversy, but for the sake of truth, we have given that amendment you speak of and rejected by colleagues from HDZ and SDP. So that's exactly what the amendment means, and then you gave it to our 10 amendments and we supported all those amendments. There's no reason for us to politicize here right now, to call ourselves, when you know that this amendment of yours has been supported and we've still given it 10 amendments and they've all been rejected.
ParlaMint-HR_2018-04-25-0.u80912	Thank you very much. Time has not been a violation of the Rules of Procedure, and on the next escapade you get a warning. Let's move on. ... It's not your turn, it's Mr. Ivan Pernar. [[You can't hear it.]] Here you go.
