ParlaMint-ES_2015-06-17-CD150617.u1	The meeting was resumed.
ParlaMint-ES_2015-06-17-CD150617.u199	Thank you very much, Mr. Larreina. Mr Azpiazu has the floor for the Basque Group, PNV.
ParlaMint-ES_2015-06-17-CD150617.u200	Thank you, Mr. President. Ladies and gentlemen, the Socialist Group is bringing us back to this House an initiative with the intention of discussing the need for a reorientation or change in economic policy; a change, as the initiative says, to make the growth it generates more just economic growth. In view of a proposal put forward in these general terms, we have no choice but to say that we agree with most of the measures proposed. And little more could be said, since if we devote a minimum of time to each measure, we would need, at least from my ability, a minimum hour to fix our position sensibly, but since I have only five minutes, little more I can point out. Following the socialist custom, which we do not like, brings us a proposal with fifteen points and many measures in each of them; a whole programme of government, as Mr Moscoso has said, difficult to assess and on which it is difficult to set a position with a certain level of detail. An electoral or government program that maybe in a few months they can try to start but which, frankly, to present as a motion seems to me an excess. From the Basque Group we have on more than one occasion, as the Socialist Group is well aware, called for an in-depth review of economic policy and a genuine shift towards it. In our view, the European Union has erred in the design and implementation of economic policy because of the lack of instruments, the lack of an overall vision, the excessive defence of the interests of a few, for these and many other things. Only when the water has reached the European Union around its neck - we will see if this happens in the case of Greece, which is already quite above it - did it take a step in the right direction, either by buying assets, as the European Central Bank does, or by making fiscal criteria for meeting the public deficit more flexible. Always late. In the end, it had no choice but to take the measures that we demanded many and that are reasonable from the point of view of economic policy, but it was late. Therefore, to demand a more expansive policy from Europe, as the United States has done, would surely have avoided a great deal of unnecessary suffering and would have helped us to get out of the real economic crisis, so we must raise this issue. There would be, as the motion says, Eurobonds, a more expansive budgetary policy, a more committed EIB, a more expansive Community budget, etc. In any case, measures committed to the exit from the crisis. What I don't know if he will be or should be in this game is the Juncker Plan, which they haven't been able to explain to us and which seems to have disappeared before it started. We want a change in economic policy with realities, not with occurrences. We also fully share that growth, I do not know if it is the right word, but it must be inclusive, inclusive and positive growth for all those who have experienced it worse in these years of the economic crisis. Inequalities generated and high unemployment have affected the weakest, the least qualified, women, young people, those over the age of 45, and ultimately the most unprotected. Wage insecurity and working conditions, the poverty that has been generated in so many areas, from child poverty to energy, the marginalization that this implies must be corrected and considered when establishing economic policy for inclusive and fair economic growth. In this regard, they propose to review labour reform, support vocational training, R & D, the fight against fraud, the in-depth review of the tax system, a system in which they pay more than they have the most, those with the most capacity, based on criteria of solidarity and fiscal progressivity, palliative, inclusive spending policies, etc. With all of them we agree - how not - and seem necessary to us. Little more can we say by fixing the position on a motion. However, in order to put these measures into operation, it is necessary, as I said, to enter into the details of things, in the impact of them, in the costs, in the coherence of these policies so that they are not annulled with each other or have contradictory effects. I mean, you have to study it carefully. Today we simply press the situation and comment on a first impression. An example of the consistency of this which I am commenting on and which in this case is not given is that many policies - as you will understand, the Socialist Group and Mr Moscoso know perfectly well - must also be implemented by the autonomous communities. For example, industrial policy, housing policy and so many others, and not only because of a question of competition - which is not little to respect the competition margins - but because it is also an issue of policy effectiveness, by efficiency.
ParlaMint-ES_2015-06-17-CD150617.u201	Mr. Azpiazu, you have to finish.
ParlaMint-ES_2015-06-17-CD150617.u202	I'm done, Mr. President. Soon, with a new government, with a new Commission, we will have to talk about these issues. From the Basque Group we want and we are going to do it because it is very important, because we still have plenty of time to get out of the crisis. For all this, we shall vote in favour of this motion.
ParlaMint-ES_2015-06-17-CD150617.u203	Thank you very much, Mr Azpiazu. Mr Calduch has the floor on behalf of the Progressive Union and Democracy.
ParlaMint-ES_2015-06-17-CD150617.u204	Mr President, ladies and gentlemen, the motion put forward by the Socialist Group brings together - as has already been said by my previous colleagues - a number of proposals aimed at solving the main problems and ills facing the Spanish economy and society: structural unemployment, poverty and growing social inequality, the modernisation of institutions, productivity improvements and so on. Who would not support such proposals? Who would reject measures aimed at improving the lives of Spaniards? Of course, the UPyD Parliamentary Group, no. That is why we have already moved that we support this motion, not just because of its content or because it is proposed by the main opposition party, but because it is consistent with our own parliamentary history, because, in fact, our parliamentary group does not make illustrious expectations about what will happen in our country the day after this motion is adopted or rejected. Since the previous legislature we have been proposing many of the measures included in this motion and some not included, such as the one-time indefinite contract, without the Socialist Government, chaired by Mr Rodríguez Zapatero or the current Government of the People's Party having been pleased to consider the proposals we were making. In the previous legislature we were already calling for a profound fiscal reform, accompanied by an effective fight against fraud, which, in addition to ensuring a fairer redistribution of wealth, would allow income to be increased so as not to drastically cut public spending, which has already happened with the measures adopted in 2010 by the Socialist Government and have, of course, continued with the People's Government to date. Similarly, we defended the maintenance of public spending on R & D+i, which has been systematically recuperating since 2010, not only because it is a necessary precondition for changing our country's productive model, but also because there is an abusive disproportionate ratio between the scarce budgetary impact of these cuts and the serious, sometimes irreversible, effects that occur in the research community and in the continuity of the scientific projects already initiated. A reform of the Workers' Statute is proposed, which is said to serve to repeal the labour reform carried out by the current Government, but the Socialist Parliamentary Group itself has opposed the implementation of the single indefinite contract, which is already recommended by both the European Commission and the International Monetary Fund. Similarly, they point out that one of the central points of this statutory reform should be the rise in the inter-professional minimum wage, but last week their group opposed a proposal for an amendment which we made to the non-legislative proposal that they had submitted and in which we urged them to support an annual increase in the inter-professional minimum wage of at least 3% over the next three years. To conclude this intervention, I will tell you that our group supports this motion in defence of the general interests of the Spaniards and in coherence with our own parliamentary trajectory, not because we believe that if socialists ruled they would honour the proposals of this motion. As for the People's Group, we leave it with political responsibility that with its absolute majority I decide the final destination of this motion, a result on which our group will not take any surprises. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u205	Thank you very much, Mr. Calduch. For the Group of the Plural Left, Mr Garzón has the floor.
ParlaMint-ES_2015-06-17-CD150617.u206	Thank you very much, Mr President. Our group welcomes this motion, the content of which is in line with many of the previous motions, non-legislative proposals and initiatives in general that express a desire to change the direction of economic policy, although they would not exactly coincide with the general ideas of our parliamentary group. We have to add - not by terminological precision, but because it seems very relevant to us - that we do not believe that there is at this time an economic recovery. Important concepts, such as the difference between economic growth and economic development, need to be regained again. The fact that economic growth is measured by gross domestic product does not have to be manifested in better living conditions for the social majority. In fact, we are witnessing a type of growth model that it does is to move towards the precariousness of labour relations and of life as a whole for the majority of the citizens of our country. I therefore do not think that the bells should be thrown into flight because the gross domestic product, which is still an accounting indicator, is showing increases. The truth is that in the end what must lead us to policy is to visualize the concrete reality, and the concrete reality means precariousness, the precariousness of 90 % of the contracts that are signed being of a temporary nature, the precariousness of the fact that since 2008 the number of contracts of a single day of duration has doubled and, ultimately, the extension of work formulas - and therefore life formulas - that imply that people have to live on a leap of death, bringing together contracts that sometimes are for hours, that involve so much uncertainty, that pressure is put on, that the citizen is economically driven to leave the country without that being his will, simply by the circumstances. In the face of this event, what we propose is in line with the point made in this motion but goes further, because, if not, this remains in a simple desideratum of good intentions, which is not accompanied - it should not be so because it is a motion - of a consistent budget or an economic strategy, because the problem is not short-term, but of a structural nature; it has to do with international relations, with the role of the European Central Bank, with the role of international and European institutions. And that, ultimately, is not in contradiction, it is not highlighted here, but it seems to us that it should be because that is where the root of the problems lie, which have to do with a model of growth that is being imposed and that leads us to a model of deeply regressive society, and that model of growth we have to counter to a homogeneous and well-distributed model, which is for all and for all, and not for a few. This is done with policies of this nature - and that is why we are going to approve this motion - but it must be inserted into a more ambitious strategy that calls into question Spain's own form of integration into the European Union, the way of understanding the relations between workers and employers, because it cannot be allowed for longer that it is the large companies that are determining the nature of structural reforms and that this is deepening the workers' problem and favouring the increase in profits in billions of the thirty-five companies in Ibex without this fact being manifested positively, much less, in society, but quite the opposite. We therefore welcome the contents of this motion, which are insufficient - they are not sufficiently concrete, we would add - but we believe that they are in the line of challenging the economic policy of the People's Party, which is the policy, above and below, of the European institutions, whose bottled mistakes have led us to this situation. Let us no longer insist on that path, and let us learn from something we have insisted on enough in these four years that we have almost been in the legislature, and it is that the direction of the economic policy of the People's Party is a very good course, but only for a few. And as we in this plenary and in this Parliament are supposed to represent the whole of society, we call again for the reorientation and radical change of policies of the People's Party. Thank you. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u207	Thank you very much, Mr. Garzón. Mr Picó has the floor for the Catalan Parliamentary Group. [[Convergence and Union]]
ParlaMint-ES_2015-06-17-CD150617.u208	Thank you, Mr. President. As much as some macroeconomic data are improving - and so it is - it can never be said that the crisis is over. The terrible data on unemployment that are still being maintained, especially in the case of young people and over 50 years of age, together with the high number of people who have been unemployed for too many years, do not allow my parliamentary group to share the joys that some have expressed and continue to express. We cannot place ourselves in satisfaction when the family and personal situation of many citizens continues to be dramatic; the data of poverty persist and inequality continues to widen. It is impossible, ladies and gentlemen, to be satisfied with this situation. The Socialist Group is presenting its economic prescriptions with this motion, with generalist proposals such as the necessary re-industrialisation, the drive for research, the increase in the allocation of active employment policies, the adoption of a plan to combat long-term unemployment, the reduction of cultural VAT, among others. Mr Moscoso has devoted his speech to explaining the points proposed, and I think he has done a good analysis of the situation. But, Mr Moscoso, you cannot ask the rest of the political forces represented in this House to adhere to your proposals, and I say this to you from the perspective that we can generally share many of those that you have proposed through the motion put forward, but if we go into depth in the analysis of these proposals my parliamentary group can put many differentiating accents. I'll give you some examples. The last point of the motion, which concerns effective competition in the markets for goods and services, contains not a single reference to the Market Unity Act, a law to which my parliamentary group - and also yours - have radically opposed and opposed. I would like to remind you that we are talking about a totally interventionist law, a totally bureaucratic law, a law that completely violates the competences of the autonomous communities, and a uniformizing and centralizing law that seeks to assume the competences as I say of the autonomous communities in many normative aspects, in order to erase them from the map or try to eliminate them. No reference in his motion. For example - Mr Azpiazu was also referring to this - his motion talks about speeding up implementation and effectively implementing the youth guarantee programme. It speaks of a comprehensive reindustrialization policy. It refers to the rural environment, among other things, but in none of these cases - in none of these cases, Mr Moscoso - are considered the competences of the autonomous communities in these matters. I'll give you the example of Catalonia. Catalonia has competence in industry, employment and agriculture, and there is no reference, Mr Moscoso, to the autonomous communities in the points you have proposed. Two examples as I say to you among many others that I could put to you, and that despite sharing the general music of your motion, they do not allow us to fully share your proposal. We share the background, I repeat, but to his motion we would place accents, accents that are important to us. Thank you very much, Mr President.
ParlaMint-ES_2015-06-17-CD150617.u209	Thank you very much, Mr. Picó. Mr Tarno has the floor for the Group of the European People's Party.
ParlaMint-ES_2015-06-17-CD150617.u210	Thank you, Mr. President. Mr. Moscoso, let's vote no to your motion. It is a cluster of generalities, with which we could all agree, and which do not reflect the reality of our country. It has good things, the first is that they recognize that in Spain the economy grows. It has taken time to recognize it, you and other groups of the House have been constantly denying the evidence, which they preferred to be birds of mischief rather than to ascertain reality. What does the Socialist Group want with the thirteen points of this motion? Just to bring this legislature down, to end it; they have no other objective than that, which would mean going back to 2011, and to that the Spaniards cannot go back, Mr Moscoso. You with your proposals, in just four folios, want to amend forty laws - not one or two or three, but forty - in four folios; you have to value it. You have already said this: you are here for electoral propaganda, to start teaching your program, which the Spanish already know that they will not fulfill it; you are used to it, you already know them in your constant non-compliances. Do you know, Mr Moscoso, what is most important for sustainable growth? It's Perogrullo's, but it's very important: there's growth. Without growth nothing is sustained, and now there is growth, not with you. Between 2008 and the end of 2011, with a socialist government, GDP fell 5.3 points, 2.6 million jobs were destroyed, jobs corresponding to people with names and surnames, family, children, siblings, friends, not numbers, but 2.6 million people who lost their jobs, their future, and their life plan. In those same years 1,250,000 households had all their members unemployed, and thus there was no growth to sustain. What were you doing for those families? I say to you: to vote for what was said to them by a government that brought this country to ruin. The long-term unemployed, mostly older than fifty years and with family burdens, increased in that disastrous period of Spain by 2,250,000. Is that really the growth model you want for Spain? Back to implementing policies that have ruined this country? You talk about innovation when you know that this government has made a huge effort; you talk about innovative public works, when this government has launched them; you talk about second- chance law, when this government has introduced bills and royal decrees for that matter, and you are debating it in the House. You know that measures have been taken to prevent evictions, to improve the quality of life of our citizens. You also talk about some employment issues, that if we have to improve employability, that if we have to improve training... You know that the system is being worked on and modified, but perhaps you want to go back to training and put some former socialist councillor on the Andalusian Board as a minister, which those in training know very much, Mr Moscoso, very much. It's just that you guys dare some things... you talk about a public employment shock plan, and I guess that's gonna be moms cleaning schools. Indeed, everything you propose here is absolutely entrepreneurship, because we know you, Mr Moscoso. The Spanish economy is currently growing above 3.5% and more than 600,000 jobs will be created. In 2014 the number of households with all their unemployed members was reduced by 185,000, which means that there are people whose economy is growing and who can support their families. In 2014 the disposable income of Spanish families has increased since 2008. This is to grow sustainably, because it increases family income; six years down, which is what you left behind, and today the Spanish families have greater confidence in the future than four years ago, today the Spanish know that with the effort of everyone it comes out of the crisis. There has been nothing more unjust and less sustainable than what you did between 2008 and 2011 - there is the problem - and there will be nothing more unfair than the fact that you can put back into practice what made this country go bankrupt. Thank you, Mr. President. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u211	Thank you very much, Mr. Tarno. - the Joint Parliamentary Group on the free movement of works of art between the Canary Islands and the European Union and the Canary Islands. [[LORD KITCHEN]] [[File number 173/000219]]
ParlaMint-ES_2015-06-17-CD150617.u212	Motion by the Joint Group, by Mr Quevedo, on the free movement of works of art between the Canary Islands and the Canary Islands and Europe and Canary Islands. Mr Quevedo has the floor for his defence.
ParlaMint-ES_2015-06-17-CD150617.u213	Thank you very much, Mr President. The object of this motion is logically the same one that supported the urgent inquiry that we defended last week in relation to the need to ensure the free movement of works of art between the Canary Islands, the peninsula, Europe and the Canary Islands. This initiative gave rise to a motion that we have made seeking to go to the rigour of the purely partisan debate, in a matter that, given the time that has elapsed, more than ten years of demands in this sector, and given the importance of the phenomenon requires an effort by all to seek the support of this House. I also have to say that the feeling is positive, and since we cannot say that every day, I have to welcome the receptivity we have found in the various groups in the House on this matter. On the other hand, it is to be expected that I would tell Minister Montoro the other day: there are few issues that have brought together and generated so much consensus, so much unanimity over the last few years as this, and there are also few issues that have progressed so little. We need an impetus and it was the object of our inquiry and the current motion. We try to make it very serious, without the slightest umbliguism and without the slightest spirit of complacency, that artistic production in the Canary Islands is subject to a situation of criminalization, aggravation and discrimination in relation to the rest of the artistic production of the whole State or of the European Union. It is clear here - it is collected and we accept it - that Ceuta and Melilla have for different reasons the same type of problem. We have tried to explain that when a canary artist intends to expose, exhibiting his work outside the canary territory is subject to a set of bureaucratic, fiscal, customs barriers, which make it almost impossible for him to really promote the artistic production of the sector as it is done in the Canary Islands. The other day we were talking about the issue of the DUA, the famous single administrative document, which is something like overcoming several times a marathon on the same day, is an extremely complicated matter that enormously burdens the artistic production of the Canarian creators. We also say that the reason for this curiously in this case is the Economic and Fiscal Regime of the Canary Islands, which implies a historical recognition of our particularities, of the differential canary fact, of the conditions of insularity and remoteness, but in this case it is not only positive, but it works negatively, because being outside the fiscal union and within the customs union in the end what happens is that the canary artists are treated as if they came from third countries, with the damage that we all recognize. We have to say that this affects a very important sector; in a direct and indirect way it affects some 18,000 people in the Canary Islands, 3% of our GDP, and therefore it is not precisely a baladian issue, moreover associated with a stage of cuts - which I am not going to describe - throughout the crisis that has entailed significant cuts in cultural matters not only in the Canary Islands but throughout the State. The background - we have already explained them the other day and it is in the text of the motion - are multiple. In November 2013 in the Parliament of the Canary Islands a non-unanimous proposal of law in this area. On December 17, 2013, the Senate Minister of Finance acknowledged the need to act on this issue. In March 2014 the Committee on Culture in Congress voted in favour of this matter, and in April 2014 the Committee on Culture in the Senate. On December 20, 2014, the BOE published the Royal Decree amending the Economic and Fiscal System of the Canary Islands, which we believe has been a pity that it did not incorporate a solution to this issue. In addition, on 22 May in Las Palmas de Gran Canaria all the political parties that are in Congress with presence in the Canary Islands, such as Izquierda Unita-ICV, UPyD, the People's Party, the Socialist Party and the Canary Islands Coalition, we signed a new document of support, at the request of the Association of Canarian Visual Artists, which once again brought us together very concerned about this issue. I have had a few contacts with the esteemed Member Paco Cabrera on this subject trying to find a way out. We in our Petitum have four strong, clear points, and in our opinion diaphanous ones, but as with what we are talking about here, we are going to accept the amendment tabled by the Group of the European People's Party to this motion - the representative of the Group of the European People's Party - concerning the analysis of bureaucratic, administrative, fiscal, etc., of canary artistic production, ceutí and mellillen, and to consider the possibility of entering the bottom of the question, and it is that artistic production must be regarded as cultural and non-commercial goods. In other words, artistic production, a cultural good is not the same as a commercial good, such as a box of tomatoes, which has its recognition and with all our affection for the tomato, which as they know for the Canary Islands is quite important. So this is the essence of the issue. We trust that everyone will assume their responsibilities, the Parliament of the Canary Islands and the Government of the Canary Islands, and the Government of Spain will assume their responsibilities. I would also like to thank the various groups for their support. We believe that with this we are doing an exercise of responsibility, and we trust that it will serve to unlock a matter that is elementary, evident, and of pure justice in our opinion. We will therefore celebrate - if things evolve as we believe - that in this case we have been able to agree. Thank you very much, Mr President.
ParlaMint-ES_2015-06-17-CD150617.u214	Thank you very much, Mr Quevedo. As Mr Quevedo himself said very well, there is only one amendment tabled by the People's Parliamentary Group to this motion, and Mr Cabrera has the floor for his defence.
ParlaMint-ES_2015-06-17-CD150617.u215	Thank you very much, Mr President. Ladies and gentlemen, I am speaking on behalf of the People's Parliamentary Group to set out our group's position on this motion by the Mixed Group, Coalition Canaria-Nueva Canarias, on the free movement of works of art between the Canary Islands-peninsula-Europa-Canarias. Ladies and gentlemen, the Group of the European People's Party is very conscious and sensitive to what has been raised in this motion, because it knows and shares the concern about the bureaucratic problems of a customs and fiscal nature experienced by canary plastic artists, especially when they intend to transfer their works to the rest of the Spanish territory and to the European level. It is not a recent problem, nor is it an issue that also has an easy or simple solution. While as we shall see with this Government progress has been made with concrete measures, we must also bear in mind that in addition to a work of art they are also commercial or market goods, and that treatment is the same whatever the geographical origin of the artist. The different situation of Canarian artists and those of the rest of the State and of the Union is not due to a problem of the free movement of works of art, because this already exists without limits between the countries of the Union. It derives from the singular fact of our land, from the singular fact of the Canary Islands, since in our Economic and Fiscal System, as Mr Quevedo well advanced, the Act on value added tax, VAT, Law 37/1992, of 28 December, does not apply. This situation means that the circulation of works between the Canary Islands and the rest of the European Union must comply with a series of formal and material obligations, which are in fact the ones that cause these difficulties or disturbances to plastic artists living on our land in the Canary Islands. The Government and the Minister of Finance and Public Administration have reiterated on different occasions, both in Congress and in the Senate, the best willingness to find a solution and reduce these inconveniences that our artists find for their exhibition activity. Ladies and gentlemen, we all have a strong will to find solutions, and a lot of work has been done for over a decade now, but it has also - and must be fair - been done with this government when measures to remove customs barriers have been more concrete, within what is the competence of the government of the nation. As early as 2001, the Deputy Member of the Commune was dealing with this issue. The autonomous president himself then, Don Adam Martín, and the deputy dona Nardy Barrios, then committed a commission of inquiry. In 2004, the then Minister of Justice, Don Juan Fernando López Aguilar, also addressed the issue at a press conference. More recently, in 2013, motions and oral questions were raised in the Senate by the Socialist Group, as well as proposals for legislation in the same year as the People's Party in Congress. Also in the Parliament of the Canary Islands various initiatives were approved to address the same problems of these procedures; days in Tenerife in 2007; days recently, in 2015, in Gran Canaria. In short, all these initiatives addressed the mobility of works and their dual consideration of cultural and commercial property. At the same time, in the European Union, Mr Gabriel Mato has been making efforts, coordinating the efforts of the three administrations: the autonomous, the central and the European Union. In 2014, as has been well advanced here, both in Congress and in the Senate in different cultural commissions the government was urged to find solutions, and the government has studied and continues to study some alternatives - some have already been launched - that are not simple, since as we all know any decision must be within the limits set by European legislation in this area. It is good to reiterate these efforts, but we need to continue to make some progress and concrete proposals. Ladies and gentlemen, the limits of the solution are not in our own regulation, but in the obligations arising from European legislation, from the directives of the Union. Having said that, the Government, without prejudice to further progress, has not only proposed being in the best position, but is also making efforts to recognize and compensate for the costs arising from this situation. It is worth recalling, as Mr Quevedo also put forward - it has been good news for the Canary Islands - the great consensus that we have achieved to equip ourselves with a new economic and fiscal regime, our REF, the most advanced, ambitious and powerful that we have ever had for our community, and which, as the Canary Islands Government rightly acknowledges, represents all the interests of Canarian society. And I would like to recall the important involvement of the Government of the nation in the negotiations that took place in the European Union at a time of greatest difficulty, but we must continue to concretely develop economic areas and reduce bureaucratic costs such as those we are bringing to this debate today. On the other hand, there has been a significant simplification of the procedures being carried out, both for the entry of the said cultural goods into the peninsula and for their exit. By a resolution from the head of the department...
ParlaMint-ES_2015-06-17-CD150617.u216	Mr Cabrera, you must go to an end, especially when you have been accepted by the amendment. [[Laughter]]
ParlaMint-ES_2015-06-17-CD150617.u217	Thank you, Mr. President. I'm finishing up. As the Tax Agency said, it has also introduced two major simplifications. One is of a general nature which does not require a single administrative document for the dispatch of consignments from one part of the customs territory - the DUA - but only for the introduction to the entry, and which affects consignments of less than EUR 3,000 or consignments without transfer of ownership. The second is a simplification which also affects electronic commerce and distance sales, and in this case the DAU introduces it by the consignor. Both simplifications came into force last January. Ladies and gentlemen, we continue to make progress and believe that we are on the right track. I would like to thank Mr Quevedo for his willingness to reach an agreement. We have tabled an amendment that we have agreed on, and that is the line on which we must continue to move forward. It is therefore necessary that the three administrations - the Autonomous Government, the Government of Spain and the European Commission - continue to abound in order to overcome the difficulties of the movement of cultural goods and to limit or avoid obstacles to the cultural projection of the Canary Islands. Thank you very much, Mr President. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u218	Thank you very much, Mr. Cabrera. For the Basque Parliamentary Group, Mr Azpiazu has the floor for a position. [[EAJ-PNV]]
ParlaMint-ES_2015-06-17-CD150617.u219	Mr President, ladies and gentlemen, Mr Quevedo, I recall that many years ago - perhaps ten years ago - a Canarian artist spoke to me precisely about the subject that is being brought to us today through this motion. He then did not know the matter, but it was not difficult to realize that there was an unnecessary, unfair and costly work to enable the Canarian artists to move their works to the peninsula or to Europe, so that they could be exposed and contemplated as those of other peninsulars or Europeans. It was discrimination that obviously had to be corrected, but it seems that it is still pending. To him who explained it to me and to me it seemed obvious to us, and therefore we thought it was a matter of little time, but unfortunately it has not been so. Since I am not in the Committee on Culture and I do not have specific information on this, I sincerely believed that this matter was already resolved. However, I note from the motion that the problem continues, and that little or nothing has been done about it. We'll see if this is the last motion and it's the right one. Little or nothing has been done to consider the artistic production of the Canary Islands as a cultural good, and not only as a commercial or market good, thus guaranteeing its free movement on equal terms with the artistic production of the peninsula. Declarations and non-legislative proposals have been made in the Canary Islands and in this House, even unanimously, and as other proposals are in the drawer of promises and unfulfilled commitments; in this drawer of non-legislative proposals, motions and initiatives adopted and forgotten. Unfortunately, this is the case with politics, and that is often the end of many of those initiatives in this House. Even the commitment of the Minister of Finance himself has remained in the water of drunkards. We all considered and considered that the situation needed to be corrected, but in fact only six months ago, when the Economic and Fiscal System of the Canary Islands, which was the appropriate instrument for resolving this issue, was not adopted. The question is why. But regardless of what the answer is, it is necessary to make a firm commitment in this House so that it does not take longer and is not a matter for the next legislature, but that it is effectively resolved in the little that remains of this legislature. In addition, seeing how the People's Party legislates by royal decree-laws and omnibus laws, any law can be good for incorporating the reform demanded by the Canarian artists, the Canarian parties and the rest of the parliamentary groups. Thank you very much.
ParlaMint-ES_2015-06-17-CD150617.u220	Thank you very much, Mr Azpiazu. Mr Lleonart has the floor for the Parliamentary Group on Progressive Union and Democracy.
ParlaMint-ES_2015-06-17-CD150617.u221	Thank you very much, Mr President. Ladies and gentlemen, I will try to be very brief. Canary Islands is one of the regions of Spain where the crisis has exacerbated its effects more intensely; they accumulate high unemployment figures, the reforms implemented by the Government in this legislature have not had any positive effect and unemployment rates remain above the Spanish average and have reached more than 32 %. Within this situation are the culture and its professionals, a situation that we call without repair of precarious and largely improveable. We already know that the world of culture has not won with the entry of the People's Party government; other sectors have not been stopped well either, but in particular culture has been particularly damaged. From the Parliamentary Group of the Progressive Union and Democracy we want to emphasize that culture is regarded as a right in our Magna Charter and is the foreground of education. People's access to culture must be one of the priorities of this Government. Culture is essential, although it seems that the various governments that have happened, whether from the People's Party or the Socialist Party, have understood that spending on culture is one more expense, one that they can play with to make their budget and electoral cabals. [[The Lord]] The true relevance of culture has not been taken into account by the various Spanish Governments, which is undoubtedly one of the most necessary and profitable investments in the future that a country can make to build a society with values. Our future as a society will depend to a large extent on how we treat the world of culture and education, since the preparation of our young people, emotional health, the growth of the Spaniards, will be affected by these decisions, although this is long-term talk and I know that politics always precedes the short-term. The countries of our environment, those where culture has been able to develop a powerful industrial fabric, a business model that contributes very significantly to their gross domestic products by creating great cultural and educational wealth and generating a large number of jobs, are increasingly moving away from the model that has been built by both the People's Party government and past Socialist Party governments, the model of brick and umbrella and sun lounger tourism. It is clear that the sector needs help, as we are going through a very complicated economic moment, but not everything has to do with economic support, but also with attention, with the connection between administrations, as well as between education and culture. As has already been said here about the initiative we are debating today, we must stress that this is not the first time that this problem has been brought to the House and, as we have already stated, our parliamentary group considers that it is not only a problem that affects the access of citizens to culture, but an undesirable situation that negatively affects equality between Spaniards. Already in the past since UPyD we have stated that we would support those measures that promote equality and culture and, therefore, we will support this initiative. We do not consider it fair that artists, in addition to the problems faced by the crisis and the harmful cultural measures promoted by the People's Party Government, have problems when they have to transport works or move decorated by Spain and/or Europe. To conclude and collect, there is no place in our legal and fiscal regime for such obvious discrimination, a different treatment of Spanish citizens according to their place of residence. Thank you very much.
ParlaMint-ES_2015-06-17-CD150617.u222	Thank you very much, Mr Lleonart. On behalf of the Parliamentary Group of the Plural Left, Mr Centella has the floor.
ParlaMint-ES_2015-06-17-CD150617.u223	Thank you, Mr. President. I speak briefly to welcome the initiative put forward and stress that it is indeed a necessary debate, because it is true that we are faced with a problem that has not been resolved for a long time. It is true that there seems to be such a consensus, but that consensus is also broadened by doing nothing. We therefore believe that this consensus, which will be reflected in the vote tomorrow, should serve as an impetus and compromise to prevent the motion being left in a mere literary exercise and this is the last time we discuss it. I therefore announce our vote in favour and welcome the initiative. Thank you very much.
ParlaMint-ES_2015-06-17-CD150617.u224	Thank you very much, Mr. Centella. On behalf of the Catalan Parliamentary Group of Convergence and Unity, Mr Solsona has the floor.
ParlaMint-ES_2015-06-17-CD150617.u225	Thank you, Mr. President. The Catalan Group of Convergence and Union, throughout this legislature, as well as in the previous ones, has resolutely sided with culture. In this legislature it has done so especially because, due to the economic crisis and, in our view, the current government's erratic policy, this sector has been particularly punished. Therefore, our position will be in support of this motion, as we have already supported the non-legislative proposal adopted by the Committee on Culture, which was in the same direction as the statement of reasons for this initiative itself. There is no doubt that the Canarian artists are in an unequal situation with regard to the Peninsular artists. It is important that account be taken of the remoteness of the Canary Islands and the cost involved at a time when many artistic companies are lacking in liquidity to meet the costs of the transfers. Hence, the need to maintain a partnership agreement between the Ministry of Culture and the Government of the Canary Islands to promote the exchange and cultural communication of the Canary Islands with the rest of the peninsula. The Government must respect the uniqueness of the Canary Islands and provide financial contributions to facilitate the exchange of the cultural communication of the Canary Islands with the rest of the Spanish State as a measure to encourage the local market for the culture of the Canary Islands, which, because of its special characteristics, requires access to external markets in order to survive and develop. We want to refer to the customs and tax barriers and the costs faced by the Canarian artists, which prevent them from moving their works on an equal footing with the rest of the Peninsular artists and which is the fundamental content of this initiative that we are debating here today. This is a good opportunity to call again for the proclamation of what would have to be a law of patronage, which has flown over the Ministry of Culture without materializing into anything concrete. It could have been a good tool to help this mobility of cultural works and artists, in this case the Canary Islands. That is why we will vote in favour. We welcome the fact that the agreement reached in this motion is coming forward, so that it is a first step or perhaps a final step towards resolving this issue. Thank you very much.
ParlaMint-ES_2015-06-17-CD150617.u226	Thank you very much, Mr Solsona. On the part of the Socialist Parliamentary Group, Mr Sebastián Franquis has the floor.
