ParlaMint-IS_2017-05-24-71.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2017-05-24-71.u12	Madam President. I want to thank you. A senator for later her answer. I wholeheartedly agree with her on this giant case, which is the financial situation of the rural society and the uncertainty factors presented in the State's financial program regarding the communities, this is totally unacceptable. This is also shown in the review of the financial Council and in the very harsh review of the European Union's society. It is simply unacceptable and unacceptable how there is no analysis of the plans already being made to interfere with the government's spending and then the financial community. It certainly needs to be done better, for the financial community is still another uncertainty factor in whether the final objective to measure the responsibility of the State or the community is ultimately to be found. I've read the reviews for why. A senator from the budget board who cares for her in this regard.
ParlaMint-IS_2017-05-24-71.u13	A respectable president. Thank you. paritaprevir Rósa Brynjólfsdóttir Berry's daughter for a very good speech. Much of what was presented there was of interest. First, I wanted to mention that in her case, she made comments that prophets all used the same model. What happens then is that the projection becomes very similar, both predictions of economic growth, personal consumption, investments, and so forth. It's really so small that it's even 0.23/4.3%. So when national interest is reviewed, economic growth is even 31.74% higher. I'd like to ask you what. A senator: What does she think could be done to correct this situation? Of course, there is a great deal of interest in national interests that there is some intervening variability, especially in rebuilding national ideals, and there is so much difference between them.
ParlaMint-IS_2017-05-24-71.u14	Madam President. Thank you. A senator for the counter-sponsored. It is most reprehensible how uniform forecasts are to support a financial agenda. That is a major concern, not only of the one standing here but also of a financial body, as shown in its review. This has been pointed out by a financial body. This is an enormous uncertainty about various national and economic factors. The financial adviser suggests that these analyses, at least increasing their diversity, should be improved to support the criteria that support the fundamental budget for the next five years. I don't have the solution right now, but I think we need to take financial tips very seriously. It is not advisable to have uniform envelopes of the analysts laid the foundation for the next five years. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u15	A respectable president. I apologize for how fast I was in a speaker's bag. It's just so me and what. paritaprevir The Red Brynjólfsdóttir Bryfjörndóttir practiced free sports at the same time, so we're used to trading the cylinder. So I just went into the old gear. [[Laughter at the Hall of Congress.]] Thank you. The senator's answer. Then I'd like to go to the next thing she went along with, but that's the net effect of the cost taxation change that's only 4 billion. I have to tell you my point, I feel like I'm making a really big change when the net effect is no more. First, just turn down. Counts 'em out. A senator did not think that preparation would have had to be much greater, especially in view of the lack of net effect? We could have gone to this by putting on return charges. I figure even a quarter of a dollar, like 2,000 dollars per ticket, could reach the four billion.
ParlaMint-IS_2017-05-24-71.u16	Madam President. It's nice to think of old rhythms with what they're talking about. Senator. But about this net-gravity effect as far as possible. A senator came in, and at the end of the day, they prove to be just about 4 billion. Listening to a talk was quite interesting. A few days ago, a minister of tourism and industry in the General's symposium declared that their pay and pay would be negligible, despite their ability to run on several billion, such as on the eve of water. A senator pointed out. I find it quite strange when we talk about growing income in the state's budget, that income that even runs in 153/4 billion isn't worth much. At best I find it careless, and I wondered why the government's Minister is finding several billion here, and there's nothing in it when we need billions of dollars to promote community infrastructure. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u17	A respectable president. I thought about it in the case of a talk. A senator that we have a growing need for maintenance, a collection of construction needs, a need for infrastructure, and so forth. Hv. A senator mentioned the need for us to increase our income. It is interesting to note that making more money, paying more money, does not necessarily lead to less maintenance. If so, I would like to ask: We may know to some extent what is the value of maintenance and implementation needs, is it unavoidable that we have to make more money? We do not necessarily know where we need to go in maintenance and building. Though we have a gross idea, there is no good plan. Could we be within the current frame, if we knew more, finish the time process?
ParlaMint-IS_2017-05-24-71.u18	Madam President. I want to thank you. A senator resists. The answer to the last question is: I don't think we could do that from the current frame. We'd have to step up on the income side to attack the necessary maintenance of state property, roads, schools, etc. It is also pointed out in the review of the financial Council, if I do not vacate, that insufficient maintenance costs, i.e. It costs to keep our anger up and not to take needed maintenance measures, as this will ultimately cost us. I wondered, too, which way. A senator would agree that we too need to expect minimal maintenance. We'll see what's happening with the transport and road system, i.e. The one that has been neglected under the right, both now and during the last term, is leading us into trouble. The bill always goes up by dropping wood.
ParlaMint-IS_2017-05-24-71.u19	A respectable president. The feeling I got at the campaign was that I had to do something everywhere. That would be necessary. I don't see anything else, though the information isn't well enough, but there's an increase in revenue, just because there's a lack of structure everywhere. It is true that this was one of the points I highlighted in the financial discussion. Yes, we save some interest cost by paying off debts, but the cost of using the same money, e.g. not on infrastructure or maintenance, the cost may be increased later in the infrastructure. In this whole situation, in view of the current situation and the financial policy they already have, in view of the infrastructure that needs and the need to carry out by which we have been made aware, but not exactly so that we can actually prioritize, I wondered what the outcome of the election would be if we were to vote for this financial programme.
ParlaMint-IS_2017-05-24-71.u20	Madam President. I think we're gonna do what. paritaprevir Björn the Leví of Gunnarsson agrees that it is maintained and draughted, we are left with only a larger account. We have seen this not only as far as health care is concerned but also as the road system and the transportation system. There is no realistic plan to be found in this financial programme on infrastructure, maintenance or funding in the area that could be some measure of action to meet this age demand for the need for maintenance and the necessary injection into these basics of society. It is interesting, too, that this, for example, was pointed out. in the review of the Association of Professional Affairs. It calls attention to the lack of financial policies and vision, and it rightly pointed out from the organization that the budget for building infrastructure is lacking. [[The president calls.]] And that governments conceal their stand on private business in areas that so far have been handled by the government. That includes the maintenance.
ParlaMint-IS_2017-05-24-71.u21	Madam President. The one here presents the review of the 3rd smaller parts of the General and Education Committee on the Government's budget until the next five years. I'm going to let me read the review mostly and then add my own words as necessary. Then, with the permission of the president, the reading begins: ▪ In terms of my third assessment, the government's financial strategy on the topic centres of the General and Education Committee is severely lacking. A key factor must be that the financing of the media is not listed on the case categories for each topic field but is to be found only one line with total financing to the stage. It will be unlikely that such an arrangement will pass on a constitution that allows for the General Assembly to carry out its role if financial programmes do not contain precise, or detailed, planning for the funding of individual lawsuits or projects. The Parliament agreed to a financial programme without getting this information, and it can be said that the Council will give up its administrative role in dispensing public funds. In this country, where there is excessive power, there is enough of the government's laws against the legislation of this country, including the European Commission. Because ministers are at the same time a member of the council, which is something that Piratar and I have long spoken against. Now we're going to hand over one of our strongest balance tools to the Commission, the government. There must be a serious concern that we do not even get disunited by a group of lawsuits to know about what it is that the council is going to vacate from the Commission this time. But the reading goes on, Madam President. It is obvious that financial programmes do not measure up legal requirements for public finances on transparency when the dissociation of individual causes and projects is lacking, as stated in the financial Council's review: The effectiveness of policy co-ordinated policy development is simple and understandable, it supports transparency and increases the risk of policy development. However, it is equally important that a common thread can be identified through the chapters of each topic's policy. This should, e.g. To meet key challenges, to set sub-targets and standards that contribute to achieving the primary objectives and to the success of projects must be made clear. Something is missing that the cord can be identified. In the last section on financing, the use of the capital within the topic range should also be made clear. The law says that we should be aware of the use of funds and the importance of shopping, but we have little to do. The financing table on each topic field has only one line of total funding for this. In fact, financing is not even rated down to the litigation classes of every subject. Little that's mentioned nothing about buying in the policy of climate change. Therefore, translucency is lacking in this respect. My third section agrees with this financial evaluation. In terms of less than 3 less parts, it is impossible for the council to form an informed position on the government budget without realizing the funding of projects and the least staging of funding on the issues of each topic field. Without minimal efforts, 3rd will not be able to see that the council can perform its administrative financial role, nor will its surveillance role toward the European Commission. Despite this statement by financial advisers, governments have been very effective in reminding us that this information should have nothing to do with financial planning. We're just supposed to wait and hope that we get some kind of information about this when it comes to fall. It even came. at the highest dose of The financial and economic secretary that it would damage the process of giving the council the information that financial advisers feel the next must be in this government financial programme. But at all times, at the council asking for information, we are told that and it would ruin some sort of unexpected case in the government to surprise us all here in the fall of what it's going to be like. That's not something I can call a good government manner, Madam President. But again the reading goes: For example, consider the lack of transparency [in the government budget] as an example the public and legal security sector, under which law enforcement matters, land affairs, prosecutions and judicial hearings are well supported and fully improved. It is impossible for the legislature to recognize the funding of each category, since it is not divided by a group of lawsuits in the program. Yet, there is a wide variety of languages, all of which contain institutions and activities that play an important role in the community. It is evident from the experiences of many of the institutions that fall under the topic range that they do not believe to be able to determine what their business will be for the next five years because financial programs do not contain any information there. Thus government agencies are more guessing than evaluating whether or how much money is gained in various assignments entrusted to them. The lack of fragmentation and, therefore, transparency in financial programmes also seems to motivate some institutions to take sides with other institutions within the same topic area to strengthen their position in the uncertain financial climate. That's how it comes, for example. ... ina review from the Iceland Police Commissioner's Office that the advancement of national law must not be taken into account. Similarly, the client in the capital area is concerned about the need for more money because of the increase in trustees will take advantage of budgetary funds for the administrative sector. - It's obviously completely unacceptable, Madam President. Of course, I'm using a less sensitive term in the minority review of the Board of Education, where I say, by permission of a president: There must be an disturbing trend for uncertainty as a result of the government's financial plans to cause such conflict within the administration. But it must be a concern for all of us if the Tycoon of the capital area is moved to take a position against those seeking refuge because he does not know whether he is getting enough money to do his important work. I feel that we are in a very dangerous place when that is true, especially with these institutions, which have been given to many of them, perhaps 24 hours a day to pass a review of this. It's natural, too, all unpleasant. It must be more time than 24 hours to allow the institutions of the advisory organisations who will be subjected to this financial strategy to enter a review of what they feel about this strategy, as it should be called. But then I turn to the individual issues of financial planning and begin to discuss the courts only: ▪ According to the Council of Justice, more funding will not be met fully by the local Court's demand: A copy of the State Department letter, today. On April 4, 2000, to the World Parliament's Fund for the preparation of budget developers of 2018 -2022, it is stated that there is only part room to meet the local Court's wishes for increased legal rights. It shows that there are 50 million targets. K. in 2018 to the district courts, including to cover the costs of reimbursement, and the rest of judgment documents. In 2018, however, the U.S. District Court's request for increased funds was over 99 million. K. These included fixed pay costs due to an increase in 33 million workers. K. Renewing the computer equipment of all district courts 11 million. K. and technical and housekeeping for court hearings about 22 million. K.◯ See page 18. 116 in a financial program that does not have enough space to finance these programmes. Now it would be good to listen to where financial programmes will be carried out in this review, especially on courts, but financial plans seem to have no room for anything. The budget of financial programmes, it is said, is not sufficient to finance plans to secure better housing, to ensure staff pay, to renew technology and equipment and computer equipment from all the regional courts. However, it has now been stated that it is particularly important for the institution of national rights that computer equipment and other things will be effectively implemented for good cooperation in these courts, i.e. National rights and district courts. This position of government seems to be at its height when it comes to furthering the court, for on the same page, page. 116, also reports that budgetary budgets are not sufficient to finance the various projects and plans needed to meet the needs of solutions during the period. ▪ The following are examples of projects and plans that a financial plan brings about as necessary to strengthen the work of the courts: To implement new lawsuits for the regional level supporting electronic lawsuits and electronic transmissions of data between courts as well as the above-name housemaking, staff computer equipment, software and equipment in courts, but budgetary budgets are not sufficient to finance these plans. It is stated that the main challenges of the Court's administration must set up a new organisation that will be equipped to handle new, extensive tasks. As to their plans, the financial program on page 16 says. 116: It is necessary that the Court's office operates on people with knowledge and education to carry out the legal and responsible duties of the Agency. In advance, it can be considered desirable to be a lawyer, a financial manager, an information and document manager, and a computer scientist. - Then this familiar theme comes back: The range of financial programmes is not sufficient to finance such plans. The establishment of a new court order is discussed in a financial program and explained on page 20. 117 that the number of judges from 52 to 64 and that the financial influence of a new court order is estimated at some 700 million. K. This year an increase of about 35% to the topic field in 2018. Therefore, it is considered to be critical for the three judging points as well as for the prosecution, the police, and the general institutions to put together electronic treatments where documents and other data can be submitted, e.g. audio and photo files, between courts and others in the justice system, including lawyers. A financial plan states that in order to meet that challenge, local courts will need to update their case and set up a sound and photo to play in the National Court and the Supreme Court, despite the fact that it is on page 5. 116 shows that financial programmes are not sufficient to finance these plans. Such conflicting statements are not designed to increase the credibility of the government budget, which seems to give on one page and take on another. It is impossible to see how the future of justice in Iceland will be handled by reading the financial programme. Then, no matter how scratched it is by pointing out that a court plan is to be met in the cooperation of the Ministry and the courts, where goals, standards, and actions related to courts should also be carried out in a financial program. In the preceding five years, it is impossible for the third part to form an informed position on how the place will be a guard of independence and the effectiveness of courts in the country. However, it is most unusual to enumerate a number of supposed essential tasks and challenges in the courts and then to state that there is no room to finance the project or react to the challenges. The future of justice protection in Iceland is therefore a third - less - than - third concern. Let's get back to law enforcement, Madam President: In chapter 9 of public security and justice, it is claimed that there will be an increase in the number of police throughout the period. However, the schedule does not show how many status values there are nor when the increase in the number of status values will be observed. However, the official's statement in the capital area is as follows: ▪ For our next article, see the box "How to Resurrected, " on page 19. 56 reports that the total number of well - linked applications is estimated from 2% in 2018. It also says that the annual maintenance goals are expected. Therefore, given the official official's office in the capital area, it is reasonable to assume that the number of police standings immediately next year would have to be about 90 million. K. Maintenance requirements and this can be expected with a decrease in the number of policemen each year. This is out of harmony with the bill's claim that the funding of a law enforcement program is guaranteed (pages). 65) than in section 9 (pages). 174) referring to a law enforcement program, there is no mention of a decrease in the number of police officers. From the above, you can't see how the financial program allows for the increase in police departments during the period and the increase in the number of cops, as one State Marshal noted, to ensure proper law enforcement and security levels in the country. It is unacceptable that the government's objective for the growth of police officers is not clearly identified in the program and that, instead, there is very conflicting information. For the prosecution, see the financial program on page 5. 178 expected to increase the pressures on the state prosecutor's office during the period of the programme. It'll even come. to increase and increase the weight of the cases due to altered and complex fracture patterns, increased emphasis on international cooperation and the management role of the local prosecutor, including with listening and specific testing procedures. The stated aim of financial programmes is also to increase the crisis and treatment of the prosecution. In the plan, it is concluded that with the development of a new court sentence, the pressures of the state prosecutor's office will be greatly increased. Despite these important challenges and added stress, financial plans do not contain standards or criteria to evaluate how to cope with the proposed changes. Then it is stated that only two prosecutors should be added to the state prosecutor's office during the period despite setting up a new court case that the State Attorney needs to do with other matters. 3 less is considered unacceptable by the fact that the activities of one of Iceland's basic legal institutions are as critical as a financial plan indicates. So we turn around to the top point in the financial program of the following government views, with the permission of a president: ▪ By bringing in a family secret and increasing funding for sociology advice in prisons, I hope justice tolerance will be better adapted to the community after the end of prison imprisonment and thus infringement will be less likely. Although the government hopes to further adjust to the community with increased financial resources to social and psychological advisers in prisons, the increase in the status of psychologists or social counselors is not to be found in the policy of the topic field or as a reference. Only this procedure is specified on page 2. 188 not to promote psychological and therapeutic treatment in prisons, which must be considered as a goal, but not a procedure without further explanation. The aim of the government to promote a successful adjustment to the condition that the community seems exclusively to recommend numbers of return rates in prisons, while the third part has doubts that this standard is a significant one. Please refer to the recurrence rate in prisons today of 24% without a clear warrant for this statement in the main issue of the plan. However, it is shown in footnote that this is the comparator study of the recurrence rate (return rate) in the national language. Part 3 suggests that by referring to a report published in 2010 based on return rates from 2005, it is not possible to make a fast without a careful reference in the budget. If that is the case, however, it is necessary to refer to 12 - year - old statistics to describe the situation's status of a comeback rate in 2016, as it is done in the aims of the category on page 6. 187. Then it is evidence of government ambition that standards of 2022 are simply described as lowering the relapse rate below 24%, which is the situation today. Since the above statements cannot determine how the government intends to reduce the repercussion rate or contribute to a successful adaptation of judgment to the community after the end of sentence, it is difficult to see how the objectives of the law on the ultimate punishment of the material will be met. I'd like to come into this for a minute, Madam President. I think that the policy displayed in this financial program on reform and reformal policy, as is actually called the best case here, is defined by criminal policy, aggression policy, and total lack of ambition. It speaks of a growing number of treatments, a growing number of psychologists, and hopes that somehow it will improve the situation of a prisoner in Iceland while we could be exemplary around the world by how we do our very small penalties and might be guided by the reform policy. It's not here to be found. In this group of subjects, there is no measurable, humanitarian goal to be found in a failed government financial program. I look like I'm burning in time, Mrs. President, so now I'm just talking about personal protection, though I have a few chapters left in my review. I just have to take them in another speech, but in terms of personal protection, which, of course, is really between me and Pirates, it says: A fairly detailed financial program points out that the role of Perone Protection will be significantly altered by the development of a new personal protection program that will be implemented in Europe in May 2018. The rules include the most extensive changes made in this field for 20 years and will affect companies, organisations and individuals. The protocol includes increasing rights of individuals, while a number of new responsibilities and requirements are laid upon those responsible for personal information. The implementation of the Regulation will therefore involve the role of Peritoneal protection to be far more extensive than before, the Agency's directives grow as well as increasing international cooperation, which includes the need for extensive changes in the handling and handling of the Persian protection procedures as the Agency has long been abdicated. In fact, Persian protection has been so poor that the EFTA, ESA, surveillance agency, has reported to the Icelandic government that it does not consider the independence of Peronism to be sufficiently certain, which must be of concern to us all. Despite these huge changes and the need for a huge increase in funds for Personal Protection, the Agency considers at least 100 million. K. lack of knowledge so that it can meet the minimum demands of the new environment in a legal way. It must be regarded as a significant challenge and a dangerous trend in terms of the human rights that are most subject to information technology, which is the privacy of privacy in a digital world, and that is the least 3rd smaller things can but strongly contradict this financial advantage. I must come to the rest of my resignation in the second speech, Madam President.
