ParlaMint-FR_2021-12-01-O1080.u1	The next item is the debate on the bill to combat school harassment (No. 4658, 4712).
ParlaMint-FR_2021-12-01-O1080.u394	All right!
ParlaMint-FR_2021-12-01-O1080.u395	I call Mrs Sabine Rubin to support Amendment No. 104.
ParlaMint-FR_2021-12-01-O1080.u396	[[Claims on several banks of the LaREM Group]] I have already said how the creation of the school harassment offence was not a solution; I am not the only one who says so, and the people concerned also think so. "We don't need a bill, these people are out of the ground," the president of Marion's extended hand, Nora Fraisse, whose daughter, herself a victim of harassment, committed suicide in 2013. "Go get money, train people! She pleads. That's what it says. "Punish the students, as if that were what we needed. It's really a law for nothing," says Jean-Pierre Bellon, director of the Centre de ressources et d'études systèmes contre les intimidations scolaires (RESIS), who must know what he's talking about! This article punishes rather than providing ways to avoid evil. I hear some quote examples with an affected tone: it is not a question of having an affected tone, but of giving oneself the means, which this article will not do! You plan punishment instead of trying to avoid drama!
ParlaMint-FR_2021-12-01-O1080.u397	[[Exclaims on the banks of the GDR Group]] Don't teach anyone here! Talking about "your affect," it's unworthy!
ParlaMint-FR_2021-12-01-O1080.u398	Oh, a little calm!
ParlaMint-FR_2021-12-01-O1080.u399	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2021-12-01-O1080.u400	"Any criminal code must fulfil a dual function. The first, obvious, is the repressive function. The primary purpose of criminal law is to defend civil society and its members. »
ParlaMint-FR_2021-12-01-O1080.u401	She needs education!
ParlaMint-FR_2021-12-01-O1080.u402	Let me continue, please, Mrs Faucillon.
ParlaMint-FR_2021-12-01-O1080.u403	You cut me off every second!
ParlaMint-FR_2021-12-01-O1080.u404	"To this end, the law prescribes penalties for those who wait for the social order. "The second function of criminal law is more secretive. Every society is based on certain values recognized by collective consciousness. These values translate into prohibitions. And these prohibitions in turn give rise to punishments against those who misunderstand them. Thus, the criminal law expresses by sanctions that it enacts a society's system of values. This is the expressive function of criminal law. You have understood that I am not quoting myself, but to read an excerpt from Robert Badinter's speech when he presented in 1985 the great reform of the penal code. In a society, legislators must define prohibitions. And when these are clear and precise, all public policies result. You keep saying, Mrs Faucillon, that the repression of acts of harassment is already included in the education code. It is true that today we can punish for moral harassment – proof that punishment is sometimes useful – but I remind you, and you know that you who have worked on these issues – I have heard you many times during the reform of juvenile criminal justice and I know your commitment to the issue of children – that we have juvenile criminal justice that takes into account the notion of minority and the degree of discernment that results from it. Therefore, there is obviously no question of sending children to prison for a question of school harassment. I repeat this all the time: the judicialization of a case of school harassment signifies the failure of the system because it is before we have to act and we have to work on prevention, on accompaniment and on care. A thousand times yes to all of this, but if you want an awareness of society, you have to create a specific crime. Like me, you talked about harassment at work. It is specifically penalized in the Penal Code and does not concern only hierarchical relations between employers and employees, harassment may be in the opposite direction or between employees.
ParlaMint-FR_2021-12-01-O1080.u405	Absolutely!
ParlaMint-FR_2021-12-01-O1080.u406	Similarly, the Criminal Code provides for the concept of moral harassment within the couple. How can we explain to children and parents that school harassment would not exist, that there would be only moral harassment as defined today? It is only a general framework, to which paragraphs 1 and 4 of the article refer. The fact that a group attacks a person is already provided for in the concept of moral harassment, but you and your colleagues tend to forget that in some situations students are not protected. I took the example earlier of a student who would be harassed by his TD manager or another teacher: he does not have the same level of protection as the employee harassed at work. Similarly, a 17-year-old who is harassed by a fellow of the same age is also less protected. There is, therefore, a lack of protection that we must address. But if, in order to resolve the lack of protection, we had used the legal weapon of the aggravating circumstance, we would have created a penalty: since you are against penalizing school harassment, our positions would not have come close to it. As you know, Mrs Faucillon, I was not entirely in favour of a new autonomous offence because, you know me, I am not the most repressive on this side of the House. But if children need freedom, they also need a framework. We must protect children, sometimes against other children, but also against adults with inappropriate behaviour. [[Applause on the benches of the Dem group and on several benches of the LaREM group. – The Chairman of the Committee on Cultural Affairs and Education also applauds]] I will conclude with the point that has taken away my decision to propose an autonomous qualification for school harassment: the Constitutional Council considered that the definition of moral harassment was too vague for the legislator to require platforms to control their content in this regard, this new criminal qualification and article 7 which accordingly amends the law of 21 June 2004 on confidence in the digital economy will allow it. This will allow us to impose restraint and regulatory obligations on platforms. That is why we must go, not to crack down, but to define a ban, to better protect our children and to create a shock in society, as when the concept of harassment was incorporated into the penal code: everyone must say that school harassment can no longer last. That is the meaning of Article 4, which is why I ask you to change your position and withdraw your amendments.
ParlaMint-FR_2021-12-01-O1080.u407	All right, Mr. Balanant!
ParlaMint-FR_2021-12-01-O1080.u408	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u409	I will be extremely brief,...
ParlaMint-FR_2021-12-01-O1080.u410	Ah!
ParlaMint-FR_2021-12-01-O1080.u411	... because I speak only to support the rapporteur's remarks and to take them on behalf of the Government. First, it is indeed a question of the downstream determining the upstream because, as we say at the chess game, the threat is better than the capture. This provision is not designed to go to the end, but to dissuade upstream. And it is an extremely important dimension of the device. It's about sending a signal. If I share the very normal questions that have just been raised, what I have just said is the answer. Secondly, and perhaps even more important, I stress that this is a progressive legal construction. I, too, am extremely vigilant about the judicialization of the school environment...
ParlaMint-FR_2021-12-01-O1080.u412	Oh, yes!
ParlaMint-FR_2021-12-01-O1080.u413	...because we must avoid any excessive evolution in this direction. This is a profound societal trend, albeit more pronounced in the United States than in our home but which we see happening. That is why I always insist that the rule of law does not mean a society of rights; In other words, pay attention to the competition of rights, which in the end becomes the rule of the strongest, of the one who can mobilize the most legal resources. Let us always pay attention to this point.
ParlaMint-FR_2021-12-01-O1080.u414	All right!
ParlaMint-FR_2021-12-01-O1080.u415	[[Applause on a few benches of the LaREM and Dem groups]] Secondly, the fact that this new crime is a milestone towards a legal construction of the accountability of platforms on the Internet seems to me to be a very important point. The moral commitment I can make here is to work as hard as possible so that this construction can continue in other dimensions of the work we have to do with the platforms. We are therefore creating a basis for being legally stronger on this issue. There is a need to increase the legal responsibility of cyber-harassers.
ParlaMint-FR_2021-12-01-O1080.u416	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2021-12-01-O1080.u417	We are not going to convince ourselves, not because I am obtuse but because strong convictions separate us. The example of the student and the thesis supervisor or the Temporary Teaching and Research Attaché (ATER) must be evacuated as it creates confusion about what school harassment is. In my view, as in the case of justice, this is not school harassment because there is a link of subordination and domination, or even domination, characterized by criminal justice. I hear what you both are saying about the risk of switching to judicialization. There are two aspects to the expressive function that you are talking about, Mr rapporteur. On the one hand, she pronounces a ban, in the place of the school. The school says that school harassment is prohibited, as it prohibits typing or misbehaving, but without threatening children in prison. The function that is important and that one must seek to develop above all is the educational prohibition: it is forbidden to type because it hurts or hurts the other. I hope that the teachers will not explain to a child tomorrow that he should not harass his comrade, or end up in prison or go to court. The expressive function is therefore rather obscure. The second aspect is that there are very worried parents who, when their child comes home and does not go well, identify school harassment themselves, whether it is or not, and will automatically go to the police station to file a complaint, even before going to see the school's management, for lack of an educational response: this slide worries me deeply.
ParlaMint-FR_2021-12-01-O1080.u418	I call Mrs Emmanuelle Ménard to support Amendment No. 28.
ParlaMint-FR_2021-12-01-O1080.u419	He's out.
ParlaMint-FR_2021-12-01-O1080.u420	Amendment No 49 by the rapporteur, for clarification, is the subject of two sub-amendments Nos 138 and 136. Mrs Geraldine Bannier has the floor to support sub-amendment No. 138.
ParlaMint-FR_2021-12-01-O1080.u421	I'm totally against harassment. As early as 2015, I participated in educational harassment awareness operations, which everyone described as peer-to-peer harassment. I have a problem with the amendment, the wording of which bothers me and embarrasss me. Why put on the same plane and use the same terms of school harassment for two phenomena that have nothing to do with it? On the one hand, 700000 to 1 million students are harassed by peers, often through group phenomena and with cyber-harassment in the background; On the other hand, there are abuses of professionals – teachers – who are the first to be targeted by such complaints? This latter phenomenon, which is much less widespread, concerns teachers who abuse their position of authority in relation to children. Why aggravate sanctions against adults in schools – after all, why not? – without doing so against adult abusers and harassers in nurseries or medical and social centres, or who supervise training or apprenticeships? This is a problem for me, and I would have liked the two phenomena to be distinguished. In my opinion, school harassment, between students or students, seems to me to be sufficiently serious, widespread and well-identified – you have all taken examples of peer harassment – so that it receives a specific name and is well distinguished in the writing. I am really embarrassed and have shared this embarrassment with many teachers, since I come from this community.
ParlaMint-FR_2021-12-01-O1080.u422	Mrs Agnès Thill has the floor in support of sub-amendment No 136.
ParlaMint-FR_2021-12-01-O1080.u423	The purpose of this sub-amendment is to extend the definition of school harassment in the Penal Code. This reference to what happens on the margins of school life is not drawn from anywhere since it is the one used in section 1 of this bill. I would like to supplement paragraph 4 with the words "or on the margins of school life". This is important for a simple reason. Some group phenomena, including school harassment, have multiple forms. For example, harassment that begins within the school may be repeated and amplified outside of the school by students who are schooled or not in the same school. It is therefore inconceivable that, in a group of young people who would be tried for acts of school harassment, only one who is enrolled in the same school would be convicted. It therefore appears necessary to introduce a broader mention in order to allow the judge to characterize incidents of school harassment even when they are committed by students from different schools outside the school.
ParlaMint-FR_2021-12-01-O1080.u424	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u425	Mrs Bannier, I understand your fear that teachers or educators will be pointed at and stigmatized. This is something that needs to be taken into account, but the judicial services are very quick to identify these situations in order to investigate them or not. What you ask of us would be a setback and a return to the previous situation. Sometimes a child is harassed by an adult in the school; It is fortunately very rare because the educational staff is trained and teachers do their job by vocation: I do not know many who would have the vocation of harassing children, but this can happen. We need to protect these children, which is why we have ruled out the idea of sticking to the peer-to-peer relationship. My idea, which is also that of most of the majority, is to protect the child: to do so, the school must provide him with a secure environment in which he can trust. We need legal tools and a consistent criminal order. I therefore request the withdrawal of your sub-amendment; If not, the opinion will be unfavourable. The other sub-amendment presents a legal problem. You mention circumstances of time and place from a definition based on the relationship between the perpetrator and the victim. It is an important source of confusion that will not facilitate the work of magistrates and law enforcement officials. Moreover, the Criminal Code is strictly interpreted and it is also for this reason that we must be very precise.
ParlaMint-FR_2021-12-01-O1080.u426	Extremely accurate!
ParlaMint-FR_2021-12-01-O1080.u427	Thank you, Mr. Minot. The article in the Education Code to which you refer determines an obligation of means on the part of the public authorities. These are two very different purposes. I ask you to withdraw the sub-amendment; If not, the opinion will be unfavourable.
ParlaMint-FR_2021-12-01-O1080.u428	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u429	Favourable to the amendment and unfavourable to the sub-amendments.
ParlaMint-FR_2021-12-01-O1080.u430	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2021-12-01-O1080.u431	I pointed out that the definition of school harassment was very tedious. This discussion highlights the profound change that you are making. What shockes me most is that you have not even had any previous discussions with the educational community, teachers' unions, staff or parents of students. This text is poorly calibrated, including in the definition of school harassment, which remains unclear.
ParlaMint-FR_2021-12-01-O1080.u432	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2021-12-01-O1080.u433	In my view, these are two distinct phenomena that deserve different names: if we tighten the penalties for adults in school – beyond the current sentences of one year's imprisonment and 15,000 euros of fine – we must also do so for adults who care for children outside school, in nurseries, in medical-social centres, in apprenticeships, etc. I don't understand why we're only aggravating sanctions that affect adults in schools.
ParlaMint-FR_2021-12-01-O1080.u434	She's right!
ParlaMint-FR_2021-12-01-O1080.u435	I call Mr Grégory Labille to support Amendment No. 94.
ParlaMint-FR_2021-12-01-O1080.u436	Without being opposed to tightening sanctions when it seems necessary, we are nevertheless committed to the principle of proportionality of penalties and, above all, to the consistency of those penalties. Involuntary homicide is punishable by three years' imprisonment, as is causing others to commit suicide, which is increased to five years when the offence involves a minor under the age of 15. This comparison should enable us to realize that the penalties provided for in article 4 are totally disproportionate to the existing law. We therefore propose to align the penalties with those provided for in articles 222-33-2-2 and 223-13 of the Criminal Code, namely one year's imprisonment for an act of harassment, two years' imprisonment when such acts cause more than eight days' total incapacity for work or when they are committed against a minor under 15 years of age, three years' imprisonment when they lead to suicide or attempted suicide, and five years if the victim is a minor. It is not a question of leniency but of remaining consistent with existing penalties. It should be noted that the penalties for harassment at work are not as high as those provided for in this article.
ParlaMint-FR_2021-12-01-O1080.u437	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u438	We know that sentences are not intended to be handed down at their highest level, but in our penal order there are quantums of punishment: the quantum gives gravity to other facts. If we adopt your amendments, we could rewrite the penal code and the chancery would tear its hair out. This is not an unfavorable opinion, it is a very, very unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u439	On Amendment No 114, I have a request for a public vote before the Group of the European People's Party. The vote is announced in the National Assembly. Amendments Nos 131 and 132 by Mrs Souad Zitouni are being defended.
ParlaMint-FR_2021-12-01-O1080.u440	The rapporteur has the floor to support Amendment No. 50.
ParlaMint-FR_2021-12-01-O1080.u441	This is an important amendment that responds to some of our colleagues' questions. It is intended to supplement the provisions of the first subparagraph by specifying that they are applicable in the event of further school harassment after the perpetrator or victim has left the institution. This includes cases where the author, having been excluded from the institution, would continue to harass the victim, as well as the assumption that the victim, after having changed his place of business, would continue to be harassed by the same persons.
ParlaMint-FR_2021-12-01-O1080.u442	I call Mrs Emmanuelle Anthoine to support Amendment No. 1.
ParlaMint-FR_2021-12-01-O1080.u443	This is the only amendment that has been tabled!
ParlaMint-FR_2021-12-01-O1080.u444	No, he's not the only one. The aim is to introduce an obligation to attend a training course on school harassment, which would be carried out at the expense of the offender if he or she is a major or his or her legal representatives if he or she is a minor.
ParlaMint-FR_2021-12-01-O1080.u445	All right!
ParlaMint-FR_2021-12-01-O1080.u446	It would be designed on the model of road safety awareness courses, with the aim of recalling the essential rules in order to improve the behaviour of offenders. Beyond the criminal sanctions that could be imposed, it is important to supplement this system with an educational measure. In fact, the perpetrators are mostly minors and de facto school children. This is why an educational measure must accompany the sanction to ensure that the fight against school harassment is fully effective. The aim of this measure is to strengthen prevention in the face of school harassment.
ParlaMint-FR_2021-12-01-O1080.u447	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u448	That's a little what Article 6 provides for. The only difference is that you ask for it to be automatic; But in our country, there is no automatic penalty. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u449	Well, what a sectarianism!
ParlaMint-FR_2021-12-01-O1080.u450	I put Article 4 to the vote.
ParlaMint-FR_2021-12-01-O1080.u451	The result of the vote is as follows: Number of voters 73 Number of votes cast 70 Absolute majority 36 For adoption 63 Against 7
ParlaMint-FR_2021-12-01-O1080.u452	Mrs Zivka Park has the floor to support Amendment No 114, which adds an additional Rule after Rule 4.
ParlaMint-FR_2021-12-01-O1080.u453	This amendment by the Group of the European People's Party (La République en marche) clarifies and supplements the Penal Code concerning the penalty of confiscation. If a school harassment offence has been committed through an online public communication service, the instrument used to access this service will be considered a personal property used to commit the offence and may be confiscated. It is specified that during the investigation or investigation, this instrument may be seized in accordance with the provisions of the Code of Criminal Procedure. The proposed scheme will enable the seizure and confiscation of mobile phones and computers used to harass a student via social networks.
ParlaMint-FR_2021-12-01-O1080.u454	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u455	[[Smile]] Favourable opinion. I even have the impression that confiscating phones, so access to social networks, will be one of the most effective penalties for young people – sometimes also for adults.
ParlaMint-FR_2021-12-01-O1080.u456	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u457	Favourable opinion.
ParlaMint-FR_2021-12-01-O1080.u458	I put to the vote Amendment No 114.
ParlaMint-FR_2021-12-01-O1080.u459	The result of the vote is as follows: Number of voters 70 Number of votes cast 70 Absolute majority 36 For adoption 64 Against 6
ParlaMint-FR_2021-12-01-O1080.u460	I call Mrs Emmanuelle Ménard to support Amendment No. 31.
ParlaMint-FR_2021-12-01-O1080.u461	It provides for the possibility of excluding from the educational institution the student harasser for a period which obviously remains at the discretion of the director of the institution concerned. This will allow the student who has been harassed to enjoy a period of respite. Too often, when they realize that their child is being harassed, the parents take him out of school. It's a perfectly legitimate reflex, but it's the stalker child who should be put out of order to pursue his or her reprehensible acts. The adoption of this amendment would send a strong signal not only to the educational community, but also to families and children to make them understand that it is not the harassed child who is guilty, that it is not the child who must be punished and that it is not his or her responsibility to be removed from school. It is indeed the harasser student who, at the discretion of the school principal, must be able to be put out of order to harm by being excluded from the educational community.
ParlaMint-FR_2021-12-01-O1080.u462	Excellent amendment!
ParlaMint-FR_2021-12-01-O1080.u463	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u464	Mr Minot, I am sorry to disappoint you, but this is a very bad amendment.
ParlaMint-FR_2021-12-01-O1080.u465	No, no, no, no, no, no, no,
ParlaMint-FR_2021-12-01-O1080.u466	First of all, the scheme falls entirely within the regulatory sphere. In addition, it is satisfied with the existing law, as the disciplinary procedure initiated by the head of establishment is already mandatory,...
ParlaMint-FR_2021-12-01-O1080.u467	What the previous amendment proposes already exists!
ParlaMint-FR_2021-12-01-O1080.u468	... in particular in the event of serious acts committed by a student against a staff member of the institution or another pupil. On the form, the temporary exclusion of a pupil must be decided by the Disciplinary Board, not by the head of the school alone. It's not up to the head of the institution to decide, it's up to the disciplinary board – it's important, because we're still in a rule of law. Moreover, as before, I have doubts as to the automaticity of the sentence: in my view, it would be considered non-constitutional. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u469	On the identical amendments Nos 22, 51, 73, 110 and 115, I have a request for a public vote before the Group of the European People's Party (La République en marche). The vote is announced in the National Assembly. Mrs Elsa Faucillon has the floor to support Amendment No. 77, which deletes the Rule.
ParlaMint-FR_2021-12-01-O1080.u470	The amendment is consistent with the request for the deletion of Article 4, which creates an offence of school harassment, even though this is an alternative penalty.
ParlaMint-FR_2021-12-01-O1080.u471	Yes!
ParlaMint-FR_2021-12-01-O1080.u472	I hear it, but you first created the offence of school harassment. It is clear that alternative sentences, which are the core of juvenile justice and which must be the first response, are becoming less and less used and carried out because of the lack of structures and resources. This could be discussed for a long time from the perspective of the judicial protection of youth (PJJ). In another way, we believe that accountability for school life is really the heart of what the school must produce. When it fails – in fact, it is sometimes the case – we believe that it is not by judicial means that this must be resolved. I said it in the form of a joke in committee, but I'm afraid it's a bit like your universal national service (UNS) with flag raising. I'm not sure it's responsible for school life.
ParlaMint-FR_2021-12-01-O1080.u473	That's for sure!
ParlaMint-FR_2021-12-01-O1080.u474	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u475	Mrs Faucillon, there is a contradiction,...
ParlaMint-FR_2021-12-01-O1080.u476	There's none, there's no alternative penalty if there's no crime!
ParlaMint-FR_2021-12-01-O1080.u477	[["Oh! » on several benches]] ...that you admit yourself by the smile you addressed to me. We are putting in place an educational measure. In addition, this internship already exists experimentally in some courses, in connection with the rectorates, and it works very well. Earlier, we referred to the Finnish KiVa programme: its success is the result of the link between law enforcement, justice and school. That's exactly what we're putting in place. The opinion is really unfavorable.
ParlaMint-FR_2021-12-01-O1080.u478	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u479	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u480	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2021-12-01-O1080.u481	[[Ms. Karine Lebon applauds]] If you wish, you can come to my riding to visit the Continuous Wire, an institution located in front of a college located in a priority education area. When, for various reasons, students are excluded from the college, they are cared for by educators who are not part of the JJP and who are involved in extracurricular activities. This makes it possible not to leave excluded children in the street or at home. Efforts are being made to repair, educate and ensure that the things that have been done in the school compound are dealt with in an educational and non-judicial manner. There are answers and they have very encouraging results.
ParlaMint-FR_2021-12-01-O1080.u482	Amendment No 29 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-12-01-O1080.u483	I have before me five identical amendments, Nos 22, 51, 73, 110 and 115, which are the subject of a sub-amendment No 135. Mrs Blandine Brocard has the floor to support Amendment No. 22.
ParlaMint-FR_2021-12-01-O1080.u484	Article 6 refers to accountability in school life. School life is a very special reality in schools and institutions, since it refers to the activities of the principal education counsellors and education assistants. The amendment is therefore intended to replace the words "responsibility for school life" with the words "awareness of harassment risks".
ParlaMint-FR_2021-12-01-O1080.u485	Very well defended!
ParlaMint-FR_2021-12-01-O1080.u486	The rapporteur has the floor to support Amendment No. 51.
ParlaMint-FR_2021-12-01-O1080.u487	The amendment is identical. It's a device that we built together with several groups to change the name that was inappropriate.
ParlaMint-FR_2021-12-01-O1080.u488	Identical amendments Nos 73 by Mrs Michèle Victory, 110 by Mrs Agnès Firmin Le Bodo and 115 by Mrs Cécile Rilhac are being defended. I call Mr Bruno Fuchs to support sub-amendment No. 135.
ParlaMint-FR_2021-12-01-O1080.u489	Much of the harassment on social networks is to add the words "and to the use of social networks".
ParlaMint-FR_2021-12-01-O1080.u490	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u491	The sub-amendment was satisfied with the current wording. The name of the internship is broad enough to cover different forms of harassment, including cyber-harassment. Your concern is right, but she's satisfied. I would ask you to withdraw the sub-amendment.
ParlaMint-FR_2021-12-01-O1080.u492	I put to the vote identical amendments Nos 22, 51, 73, 110 and 115.
ParlaMint-FR_2021-12-01-O1080.u493	The result of the vote is as follows: Number of voters 61 Number of votes cast 61 Absolute majority 31 For adoption 57 Against 4
ParlaMint-FR_2021-12-01-O1080.u494	Amendment No 26 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-12-01-O1080.u495	Mrs Laetitia Avia has the floor.
ParlaMint-FR_2021-12-01-O1080.u496	After the vote on article 4 and the creation of the new offence of school and university harassment, it will be possible to moderate the content of school harassment on social networks. A decree on the application of the law to uphold the principles of the Republic, which will enter into force on 12 January, provides for the following obligations: to report the contents of school harassment and to treat them as soon as possible; a follow-up to be carried out with trusted signallers; appropriate means of moderation; judicial cooperation; transparency reports that will allow for a better study of the evolution of this scourge; due diligence, moderation and transparency measures under the supervision of the regulator, with penalties of up to 6% of the platform's global turnover.
ParlaMint-FR_2021-12-01-O1080.u497	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2021-12-01-O1080.u498	I do not have the honour of sitting on the Committee on Cultural Affairs and Education, but I have been attending the debate for a while and I must express my astonishment. I understand very well that, in the current context, there is a need to tighten the penal provisions with the creation of a school harassment offence. Article 4 responds to this need, which is very interesting. There is, however, a paradox: in the context of Article 6, you have just accepted something completely inconsistent. You have removed the concept of accountability by replacing it with the concept of awareness.
ParlaMint-FR_2021-12-01-O1080.u499	This has nothing to do with Article 7!
ParlaMint-FR_2021-12-01-O1080.u500	I am not talking about Article 7, but about the consistency of your text, Mr Balanant. Listen, I have the right to speak.
ParlaMint-FR_2021-12-01-O1080.u501	Yes!
ParlaMint-FR_2021-12-01-O1080.u502	[["Oh! » on the benches of the Dem group]] It's really "at the same time": you're more harshly punishing school harassment and, at the same time, you're doing awareness rather than accountability. It's completely incoherent, it suits you.
ParlaMint-FR_2021-12-01-O1080.u503	On Article 7, I have a request for a public vote before the La République en marche group. The vote is announced in the National Assembly. Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2021-12-01-O1080.u504	We were told in committee that the crime must be characterized to be understood as platforms. I hear it, even though publications that seem harmless are sometimes suppressed when others, serious or even criminal, are maintained. In any case, how can school harassment be characterized? The element of repetition is not sufficient to distinguish it from other forms of harassment, nor is the posting of images, including pornographic images, without the consent of the person to be harassed, racist, transphobic or lesbian insults, to name but a few criminal elements characterizing harassment. Characterizing school harassment like the one that happens in school is not what will allow the platforms to better cope with it. So I don't see what the notion of school harassment will add to the rule of law from this point of view: enlighten me!
ParlaMint-FR_2021-12-01-O1080.u505	Mrs Anne Brugnera has the floor to support Amendment No. 6.
ParlaMint-FR_2021-12-01-O1080.u506	While pursuing the objective of increasing the fight against school harassment on social networks, this amendment by my colleague Raphaël Gérard aims to clarify the duty of vigilance entrusted to the platforms with regard to school cyber-harassment. Article 6 of the Law on Trust in the Digital Economy – LCEN – provides for an obligation to promptly withdraw content that is manifestly illegal and denounced as such by a third party following a report. The addition of an autonomous offence relating to school harassment to the list of offences whose platforms must stop broadcasting is of interest to facilitate their reporting by users. On the other hand, there appear to be some operational difficulties. In its decision of 10 June 2004 on the ECL, the Constitutional Council specified that the information complained of must be "clearly unlawful". The reported infringements should therefore not be subject to interpretation by operators. However, with regard to the offence of school harassment, it may be difficult in practice for the moderators of the platforms responsible for examining the content to characterize the offence and, where appropriate, to be aware of or establish that the content in question is the act of "a person studying or carrying on a professional activity in an educational institution against a pupil enrolled or previously enrolled in the same institution". In this context, this amendment proposes to streamline the scope of Article 7 of this Bill by limiting it to offences that may be characterized by reason of the contents themselves, namely the acts constituting harassment referred to in paragraphs 1 to 4 of Article 222-33-2-2 of the Criminal Code on which the definition of the autonomous offence of school harassment is based.
ParlaMint-FR_2021-12-01-O1080.u507	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u508	Platforms already deal with reports of sexual harassment. However, in order for the offence to be constituted, I repeat, there must be repeated acts by the same or several perpetrators, even though they were not aware of the fact that it was harassment. Platforms are not asked to make a "prejudice" because they are not there to judge. They are simply asked to moderate the statements that clearly fall within the scope of this offence; It will not be more complicated in terms of school harassment: it will be exactly the same, and I think that by saying that, I am responding in part to Mrs Faucillon's question. Opening the system to all cases of harassment would pose a problem of effectiveness: the competent authorities to receive alerts from the platforms would find it difficult to get anything out of it. School harassment can have consequences that are all the more serious because children cannot escape from this virtual sociability. That is why this text tends, thanks to this new criminal qualification, to oblige the platforms to moderate.
ParlaMint-FR_2021-12-01-O1080.u509	I put Rule 7 to the vote.
ParlaMint-FR_2021-12-01-O1080.u510	The result of the vote is as follows: Number of voters 67 Number of votes cast 62 Absolute majority 32 For adoption 62 Against 0
ParlaMint-FR_2021-12-01-O1080.u511	Mrs Isabelle Valentin has the floor to support Amendment No. 16.
ParlaMint-FR_2021-12-01-O1080.u512	With this amendment, we request that the Government submit a report to Parliament on the relevance of protocols to deal with harassment situations in institutions. The aim of this appeal amendment is to alert the Government to the distress felt by school directors and all educational teams, who are increasingly confronted with serious harassment situations and who deplore the lack of resources available to them. A global reflection must be carried out with the help of them to develop protocols more adapted to the reality of the field.
ParlaMint-FR_2021-12-01-O1080.u513	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u514	[[Exclaims on a few benches in the LR group]] The opinion will be unfavourable to all requests for reports. As the reports are requested from the Government, I will allow it to respond on this point. I would simply remind you that Parliament already has the power to evaluate the law, and the chairman of the committee, Bruno Studer, will certainly create an information mission to evaluate this text.
ParlaMint-FR_2021-12-01-O1080.u515	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u516	As far as reports are concerned, you know our doctrine: we are systematically opposed to them. This does not mean that we are opposed to the evaluation of public policies; This is even the opposite, for the reasons that the rapporteur has just mentioned. In addition, there is now a school evaluation board and the PHARE programme also provides for an evaluation.
ParlaMint-FR_2021-12-01-O1080.u517	I'll see to it!
ParlaMint-FR_2021-12-01-O1080.u518	So your expectation is satisfied. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u519	I call Mrs Sabine Rubin to support Amendment No. 103.
ParlaMint-FR_2021-12-01-O1080.u520	We are asking for a report assessing the number of missing staff in schools to effectively combat school harassment: it is good to have obligations of means but without means, it is complicated. You are talking about evaluation, minister: it is certainly interesting to evaluate public policies, but why did you refuse to include the fight against harassment among the performance objectives of the 230 Student Life program in this case? Why deprive yourself of such an evaluation tool?
ParlaMint-FR_2021-12-01-O1080.u521	Mrs Geraldine Bannier has the floor to support Amendment No. 21.
ParlaMint-FR_2021-12-01-O1080.u522	The purpose of this request for a report is to assess the application throughout the territory of the prevention and information measures deployed to all actors and by these actors themselves. Indeed, some schools have been doing school harassment prevention for several years – I myself have taught in a very active college in this field since 2015, carrying out very spectacular operations. These initiatives must be able to be generalized after they have been evaluated.
ParlaMint-FR_2021-12-01-O1080.u523	I call Mrs Agnès Firmin Le Bodo to support Amendment No. 75.
ParlaMint-FR_2021-12-01-O1080.u524	This amendment by my colleague Benoit Potterie aims to strengthen the existing system by providing for the appointment of a reference staff from the educational staff in each institution. It is proposed that these referents be given discharge time. The rules on financial admissibility lead us to request a report assessing this measure.
