ParlaMint-BG_2015-11-26.u1	I'm opening the meeting. Mr. Hristov's procedure.
ParlaMint-BG_2015-11-26.u122	Thank you. Is there a line to Mrs. Georgieva's statement? I won't. The next statement is from Mrs. Daniela Daritkova.
ParlaMint-BG_2015-11-26.u123	Mr. Chairman, ladies and gentlemen of the House, Mr. Minister! I will concentrate my speech on the Draft Law on Amendment and Supplement to the Higher Education Act, No 554-01-153, submitted by the MPs Borislav Velikov and Milen Mihov on 15 September 2015. The project proposes the introduction of a new structure of the higher school. In essence, it is a form of foreign education. In this respect, it should be borne in mind that the provision of art. 25, para. 4 of the Law on Higher Education regulates the branch as an exported structure of the higher school, and § 4 of the Additional provisions of the Law on Higher Education regulates the possibility for Bulgarian universities to reveal their units abroad, under conditions and under the Law on Higher Education and subject to the legislation of the host country. The proposed texts make it clear that the territorial unit of the faculty is not an independent unit and that the faculty management bodies are responsible for the training and management of the territorial unit. In this respect, it should be noted that the faculty is a primary unit of the university which does not have an independent legal personality is not an independent legal entity. This raises a number of issues related to the organisation, activity control and accreditation of the territorial unit, as well as the legal form in which it will exist abroad. The proposed framework, in my opinion, creates the concept of a territorial unit, which is close to the concept of a Philial, but its essence is not sufficiently clear and consistently regulated in the texts of the Project. The project also proposes an amendment to the Health Act, allowing partial training in individual disciplines, which have relative autonomy in the overall educational process in the specialties of the professional fields of medical science, dentistry, pharmacy, or public health to be organized and carried out in the territorial departments of the relevant faculties abroad. In this respect, it should be noted that according to art. 175, para. 1 and 2 of the Law on Health, Preparation and Acquirement of the Educational and Qualification Degree "Master" is organized and conducted in the faculties of higher schools which received accreditation under the Law on Higher Education and the preparation and acquisition of the educational and qualification degree "Bachelor" under art. 42, para. 1, t. 1 point (b) of the Law on Higher Education in the specialities of the professional field of health and in the specialities of the medical nurse and nurse,.............................................................................................................................................................................................................................................. The possibility in territorially exported structures to study only certain disciplines in a particular speciality is contrary to the principle concept of medical training for the integration of preclinical and clinical disciplines. The adoption of the amendments proposed in the Bill and their implementation would, in my view, result in a deterioration in the quality of the training, as already stated in the Law. 1 reason, as well as difficulty in providing sufficient intellectual and financial resources to conduct such training. Control of the organisation and quality of the learning process is envisaged to be remote due to the lack of administrative autonomy of the exported structure. I believe that such changes would stimulate young people to focus on similar structures and permanently settle abroad. Training in structures of the proposed species will not have a self-defined capacity for admission and training of students. The number of students trained in such structures will be part of the approved by the National Evaluation and Accreditation Agency for the respective specialty. In order to ensure the reception of foreign citizens within the framework of the established capacity for the respective speciality, the admission of Bulgarian citizens should be reduced. Higher public schools perform the social function of providing equal access to education to Bulgarian citizens. Such changes in the Law on Higher Education will limit the access of Bulgarian citizens to higher education, create prerequisites for national interest and responsibility to give in to private economic interests. In accordance with art. 9, para. 2, p. 1 of the Law on Higher Education for the Opening of Branches and Faculties, where training in specialties from regulated professions is carried out, a decision of the National Assembly is required. These structures in the Law on Higher Education are subject to a number of requirements in art. Article 26 and Article 26 26c, as well as one of the most important is the evaluation of projects for the opening of a faculty and branch of the National Agency for Evaluation and Accreditation, art. 75, para. 4. For the opening of a territorial unit abroad, including training in regulated professions, according to the Project is a sufficient solution of the academic board of the higher school without requiring a decision of the National Assembly and evaluation of the Project by the National Evaluation and Accreditation Agency. No other requirements have been set to the territorial unit, including with regard to the academic staff and structure, which calls into question the quality of training in the proposed structure. My view is that with the regulatory framework created, it is created parallel to the existing one. Similar arguments for failure to support this bill have also been made by the Ministry of Health. Similar are the arguments and objections of the Association of University Hospitals, some of the medical universities in the country. Therefore, I believe that if the will of the Members of the National Assembly is to support the proposed Bill, in which the intentions are definitely good, the texts will need very serious judgment and we will commit ourselves to clarifying them between first and second readings.
ParlaMint-BG_2015-11-26.u124	Thank you, Mrs. Daritkova. Are there any lines to that statement? I won't. Three other MPs have signed up in the following order: Boyka Marinska, Velizar Enchev, Lutvi Mestan. If there's more, let them report it. Here you are, Mrs. Marinska.
ParlaMint-BG_2015-11-26.u125	Thank you, Mr. Chairman. Colleagues, the six drafts submitted concern different aspects of the Law on Higher Education from the status and organization of the activities of the National Representation of Student Councils, through binding the quality of higher education to a greater extent with differentiated funding, to the disclosure of units of Bulgarian universities abroad. It is obvious that the system of higher education needs reforms, and we all here have no disagreement on this issue - reforms that will meet the goal of the Europe 2020 strategy for smart, sustainable and inclusive growth, growth in the Higher Education Strategy. The changes must, however, be in the direction of improving the quality of higher education and the development of research in them. On the first Bill submitted by GERB and the Reformation Bloc, our colleagues from GERB worked quite a lot of time to refine all the texts. We have worked fruitfully with them and I can say that such cooperation should always serve as a model for work between members of a committee in parliament. The main objective of this Bill was the introduction of new rules for the National Representation of Student Councils and the introduction of a mandate of members of the National Representation and rules for their financing, the optimization of the activities of these councils. That is why we of the Reformation bloc will support this bill. With regard to the next drafts tabled by the Council of Ministers, the opinion of the Reformation bloc is also for support. Regarding the bill submitted by Borislav Borisov by ABB, we have observations on § 7, § 8 and § 13. Paragraph 7 provides for a reduction in the requirements for the establishment of a faculty, i.e. senior assistants will be considered as habilitated persons for the purpose of achieving the requirements for staff. We believe that this will prevent the closure of non-functional units and non-functional faculties in the system of higher education and will contribute largely to the swarming of universities and higher schools. In § 8 we see the possibility of lobbying the provision of research institutes to be able to become quasi-faculties. We consider this a way to circumvent legal requirements. § 13 of the same Bill attempts to define that the basic contract of employment for the purposes of the Law is only the one on full-time. We believe that the technique is poor because it is heading towards the provisions of the Labour Code for a 40-hour work week, and the working hours of teachers in higher schools are far less. Another formulation should be considered. Between first and second readings, we intend to take advantage of our right to proposals to redefine these texts. Thank you.
ParlaMint-BG_2015-11-26.u126	Thank you. Are there any lines to the statement? I won't. Mr. Enchev, you have the floor to speak.
ParlaMint-BG_2015-11-26.u127	Mr. Chairman, ladies and gentlemen! I fully join Mr. Rumen Gechev's opinion when he commented in full on the request for a comprehensive Law on Higher Education and, above all, on the introduction of a minimum threshold for the payment of academic posts, the so-called................................................................................. As he said, an assistant should have two minimum salaries, chief assistant at least three minimum salaries, associate professor "four minimum salaries," professor "five minimum wages." An old wisdom states that whatever they say to you when they speak to you, it's only about money. Yeah, it's about money! I consider it normal for a professor in Bulgaria to take no less than the salary of a MP in the National Assembly! Otherwise, I would say that we put the Bulgarian academic staff in a discriminatory position. I would now like to give my most important consideration and the most important remark for which I have been lobbying for five years now.. five years after the introduction of the Law of 2010. Colleagues, strangely enough, to some, the retrograde, the third, may sound progressive, I think it is time to return in some form by another name to the Supreme Testimonial Commission. Why? Because we introduced one to a Romanian model in the award of academic titles and degrees, despite Romania's warning on the basis of their practice, that hundreds of professors, docs, were produced in Romania for 5 years, not to mention doctors of science! This Law in Bulgaria in its most vicious Romanian version for these five years has degenerated into the following. On the principle, you have been born in quotes hundreds of new professors and doctors, and according to the speeding procedure, I say again, on the principle of you, you to me. At this point, they were produced per kilogram of professors and doscs without having the necessary scientific qualities, without having real criteria for assessing their work Doctoral students who have spent years trying to become PhD students in the existence of the Supreme Testimonial Commission immediately after the introduction of this Law will confirm here people from the academic circles have literally managed to do doctorate in a few months. Naturally, the level is extremely low! It's no secret. What happens with the work of the higher attestation committees on educational institutions devalues the scientific degrees and titles and worsens the quality of teaching, and, of course, I repeat, this is the fault of the 2009 Law. I believe that it needs a radical change The rules on terms and conditions for acquiring scientific degrees, if we do not want them to devalue not only in our eyes, not only in front of our students, but also in front of the world community. If you don't believe me, see the rating of the Bulgarian universities against the rating of the other universities in the West and in the East! The Romanian model must be rejected by one blow, especially by legislative ones! I would also like to draw attention to the fact that one of the most important indicators related to the possibility of a quality level of the learning process is the ratio between the number of students trained and the number of teachers. I'll give you a statistical reference that says the trend is quite alarming. In 2012, compared to 1990 or in 22 years, the number of students in those years has increased exactly twice, and for the same period This is an extremely unpleasant and worrying trend for which there is only one explanation for money, low, miserable salaries that do not allow quality development of the academic staff. Finally, I would say that in the new Law, unfortunately, there is a very strange ratio between the planning reception in higher education institutions and the number of graduates of secondary education, which means that every student with an average success of 3.00, even with an assessment of 2.99, is only required to apply to the university in order to become his student! Such a mediocre student who automatically becomes a student will also be mediocre as a student! By the way, just a week ago the new Rector of Sofia University St. Kliment Ohridski is launching a similar idea for exams to become entrances to higher education institutions. It is understandable that the Rector of Alma Mater wishes to increase the candidate flow to Alma Mater. Every university fights for more students, but I ask myself: wouldn't this be at the expense of the quality of the students trained?! Won't the weakest and the unprepared get in?! Thank you for your attention. I hope that between first and second reading all these remarks will find their reflection.
ParlaMint-BG_2015-11-26.u128	Thank you. Are there any lines? No. He has the word Lutvi Mestan. After that, "Julian Angelov.
ParlaMint-BG_2015-11-26.u129	Thank you, Mr. Chairman. Dear Minister, ladies and gentlemen of the House! I am not going to repeat what I have already done correctly about the need for a whole new Law on Higher Education. I will just remind Mr. Minister that this is an obligation, as well as a strategy for the development of higher education. These six bills that we consider at today's meeting only show that the main body of the Law on Higher Education no longer reflects the new educational realities in which Bulgaria is located as part of the common European educational and scientific space. I also could not agree with the claim that the fact that we are looking at six laws today is a criterion for conducting a reform of higher education. No! I think the more correct definition here is that a number of drafts of these six govern important aspects of higher education, and therefore five of them will also receive the support of the Parliamentary Group of the Movement for Rights and Freedoms. However, I believe that the discussion about the reform of higher education, dear Minister, has not even begun, let alone claim that a policy of reforms in higher education is taking place! Reform there will be when Bulgarian society and we are all convinced that behind the certificate of completed higher education is the minimum of competences. Unfortunately, in society there is a severe feeling and this is confirmed by a number of employers' analyses that the higher education diploma has long been no criterion for an exestic minimum competence to suggest successful realization of the labor market of graduates of higher education. Fact! We need to analyze the deep root causes of this. I will point to one that I hope no one will argue with. There is fear of applying the assessment standards for the simple reason that all higher schools are interested in a reverse process by lowering the admission criteria to have a maximum number of students because this indicator continues to be the only one for the financing of higher schools. In the same way they are pressed by the circumstances to lower the criteria for graduating from high school, to complete one, second, third year. You know that in our time it was very, very difficult to graduate from higher education. Now this is far from the most difficult challenge. And you and I know the reasons for that. Furthermore, I believe that in the current Law there are still some already too archaic, purely quantitative criteria for who can become a bachelor. Where in the world that you're very familiar with, I follow all your speeches and I dare say that the analysis is accurate to you, there is this absoluteization of the criterion, the quantitative criterion to study at least four years, eight semesters to complete your bachelor's degree? It seems to me that the system of accumulation and transfer of credit itself that has already been adopted should give advantages to the quantitative criteria for acquiring educational and qualification degrees in higher education. I am convinced that there are a number of specialties in which the educational-qualification degree can be acquired in six semesters, can be acquired in seven semesters. I can be even more specific about what is a nurse or midwife studying for four years? Eight semesters?! Who needs this? We made that mistake that coalition! Despite my warnings from this very tribune. We read the directives wrong. I wasn't heard, I'm not pointing out, but I can pull the stenographic protocols. No one asked Bulgaria for training for nurses and midwives for four years. They wanted to meet quality criteria. It's time to get that restriction in the Law. It's really insane. That would already smell like reform. Of course, I will also solidarity with the thesis expressed that the right policy for massaging higher education should not be at the expense of the final intellectual product which the Bulgarian universities produce. And combining the process of massaging higher education by devaluating quality criteria is unfortunately combined with an even more dangerous process of massisation and the process of acquiring academic positions and degrees. Not that it's bad to have more doctors on our own, to have more docs and professors.
ParlaMint-BG_2015-11-26.u130	Do you need an increase in time?
ParlaMint-BG_2015-11-26.u131	Yes, I'm pleading to increase the time. But if this process is not combined with the extraction of an existent-minimum, uniform scientific fitness criteria, and here I remind you once again that the word "habil" in literal translation means fit, fit for science we will not have made the reform. Absolutely. As for the specific bills, we will support this with importer Milena Damyanova and a group of MPs from GERB and the Reformation bloc. We, unlike colleagues from GERB, will also support the Bill of Prof. Borislav Velikov, because we think...
ParlaMint-BG_2015-11-26.u132	Docent.
ParlaMint-BG_2015-11-26.u133	Excuse me? Did you withdraw it?
ParlaMint-BG_2015-11-26.u134	No, I'm still an associate professor.
ParlaMint-BG_2015-11-26.u135	Assoc. The consolation is that it's not in the opposite direction. Because I think it is good for Bulgaria to make efforts to export an intellectual product. There's nothing wrong with that. Without going into detail, if it is necessary to refine the texts, to do it between first and second readings, but at first reading to give this bill a chance. We will also support the Law on Amendment and Supplement to the Higher Education Act submitted by you, Mr. Minister. I will not go into detail because the main statement I presented at the meeting of the Educational Commission. However, I would say that your initiative can also become a reform tool if your proposal to introduce the figure of a university that meets the requirements for research, this idea developed in the direction of art. 17, because this is the main member that regulates the types of higher schools in Bulgaria. The member says that the higher schools in Bulgaria in hierarchy are in order to notice the colleges, specialized universities and universities. That should mean colleges being at the broadest foundation of the educational pyramid. There's no such thing. Of 52 higher schools in Bulgaria, colleges remained several. At the next level should be specialized higher schools, universities, to cover far higher requirements of the current Law in order to be universities. What happened in Bulgaria? Since the adoption of this Law, everything that is a university has become a university. There are a few exceptions. When we have a differentiation of higher schools, but they've all practically become universities, Mr. Minister, we with this process have destroyed who killed the idea of a university. When everything is a university, we no longer have a university as a distinguishing marker from other types of higher schools. And what in other countries at best is a faculty at the university-mother, with us is not just a separate university, but a university now. I can also give you examples, but not to raise a scandal that we are proposing their restructuring. Therefore, if this idea is further developed and through it we rehabilitate the original idea laid down in the Law on what is a university or, in other words, the research universities are reflected in a separate order in art. 17 and on very strict criteria to be met, only part of higher schools acquire this status, you will also have the legal basis to unfold the real reform in terms of differentiated funding of higher schools, according to the quality of the intellectual product. If we agree on this between first and second readings, I will already agree with you that the reform has begun and in agreement, as it suits us when we talk about education and science, [[the President signals that time has run out]] we will have made an important reform of higher education. Thank you.
ParlaMint-BG_2015-11-26.u136	Thank you. Are there lines?
ParlaMint-BG_2015-11-26.u137	We will not support Mr. Slavov's Bill because he is offended by university autonomy. Thank you.
ParlaMint-BG_2015-11-26.u138	- What's the line? I won't. The last statement was Julian Angelov. Here you go. In the meantime, are there any other volunteers? I won't. Then Minister Tanev will answer some of the questions raised.
ParlaMint-BG_2015-11-26.u139	Mr. Chairman, Mr. Minister, ladies and gentlemen! I will address a topic which has been missed in these bills, but is also very important in view of the Bulgarian national interests, in view of the severe demographic crisis that is in Bulgaria, in view of the lack of young people who are enrolled in the Bulgarian higher education institutions. This topic is the reception of Bulgarians abroad. It is not affected perhaps only in one bill, where it concerns the opening of subsidiaries abroad, which is the problem with the higher education institution in Taraklia, which will eventually be able to become a subsidiary of a Bulgarian university and remain a Bulgarian educational institution. I do not see any proposals in the bills that concern how and in what way to ease it, to attract more students, Bulgarians abroad, who will come to study in the Bulgarian educational institutions, provided that every year 10 thousand units in Bulgaria remain free. The quota for Bulgarians abroad every year is shameful. She's 400 people. Four hundred people for Macedonia, Serbia, Albania, Moldova, Ukraine and so on. This year there were twice as many Bulgarians from Ukraine who applied to study higher education in Bulgaria. Naturally, with the quota allocated, there was no way to accept all of them. My request is to all importers and all Bulgarian MPs, respectively to the Ministry, to invent and to make concrete proposals for second reading, where it can legally be noted in the laws themselves that these people with priority are accepted in the Bulgarian higher education institution, that these people are supported by the Bulgarian state, that this number cannot be 400 people. I will give you an example in Romania, the Ministry of Education grants 2,000 units only for students from Moldova for free. Only for Moldova! And we, who are short on people who are enrolled in our educational institutions, for whom the state grants funds and remains unoccupied, are deprived of the Bulgarian diaspora, which can be attracted. That's why, Minister, my appeal is to you! Let the Ministry of Education engage more directly with the problems of Bulgarians abroad and their education, because this is more important than presenting Davutoglu's books at BAS. This is much more important because this is Bulgarian national interest and the other is Turkish national interest. Thank you. [[Noise and lines from DPS.]]
ParlaMint-BG_2015-11-26.u140	Is there any line to Mr. Angelov's statement? I won't. There are no other speeches. Mr. Minister, please answer the question and summarize the discussion.
ParlaMint-BG_2015-11-26.u141	Mr. Chairman, honourable MPs! At the last I will say that the presentation of books has nothing to do with it three times I have intervened our policy since Levski with that name. I absolutely agree with Mr. Mestan's last statement, especially for art. 17. In practice, I hear the great support for the Law on Amendment and Supplement to the Law on Higher Education and, if there is a discontent that is latent in every speech, it is that it is not more complete, it is not more uniform and it is not new. I've given myself permission to use it, Professor. Georgieva, the word "reforms" for one thing only. I explain to everyone that this is a step towards reforms and if they are strengthened, they strengthen between first and second readings with the amendments that we all agree on, I would be more pleased that the step is not only first but also large. As for the other, more of the speakers spoke in the future time, with.................................................................................................... I agree that a new law must be made. This must also be done materially, with substantial degrees of debate and finally with agreement. But it'll take time. That is why we need this Bill now, as long as it will take to adopt something and have consensus on it, which will be real for further. Therefore, I ask that it be supported, that what is now offered from six places is actually details of the same thing. These are the mini measures that must exist for nothing else, leave the other, there are many reasons that there are, but to match the requirements of the operational program because we are starting. We went great and the second Monitoring Committee, the Ministry did its job perfectly this year, now the money is coming. I will hardly speak, but I agree that it is not enough to look at the rating, it is not enough to look at the finances - yes, because besides finance there is also a structure. The structure and finances of the higher education institution coincide. With the old structure that we find at the moment, give them money for a common rating of the entire school, give the rector his money, with this money he will strengthen feudalism inside, will strengthen those who supported him, at the expense of those who did not support him. Because the choice of university management bodies is exactly the same as the choice of political representatives like you with secret votes, with I do not know what other measures and weights, except one which, by the way, is the tip of ice cream, namely how many books there are and how they are known. We're very jealous about something else. The most important structural unit of a university should be the department. In Bulgaria there is a university that makes it a new Bulgarian university. Abroad, all universities are on this principle. And in the archaic law that we are now toweling, no one has proposed one thing that needs to be done is not the time for it now in the ZID, but in a new Law, the Faculty. The faculty was the main one. What is the faculty, besides representatives of several majors, of which traditionally some are stronger and others are weaker? To all who are inside them, the IQ is very high. But when from one specialty they offer some other things, like some people have hours, something that is abstract or absurd, with many hours and unnecessary, the other specialties do not have the motivation to stop it. Give the money, let us give the money under a European programme to the current structure this will mean that with European money we respect the law of being anti-European. That's why I want a new law. But today we are gathered for who we need at this stage. Let's do it, let's make it the first step towards something that's more important. As for my expertise, Mrs. Professor, we will not talk about this, as Mr. Mestan said, about my teaching, but I am talking not about the tourist english, but about a lecture somewhere, but systematically, year-roundly, with student evaluations for every subject I have. I'm not talking about the management and authorship of two majors at Sofia University. I'm not talking about being on the Supreme Testimonial Commission and being taller than his lowest then... That's not what we're talking about. On this basis I have a feeling that I have to work, that I agree to work, but on the contrary I feel that I am the only one to do things alone. There are a lot of people in this room alone, so there's a debate that we think closely, together, but not equally. There are professors here, there are professors out there, and without consent we will achieve nothing. Everyone's nothing together. We're gonna do this thing. Thank you very much.
ParlaMint-BG_2015-11-26.u142	Thank you, Mr. Secretary. We can now move on to voting on the several bills in the order of their submission. I put to the vote a bill amending and supplementing the Law on Higher Education, No 554-01-84, submitted by Milena Damyanova and a group of MPs on 29 April 2015. Vote 124 MPs: 107, Against 8, abstention 9. The bill has been passed. I am voting on the Draft Law amending and supplementing the Higher Education Act, No 502-01-42, submitted by the Council of Ministers on 1 June 2015. Vote 126 MPs: 109 against 8, abstention 9. The bill was passed at first reading. Please vote on the next Draft Law amending and supplementing the Higher Education Act under No 554-01-143, submitted by Peter Slavov and a group of MPs on 24 July 2015. Vote 128 MPs: 54, Against 19, abstention 55. The bill hasn't been passed. Come in for a re-vote. [[Noise, lines from SG to DPS.]]
ParlaMint-BG_2015-11-26.u143	Dear Mr. Chairman, colleagues! I'm asking for a re-vote. There were colleagues who were still coming in and couldn't vote. In addition, I heard around my colleagues from GERB. Looks like some kind of misunderstanding worked out, just to rethink it. [[Noise and lines.]]
ParlaMint-BG_2015-11-26.u144	Mr. Mestan wants the same procedure for revoting, but since I was under the impression that he would want another procedure outside of the one concerning the bills, I gave the floor to Mr. Slavov.
ParlaMint-BG_2015-11-26.u145	Thank you. My fellow Members, I have asked for this procedure not only because of these few people who have entered at the last moment and have failed to vote, but to appeal, above all, to the majority to reject this bill because it is offensive to the academic community in Bulgaria. This is the most brutal intervention in university autonomy that has been done in 25 years. Let me just remind you once again what you supported just now: a requirement for an academic person to take up the position of a Rector if he had previously had a minimum of 10 years of experience. And I ask: if a great professor, a great authority on the date of the election of Rector is 9 years and 364 days old, he has no right to run because he needs another day to mature as Rector? It's not just insulting, it's really embarrassing! There's nothing on the right side of this proposal. That's not right policy. With the new Law, we encourage younger academics, and now we restrict them to take academic, management positions. Excuse me, this is really embarrassing! And the Minister is good enough to still express his attitude and tell you where there are such restrictions in the world. [[Heckling]] We cannot, because of a specific case in Svishtov, violate the principle of university, academic autonomy. There's still a chance to spare yourself the shame and inconvenience. Thank you.
ParlaMint-BG_2015-11-26.u146	Once the re-election procedure is over, we have to announce it immediately. The bill of Mr. Slavov and a group of MPs. They voted 125 MPs: 41, against 28, abstention 56. The offer is not accepted. Procedure in the manner of conducting Mr. Slavov.
ParlaMint-BG_2015-11-26.u147	Madam President, my remark is rather to your colleague, who had previously led, but it seems to me that a re-voting has the opportunity to be asked once by the Rules, and not to ask another person a second time, once such a re-voting has already been requested, and to essentially motivate arguments about a thesis or against a thesis, because that is exactly what has happened now. And I really patiently waited, and it seemed to me that you had to give me the opportunity to make this objection before the vote to understand what was going on. It is clear to me that, and I understand from Mr. Mestan's statement that he is still and essentially against this bill. I know that they are quite liberal in their parliamentary group, accepting people who have not learned their education, but here we have talked about some additional criteria that still seem reasonable to me as regards the rector of a higher education institution, to be met so that he can really self-esteem to lead the higher education institution in the interests of everyone, but whatever. That would have made sense to say it before the vote. Thank you.
ParlaMint-BG_2015-11-26.u148	In this part of your procedure in the manner of conduct which concerns my actions, I would like to inform you that when we are in voting mode, and the re-voting procedure is precisely a announced voting procedure, it must first consist of: the proposal, the re-voting and only then to give the procedure requested by you in the manner of conduct. For this reason, I find it untenable for your objection. I put to the vote a bill amending and supplementing the Law on Higher Education, No 554-01-152, submitted by Borislav Mihailov Borisov on 15 September 2015. They voted 123 MPs: 96 against 6, abstention 21. The motion is accepted. I put to the vote a bill amending and supplementing the Law on Higher Education, No 554-01-153, submitted by Borislav Velikov and Milen Mihov on 15 September 2015. They voted 122 MPs: 99, none, abstention 23. The motion is accepted. Let's vote on the last Draft Law at first reading... A draft amendment and supplement to the Law on Higher Education, No 554-01-156, submitted by Rumen Gechev and a group of MPs on 16 September 2015. They voted 119 MPs: 25, against 61, abstention 33. The bill was not adopted at first reading. Moving on to the next point: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR THE TERRITORY TERRITORY LOCATION. Report for second reading Mr. Zelenogorski. Please come in for a procedure.
ParlaMint-BG_2015-11-26.u149	Madam President, honourable Members! I am making a procedure for admission in the hall of: Nikolay Nankov Deputy Minister, Milka Gecheva Head of National Building Control Directorate, Lydia Stankova Director of the Directorate of the Ministry of Regional Development and Public Works and Stoyanka Ilova Expert in the Directorate of Law.
ParlaMint-BG_2015-11-26.u150	I shall put the proposal to the vote. Vote 80 MPs: 74 against 4, abstention 2. The motion is accepted. The Quaestors, invite the guests. We're listening, Mr. Zelenogorski.
ParlaMint-BG_2015-11-26.u151	Thank you. Madam President, honourable Members! The Law on the Construction of the Area is amended and supplemented by the Law on the Construction of the Area. The Commission supports the text of the importer on the name of the Law.
ParlaMint-BG_2015-11-26.u152	We vote. Vote 87 MPs: 87 against and abstention no. The motion has been adopted unanimously.
ParlaMint-BG_2015-11-26.u153	§ 1 "A proposal from the National Representative Nayden Zelenogorski: The following amendments and additions shall be made in § 1: (a) point 1 is amended as follows: In Al. A third sentence is created: The composition of the competition commission may include representatives of professional organizations in the field of planning, investment design and construction. (b) point 2 is deleted. The Commission does not support the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 1: ................................................................................... In Article 4 (1) (b), point (c) is replaced by 1. In para. The 2th sentence first is finally placed comma and is added by participating in the competition committee for free or at the expense of the organization they represent, representatives of the Chamber of Architects in Bulgaria and of the Union of Architects in Bulgaria. 2. In para. 4 Finally a comma is placed and is added by inviting representatives of the Chamber of Engineers in the investment design, the Chamber of Architects in Bulgaria and the Union of Architects in Bulgaria.
ParlaMint-BG_2015-11-26.u154	Statements? Here you go, Mr. Markov.
ParlaMint-BG_2015-11-26.u155	Madam President, honourable Members! In Article 4 (1) (b), point (c) is replaced by the following: 5, para. 2 and 4 is regulated the way to elect a Commission which elects a chief architect and, respectively, in para. 4 For Expert Council. On the initial proposal of the importer, one third of the composition of the Commission was asked to be from two organisations... The Union of Architects and the Chamber of Architects. This, for me, is a gross interference in the work of majority elected mayors who have the right to exercise their policies, and it is related to the personality of the chief architect, who is usually directly subordinate to the mayor or to the respective deputy mayor. By the way, the powers of the chief architect do not relate only to planning and investment design. He's also in charge of construction in a municipality, so I don't see any logic in bringing in these exact two organizations, and by law, through the mayor's head, to determine who's to be the chief architect. Mr. Zenogorski proposed an option in which the mayor actually decides what the Commission should be and how to choose the chief architect, respectively the Expert Council. The Commission, of course, softens the importer's proposal because it frankly binds the chief architect to people from these two organisations, to whom he will then be grateful for his choice, and offers a really moderate version, but still obliges the mayor to invite representatives of the said two organisations, although the quota of one third has already been avoided, and with regard to the Expert Council, another organisation is already generously granted to enter the Chamber of Engineers into the investment design. Mr. Zelenogorski's wordings are much better and more accurate. I urge you to think about it and this time support Mr. Zelenogorski's proposal, because it is related to independence, to the mayors' ability to exercise the policy they have planned and for which people have chosen them. I think it is wrong with the law to interfere so harshly with the mayor's work and put him in a situation to comply with organisations, and that is exactly what these are. Why aren't others invited? For example, why wasn't the House of Builders invited? I can list others who are relevant, but are not included in the texts of this Law and we do not insert them with the Law in the relevant committees. Usually when we look at a proposal, we look at it in the direction of what it aims and what the public effect of it will be. The Commission's so-defined proposal achieves nothing but bitterness in mayors and no benefit to society. Once again, I call on you to support Mr Zelenogorski's proposal, although it has not been supported by the Commission.
