ParlaMint-FR_2019-02-15-O1151.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1151.u304	It deals with the same subject as the previous ones, but looks at it from a different angle. The importance of the 3- to 6-year period in the acquisition of vocabulary and language is known. It is also known that what was not acquired then is difficult to acquire afterwards. Mr Minister, our colleague Huguette Bello draws your attention to the reality of nursery schools in La Réunion, where French is not the mother tongue of most children. Indeed, 95% of the population of Réunion is Creolophone. Very often, children entering kindergarten speak only Creole. If – as it happens – the teacher does not master it and does not understand its young students, the school itself produces school failure and upsets the cognitive process. The amendment aims to take account of this linguistic reality by ensuring that the first learning is based on the experience and language of the children. Our colleague proposes to put an end to the teaching countersense that prevails overseas, where it is young children who have to adapt to their teachers if they do not speak their language. This is an essential condition in order to avoid immediate difficulties in entering kindergarten, as well as family distrust of the school institution.
ParlaMint-FR_2019-02-15-O1151.u305	I have before me an amendment No 1022 which is the subject of a sub-amendment No 1148. Mr Jean-Félix Acquaviva has the floor to support the amendment.
ParlaMint-FR_2019-02-15-O1151.u306	Defendant.
ParlaMint-FR_2019-02-15-O1151.u307	I call Mr Le Fur to support Amendment No. 1148.
ParlaMint-FR_2019-02-15-O1151.u308	The aim is to avoid competing language teaching and to avoid forcing families to choose between foreign, former and regional languages. The greatest number of opportunities must be offered. Minister, I know your interest in the ancient languages, which I welcome. However, some public colleges in my constituency do not offer the teaching of Latin to young students. Students must have the opportunity to choose between several languages. I am convinced that the child has the ability to learn more than one. The more we ask him, the more he will learn and the more he will remember. It must be given opportunities, opportunities and opportunities to make progress. In any event, the decision is taken, in each college and in each high school, at a meeting of the board of directors at which the board votes the overall hourly allocation. As a regional councillor, I participate in this famous annual meeting. I often find that the vote leads to the neglect of regional languages, which is not good. We are creating a phenomenon of rarity. The scarcity of the languages involved requires this, and I understand it well. However, this scarcity leads to an arbitration unfavourable to regional languages. Ladies and gentlemen, the ban on the cumulation of mandates – which some of you have voted for – prevents you from becoming aware of this. However, many of us are still departmental advisors or regional advisors. During the meetings of the boards of directors of colleges and high schools, we find that the teaching of the regional language is often sacrificed, on the grounds that we cannot do everything.
ParlaMint-FR_2019-02-15-O1151.u309	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u310	Unfavorable opinion on the sub-amendment as well as on the amendment.
ParlaMint-FR_2019-02-15-O1151.u311	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u312	Same opinion.
ParlaMint-FR_2019-02-15-O1151.u313	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-15-O1151.u314	We all agree that learning one language does not make it more difficult for another. However, I would have liked our colleagues on the other side of the Chamber to show an equivalent sensitivity to the teaching of the Arabic language.
ParlaMint-FR_2019-02-15-O1151.u315	Of course!
ParlaMint-FR_2019-02-15-O1151.u316	[[Applause on the benches of the GDR and FI groups. – Mrs Anne Brugnera and Mrs Cathy Racon-Bouzon also applaud]] Very many young people are involved. It is important that they understand their roots, which allows them to turn to what they have been and what they will be. It seems to me that there are double standards. That's a little too bad.
ParlaMint-FR_2019-02-15-O1151.u317	Mrs Elsa Faucillon has the floor for a point of order.
ParlaMint-FR_2019-02-15-O1151.u318	It is about the way our debate is going. Mr President, you have announced that the representatives of the groups will meet at 1 p.m. on this subject. However, the debate seems to have already been decided by the majority and the Government. We have studied about 50 amendments relating to regional languages such as Corsica, Breton and Occitan.
ParlaMint-FR_2019-02-15-O1151.u319	And the Alsatian!
ParlaMint-FR_2019-02-15-O1151.u320	They had their full place in the debate. On the other hand, when I defend an amendment relating to Creole,...
ParlaMint-FR_2019-02-15-O1151.u321	No one's interested!
ParlaMint-FR_2019-02-15-O1151.u322	... it is of no interest or response, because of an acceleration in the pace of the debate decided by the rapporteur and the minister, whom we should have decided together. I note that this is not the case. That is the subject of this point of order. Either we are working at a constant pace, so that an amendment on Creole can be answered in the same way as an amendment on Breton,...
ParlaMint-FR_2019-02-15-O1151.u323	Or the Alsatian!
ParlaMint-FR_2019-02-15-O1151.u324	[[Mr. Marc Le Fur applauds]] ... or we decide together to speed up the pace of the debates.
ParlaMint-FR_2019-02-15-O1151.u325	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1151.u326	I spoke earlier about the situation of the ultramarine territories by replying to Mrs Sanquer. I mentioned the case of Creole on that occasion. Mrs Faucillon, you cannot accuse me of disinteresting me. I happen to be familiar with the issue of Creole teaching in La Réunion. I doubt that your amendment would provide any remedy to the problems he is suffering from. Many evolutions are already under way. I cannot argue in detail about each amendment. On this subject as on others, I have – as you can imagine – a very comprehensive argument that I want at your disposal. During the last suspension of the sitting – I would like to remind everyone – we agreed that the agreement we will reach should speed up the pace of the debates. Mr. President suggested that earlier. Let us not unduly interpret the accelerations in the pace of debate. I made a first answer. The following amendment relates to Mayotte. He will give me the opportunity to formulate another one.
ParlaMint-FR_2019-02-15-O1151.u327	Mrs Ramlati Ali has the floor to support Amendment No. 424.
ParlaMint-FR_2019-02-15-O1151.u328	It aims to raise the level of Maori students in the field of basic learning while developing plurilingualism. An experiment involving local language speakers – Shimaoré and Kibushi – in kindergarten was carried out. The use of the children's mother tongue has helped to remove some barriers to learning, which has contributed to the mastery of French. The success of this very promising scheme calls for a more general reflection with a view to ensuring its continuity, extending it to elementary education, college and high school. The aim is to advance the mastery of the French language – in accordance with the Mayotte 2025 plan – while at the same time valuing native languages and local cultures. We therefore call for the recognition of Shimaoré and Kibushi as regional languages.
ParlaMint-FR_2019-02-15-O1151.u329	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u330	Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u331	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u332	I will take a long look at the situation at La Réunion and Mayotte. Article L. 312-10 of the Education Code on the teaching of regional languages and cultures states: "This education may be provided throughout schooling in accordance with arrangements laid down by agreement between the State and the territorial authorities in which these languages are used". In addition, it provides for the possibility of bilingual education in the French and regional languages. We have dealt with this subject in the context of the foundations of the nursery school. For several years, we have been working on Creole in Reunion as in other overseas territories. The legal framework in force makes it possible to achieve the educational objective, which everyone knows is complex, because of the proximity of the Creole to the French language and the educational peculiarities resulting therefrom. We therefore have the legal framework to go along the lines indicated by Mrs Bello. With regard to the regional languages spoken in Mayotte – the shimaoré and the kibushi – we are very attached to their vitality. Currently, five languages or groups of languages spoken overseas are taught in regional languages and cultures from primary school to high school: Creole, Tahitian, Melanesian, Wallisian and Futunian. This does not prevent the promotion of other regional languages. I mentioned earlier the Amerindian languages spoken in Guyana. The same can be said of the shimaoré and the kibushi. Adding them to the list of languages taught in regional languages and cultures does not seem appropriate. Instead, a local policy must be pursued to deepen what has been initiated. In Mayotte's plurilingual context, the shimaored and kibushi languages are already well recognized. This will be further taken into account in the policy of the Rectorate of Mayotte. As you know, ladies and gentlemen, this bill proposes to raise Mayotte's vice-rectorate to the rank of rectorate, which will, among other things, strengthen the language policy that is being pursued there.
ParlaMint-FR_2019-02-15-O1151.u333	On the identical amendments Nos 219, 426 and 615 which follow, I have a request for a public vote before the Libertés et Territoires Group. The vote is announced in the National Assembly. I have before me ten amendments, Nos 219, 426, 615, 790, 953, 220, 427, 616, 803 and 986, which can be discussed jointly. Amendments Nos 219, 426 and 615 are identical, as are Amendments Nos 790 and 953 and 220, 427, 616, 803 and 986. Amendment No 790 is the subject of a sub-amendment No 1157. I call Mr Molac to support Amendment No. 219.
ParlaMint-FR_2019-02-15-O1151.u334	Defendant.
ParlaMint-FR_2019-02-15-O1151.u335	All right!
ParlaMint-FR_2019-02-15-O1151.u336	I call Mr Le Fur to support Amendment No. 426.
ParlaMint-FR_2019-02-15-O1151.u337	Defendant.
ParlaMint-FR_2019-02-15-O1151.u338	All right!
ParlaMint-FR_2019-02-15-O1151.u339	All you have to do is ask nicely!
ParlaMint-FR_2019-02-15-O1151.u340	I call Mr Reiss to support Amendment No. 615.
ParlaMint-FR_2019-02-15-O1151.u341	Defendant.
ParlaMint-FR_2019-02-15-O1151.u342	We come to the second set of identical amendments. Mr Didier Le Gac has the floor to support Amendment No. 953.
ParlaMint-FR_2019-02-15-O1151.u343	Before withdrawing it, I would like to welcome the commitment made earlier by the Minister and the constructive attitude he has shown on our amendments. We have all taken note that a provision will be introduced in the text after its consideration in the Senate, in accordance with the commitment made in Rennes a week ago by the Prime Minister to reach a solution on the financing of the communal package. I also welcome his willingness to consult with local elected officials, in accordance with the spirit of differentiation and decentralization that drives us. Thus, we will begin by asking for the opinion of the CTAP of Brittany, about which I have little doubt. In any event, it is quite normal to ask the elected representatives for their opinion on the payment of the communal package. The minister called a maritime metaphor earlier, stating that we are all on the same boat. I'll use one in my turn. If we sometimes seemed insistent this morning, it is because we have only one window during the quinquennium. Before we get to sea, we're looking for a favourable weather window. When she shows up, you have to leave without delay. This bill provides us with a legislative window. We probably won't have any more for several years. [[Applause on several benches of the LaREM group]] That is why the Minister's commitment to introduce into the text a provision on the communal package in the event of a favourable opinion from the CTAP of Brittany satisfies us. I therefore withdraw my amendment and welcome the fact that the Government has heard our arguments in favour of regional languages.
ParlaMint-FR_2019-02-15-O1151.u344	I call Mrs Mette to support Amendment No. 790.
ParlaMint-FR_2019-02-15-O1151.u345	Defendant.
ParlaMint-FR_2019-02-15-O1151.u346	I call Mr Le Fur to support Amendment No. 1157.
ParlaMint-FR_2019-02-15-O1151.u347	I'll take it off. It is worth mentioning that the changes that need to be made concern all schools – public, private and voluntary. That has been said, but it is even better if we write it down.
ParlaMint-FR_2019-02-15-O1151.u348	We come to the third set of identical amendments, Nos 220, 427, 616, 803 and 986, on which the Libertés et Territoires Group has requested a public vote. The vote is announced in the National Assembly. I call Mr Molac to support Amendment No. 220.
ParlaMint-FR_2019-02-15-O1151.u349	This amendment seems particularly important to me: it is the right wording to get out of the crisis. It is, of course, possible to complete it by recording the need for an application from the region, after advice from the CTAP. This would allow us to have a mechanism that may not apply everywhere, but that applies at the request of the community. The NOTRE Act gave the regions competence to preserve regional languages; We thus respect the Constitution and are consistent with existing laws. I therefore advise the Government, as you have understood, to land on this ground.
ParlaMint-FR_2019-02-15-O1151.u350	I call Mr Le Fur to support Amendment No. 427.
ParlaMint-FR_2019-02-15-O1151.u351	I do not try any intention to the Government; We suggest different writings that would allow him to get out of the difficulty. For the Brittany region at least, the CTAP will not be unanimous, but we hope for a broadly positive opinion. In the long run, it will take an obligation. Perhaps our writing is not perfect, but it has the merit of being on the table.
ParlaMint-FR_2019-02-15-O1151.u352	I call Mr Reiss to support Amendment No. 616.
ParlaMint-FR_2019-02-15-O1151.u353	It is necessary to go further than the NOTRE law; That is what this amendment is about.
ParlaMint-FR_2019-02-15-O1151.u354	I call Mrs Mette to support Amendment No. 803.
ParlaMint-FR_2019-02-15-O1151.u355	He's forbidden.
ParlaMint-FR_2019-02-15-O1151.u356	Mr Yannick Kerlogot has the floor to support Amendment No. 986.
ParlaMint-FR_2019-02-15-O1151.u357	I will give only a few quick clarifications, after my colleagues have spoken. I once again welcome the commitment of the Minister, and I would point out that the payment of the school fee by the municipality of residence to the receiving municipality for private Immersive Association networks will thus be generalized to all the territories concerned. Brittany is not the only one in question! I therefore invite you, minister, to table an amendment to that effect in the Senate, hoping that the upper house will adopt it.
ParlaMint-FR_2019-02-15-O1151.u358	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u359	Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u360	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u361	Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u362	I put to the vote identical amendments Nos 219, 426 and 615.
ParlaMint-FR_2019-02-15-O1151.u363	The result of the vote is as follows: Number of voters 45 Number of votes cast 42 Absolute majority 22 For adoption 13 Against 29
ParlaMint-FR_2019-02-15-O1151.u364	I put to the vote identical amendments Nos 220, 427, 616, 803 and 986.
ParlaMint-FR_2019-02-15-O1151.u365	The result of the vote is as follows: Number of voters 42 Number of votes cast 40 Absolute majority 21 For adoption 14 Against 26
ParlaMint-FR_2019-02-15-O1151.u366	I have before me two amendments under joint discussion, Nos 743 and 962. Mr Jean-Félix Acquaviva has the floor to support them both.
ParlaMint-FR_2019-02-15-O1151.u367	Concertation between the State and the Corsican community on second-degree education policies on the island takes place every year: the readability of the strategy is limited; the community cannot optimally exercise the range of skills at its disposal. Because of this forced timetable, the community is sometimes placed, at the end of the dialogue, before the fait accompli; I am thinking in particular of the often late communication of statistical elements, even though arbitrations on endowments have already taken place at ministerial level. The establishment of a multi-annual framework would make it possible to move from a tactical operation – and partly blind from the point of view of the territorial institutions – to a real strategic vision that involves the Corsican community in concrete terms in the definition of education policies, which is absolutely legitimate in so far as these policies fall within its main competences. It should be noted that this transition to pluriannuality was expressly desired in a report by the President of the Executive Council of Corsica, adopted by a deliberation on 27 January 2017 of the Assembly of Corsica. Amendment No 962 aims at the same objective by simply deleting the words "every year" at the beginning of the fifth and sixth subparagraphs of Article L. 4424-1 of the General Code of Local and Regional Authorities.
ParlaMint-FR_2019-02-15-O1151.u368	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u369	Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u370	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u371	Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u372	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2019-02-15-O1151.u373	As far as Corsica is concerned, which has competence in the field of education, I would like you to explain to me this refusal! These are no longer regional languages.
ParlaMint-FR_2019-02-15-O1151.u374	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1151.u375	I would not want anyone to feel forgotten or despised, but we have already spoken a lot; and this question is, as you know, not at the heart of the law. It happens that I have often participated in these annual discussions with Corsica, which are very specific and, I think, quite satisfactory. A series of constraints are required, in particular that of budgetary annuality. The holding of an annual discussion does not preclude the establishment of a multi-annual strategy. The Rector of Corsica can open this strategic dialogue with the community. I am quite in favour of it, without the need to include it in the law.
ParlaMint-FR_2019-02-15-O1151.u376	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 830.
ParlaMint-FR_2019-02-15-O1151.u377	He's forbidden.
ParlaMint-FR_2019-02-15-O1151.u378	I call Mr Le Fur to support Amendment No. 87.
ParlaMint-FR_2019-02-15-O1151.u379	This amendment proposes to apply the same rules to agricultural education under the Ministry of Agriculture as to schools under the Ministry of National Education. It is therefore a sort of coordination amendment, which aims to underline the role of this essential sector, which is very stimulating and which brings much to our territories, whether this agricultural education is provided by public education, by Catholic education or by rural family homes.
ParlaMint-FR_2019-02-15-O1151.u380	All right!
ParlaMint-FR_2019-02-15-O1151.u381	Mrs Cécile Rilhac has the floor.
ParlaMint-FR_2019-02-15-O1151.u382	Article 6c was created by the adoption in committee of an amendment which I defended. It aims to create a new type of institution, the "public institutions of basic knowledge", in order to respond to a demand from certain local authorities and educational actors who have already carried out – for some for more than five years – experiences of networking of primary and secondary schools. It seems to me necessary to reassure the elected representatives, especially the mayors of the small communes, as well as the principals and teachers: these institutions can only be created where the educational communities consider them useful, if not necessary, and in response to a particular local situation. We will propose amendments to clarify that these creations will be carried out with the advice of the head of the national education services, but also that the deputy head of the school will exercise in the field of primary schools. They will not be locked up in a college office, but will work alongside the principal of the college. There may even be several assistant heads of institutions, depending on the final size of the institution. The key point is that school principals will be able to benefit from the support of the administrative teams, but also from the health and social teams and school teams of these new schools. We want to create networks that will foster inter-degree cooperation and work, without necessarily bringing classes together in one geographical location. Our goal is for school principals to be able to carry out their teaching missions, their mission of monitoring pupils and directing primary education teams, such as their mission of dialogue with parents. [[Applause on several benches of the LaREM group]] A director may be charged with classes scattered in several communes, as already exists in some intercommunal pedagogical groupings – RPI – today, but with the means of the colleges. This will enable him to carry out his tasks effectively.
ParlaMint-FR_2019-02-15-O1151.u383	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1151.u384	Article 6 quater aims to make the so-called "floor school" a reality. I would like to pay tribute here to the work of our colleague Frédéric Reiss, who had produced a report on this subject in 2010. The Republicans Group had tabled amendments that reiterated its proposals at the time of the review of the Peillon Act in 2013, but unfortunately they had not been accepted. Things are going in the right direction here; Mr Reiss had tabled a similar amendment in committee. The objective is pedagogical; It is about creating a real continuum between school and college, as is the case in other countries. During the debates in the 2017 presidential campaign, our movement also defended the idea of limiting the number of different teachers in sixth and fifth, in order to mitigate the shock of the transition from primary school to college.
ParlaMint-FR_2019-02-15-O1151.u385	Mr Maxime Minot has the floor.
ParlaMint-FR_2019-02-15-O1151.u386	It is a subject that I particularly care about, but Patrick Hetzel said the essentials, and I will not prolong the debates. I will expand further in the discussion of the amendments.
ParlaMint-FR_2019-02-15-O1151.u387	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-15-O1151.u388	This is an article, if any, that sums up the spirit of this law as I mentioned last Monday in the motion to reject it beforehand. It profoundly transforms the administration of national education, without warning, at the turn of an amendment adopted in committee. Under the name of "public institutions of basic knowledge", the aim is to establish an administrative grouping of pre-elementary and primary schools around a reference college. The arguments used: to encourage continuity of teaching from kindergarten to college in order to avoid break-up and to ensure recognition for school principals. I would also like to point out that this measure is the result of the flash mission on the status of school principals, who do not have one. Minister, a budget can be seen as insinuating. That's the term I want to use about these arguments. There is no evaluation to validate the relevance of such a device to soften the transition between primary and secondary schools. Various initiatives have been taken to facilitate this passage, but they do not require a review of the administrative organisation, but rather time and support. In reality, this type of new establishment is primarily aimed at achieving savings. Savings on the number of teachers, first of all, because an entity of 105 pupils, with a ratio set at 25 pupils per class, will get 5 posts if it is not merged – so it will have 23.6 pupils per class. On the other hand, if students in several schools are grouped together, this gap can be closed and a class, i.e. a teaching position, can be removed. Savings in the number of directors, then. There are currently 45,000 schools and 3,500 colleges. With these groups, it is expected that the number of principals will gradually decrease. Finally, despite the clarifications that Mrs Rilhac has given, the latter risk losing that basic closeness to families, which you are so attached to, Minister. They would then only be subordinates to the principals.
ParlaMint-FR_2019-02-15-O1151.u389	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-02-15-O1151.u390	I would add to my colleague's excellent arguments that this amendment adopted by the committee, which has therefore not been the subject of any impact study, and on which the Council of State has therefore not delivered an opinion, profoundly alters the organisation of the education system in our country and, potentially, the school network, particularly in rural and peri-urban areas. In these areas, as we know, public services are constantly declining. Still fewer public services, always fewer post offices, always fewer health services, always fewer general practitioners! Are we now going to organize the abolition of classes and schools, at the risk of parents being forced to travel more and more? That would not be wise. On the contrary, we must maintain a very dense network of our schools throughout the country, and guarantee the positions of directors. Once again, these groups are only there to camouflage a decline in public service and class closures, promising even more disastrous living conditions for all French people who live in rural and peri-urban areas.
ParlaMint-FR_2019-02-15-O1151.u391	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-15-O1151.u392	This measure of extremely important transformation was introduced into the bill by way of amendment, without any consultation with the actors and actresses of the teaching world. A provision of this kind would have required consultation, as well as an impact assessment, especially since experiments have already been carried out in this field. The consultation would have allowed them to be evaluated and then decided which ones could be generalised. This lack of consultation reinforces our concerns, not only about inequalities, but because the famous mutualisation, which is discussed everywhere, takes the form of rationalisation rather than cooperation. These changes on the grounds of rationalisation are aimed only at managing the shortage, instead of seeking solutions that would make it possible to get out of the situation from the top.
ParlaMint-FR_2019-02-15-O1151.u393	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-15-O1151.u394	The Group of the Democratic and Related Movement believes that it is important to monitor the development of public educational institutions in rural areas. It is clear that with one or two scattered classes, there is no real dynamic. Future public institutions of basic knowledge will enable new dynamics to be set in motion. They are for me within the framework of possible experiments, and we must not fear the progress made in these new proposals. I therefore do not agree that nothing should be done about the current organisation of the French education system. By way of illustration, the Grand Lycée franco-libanese de Beirut, a public school that brings together 3,650 pupils, from kindergarten to senior school, does not have any particular problems in terms of pedagogy at any level. At each level, there are deputy directors and overall coordination is ensured. If the grouping allows to preserve establishments in rural areas and to carry out experiments, because new dynamics are found, why not. We're up!
ParlaMint-FR_2019-02-15-O1151.u395	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-15-O1151.u396	We are aware of the usefulness of bringing primary, including middle school, and college closer together. We had also conducted reflections with Vincent Peillon, in order to initiate such rapprochements. However, this Article 6 quater is the result of an amendment adopted in committee, after the bill has been examined by the Council of State and without sufficient consultation with professional organizations. Therefore, we cannot be in favour of it. The idea, which undoubtedly deserves to be deepened, comes here all to the fore, in a way that does not allow us to examine serenely this significant evolution of our education system.
ParlaMint-FR_2019-02-15-O1151.u397	The president of the Committee on Cultural Affairs and Education has the floor.
ParlaMint-FR_2019-02-15-O1151.u398	I ask for a suspension of the sitting.
ParlaMint-FR_2019-02-15-O1151.u399	The meeting was suspended.
ParlaMint-FR_2019-02-15-O1151.u400	The meeting was resumed.
ParlaMint-FR_2019-02-15-O1151.u401	We come to the amendments. First of all, I have five amendments to delete the article. On these identical amendments Nos 389, 569, 715, 853 and 974, the Socialist and related groups have asked for a public vote. The vote is announced in the National Assembly. I call Mr Corbière to support Amendment No. 389.
ParlaMint-FR_2019-02-15-O1151.u402	The suspension of the sitting did not, it seems, change anything. I am presenting an amendment to delete the article and will take up the arguments of the previous speakers. [["But no! » on several benches of the LaREM group]] Article 6 quater comes to waste, without impact assessment. There are very vague formulations, you will agree, which allow many questions to be raised, and even cause serious fears. Let's make it clear: rural schools are in danger.
ParlaMint-FR_2019-02-15-O1151.u403	It's to save them on the contrary!
ParlaMint-FR_2019-02-15-O1151.u404	What looks like a series of administrative measures does not respond to a pedagogical concern but to a budgetary logic of grouping and optimising. This logic, we know – I credit you with consistency – is the one that prevailed for the courts and hospitals. I see the minister rebutting my remarks, but admit that the writing of the article is ambiguous enough to justify the very strong emotion it arouses in rural areas, including the fear of class closures. We suggest that you delete this article, even if it may come back later. For our part, we are not in favour of weakening the indispensable network of schools, which are often the last public service in the communes. [[Murmures on a few benches of the LaREM and LR groups]] In the current climate, especially within the yellow vest movement – can I say the words "yellow vests" without some immediately starting to scream? –, the defence of public services and the rural environment is very present in the claims and it seemed to me that you had heard it. This article goes against the current trend, it poses a threat, it is part of the continuity of many decisions that have been taken by this Government, and it will result in the abolition of posts in the name of optimisation – this vocabulary, that is what makes your charm: you affirm that we must not fear the new dynamics but these are often a setback and a narrowing of the public service. Remove this article and you will gain confidence!
ParlaMint-FR_2019-02-15-O1151.u405	Mrs Elsa Faucillon has the floor to support Amendment No. 569.
ParlaMint-FR_2019-02-15-O1151.u406	You're pretending everything's gonna be okay. The aim, you say, is to save rural schools and strengthen cooperation. But what do you pledge through Article 6 quater? In all honesty, none. We don't know what you want to do. Quite logically, the Members of the majority believe you on the floor, otherwise they would not be part of it. As members of the opposition, our role is also to demand clarification and to ensure objectives – which may be shared. Today, we have every reason to be concerned because you are used to responding in a fiscal and accounting manner to the fact that schools die in rural areas, without showing the flexibility or ambition that could be expected. We fear that mutualization will be a rationalisation, especially as you are customary because of the fact. As it is – without consultation, without impact assessment, without an assessment of the experiments – we cannot give you a blank screening.
ParlaMint-FR_2019-02-15-O1151.u407	Mr Regis Juanico has the floor to support Amendment No. 715.
ParlaMint-FR_2019-02-15-O1151.u408	Why an amendment to delete Article 6c on public institutions of basic knowledge? We are not opposed in principle to greater continuity between elementary schools and colleges – we have sufficiently worked on Cycle 3 and adopted arrangements that concern it. Continuity must be encouraged and developed, including in subjects such as physical and sports education, for example, through dialogue between the USEP – Sports Union of First Level Education – with UNSS – National School Sport Union and school teachers with second level teachers, or school teachers with physical and sports education teachers – EPS. On the other hand, we consider that the measure is proposed to us in haste, even if it is a result of high-quality parliamentary work – we recognize it. Lack of impact assessment detrimental to the lighting of national representation, lack of advice from the Council of State and lack of consultation with the educational community. The unions that have sent a joint letter to the deputies and many players in the educational community – including those who are in favour of the "base school" – warn us against rushing and call to reject this article. We will refer to the experiment in Article 8 and the evaluation in Article 9. Let's take some time to think. The summary statement of the amendment which gave rise to this new article stated that the new structures "will also enable very small schools – half of the 45,000 schools in France have fewer than four classes – to reach a critical size". It may be feared that these may be a pretext for carrying out educational groups, far from the objective of continuity of Cycle 3.
ParlaMint-FR_2019-02-15-O1151.u409	Of course!
ParlaMint-FR_2019-02-15-O1151.u410	I come back to the minister's answer to the questions to the government last Tuesday about the closures of rural schools in the Loire department. I was right, if 77 classes were created in the department, 45 were created under duplication; 36 classes were closed, of which 16 were in rural areas. We can see the movement that is emerging for rural schools.
ParlaMint-FR_2019-02-15-O1151.u411	Mrs Frédérique Dumas has the floor to support Amendment No. 853.
ParlaMint-FR_2019-02-15-O1151.u412	If the intention seems to us to be good and shared, I believe, on all the benches, we regret the method – an amendment that has arrived in committee in haste, perhaps for good reasons, since it is the result of the work done by our colleagues. If the intention is good, the modalities must be the subject of reflection and impact assessment because they pose many questions other than those you have tried to answer – what status for school principals? how to reassure the teaching teams? We have also been questioned by various actors. It is a pity to address in this way a topic that could be unanimous on these benches. We therefore propose to delete this article in order to pave the way for possible experiments to find unity on a subject of concern to everyone.
ParlaMint-FR_2019-02-15-O1151.u413	I call Mrs Emmanuelle Ménard to support Amendment No. 974.
ParlaMint-FR_2019-02-15-O1151.u414	I fear that under the guise of rationalisation, the French will be further and ever further removed from their public services. The article plans to bring together in one school one or more primary schools and one college, in particular, to ensure better follow-up of students. However, there seems to be some confusion to which the absence of an impact assessment is not alien. Is the purpose of this article to facilitate the education of the child or, on the contrary, to rationalize the public service, to the detriment of pupils at times? Many local actors, including parents – and this is not a corporatist fight – have alerted us about this, because they fear that small primary schools will be moved to de facto colleges imposing additional journeys. It is difficult to see how sending students away from home to a larger institution could provide them with better individual follow-up. On the contrary, it is sometimes in smaller structures that children are comfortable, especially at primary school, and the same is true for parents who are very attached to the possibility of speaking to the school principal informally – all those who attended school have seen this. This justification therefore seems a little artificial. Rather, it is akin to the need to overcome a lack of resources. However, the current crisis in our country should prompt us to adopt another logic. The French feel that they are paying more and more taxes for a deteriorating public service. They no longer want to be imposed on them off-ground policies. The desire to pool resources must not be a bad excuse. It is not beneficial for students to rationalize structures in a way that is detached from local realities. That is why I am asking for the deletion of this article.
ParlaMint-FR_2019-02-15-O1151.u415	What is the committee's opinion on these deletion amendments?
ParlaMint-FR_2019-02-15-O1151.u416	The idea of public institutions of basic knowledge, traditionally referred to as basic schools, is not new. A great deal of work is devoted to this – I am thinking of the recent work of Valérie Bazin-Malgras and Cécile Rilhac, as well as that of Frédéric Reiss in 2010; I am also thinking of reports that go beyond the parliamentary framework, including an expert report on the educational continuity between the school and the college, and a report on the rural mission signed by the general rapporteurs Ariane Azema and Marie-Blanche Mauhourat. The subject was therefore dealt with extensively. I would not like to let it be said that rural school is dying, as I have heard.
ParlaMint-FR_2019-02-15-O1151.u417	We need to strengthen it!
ParlaMint-FR_2019-02-15-O1151.u418	Significant efforts were being made to support primary school, and all schools in the Territory benefited, in particular rural schools. The aim is to maintain a public service of local and quality education, adapted to local circumstances and wishes. Rural schools can take different forms: in some cases, the single class will be the best solution; In others, intercommunal pedagogical grouping, concentrated or dispersed, will be preferred; One can also think of the educational centres which have been widely experienced in Haute-Saône, a department in which the school of basic knowledge is also being experimented.
ParlaMint-FR_2019-02-15-O1151.u419	We have to evaluate them!
ParlaMint-FR_2019-02-15-O1151.u420	Other experiments take place all over the country – I invite you to check the results they give. The aim is not to reduce the mesh size, as has been said, but to maintain it. Schools can also be networked without being brought together on the same site.
ParlaMint-FR_2019-02-15-O1151.u421	The opposite is just as possible!
