ParlaMint-NO_2010-04-21.ana.ud1911e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2010-04-21.ana.ud1911e1184	There's Andersen Eide and I are in complete agreement. Pure recreational craft have nothing to do with this register. That is why we are clearing out those who are there, as well as notifying the tax authorities, so that it actually has consequences to try to ensnare in here. That's new. Furthermore, we are tightening up the entrance, making it even more difficult to try to cheat, precisely by looking at the legislation from the Maritime Directorate attached to fishing vessels up against this register.
ParlaMint-NO_2010-04-21.ana.ud1911e1194	I allow myself to ask the Minister for Children, Gender Equality and Inclusion the following questions: ‘After the introduction of new citizenship law, a relatively large number of people residing in Norway, with a permanent residence permit, have been refused their application for Norwegian citizenship, justified on the grounds of doubt as to their identity. Last summer the Ministry sent out proposals for consultation to amend the Citizenship Act/Regulation with the October 2009 consultation deadline. How far has the Government come to work, when will a new bill come to Stortinget, and will the Council of State give priority to this work?’
ParlaMint-NO_2010-04-21.ana.ud1911e1203	The Ministry submitted to the representative a proposal for a number of amendments to the Civil Code and the Civil Code at the hearing on 25 June 2009. Some of the regulatory changes have already been made and the changes have entered into force. One of the proposals contained in the letter of consultation was the one on which the representative is concerned, namely the introduction of specific rules relating to the conditions of identity of the national law on children. In other words, there are children who have been cut off from the possibility of acquiring Norwegian citizenship because their parents have not clarified their identity. The Ministry also asked the hearing bodies to consider whether a special rule should be introduced for applicants of Norwegian citizenship over 18 years of age with a long residence and not a clear identity. The Ministry asked for input into and against the introduction of such a legislative change and, where appropriate, how such a provision should be designed. This consultation round has shown that in the case of children who are not deemed to have identified identity, there is a relatively broad consensus that legislative changes are necessary. On other issues, feedback in the consultation round has been shared. There are a number of hearing bodies that have been positive about introducing a special rule for people over 18 years of age. Other hearing bodies have been negative about the introduction of such a special rule. Irrespectives include: In consultation opinions delivered by the Ministry of Justice and Police, by the Police Security Service and by the Police Directorate. I am now committed to finding a solution that, on the one hand, both meets the needs of society to know people's identity, which I believe is a broad political consensus that is important, and society's need for security and crime prevention. On the other hand, it is important, as the representative is concerned, that society includes persons who have a permanent residence permit, by giving these citizens the opportunity to become Norwegian citizens. I am in dialogue with the Minister of Justice and Police on these issues on the basis of the consultation round. Of course, it is currently too early to say anything about conclusions on this matter, and also when the bill on changes to the Civil Code can be promoted for the Stortinget. But what I can assure the representative is that this work is a priority for me and my department, and that I agree with the representative's emphasis on the importance of these questions.
ParlaMint-NO_2010-04-21.ana.ud1911e1214	I thank the Council of State for the answer. I think perhaps the most important signal that could be given today was just the last state council said that he is concerned about this, and that he will give priority to this work. This is a group of people who have been waiting a long time. It is a crossroads of thought that in Norway we have a small group growing up who have inherited the sin of their parents. So here we're talking about some kind of inherited sin, right, that goes for generations. In the worst case, this can also affect the next generation, i.e. grandchildren. These are children who grow up without the same rights as children with Norwegian citizenship: the right to vote, the right to a career in the police or in the military. They cannot even choose to take education abroad. They're waiting for an answer. I hope that the department doesn't have to spend a very long time, but that they can prioritize this, so that it gets in place quickly.
ParlaMint-NO_2010-04-21.ana.ud1911e1223	That's an consideration that I naturally also care about. It is important to be able to provide security around the provisions that apply to these people. At the same time, I am sure that the representative will also agree with me that when we present something, it is important that there is something that is sustainable over time and that just ensures such security. That is why, on the one hand, I am concerned about driving this forward as quickly as possible, but on the other hand, I am also concerned about providing something that both gets support in this room, and that can stand over time. And I want to spend the time that is needed to get it done. This is a problem that affects a good number of people in Norway. In 2007, 287 applications for Norwegian citizenship were rejected because the requirement for a clear identity was not met. In 2008, the number was 857, and last year the number was 774 – so there's a not insignificant number of people in this situation. So I agree that there are two slightly different assessments regarding the group over the age of 18 and children. We're going to go into both of them with full weight, but there's some special considerations we have to take to children.
ParlaMint-NO_2010-04-21.ana.ud1911e1232	I have a great deal of understanding that time needs to be spent, and that the Council of State feels the need to come to Stortinget with a matter that it can be widely agreed on. I fully agree with that. As I said, the Council of State has today given an important signal to this group – which both he and I have met – that he will give priority to this work. I think that's great, and I think I'll be welcomed in a positive way there too. As we have also mentioned, this people who have received a permanent residence permit, but still they go around and feel half welcome. They're working, they're contributing to the community, and they're paying taxes, but they just feel half welcome. Especially bad things happen when it comes to the next generation. So I want the Council of State to be happy to have a click on this case and look forward to getting a case in Stortinget, so we can solve this for a not insignificant group of people.
ParlaMint-NO_2010-04-21.ana.ud1911e1241	It is my hope that we will be able to come up with something that can both improve the rights and meet the needs of this group, while, of course, we also have to take this seriously. Not least those of us who are concerned that we should be able to have a rough and reasonable asylum and immigration policy, but I know that both the representative and I are concerned that we need to be very clear on what is about cheating with identity. Of course, it is also important to me that we should not undermine the work we are doing in combating the detention of identity. As far as the group that has been in Norway for a long time is concerned, I fully agree that clarification is needed. We have sent out proposals in the consultation round that we are now going through very carefully, and it is a priority matter for me to carry this forward until the Stortinget.
ParlaMint-NO_2010-04-21.ana.ud1911e1252	‘Norwegian Foster Home Association and the Swedish Children’s Protection Association recently presented a report on the Child Protection Supervisors’ Scheme, which shows that in many cases the scheme works very poorly. Reports from the municipalities to the county councillors show that the municipalities per On 31 December 2008, supervisors of 680 children were absent. 30 per cent of the children in charge did not receive supervision in accordance with the requirements of the law. What will the Council of State do to ensure full coverage of supervisors and to enhance the quality of the scheme?’
ParlaMint-NO_2010-04-21.ana.ud1911e1259	It is worrying that several foster children are missing supervisors. Under the Children’s Protection Act, all children in foster homes are entitled to have a supervisor appointed. The municipality is responsible for recruiting and appointing the supervisor for children in foster homes, and regional child protection is responsible for assisting municipalities in providing training to supervisors. I am familiar with the report of the Norwegian Foster Home Association and the National Children's Protection Association, to which the representative Håbrek refers. I share the representative's concern that some children are not given the appointment of the supervisor. These are vulnerable and vulnerable children with a special need for follow-up and supervision, which also gives us a special responsibility to make sure they get it. The municipalities state that they per A total of 6 799 children were responsible for supervision on 31 December 2008. Reports from the municipalities show that 89 pst. of these foetuses had supervisors. An explanation that we don't have 100 pst. coverage of supervisors is that some foster homes are completely new and therefore the municipality has not yet been able to provide supervisors. The municipality is also responsible for the emergency placement of children in emergency shelters, and these children are also entitled to be appointed supervisors. Such acute placements are often so short-lived that no supervisor is established. However, this does not fully explain why not all children in foster homes have been appointed supervisors. In addition, when the reports show that 30 pst. by the children who had the supervisor did not receive supervision in accordance with the requirements of the law, it is, in my opinion, very serious. Many counties have, through their supervision, stressed whether the municipality has appointed a sufficient number of supervisors. The County will focus on this in the future as well. Through the cooperation agreement we have with KS on child protection, the Ministry is now in continuous dialogue on foster homes and the supervisory system. I will continue to ask the KS to use the tools they have to get the municipalities to give priority to the work of recruiting supervisors. I'm going to send a letter to the municipalities of the country to inform them about the report of the Norwegian Foster Home Association and the National Children's Protection Association. In that letter, I will stress the requirement of the Child Protection Act to appoint all children as supervisors, and that supervisors should supervise the child as often as necessary, and at least four times a year. The county offices will also be able to use this in the supervision they have over the municipalities in order to monitor their compliance with their statutory obligations in this area.
ParlaMint-NO_2010-04-21.ana.ud1911e1272	It's a very serious question we're discussing, because precisely the children who have been taken care of have also been subjected to one of the most serious interventions we can do in a person's life. The more responsible we have as authorities to ensure that it is an oversight. I'm glad the Council of State has continued to work with the supervisory board. But I have to say that I am very concerned and worried that the Council of State again responds with vague, unclear objectives, and refers to continuous dialogue and work to solve the problems without clear deadlines. An overall opposition has requested a stepping-up plan for full child-resistance coverage. So far, the government didn't want to get on the road with it. When does the Council of State come up with a comprehensive strategy with clear deadlines for full coverage both in the area of supervisors and otherwise in the area of child protection?
ParlaMint-NO_2010-04-21.ana.ud1911e1281	There have been significant developments in the last few months, both in terms of supervision, with the overall responsibility of the State Health Authority, and the clear leadership in the exercise of supervision in terms of frequency and more emphasis on what the children themselves say. So now the recruitment of supervisors is constantly under way, and it's a challenge in the municipalities. So in this area, a lot of the instruments are on the municipal side. How much government we need in the field of child protection is a discussion of our own. It's a discussion that I and the representative have had before. I've been very clear that if we can't get the results we're going to have through the dialogue we have with the municipalities about everything from staffing child protection to the number of supervisors, we have to go through the tools and see if we can get stronger instruments from the state.
ParlaMint-NO_2010-04-21.ana.ud1911e1288	I do not doubt the intentions of the Council of State to try to achieve results on the challenges of child protection, but it is worrying when we look seriously at the situation up against and within the supervisory regime. We understand that the Council of States has a continuous dialogue and is working towards solving the problems, but no one can know about or deal with these problems, for example. the number of supervisors shall be unsolved in five years, over ten years, over one generation, or shall never be targeted. Governments are not willing to set clear and clear targets for full coverage and to set clear deadlines for their work. It's a significant challenge. My question would also be: What will the Council of State do with the content of the supervisory system, which the report points to, in terms of professionalisation, change of status, responsibilities, etc., and in order to enhance quality and not just increase the number of supervisors?
ParlaMint-NO_2010-04-21.ana.ud1911e1297	I think it's defensive to operate with plans for where we're going to be in five or ten years, because I'm concerned that we don't accept these relationships here and now. Therefore, I contact the municipalities to say that I expect it to be cleaned up in this – not tomorrow, but now. The most important thing we can do now is put the municipalities in charge. It is a very clear responsibility they have under the law, both in terms of obtaining supervisors and ensuring that supervision works. Then we also have to have a discussion about how we provide professional quality in supervision. There is also a question that the report deals with, and that is a discussion that I look forward to going into. The Ministry has, among other things: published a guide clarifying the role and responsibilities of supervisors. We have clear leadership vis-à-vis municipalities in terms of their responsibility for training supervisors. Then we have a challenge related to recruitment that we have to go in and look at. We have to look at both the tools we can provide, and what kind of work the municipalities actually do. There's a lot of variation. What we can do that is most effective in the short term is to make the municipalities follow up the responsibility they actually have to do something about the situation – not tomorrow, but today.
ParlaMint-NO_2010-04-21.ana.ud1911e1304	We go back to the questions 1-4. Before I give the floor to the representative Svein Harberg, I would like to draw the Stortinget's attention to the fact that Stortinget has now been given a record. Therefore, it will be necessary for the Storting to be decision-making when we get that far.
ParlaMint-NO_2010-04-21.ana.ud1911e1312	I will then ask the following questions to the Minister of Knowledge: ‘On 1 January 2010, the interest-rate compensation scheme for schools was extended to private schools. Allocation guidelines have not been put in place. The House Bank uses ‘proposals for guidelines’ in response to applications, which appear to be shaped so that it is virtually impossible for a new approved private school to be included in the scheme. Who has made the leadership for the requirements to be imposed on private drivers and does the Council feel the proposal for guidelines reflects the schools to which the scheme is to apply?’»
ParlaMint-NO_2010-04-21.ana.ud1911e1321	In the 2010 government budget, the Government of the Grand Duchy stated that changes would be made to the rules for the interest compensation scheme for municipalities and county municipalities. As the representative pointed out, the change means that municipalities and county councils can apply to the House Bank for interest compensation for the rehabilitation of school buildings, on behalf of private schools entitled to state subsidies, religious communities or non-profit institutions which rent out premises to private schools entitled to state subsidies. So it is the municipality or county that is going to apply on behalf of a private school and also prioritize whether a private school should be able to attend. The scheme does not allow private schools that rent premises from commercial operators to apply for interest compensation. The primary reason for this is that the responsibility for maintaining and rehabilitating lies with building owners. No interest compensation may be applied for for investment in new buildings or swimming facilities for private schools. With this change, the government has met the private schools, so that some can get help to rehabilitate their school buildings. The House Bank is under the responsibility of the Ministry of Local and Regional Affairs. The extension of the interest-rate compensation scheme to private schools has been followed up by the Ministry of Local and Regional Affairs in the 2010 letter of entrustment to the Husbank dated 15 February 2010. Furthermore, this has been followed up by a regulation of the Ministry of Local and Regional Affairs of 17 December 2009 on compensation for interest on investments in school and swimming facilities from the Husbank, where additional provisions have been made for private schools. Under the regulation, the Husbanken may provide detailed guidelines for the implementation of the interest-rate compensation scheme. This work is under way, but the guidelines have not yet been adopted. It must be stressed that the system is governed by the regulation and that the guidelines will only complement it. As far as I am aware, the Husbank has received only one enquiry where a private manager of a school asked for guidance on the interest compensation scheme. The bank informed about the arrangements and informed that the guidelines had not yet been adopted. There is also no basis for believing that the scope of private schools within the scheme will be particularly large. However, I would like to clarify that although private schools are included in the scheme, the financial framework for the scheme has not changed. This implies that it is the individual municipality or county that has to decide for itself whether they wish to prioritise rehabilitation projects at private schools within their allocated investment framework. The priority of private schools is not the responsibility of the state, and therefore we must accept that municipalities and county councils can choose to give priority to the rehabilitation of their own schools rather than projects at private schools.
ParlaMint-NO_2010-04-21.ana.ud1911e1334	I thank you for your answer. It corresponds to what I suggested in my question. The background to my question is the unfairness I think it lies in the fact that there are completely different demands made on the individuals than on the local authorities. So a municipality or county municipality can rent premises with whom they want and get part of the interest compensation scheme. A private school can't, because then there are completely different rules. What's going to be the challenge is when someone gets a new school approved, starts going, and this school is evolving, and they're going to move on. It is then unreasonable to expect them to own the premises themselves or to commit to a 20-year lease with a surrender obligation to help them obtain good premises. How important does the Council of State feel that the owner or owner of the building is for the learning outcomes of the students?
ParlaMint-NO_2010-04-21.ana.ud1911e1341	Here, an attempt has been made to achieve a fair balance that would allow some private schools to rehabilitate under this scheme, but at the same time take into account that what is provided by state subsidies should not contribute to building private assets. There is an important balance to go for good arrangements, and this is a good and very popular arrangement in the municipalities. I think we've managed to find a reasonable balance point. If the representative believes that there should be arrangements for government grants, or loan schemes that contribute to the significant build-up of values that are on private hands, then I disagree. The balance sheet found here is a reasonable balance sheet to ensure that private schools can also have acceptable school buildings. Now I can also tell you that we expect to have these guidelines completed in a very short time, and it's not a very long queue of private schools that have been in doubt about what's going on. I think we're going to give clear signals in a couple of months now.
ParlaMint-NO_2010-04-21.ana.ud1911e1350	The last was to the extent that one of my follow-up questions – about when we can expect the guidelines to be in place. Then we hope they'll be in place soon. I think this is going to be weird. I agree that state subsidies should not contribute to building up private capital. A search shall be avoided. What's becoming unreasonable here is that this doesn't interfere with private capital, it interferes with the locations and learning venues of students who go to a recognised school. I had hoped that the Council of State saw the unreasonableness of the fact that once a school has been approved, and thus has approved education, the possibilities are limited because it is owned and operated by private individuals, and does not have a public owner. This is unreasonable and wrong, and I hope therefore that the Council of State will look into it. But I realize that it's not the will because it can have the consequence that someone could make money on it.
ParlaMint-NO_2010-04-21.ana.ud1911e1357	It is important that we take care of what is the community's money and not hand them out generously. There has been a balancing exercise here just to see what can be done with the maintenance needs in private schools, but in such a way that at the same time you take care that the public funds you have are not distributed generously to the private owners. Now private owners will also benefit from this scheme, even if it is not as generous as the representative wants. The guidelines that are coming complement the principles that already exist for the scheme, so of course they will not change what are the main principles here, but they will clarify what is the device on it. So I hope that in a reasonably short time we'll be able to get more clarity about what's going on, and rather get the discussion about how to set it up, move on between the Right and the Government.
ParlaMint-NO_2010-04-21.ana.ud1911e1367	‘According to the Evening Post on 28 March, 1,600 teachers have applied for 2,500 vacancies for further education in mathematics and languages. Raising the competence of teachers in key subjects is essential in order to improve the learning outcomes of students and achieve the objectives of the Knowledge Lift. What will the Council of State do to help more teachers make use of the further training services provided by universities and higher education institutions at the request of central education authorities?’
ParlaMint-NO_2010-04-21.ana.ud1911e1374	The State contribution to the further training of teachers takes place through the «Quality Competence» strategy. This strategy aims at providing a permanent system of continuing training of teachers. It has been developed in cooperation with the KS, the teacher organisations and the University and Higher Education Council. The Parties shall stand back and actively contribute to the implementation of this Strategy. I am disappointed with the number of people we have received from the fall. The number of 1,600 registered teachers, to which it refers, is associated with uncertainty, of course, but I'm not satisfied that we haven't already filled 2,500 places. Now I'm going to have to hurry up and say there's 1,000 inside the system already, so what we're talking about is the ones that come to the top. It's great with those who are now taking the step out and applying for further education, but our ambitions were greater than that. We have therefore already taken action to increase participation within the framework we have, and in agreement with the parties, it is agreed that everyone should follow up their own responsibilities through the Strategy Paper. In particular, intensification of information work shall be undertaken through the channels available to the parties in order to enable more school owners to report to teachers for further education. Furthermore, there is an extended possibility for school owners to apply for a place of rest. The school owners are responsible for selecting and applying for participation. I'm aware that some school owners think it's too expensive to participate in the permanent system. It is important to remember that continuing training of high quality and of one year’s duration costs more than short-term follow-up training. In addition, it is necessary to cover part of the temporary work costs in order for the teachers involved to do so, and that those who do not have a financial opportunity to take a free year or who do not have the working capacity to study in their spare time can do so. Now the costs for the municipalities are not as unreasonable as it may seem. Further training with 60 credits for a teacher in mathematics at the youth level costs a municipality approx. NOK 225 000. If the teacher is 40 and maybe works for 25 more years at school, that further education will cost 450 kroner per year. pupils throughout their childhood. 450 kroner per year. Student is a low price to pay if it means you get a better qualified teacher.
ParlaMint-NO_2010-04-21.ana.ud1911e1387	I would like to thank the Council of State for the answer. The promise of knowledge should also be a promise for Norwegian teachers. It is an absolute short-term human resources policy if, with the new reform, we fail to achieve this with the Knowledge promise, which has been laid down to help teachers. We see that the offer is there, the market is there, because seven out of ten teachers answer that they believe they need professional filling in order to do the best possible job. Obviously, then we can't live with a situation where over a third of the places might be empty. Then we do not get the pace of continuing education that is absolutely necessary if we are to raise the quality of Norwegian school, and if we are to motivate Norwegian teachers to do an even better job. I hear what the Council of State says, but we know that it is particularly critical in terms of competence in real science. Has there been any assessment by the State of grant schemes or other measures to fill the places?
ParlaMint-NO_2010-04-21.ana.ud1911e1396	I believe that the challenge is not the desire of the teachers to take advantage of these offers, which the representative Aspaker has to offer, but rather the desire of municipalities to stop. Some states are very eager to avail themselves of the offer, and have municipalities that set up and pay the temporary costs. Elsewhere, we know that that's an argument for not using the scheme. The municipality must cover 40 pst. Of these temporary costs, and I have, of course, also been concerned about whether we should make a different distribution on it. However, I think it is wise that the municipality that the employer sees that lifting skills is a very important part of being a responsible employer. There should be a spice layer where both the State, the individual and the municipality contribute. But now we're going to go rounds to see how we can make sure that the spaces that we already have and that are at our disposal can be exploited, and then we'll figure out the status when we see what the final result is, and see if there are some things about this system that should... [[President clubs]]
ParlaMint-NO_2010-04-21.ana.ud1911e1405	It sounds good that the Council of State says that new rounds are going with the KS, but the time is running out, and there are not many months for these teachers to sit on the school bench. When can you expect to know if it is possible to fill these places, and will the Council of State in any way help to re-distribute places? I hear that in a way that is what she might say – can it then be relocated, so that municipalities that may not have the funds to fill the places they might have planned this year will have an opportunity to correct it in the next year's budget, and perhaps then can get more places in the academic year starting in 2011? So the question is, do you now have a system that is so flexible that municipalities that can afford it can get more places this year, and that municipalities that this year don't do it can double up, or better counting, to next year?
ParlaMint-NO_2010-04-21.ana.ud1911e1412	The answer to the first question is at least yes, because restetorg means that municipalities that have had a desire to have more places have the opportunity to use the places that are there. So the question is how do we allocate the places that we have the year after that? I'll get back to that then. But I expect that I have such a good overview of this that it is possible to give an overview to the Stortinget in connection with the 2011 budget. There you can see how to move on with this, because further education and training are an extremely important part of the Knowledge promise, and we know that good and competent teachers are the key to success in all the goals we have now set ourselves in Norwegian school.
ParlaMint-NO_2010-04-21.ana.ud1911e1420	I ask the Minister for Knowledge the following questions: ‘More organisations offer school classes so-called peace travel. Because of the free principle, such trips are arranged by parent groups. The value of the trips will be significantly increased if the classes are able to deal with the problem in advance. Many teachers refuse this. They refer to a circular from the department, and the fear of being accused of pressure on the students. Repeated debates have updated attitudes towards young people. Will the Council of State support teachers to carry out such preparation at school?’
ParlaMint-NO_2010-04-21.ana.ud1911e1429	I would first like to stress that the free principle does not mean that you should not be able to arrange school trips under the direction of the school. School leaders, teachers, parents and students today have a wide range of opportunities to organise and take voluntary initiatives that can contribute to school trips that contribute to increased motivation and learning. I know that many students, parents and teachers around Norway make many hours of voluntary effort to get this done, and the trips can be a valuable part of the training. It is important that everyone is given the opportunity to participate, regardless of how good parental advice is. The question suggests that some parent groups choose to join forces to arrange joint trips for their children on vacation. It's about, for example, on peace travel, where themes such as holocaust, anti-discrimination and human rights are at the heart. It is quite obvious that it is part of what is going to be included in the training, among other things. history and social sciences. Of course, there is nothing to prevent training in these subjects from being used as part of pre-work before such a trip. At the same time, however, it is important to provide for training to be organised in such a way that students who are not to participate in the trip also benefit from training on these subjects, in order to organise these trips in order to address the question of the free principle. We can't have a public school targeting those parts of the students in a class who can afford to be on a trip on vacation, while those who can't afford not get in. Thus, the question that each teacher and school has to decide on: How do you balance it? But I guess there's so much sense and sense around in School-Norway that you find good balances that don't run a purely tour-preparing training, but the themes can be part of the training.
ParlaMint-NO_2010-04-21.ana.ud1911e1440	It's true, as the Council of State says, that it can also be arranged in school. Now it's probably part of another debate, about how much free money you have to arrange such tours. This is why the results have often been as the Council of State says, that parent groups arrange, and so they do in vacations. That's just the balance that we often feel falling on the wrong side. Teachers refuse because they should not be accused of exerting pressure. So they use a previous circular from the department to say, "We're not going to interfere with this." My follow-up question to the Council of State is precisely based on some of the issues that have arisen in the media image on anti-semitism, etc. Is it natural for the Council of State to send a circular, clarifying the possibilities, and that it is important to make good use of them?
ParlaMint-NO_2010-04-21.ana.ud1911e1449	I don't think it's the themes that teachers refuse, because they're extremely important, especially when we get examples of anti-Semitic attitudes in some individual students. There is one thing I follow up in another way as well. But that's the situation. You're facing a class and you know that someone on their vacation is going to participate in a rather expensive journey, while other students in the same class can't afford to attend. What, then, about a theme and a class tour? That balance course is a bit demanding to go, but I'm pretty sure you'll be able to achieve it pretty much. I promise no new circular here and now. I think it's pretty much solved with reason and wisdom around in School-Norway. Even I have not received any direct enquiries, as far as I can remember, about this particular issue. But let me keep a little alert look at it. The balance sheet I think they're doing pretty much.
ParlaMint-NO_2010-04-21.ana.ud1911e1456	I believe that she has not been contacted and that she believes that the balance is there. Our feedback is different. I've been around checking out a lot of schools and some principals, and it's obviously a problem. Then maybe it's a little bit country-focused. We've got per cent. today, a couple of major actors organising such trips. Much is done in relation to those regions, even if they are well spread. The last question of follow-up is a bit of what the Council of State was about, the debate on antisemitism. The Council of State said that she would set up a group to look at concrete actions that could be put in place. The question then is: will the Council consider taking the organisers of these trips, who have a great competence and experience in talking about these matters, into such a group to look at measures that could involve them?
ParlaMint-NO_2010-04-21.ana.ud1911e1463	We are currently discussing the mandate and composition of a working group that can get on with concrete advice to School-Norway on how to deal with this. Commercial actors who arrange such a type of travel, I have not considered as members of such a group. But that does not mean that it is not interesting to follow up and have contact with them, because they have a lot of people who have signed up for service, and it is very, very positive. Too many people are able to put them in a working group. So I imagine that the working group needs to have contact with environments outside of itself, but we also need to give them some freedom of action as to how it makes sense to work in a relatively short period of time, because we need to get advice quite quickly.
ParlaMint-NO_2010-04-21.ana.ud1911e1471	My question goes to the Minister of Knowledge: ‘15. Last December, the Time Use Committee presented its report with a series of recommendations on actions that can help the school and teachers to spend more of their time on their main task — the knowledge mission. The Minister of Knowledge then promised to review the proposals and come back with measures to improve time use in school. What changes can Norwegian teachers and school leaders expect from coming school years that can help them to spend more time with their students and for education?’
ParlaMint-NO_2010-04-21.ana.ud1911e1480	The Time Management Committee report was received by me on 15 December 2009. It was an important work that was done, which has been requested from School-Norway in making clear recommendations on how to clean up what is the most important resource in school, namely the time spent by teachers – that is what we are talking about. There were a number of measures, 90 measures, some targeting the state level, a lot of targeting school owners, and a lot of targeting the school level itself, and the report shows that there is an unison consensus in School Norway that we have to try to clear up so that teachers can spend time on what is their core task: preparing for learning, working with learning, evaluating learning and giving good feedback. That is why I have decided not to provide the most comprehensive big message Stortinget has received, but nevertheless a big message about the timing committee. It'll be here before summer. It goes through the advice given by the Time Usage Committee to us who are involved in knowledge policy at national level, but also to those who are given to school owners and at school level, because I want us, government and greatness, to be conscious of the use of time and suggestions that we make, because it is often so that we can come up with good ideas and are not aware of how much time they can take locally, that the same call goes to school owners and to schools. That's how I want us to systematically follow up the recommendations that are coming. But since there are 90 proposals, I would like to come back to this small, effective, but important message in order to simply send out some of the things that have been asked intensely by teachers, school owners and principals.
ParlaMint-NO_2010-04-21.ana.ud1911e1487	It is improper for many to believe that the school should be in good service, and the Time Use Committee pointed to all these action plans. I think I have to be so honest to say that I may also have contributed to some of those action plans, and that the sum of them is such that the school is about to break its back in relation to its actual mission. So here it's important to clear out what the school isn't supposed to deal with, but not in such a way that it's not important for these things to be debated in society. However, I also believe that the parents here are very important in relation to all the good school should do, but I think that leisure and family also have to be part of. So I think it is positive that the Council of State now says that she will come to Stortinget with a big message, but I have the following follow-up questions: is there also a discussion there of what the family and society outside are going to contribute to in relation to all the tasks that the school has been reading today?
ParlaMint-NO_2010-04-21.ana.ud1911e1492	It really sticks very tightly to what is the receipt of recommendations from the Time Management Committee, and it is very tempting to bring in several kinds of issues. For one thing, what is the responsibility of parents, another thing is that it is clear that the school, because it is an arena that gathers all children, is tempting to use as a mailbox for all good intentions in a society, and there is no action plan in any area that is not important. However, an approach to this, as the Time Use Committee also mentions, is that we can say in a health field, or it is about diet or advice in other areas – which is important for schoolchildren to have, but one should not put it as a task at the top of all the tasks that teachers have before – well imagine not to see whether other types of professional groups, health sister function, for example, other types of professional groups, in addition to what is parental responsibility, can come in and do some of that work. So my hope is that we can manage to achieve a fairly broad consensus in the Storting on this, because there will never be initiatives for action plans that are not important, and therefore it will also require a common position to say no to some action plans. I hope I can get out of it.
ParlaMint-NO_2010-04-21.ana.ud1911e1497	I hear what the council says, but I think it's important that we get a big message that also says something about how to do the problems that the school shouldn't have, because if not, I'm afraid that this room is going to think again that the problems are so important that you're going to say again that the school has to try to solve these things as well. But management at all levels is one of the key issues of the Time Usage Committee. Management, management, management was probably the headline of a lot of newspapers after Kolle Grondahl had presented the selection exhibition, and I'm kind of worried if there's going to be a big deal for the summer that might be treated in the Storting to the fall, and then there's kind of a new school year going on. Is there none of the time-use committee measures that are of such a nature that one can say that we are simply doing it, because there is such a broad consensus about the importance of it that you don't have to waste a new school year clarifying what the Storting almost thinks is a matter of course?
ParlaMint-NO_2010-04-21.ana.ud1911e1504	Yes, and there is no need to wait for a big message either, or that the Storting will treat it. There are a lot of good suggestions in the Time Usage Committee that you can only get started right away, and I know that's what I'm doing. For example, when it comes to management. put a lot more into focus what we can do to rust up the principals and offer training to them. Class management is another part of it. It starts with new teacher training for the autumn. So my intention to present such a big message is really that the Storting and we will be centrally also interested in the time use at school and back up the way we can do it. I have introduced a time test in relation to proposals that we want to come up with to make ourselves aware of what is the most important resource in school, the time of the teacher. Many things are already going on, and are going to get going quickly, so I'm really looking forward to the Storting being, what to say, giving back coverage for priorities in school.
ParlaMint-NO_2010-04-21.ana.ud1911e1509	Case No. So 1 is done.
ParlaMint-NO_2010-04-21.ana.ud1911e1557	Thus, today's map has been processed. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
