ParlaMint-NL_2016-03-30-tweedekamer-5.u1	I would like to welcome the spokesmen and, of course, the Secretary of State.
ParlaMint-NL_2016-03-30-tweedekamer-5.u228	I am not prepared to allocate too opportunisticly to something that I am not sure will benefit the support. I think, however, that I am on Mr Bashir's side when I say that it should not be the intention of this Car Letter and Act to make the private car driver pay more. The average car driver benefits from this law. As far as the final objective is concerned, therefore, I think that Mr Bashir and I are looking in the same direction.
ParlaMint-NL_2016-03-30-tweedekamer-5.u229	I have a brief follow-up question, or in fact I repeat the previous question. A lot of business drivers had, at least in the past, a higher addition. It has been reduced to 14%, or in some cases to 7%, 0% or 20%. They've all benefited, too. Why is the Secretary of State looking at this moment, when there is money in the business sphere, purely at that amount and not at history and how it was built? After all, we pumped in the 6 billion that the Secretary of State was just talking about to get the greening done. The Secretary of State said it didn't work out. Instead of taking the money away, the Secretary of State is now saying that we're getting the money purely from the business lease drivers and that we're not going to share it with the private person. Can he back that up, too?
ParlaMint-NL_2016-03-30-tweedekamer-5.u230	It might have been the case that the business driver has benefited more from the subsidies than the private driver. Where you set the benchmark is a choice. It is indeed a political choice and I have chosen to take the last year as a benchmark. If we go back ten years, there are other benchmarks. Mr Bashir is quite right about that. However, I have chosen this benchmark. From his researching perspective, I would point out that he might have chosen other benchmarks. Mrs Van Tongeren has shown us the Indian model, in which government cars run on nuclear and coal electricity. She's not here right now, so I won't say anything bad about it. I only do that when she's there. Her serious question is how the Autoletter contributes to the goals of the energy agreement. What's the ingrowth path and how does that have to do with the 200,000? No purely fiscal targets have been set in the energy agreement, other than one: electric vehicles should receive some fiscal support at least until 2018. That's what this meets. In fact, through the half- and three-quarter rates of the MRB, there is also some support for these vehicles after 2018. So that target has just been neatly achieved. Mrs Van Tongeren is only concerned about what contribution is being made to those 15 to 20 petajoules. That's just what the bill says in itself, because that's calculated. This AutoLetter Act provides an additional contribution of 1 to 2 petajoule. This should be seen in the context of the entire mobility domain. So you can't see to what extent you're gonna make 15 to 20. I understand that by now it has been calculated that this is roughly achieved. But this contribution is just in the play. In other, non-tax areas, agreements have also been made, from behavioural changes to economical links. There is a lot of work to be done in the fuel vision. However, I cannot say that very authentically, because that is what my colleagues are doing, and they are running hard for it. I don't have the latest information on that. However, many other agreements have been made in the framework of the energy agreement in the field of mobility. In the conservative estimate of TNO, electric cars reach around 100,000. Is that very likely, one might ask me. We're pretty far over 90,000. This is an objective to be achieved by 2020. We may think we're here, but in all honesty, I don't think we are. I think there's going to be a whole swarm of new electric models on the market. Where the range of first cars really didn't exceed 100 km, we now have cars that go beyond 400 km. Tesla's come out for much lower amounts, but also the mainstream brands come out with platforms on which electric cars can also come. I don't think today's 93 000 will lead us to have 100,000 by 2020. I don't think so, but it's the estimate, and we'll send it straight away. Then Mr Van Weyenberg looks at me and asks if it is enough. That 200,000 wasn't a target, but it was an ambition. A very large part of it consisted of the plug-ins. However, it is precisely the plug-ins we have said that they do not actually contribute enough to the policy. Call it altered insight. Nevertheless, I think it may well be that we are well above the 100,000, but I will just leave the estimate. That's what rammers are for. They should not be contradicted by politicians, because they all have interests and you should never listen to them.
ParlaMint-NL_2016-03-30-tweedekamer-5.u231	Let's get back to that. I call Mr Omtzigt.
ParlaMint-NL_2016-03-30-tweedekamer-5.u232	That's what we heard from the Car Letter I. There were already a number of members in the Chamber, including me, who had looked and saw Mitsubishi Outlander and that Volvo coming. And there we went to the 100,000. We should not, however, talk about the estimates, which were based on the models that were on the market at the time. Are we making exactly the same mistake with this letter, namely that we are making estimates on the basis of the models that are now available? Should we suddenly put our hands back in the air in a year or two and say: oh, we had no idea that those new models would come and that everyone would drive it? Does the Secretary of State see the risk that we will have a few hundred thousand electric cars running at a rate of 4% and that we will consider that we have a hole of more than a billion with environmental gains, but relatively little?
ParlaMint-NL_2016-03-30-tweedekamer-5.u233	This is precisely the question put by Mr Omtzigt in his first term. He has also asked follow-up questions which were very useful. We can now completely confuse the order. That is not so much against it in itself, but I just want to give him the answer later. If I don't, I'm gonna lose my touch because of all the in-between stuff. But if he insists, I can do it now.
ParlaMint-NL_2016-03-30-tweedekamer-5.u234	No, I'm not. I'd like one answer now. Have these estimates been made on the basis of current models or are the models already in the pipeline included and their behavioural effects incorporated?
ParlaMint-NL_2016-03-30-tweedekamer-5.u235	The behavioural effects have been taken into account as far as possible. The organisation TNO has looked at the future in a fairly technological way, but has not only stayed focused on the models that are currently on the market. I'm about to answer the question of whether there's any risk involved. Just like the question of what to do about it. Mr Omtzigt has asked a number of understandable questions about this.
ParlaMint-NL_2016-03-30-tweedekamer-5.u236	The Secretary of State will come back to that later.
ParlaMint-NL_2016-03-30-tweedekamer-5.u237	Mrs Van Tongeren was also concerned about keeping the hybrids in the Netherlands. The first time she asked me about this, she was worried about the climate and my answer is always that climate does not respect national borders. Now she says it's also about air quality and asks us to keep these things here. That's what I've been modeling. I've been checking to see if the exports are getting started. No, not yet. However, those plug-ins have not been there for so long either, as Mr Van Weyenberg is right in saying so, how could they be exported? That's why I took a look at a parallel. I am trying to answer Mr Van Weyenberg's question seriously. That question was also asked by Mrs Van Tongeren. We've had this before. We've had previously subsidised vehicles that were then out of the lease. Take the Prius II case. That's a car that hasn't been made in a while. It came out of the lease at the time. I've been trying to check out what was the export of that now. On a total number of conventional hybrids somewhere between 100,000 and 120,000, these exports seem to stabilize at around 4,000 to 5,000 cars. That's not a massive export. Exports from the Netherlands are economical diesels. They're going fast, but these cars haven't gone so fast in the past. But could that be possible in the future? I have tried to identify the full cost to the consumer. For example, the depreciation curve is the same. Then you can see that in almost all cases it remains attractive for the consumer to drive such a car. There is no reason to believe that these cars will remain on Marketplace and will no longer be driven by ordinary, private consumers. Who makes a sum sees that it could still be attractive products. Then I calculated with a slightly more realistic ratio between electric driving and non-electric driving. So that still has a very good chance. I don't see any reason to believe they're being exported. By the way, we are looking at this again in 2018. I think I wrote that down somewhere, too. So that's what's gonna happen. I will return to that review later in relation to Mr Omtzigt's questions. In 2018 we put the thermometer in there to see what happens. Then we might see something that happens for the first time, because now there is no export of plug-ins.
ParlaMint-NL_2016-03-30-tweedekamer-5.u238	I understand that Mr Van Weyenberg has a question on this. Mr Van Dijck had another question on a previous point. Do you mind if Mr Van Weyenberg asks a question on this first, Mr Van Dijck?
ParlaMint-NL_2016-03-30-tweedekamer-5.u239	I had a little point of order in between. Can the Secretary of State answer Mrs Van Tongeren's questions a little faster? 'Cause she's not here.
ParlaMint-NL_2016-03-30-tweedekamer-5.u240	I'm done. I'm through.
ParlaMint-NL_2016-03-30-tweedekamer-5.u241	Oh, then it's okay.
ParlaMint-NL_2016-03-30-tweedekamer-5.u242	I'm done. I'm through, but it's in the Acts now. And a question I tend to answer. This is often thrown at me like a great weakness, but I want to stick to it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u243	This is greatly appreciated by the Chamber as a whole.
ParlaMint-NL_2016-03-30-tweedekamer-5.u244	Certainly, Mr. Chairman. I would encourage the Secretary of State to continue this custom. The Secretary of State says: I'm going to monitor in 2018 towards 2019. But then he also has no objection to monitoring in that direction. I have asked him to look at these exports every six months from now, so that we can take a decision on them in the course of 2018. One look in 2018 I find on the late side. Why don't we look at what happens to these export figures every six months from now? I think they are well kept.
ParlaMint-NL_2016-03-30-tweedekamer-5.u245	That's true, but let's not make it too wild. At the moment not so many plug-in cars come out of the lease and the cars that come out of the lease are now not exported dominantly. Those are minimum numbers. I've got it right here. It's nothing at all: 200 all over 2015. Well, there's more on the verge than they've been exported. Let's just do it nicely. We have an evaluation in 2018 for a reason. That's not that far away at all. That car letter just came into effect. He starts in '17. To do this every six months seems to me to be a lot of good, but what Mr Van Weyenberg says is true: the figures are there. But let's not make it crazy.
ParlaMint-NL_2016-03-30-tweedekamer-5.u246	We still have a second term. Then I'll say something. The Secretary of State is now talking about these numbers, but I would remind him of the words he himself started this block with: it is indeed not such a fair comparison because they hardly come out of the lease.
ParlaMint-NL_2016-03-30-tweedekamer-5.u247	I'm telling you the truth.
ParlaMint-NL_2016-03-30-tweedekamer-5.u248	Sure. The Secretary of State said it was fair in the first round, but then started to shield with the 200. So I thought I'd repeat the right words of the Secretary of State.
ParlaMint-NL_2016-03-30-tweedekamer-5.u249	I do not take a word of it away: it is absolutely true that they are not yet dominant from the lease. There's nothing else I can do. Mrs Neppérus asked me about double taxation. In the past two years, she and I have built up a tradition in the fight against double taxation. I do not know if I consider this to be a double taxation, but let me put it this way: if we build in an incentive to get rid of dirty cars, then let us get rid of these environmental zones. After all, it is a strange measure to organise mobility in your city and your country in such a way that you cannot enter certain parts because your car is too dirty. You should be trying to get those cars cleaned up. This is hopefully just that little push that will get us out of those environmental zones sooner.................................................................................................................................................................................................. On this point, the Chamber has indeed adopted the motion for a resolution, which calls on the government to abolish the basis for municipal environmental zones for passenger cars in the traffic regulations. I understand that there is still a very large set of parliamentary questions to be answered first. I also understand that this is being rushed. I also understand that the Minister for Infrastructure and the Environment will inform the Chamber about the implementation of this motion. That is a good thing, because, frankly, I could not give the answer. Of course, Mrs Visser is entitled to information on the implementation of the motion, which will be given by the Minister for Infrastructure and the Environment. Mrs. Neppérus asked what the rocktacks are getting. That's been a party for the beaters. That's the most amazing number, because the rocktacks is of course a descending thing. Or he doesn't work, and then we're gonna keep driving vans that get older and older for years, but that's unlikely. So it ends. The rocktaks disappear and dissolve, because we will soon have solved the problem; then the environmental zones can be removed. It's kind of a weird estimate tail. It is so-called "flattened" in a structural number by the rams. That structural number goes on forever and is therefore a low number compared to the amount in the first years. Structurally, the amount is 5 million. There is therefore a multi-annual occasional number "flattened'. Let me add the jargon, otherwise Mrs Neppérus will think: what a strange, low number. That's because it's structural. This is for the gourmets, but Mrs. Neppérus is a gourmet. Mr Van Vliet asked if the execution is really easier. In the transition and in some add-ons this doesn't necessarily make it easier, but a start is being made to make it easier in the future. After all, we will have fewer add-on rates, which will also be easier for consumers and for the industry. I dare say that the most important thing is that we ultimately have to work towards less bpm problems. That's in the top 20; that's a big boy. The changes do not, therefore, make it possible for a lot of people to be put into control in the short term, but in the long term they will make it better. The Council of State doesn't think this is going fast enough. Honestly, I might think so myself. I would have liked to have eliminated the bpm in one go, but then the fleet would immediately fall into value and we would have serious problems. We have decided not to do so, but from the point of view of implementation, I am looking Mr Van Vliet straight in the eyes, which would be preferable. Mr Van Vliet also wonders why fewer and fewer people are driving LPG. That's a little second guessing. At the break-evenpoint it can't really be, because from our sums this is somewhere between 4,000 and 8,000 kilometers for a factory car. Aftermarket is between 11,000 and 16,000 kilometers. There are a lot of people in this room who just make it. So they could all have run on LPG. But, yes, the customer is erratic and demanding. Is the range of LPG even pleasant? What about the trunk room? In all honesty, I think that perhaps the answer was given by Mr Van Vliet himself, who also drives more than 16,000 kilometres and has decided to drive diesel. Most multicyclists, in principle potential LPG customers, opt for diesel. Diesel has undergone a truly phenomenal development. Even the 24 hours of Le Mans is partly driven with diesels; it is untruthful. Mr Van Vliet himself therefore gives the answer to his own question. It is, at least in my opinion, not the State that should organise the promotional campaign for LPG. Mr Van Vliet also asks why the plug-ins can't reach 22% sooner. First of all, shocks never do the market right, because then you get anticipation effects. Furthermore, I would like to confess that for this Car Letter I have looked at the width of the support area quite carefully along a number of dimensions. The idea was that a more limited phasing-out would ultimately do the proposal good. I will answer Mr Van Vliet's question about electric vehicles at the same time as Mr Omtzit's questions. I have answered Mr Groot's question about the roettaks. He also noted that LPG is relatively clean. What's clean? CO emissions are just below diesel. The emission of NO is also lower than that of diesel, but it is roughly four times higher than that of a petrol engine. There is no particular reason to continue to favour the fuel currently subject to the lowest tax per kilometre. That does not seem to me to be the purpose of this policy, and I do not want to make any active efforts to do so. Questions have been asked about Volkswagen. What's the status on this file? Frankly, colleagues of mine know that much better. I've been monitoring the Volkswagen file for CO, because NO, which the Volkswagen case is about, is not at all in the car tax system. There is no need for any tax compensation in this area either. That's another matter. It has not yet been established that there would have been any fraud in the field of CO. There is an investigation going on, but that is about a few hundred cars in the Netherlands. Depending on what comes out of there, we have to look further, but for the time being there's no finding that there's anything CO going on that should have an impact on car taxes. Mr Groot has previously tabled a motion on loading posts. I very much liked this motion in itself, because it was about facilitating policies which do not directly affect taxation, and which may even be more relevant to the real problem and would lead to less erosion. There are now about 18,000 loading posts, semi-public and public. My colleague from EZ expects to make a green deal in not too long, which will provide between 55,000 and 60,000 loading posts during the period covered by the Car Letter. I understand that this is in full swing and that no lions and bears have been found on the road. That's the good news. In this way, we can stimulate electric driving in a non-fiscal way, without causing any erosion. Mr Van Weyenberg made another cry about the waterbed effect. I don't know if I literally rebut it, but he said: yes, if we start thinking like that! Yeah, that's what I'm saying, that's how we're supposed to think! Climate isn't about symbolism. It's not about symbolism, it's about climate, about earth, not politics! So, yes, it matters, so I say to Mr Van Weyenberg. He also asks about the large motion and about the exports of the hybrids. I have already replied to that. He also wonders about my claim that electricity is more taxed per unit of energy, in other words at the loading posts issue. Otherwise, he'll have to correct me, because I don't want to answer an accusation he didn't make. I think he has complained that in the energy tax sphere electricity per unit of energy is taxed more heavily than fossil fuels. I think that's his question. In all honesty, I say that's not weird. But perhaps there can be an explanation first, because then I have the question more clearly in front of me.
ParlaMint-NL_2016-03-30-tweedekamer-5.u250	In the explanatory statement to the report, I would like to say once again that it was a very nice step on the loading posts. In the case of various fuels, such as electricity, petrol and diesel, we looked at the tax per kilometre, if I may put it that way. At that point, I made a comparison. I said that you actually want to look more at the energy, because otherwise it's a bit like charging the number of degrees you heat your house instead of the energy consumption needed to achieve that. That's what I cared about.
ParlaMint-NL_2016-03-30-tweedekamer-5.u251	No. I've known Mr Van Weyenberg for a long time. Our common hobby is: economic issues. But at this point I have one hobby that he doesn't have, namely the technique, because that's where I come from. It's completely incomparable. I repeat, completely incomparable. Gasoline is primary energy and all conversion losses have yet to be removed. Electricity is "collected labor." That's the end product. It's like finding that squeezed orange juice per unit of weight is more expensive than the raw oranges. That also makes sense, because the first is a processed product and the second is a not yet processed product. In the case of raw oranges, the peels still have to be removed. With the primary energy, the losses still have to be removed. Electricity is not a fossil fuel. One is primary energy and the other is "collected labor." In the AO I even brought in the second main law of thermodynamics, but then I was put in the media as a schoolmaster, and they're right about that too. I'm not gonna do that again.
ParlaMint-NL_2016-03-30-tweedekamer-5.u252	Mr Van Weyenberg has a brief follow-up question.
ParlaMint-NL_2016-03-30-tweedekamer-5.u253	The Secretary of State writes: "In view of the lower tax burden per kilometre driven on electricity compared to petrol and diesel, the energy tax is not a bottleneck for the transition to electric driving." I think that theorem is boud. I look at the tax per megajoule, because I want to look at the energy impact of that tax, not the mileage impact. Then I come to figures showing that per megajoule the load on electricity is four times higher than the load on LPG and twice the load on diesel.
ParlaMint-NL_2016-03-30-tweedekamer-5.u254	It's not comparable. These equations really cannot be made. I would like to have another cup of coffee with Mr Van Weyenberg.
ParlaMint-NL_2016-03-30-tweedekamer-5.u255	I always like doing that with the Secretary of State. However, I also come across a lot of scientists who have a very different reading of these things. They are much better at technology than I am and perhaps they are worthy opponents of the Secretary of State. I therefore ask him not only to have a cup of coffee with me, but also with all those very wise scientists, including Delft people, who have very different views.
ParlaMint-NL_2016-03-30-tweedekamer-5.u256	Then we'll have to study the second main law of thermodynamics. Mr Van Weyenberg has also asked another question, which in itself is sympathetic to me. Here's what he asked. There are so many special regulations in the car sphere; should we not even go to simplifications? And doesn't that even have to be worked out? Is the government willing to work on that? I don't know if he said "proposals," or...
ParlaMint-NL_2016-03-30-tweedekamer-5.u257	Variants.
ParlaMint-NL_2016-03-30-tweedekamer-5.u258	Variants. Well, look, I've put a lot of time into that and I haven't felt much support for that yet. I can say that there is broad sympathy in this Chamber for one of the minorities envisaged by the special arrangements and that it is not easy at all to do something about them. I heard Mr Van Weyenberg say that he would table a motion. If there's a broad support for simplification, I'd be happy to help you work out things you could do. But I say in advance that there are a lot of things that make a lot of target groups very unhappy. We have to be aware of that. We must have real support for this. It's not something you do for a while. It has an impact on many industries. It affects many manufacturers and many users. It's not a little thing.
ParlaMint-NL_2016-03-30-tweedekamer-5.u259	No, it certainly isn't, but I'll file a motion. Then we'll see if the Chamber supports it. I want to look for a variant, an effect, in which the Secretary of State could indicate: if you do it around the fire vehicles and give it back to the fire department, it can work. For example, there are many other examples, including a number of examples that will evoke more emotion than my firefighter's example. On the basis of what lies ahead, so to what extent it can be properly rerouted and the limits attached to it can then ultimately be made the political choice whether or not to do so. But I'll file that motion. I welcome the support of the Secretary of State and, hopefully, of the Chamber.
ParlaMint-NL_2016-03-30-tweedekamer-5.u260	In the fire department, the social impact could not be too bad. Even the hump suckers should not lead to great emotions, but we quickly enter the danger zone. It depends on whole industries, and that really isn't a small thing.
ParlaMint-NL_2016-03-30-tweedekamer-5.u261	Mr Groot also has a question for you on this point.
ParlaMint-NL_2016-03-30-tweedekamer-5.u262	Yes, because I asked that question and I haven't had an answer to it yet. Does the Secretary of State wish to present a kind of cost-benefit analysis per tax scheme to the Tax Plan, in which he explains the pros and cons of the possible abolition of exemptions?
ParlaMint-NL_2016-03-30-tweedekamer-5.u263	I am afraid to promise a cost-benefit analysis with a very heavy department at the moment. And then I say: very heavy. If, however, the Chamber says in broad terms'show us what things could be done', it can be put on paper. But I'm afraid to go too far, otherwise I won't make it happen. We're a little out of capacity. That is not really the right motive to disappoint you, but that is realistic.
ParlaMint-NL_2016-03-30-tweedekamer-5.u264	We've been over this before. It does not have to be a comprehensive cost-benefit analysis, but simply a list of the advantages and disadvantages and of the impact. That can be quite short.
ParlaMint-NL_2016-03-30-tweedekamer-5.u265	I thought it had already been sent in the short version once. I'm gonna check this out. Mrs Schouten asked a very interesting question. Suppose we see a shift from fossil to electric driving. The energy tax on one is of a very different type than the excise duty on the other. They're quite different. Then what happens to tax revenue and how can you anticipate that? I must honestly say that the plan has been passed on until 2020. In doing so, I am, of course, severely forced by the Autoletter system to rule over my grave. But if I were to make all kinds of statements for the period after that, it would not make any sense now either. I would say that the person who makes the next car letter, who is therefore more in the energy sphere than purely in the tax field, should make that vision, or perhaps the one before that. I admit that it is an interesting question, but it goes too far to resolve it in the context of this Car Letter. Mrs Schouten is concerned about the plug-ins and believes that they should not be allowed to leave the country. She rightly says that it may not matter so much to the climate, but that it does have a certain impact on air quality. We paid for that, given the subsidies and that is why we would like them in the Netherlands. Her suggestion is to maintain the half-rate for the plug-ins during the years 2019 and 2020. It's possible. It's not what I chose, but it's not impossible. Then you'd have to pay it out of something and she'd think about the diesel charge. I would like to make two points about this. For example, you should not reduce the diesel surcharge by 12%. The phasing-out of the bpm including the diesel surcharge naturally affects the break-even point between diesel and petrol. I can understand her thinking to limit the exhaust in that diesel piece. I can understand that. I would also like to say that I would like to bring down that bpm. It's more serious than we sometimes think. That's not ideological, but it's a cry of hearts. It's kind of like my hobby here, but it's not. I've never made a hobby out of it and I've never been awake from the bpm, but I am now. I would therefore like to encourage Mrs Schouten to find another source of cover. It's possible, though. I don't have the numbers ready for a while, but there's a little puzzling to do. It's my heart cry to get another cover from somewhere, but it's not impossible. As far as her request for a country-by-country source policy is concerned, as long as the European ceiling is not so tight, you have the feeling that it will run away elsewhere if you do something here. If it really becomes European ceilings in the order of 70 or even 35 grams per kilometre, we will no longer have to pursue national policies and will not leak anything. The European ceiling will then do the job and it will help that you do not do things on a country-by-country basis. In such a case, having a single European ceiling will help a level playing field. Then there is the problem no longer that we are not achieving aggressive targets and we are achieving them, but without any subsidies. Then the market does the job and the challenge lies with the buyers and manufacturers of cars. That's where it should be.
ParlaMint-NL_2016-03-30-tweedekamer-5.u266	I agree with the Secretary of State, but he himself gave the example of cars that came on the market a few years ago that I believe had 130 grams of CO emissions, which everyone said was incomprehensible.
ParlaMint-NL_2016-03-30-tweedekamer-5.u267	The first Prius, 99 grams!
ParlaMint-NL_2016-03-30-tweedekamer-5.u268	Yes. This already indicates how quickly developments can take place.
ParlaMint-NL_2016-03-30-tweedekamer-5.u269	Yes.
ParlaMint-NL_2016-03-30-tweedekamer-5.u270	We have been more ambitious than the boundaries of resource policy. However, the reasoning of the State Secretary stands or falls with the question of whether the ceiling actually goes down sufficiently hard. We don't know yet. So my question is twofold and perhaps the Secretary of State will go into it. If he wants the ceiling to go down, the Netherlands must make the most of it. However, if he finds that there is room for any reason, I would like him to consider this as a fallback option. Is he prepared to discuss this in Brussels?
ParlaMint-NL_2016-03-30-tweedekamer-5.u271	That's not my turf, but I can confirm the first one. My colleague, the Secretary of State of I and M, advocates that. The Commission will also come forward with a proposal which will be dealt with in the usual way. It is reported that this is an ambitious proposal. The Netherlands is also very ambitious. The Dutch cabinet policy is aimed at achieving these goals in precisely that efficient way. If that doesn't work, we'll see again. We are not national in Europe. We have to do it together, but I have to leave that to my colleague. On the first point, there is a firm commitment. The numbers that go around in the circuit are all very ambitious as far as I am concerned. Then I come to another question from Mrs Schouten, a question in which you look at the whole thing with a helicopter, the 'well to wheel' question. That is the question of doing something with the revival. Mr Van Dijck made a comment on the same point, albeit in a different tone. He said, if they are coal power stations, you have coal cars; that doesn't help either. That's right, because then "well to wheel" shows that we haven't made any progress at all. So it's about making sure that it's also produced sustainably. But then the problem is that electricity is nothing but flowing electrons and they are not earmarked. So we can't say this solar collector is for that car. That's bullshit. A solar collector is added; that makes it more economical, but it is not that there is a solar cell for every additional car. That's not how it works. I think we should separate this transition from national energy generation, which, as far as I am concerned, is in safe hands with my colleague, Mr Kamp, who also has goals for sustainability and CO savings. So by this way, we could ensure that the generation of electricity which really is a completely different side of the demand, which goes far beyond motor mobility, also goes along with it. I cannot do that from the point of view of car policy or taxation, but the sustainability goals are there and they are also agreed on in the cabinet. They're committed to that. Mr Van Dijck asked and passed the question about the size of the addition. As a result of the addition, net revenue for the Empire appears to be 1.7 to 1.8 billion, as estimated by the specialists. This was the Christmas question. Let me be honest: the bpm was, like about all our car taxes, a CO-dependent tax. Should the bpm be a CO-dependent load? As far as I am concerned, not even for other reasons why the 'de-CO-ization' in car policy should be continued. But I simply failed to make a manageable and executable variant, in which the bpm is phased out and also 'geont-CO'd'. I simply didn't manage that well. We've done a little bit with the fixed foot. So it's getting a little less CO-dependent, but the ideal image that Mr Van Dijck has here and what I share, frankly, has proved impossible. But he is right that there is no reason to maintain that bpm as a CO-dependent tax in the long term. I can't help but say he's right about that. That tax is going down, because the rates are going down by 12% and because there is a certain degree of CO dependency, it will actually go down a little bit further. TNO reaches 3,7%. It is not the case that TNO points out that it will have a different effect for small cars than for large ones. That wasn't said. On paper, it may have been the other way round in many cases in recent years. I now have to stick to the numbers of the researchers who have their own claim here that this is a feasible path.
ParlaMint-NL_2016-03-30-tweedekamer-5.u272	I have a question about the 3.7%. This is an average. As I have just said in my speech, it is much easier for a petrol slurper to get that 3.7% than for a car that already drives the most economical of the cut, is small and you name it. That space isn't there, I hear from the market. The question is whether this means that the small economical cars become more expensive over time with an average of 3.7% and the big slurpers are relatively cheaper, which actually gives you a counter-effect than you want to achieve.
ParlaMint-NL_2016-03-30-tweedekamer-5.u273	I have also heard that the industry has put forward this argument. For the time being, including in the TNO statements, I have not read the conclusion that this is happening. Maybe this is just something we need to keep an eye on. Mr Omtzigt asked a funny question: which majority is actually there and in which room is that discussed? In all honesty, I say to him: for the time being in this room. I'm not exactly in the back rooms yet. I'll be in the front room first. I'm just trying to do it the way we did it a long time ago. I'm trying to convince you all through the front door, on the contents. Mr Van Weyenberg is a bit out of it, but the rest is still awake, I'll tell you.
ParlaMint-NL_2016-03-30-tweedekamer-5.u274	At least he's still able to shake no.
ParlaMint-NL_2016-03-30-tweedekamer-5.u275	Well, that saddens me. Mr Omtzig also asked about the promotion of purely electric vehicles. I'll paraphrase it and make it sharper than woolly. He actually says: why doesn't the story apply to the plug-ins also to the EVs? That ceiling, that waterbed effect, doesn't that apply to this, too? That was actually the question. I have already answered this question during the AO and indicated that I am working on this point because I have checked the basis for all kinds of elements of the Autobrief quite widely and quite intensively. I've come to the conclusion that it's not easy to make a car letter that doesn't contain pure electric vehicles. Honestly, I am not ashamed to listen to the Chamber and make my sums at this point. The follow-up question is then what it means for erosion. In that AO I also said in all honesty that I fear oversubsidisation rather than undersubsidisation. If I'm asked what I think the biggest risk is, I say that oversubsidisation seems to me to be a greater risk. That is why it is important that we have an evaluation moment, because then we will not only look at the exports of the plug-ins, but also how things are going with this. What are the numbers and how is the erosion? There is then a small moment when we can intervene to some extent. That's important, because we've learned from it. I simply agree with Mr Omtzigt, but for the very reasons of his first question, I am looking very closely at where the support is leading me.
ParlaMint-NL_2016-03-30-tweedekamer-5.u276	It would increase our support if there were subsidies but not over-subsidisation. That is why I asked how the Secretary of State is looking at the amendment in which we propose 10% addition. The addition is then less than half of the 22% addition to the rest. There is then a considerable degree of stimulation. We are also proposing an emergency braking procedure, so that the law does not need to be changed but can be changed per AMvB, which then needs to be put forward in the Chamber. That can't happen overnight, but if we see it coming out of the claws, it can be stopped within a month or a month and a half. We saw last time that the six months stop journey cost hundreds of millions for cars that were soon registered and could drive around for free or almost free for four years. Is the Secretary of State prepared to amend his bill to that effect? If I look behind me, that might be a support measure for part of the Chamber.
ParlaMint-NL_2016-03-30-tweedekamer-5.u277	If an emergency braking procedure is, in its broadest sense, a support measure, then I would seriously consider it. I've chosen this now. If you were to come to a different conclusion at the time of the evaluation, you would have to change the law. Nor is it so strange that you change something so important, about which there is such a huge discussion in this debate, through democracy with a formal law. I don't think that's very weird. I wonder if an AMvB for such a big point isn't a bit of a light thing. Let me put it this way: if concrete proposals are put forward, then I am not the main one against this, but it seems to me to be a slightly democratic means for such a big point.
ParlaMint-NL_2016-03-30-tweedekamer-5.u278	Now the Secretary of State is trying to replay the ball in a very interesting way. A veil on an AMvB means that the Chamber can either agree to it or reject it in such an emergency braking procedure. There's a certain speed in it. During those two or four weeks that the AMvB is hanging out, the Chamber can say yes or no. By the way, that's what the First Chamber can do. And that's it. I'm just turning the question around. What are the lessons we learned from the Mitsubishi Outlander and the Volvo, in which a small group of Dutch people got a lease car for tax almost free or free, which was paid by the large group of people for whom taxes went up on all sides? What's that learned from?
ParlaMint-NL_2016-03-30-tweedekamer-5.u279	This is a funny speech, because Mr Omtzigt now repeats the lessons that I myself have been pumping into it, and puts a question mark behind his sentence. We agree on these lessons; I do not need to repeat them. Let us take advantage of the fact that the second period will take place at a later date, and let me consider in the meantime whether and, if so, what other means of turning things around can be created to counter the impact if an interim evaluation shows that it is getting out of hand. Why don't I just think about it?
ParlaMint-NL_2016-03-30-tweedekamer-5.u280	I think that's a very nice offer. I hope that it not only happens at the moment of evaluation, but also at all other times that there is a very clear reason for it. It is not about 200 cars being exported more or less; we really know what kind of events we are talking about. If the Secretary of State would like to take this whole package, I am waiting with great interest for that second term.
ParlaMint-NL_2016-03-30-tweedekamer-5.u281	I'm gonna think about that.
ParlaMint-NL_2016-03-30-tweedekamer-5.u282	It is always good for interim and timely evaluation. If things are going really fast with those electric cars, you can think of less funding needed. You have to keep that possibility open. But at the same time, does the Secretary of State agree with me that there is a difference between the subsidy of plug-ins, which concerned the reduction of CO emissions that leaked abroad, and a new technology, the energy transition, with which you go to a completely different car market? It has a value in itself to stimulate that new technology.
ParlaMint-NL_2016-03-30-tweedekamer-5.u283	I do not know whether it makes sense to have that debate here. I do this with love, because that is my role, because the Chamber is moving in the broad direction. Whether it's a whole new technique, I don't know. In the nineteenth century the electric motor was already quite advanced. Do you have to ask a mechanical engineer if an electric motor in a car is something new? Maybe the battery technology is new. I can see that it is a change of behavior and that it requires a certain transition. I recognize all that. It seems useful to me to keep an eye on this one way or another. That's why I built in the evaluation moment. The fact that there's a transition going on here is clear.
