ParlaMint-NL_2016-05-18-tweedekamer-7.u1	I would like to welcome the Prime Minister and the Foreign Minister. I call Mr Voordewind.
ParlaMint-NL_2016-05-18-tweedekamer-7.u124	Mr. Chairman. I would like to thank the two rulers for their clear answer. The rulers have indicated that the conditions for liberalisation and for Turkey's EU membership stand right. Surrendering to principles such as freedom of the press or freedom of expression cannot be the issue. A motion by GroenLinks and D66 has already been adopted on this subject. I was happy with what the Prime Minister said about the click line. He has confirmed that it is now out of the sky. He also said that immediate action would be taken if something like this were to happen again, because this is unacceptable. One point, as far as I am concerned, has come out a little less clearly, and that was about the long arm, but above all about its comprehensibility. It is one thing to talk about the long arm, but it is another thing to talk about its comprehensibility for part of the Turkish Dutch. I would like to have another reaction from the rulers. What does the Cabinet intend to do about it? That was the first-term question I asked.
ParlaMint-NL_2016-05-18-tweedekamer-7.u125	Mr. Chairman. I thank the rulers for the clear answer and the comment this time. For a change, I would say to Mr Ten Broeke that, if you look at this case, you might think it is an incident. The Prime Minister himself listed a number of incidents. Mr Ten Broeke did the same. If you let them all work on you, you'll see that there's a really serious problem. That is why the question is: when are we going to have another problem here? Let's hope not. Let us hope that the signals that the cabinet says it has given to Turkey will indeed help. But, Mr President, allow me to say that I have doubts as to whether this will actually be the case. I asked the cabinet in the first place whether it is willing to look closely and continue to look at the dome associations that are part of the long arm. Mrs. Voortman asked about that, too. Minister Asscher has spoken clearly about this in the past. I think it is important that we continue to monitor this closely, particularly in view of the comments made in this debate. I would like to thank the Foreign Minister for his commitment to make the issue of abandoning dual nationality negotiable. I would point out, however, that, according to the procedure, this still has to be done through the Turkish consulate in Amsterdam, the same consulate about which there was a rumor that there was a click line there. I ask the cabinet to keep an eye on this and at least to ensure that there are no obstacles in the Netherlands, on Dutch territory, for people who want to.
ParlaMint-NL_2016-05-18-tweedekamer-7.u126	I would like to end this debate in cuckoo one singing with the CDA, but then we must also be honest. Mr Knops says he wants to examine the Turkish umbrella organisations, but last year the CDA voted against the Karabulut/Potters motion. Then tell us here today that this should have been different and support our call for that research and the impact of that research.
ParlaMint-NL_2016-05-18-tweedekamer-7.u127	I would very much like to do this, but I do not know the text of that motion. I would like to say to Mr Ten Broeke that I am going to look at it. I'm worried about the influence. I have already indicated this in the debate in the first term. So if I like that text, I will certainly discuss it with my colleague and we will act accordingly.
ParlaMint-NL_2016-05-18-tweedekamer-7.u128	Mr. Chairman. We are having a debate on the arrest of a Dutch columnist, but also on freedom of expression and freedom of the press in Turkey and in the Netherlands, for the Turkish-Dutch community, and on the tensions that this has caused for the Turkish-Dutch community. Mr Knops referred to an entrepreneur. This reminds me of an article in Zaman of 28 April, in which a number of entrepreneurs are anonymously quoted who also experience this kind of intimidation and practice. I've spoken to some of those people. They find it very difficult to get out. The question is how they can seek support from the Dutch government when they feel that they are intimidated and limited in their economic activities. It is good that the Dutch Government supports the independent investigation in south-east Turkey by the UN High Commissioner for Human Rights. I'm just wondering what the timetable is for that. Are steps now being taken by the UN towards Turkey? Finally, I would like to reiterate that, like most of my fellow Members here, I am not a fan of the Turkish Government, but that there are a lot of Turks living in Turkey who do want to move forward and that we should discuss chapters 23 and 24 on democratisation and freedom of the press in this context.
ParlaMint-NL_2016-05-18-tweedekamer-7.u129	Finally, I give the floor to Mr Van der Staaij.
ParlaMint-NL_2016-05-18-tweedekamer-7.u130	Madam President. The fact that freedom of expression is a great asset, but it also has its limitations, is again apparent from the speaking time we have in this second term. I have no problem with that because of the clear answer given by the rulers, for which I would like to thank them. The most important point that lingers on me is the displeasure about Erdogan's long arm and how far it goes exactly. I welcome the fact that my colleague, Mr Ten Broeke, referred to the motion on this matter which has already been adopted in the Chamber. We would like to hear how this is being implemented, so that we can get the best possible picture of the scale in which the acceptable influence passes into inappropriate interference or into unacceptable intimidation. It's good to have those facts in the picture. Finally, I would like to mention the issue of extradition. We've been asked if the government will cooperate. The answer is that this is entirely up to the judge. I wonder if governance does not have its own responsibility in this. I refer to parliamentary questions from August 2013, on which the Minister of Security and Justice said in the context of extradition to Turkey: extradition has been declared admissible by the judge and allowed by me. Apparently there is also an active interference on the part of the cabinet itself. I would like to have another comment on that point.
ParlaMint-NL_2016-05-18-tweedekamer-7.u131	Then we arrived at the end of the second term on the part of the Chamber.
ParlaMint-NL_2016-05-18-tweedekamer-7.u132	Mr. Chairman. First of all, I would like to address a number of questions that have still been asked. Mr Ten Broeke asked when we could expect the follow-up study and what it would look like. I can say that in recent years research has been carried out both by the Scientific Research and Documentation Centre, the WODC, and by Sunier and Landman, which, as we know, aimed to gain insight into financial flows, control and foreign influence. It has proved reluctant to gain more insight on the basis of research. It is also difficult to investigate this. Preparations have been initiated to respond to the request of the Chamber in a motion of 2 July 2015. The research assignment for this has also been deported. On the basis of practical research, the aim of this mission is to gain insight into the extent and nature of the foreign direction of the Turkish religious organisations in the Netherlands and their influence on the integration process of their supporters. This should increase the transparency of these organisations and movements. The result is a research report which will be presented to the Chamber, accompanied by a written response from the Minister for Social Affairs and Employment. This involves practical research, not only literature research, but also interviews and hearing and hearing from organisations, all focused on the Dutch situation. Mrs Maij asked about the issue of entrepreneurs who feel threatened. Where can they go? I can report that we are talking to all parties. The signals about intimidation and threats, including those specific to entrepreneurs, are known. Mr Voordewind also referred to this in the first term. Minister Asscher of Social Affairs has consulted with the organisations and key figures to get a clear picture of these signals. We see that different groups are treated in a way that we do not tolerate in the Netherlands. These include supporters of the Gülen movement and Armenians, but also Kurds in the Netherlands. In the short term, consultations will be organised to further strengthen the government's approach. May I take this opportunity again to call upon the key figures from the Turkish community to show leadership? I think I have answered Mrs Voortman's question with the answer to these two questions. I'm coming to the motions now. I will deal with two myself and the Minister three. I'll go into the motions on pieces Nos. 62 and 65, which are interspersed. I would like to ask the author for the motion in part No. Sixty-two to be held. Otherwise, I'm gonna have to dissuade her. I told you, there's no charge yet. There is no proposal for expulsion on the basis of this issue. I have pointed out the measure of punishment and that in the Netherlands there is actually no legal framework which makes that possible, but ultimately that lies with the Dutch court. Mr Van der Staaij was right in the end of his speech in the second term that the Dutch Minister for Security and Justice may also have the power to take a negative decision in our view, which I think would be negative to find something from the judge. But that's very much claused and regulated. He cannot, therefore, simply ignore a legal ruling, a legal ruling. That is why I have tabled the motion in part No. That is why we are asking for a guarantee that I cannot give because of the best traditions of the trias politician. Again, such an expulsion seems completely inconceivable on the basis of all the facts that lie ahead, but ultimately it is up to the court to decide. And yes, the Minister for Security and Justice still has the opportunity in particular to find something about it, but it is not so broad that I can give an absolute guarantee on that. I propose that the Foreign Minister respond to motions 63, 64 and 66.
ParlaMint-NL_2016-05-18-tweedekamer-7.u133	Mr. Chairman. I'll start with the motion on part number one. 63 by Mr Voordewind. I think that some qualification of that motion is important. I see her as a support for policy, because Turkey also has to meet all 72 benchmarks set for the Dutch government. That must be the clear interpretation of that motion. We have just had a debate on exactly what this means when it comes to the position of the non-Syrians. I said earlier, and I would like to underline this, that Turkey has taken additional steps to further improve the position of Syrian and non-Syrian refugees in Turkey, including by opening up the Turkish labour market. If I read the motion correctly, all 72 benchmarks, including the visa liberalisation benchmark, must be met. This concerns benchmark 24 on non-Syrians. If I can read the motion in such a way that it has to be complied with, then I see the motion as supporting policy.
ParlaMint-NL_2016-05-18-tweedekamer-7.u134	The Minister can read my motion in a moment.
ParlaMint-NL_2016-05-18-tweedekamer-7.u135	Thank you, then, I will stick to the judgment I have just given. The motion in part No. 64 I would like to discourage for two reasons. In the first term, I have already said that there are many possibilities for journalists, perhaps more than for any other profession. I'm not in favour of preferential treatment for one particular group. Of course, journalists have big problems, but there are all kinds of opportunities to serve them. I do not think it would be wise to get one group out of it now and specifically to pay extra money for it. Then the motion to part No. 66 by Mr Bontes. I'd like to advise against that, too. The travel advice is constantly being reviewed, as I say in response to Mr Van Bommel. I continue to focus on the point he has raised, but I would not like to say that Henk and Ingrid or Jan and Willemien or Kees and Klaas are suddenly unable to go on vacation to Turkey. I don't think that's right. I would really like to discourage the motion, because we are saying to all Dutch people that they can no longer go to Turkey. I know a lot of people go on vacation to Turkey. I have said that I cannot give guarantees, and that has also been put forward in the media, but I do not think it is right to say that no one can go on holiday to Turkey. I don't think that's a good approach. I'm dissuading the motion.
ParlaMint-NL_2016-05-18-tweedekamer-7.u136	That is a voting advice that I fully understand and will follow, but an adaptation of the travel advice on the Foreign Affairs website with a few rules on the issues that we have identified here today and which may apply to many more people seems to me to be worthwhile. There is very detailed talk about everything.
ParlaMint-NL_2016-05-18-tweedekamer-7.u137	It's not a yes or a no. I really want to take a serious look at it. A travel advice has to do with a lot of different circumstances. We are now at a stage where no one has been convicted. I say again today that people must be careful, given what has happened in this case. I want to take a serious look at the travel advice, but I cannot immediately indicate a moment or a text where and how that will happen. That brings me to the end of the answer to the questions and the assessment of the motions.
ParlaMint-NL_2016-05-18-tweedekamer-7.u138	That concludes this debate.
ParlaMint-NL_2016-05-18-tweedekamer-7.u139	We shall be voting on the motions tabled next Tuesday. I'm suspending the meeting for dinner break.
