ParlaMint-NL_2016-03-24-tweedekamer-4.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-03-24-tweedekamer-4.u169	Mr. Chairman. Mr Van Dijk asked whether the care office could also look at the front of the process when monitoring the accommodation. Yeah, you can. I believe that this can be dealt with in particular in the conscious choice interview, but also in the assessment of the care agreement and the care description, the care office can assume its responsibility. In response to Mr Van Dijk's question, I will raise it again in my consultation with the health offices. A test in advance to determine whether the quality is sufficient is indeed very important. Mr Van Dijk asked for a response to the amendment on the low care-gravity packages. I thought that we had already exchanged views in the debate that I am sympathetic to the idea of avoiding unnecessary relocations if a low level of VPT has already been agreed. I can therefore leave the opinion on this amendment to the House. I'll get back to you when I'm given that. I think we have talked about the house adjustments to a sufficient extent. Mr Potters asked whether we had sufficient attention to the vpt, the full package at home. Can we take some more incentive measures for that? Mr Potters has a point, because the Long-Term Care Act introduced the modular package at home and the full package at home as new forms. These packages should be brought to the attention of all concerned, as they are reasonable new elements in the law. He does have a point when he says that not so many people realize that that possibility is in the Wlz. In general consultation I indicated that I would like to inform the Chamber for the summer about the full package at home and the modular package at home. The health offices are currently carrying out an evaluation for themselves, to see if they could give this point even more attention. I will therefore respond to Mr Potters' wish to pay attention to this. With pressure on the accelerator, I tried to deal with the first-term questions.
ParlaMint-NL_2016-03-24-tweedekamer-4.u170	Then there are a few amendments that remain.
ParlaMint-NL_2016-03-24-tweedekamer-4.u171	And my question about the Youth Act! Is there a breach of medical professional secrecy in the case of under-supervision?
ParlaMint-NL_2016-03-24-tweedekamer-4.u172	Apologies, Mrs. Keijzer is right. That does not mean that she is always right, but in this case she is really right. Does this bill regulate that medical professional secrecy no longer applies? No. I think it would be good to be very clear about that. Medical professional secrecy remains in place, even in cases of forced youth assistance. What makes it a bit difficult is that the rules and privacy of the Medical Treatment Agreement Act apply to medical treatment, but that the other youth aid is subject to similar provisions in the Youth Act. However, the answer to the question is no.
ParlaMint-NL_2016-03-24-tweedekamer-4.u173	You also have a second term, Mrs Keijzer.
ParlaMint-NL_2016-03-24-tweedekamer-4.u174	I know, but I still have one more question. There will be a new article of law which states that, in so far as medical treatment is concerned, a situation in which medical professional secrecy applies, the paragraph in question does not apply, with the exception of paragraphs 7.3.11, fourth and fifth paragraphs. It states that third parties who have information must provide it in the event of undersupervision. Maybe I don't get it or my analysis doesn't add up, but what about it? The Secretary of State's just saying it's not, but he knows me by now. Then I want to know where it is, too.
ParlaMint-NL_2016-03-24-tweedekamer-4.u175	As I said earlier, it is a question of medical treatment in which the rules governing the file and the privacy of the Medical Treatment Agreement Act apply. The distribution between the Medical Treatment Agreement Act and Article 7 (3) of the Youth Act is governed by Article 7.3.1. This means that Article 7.3.1 is amended. That amendment is necessary in order to ensure that the functioning of the new Article 7.3.17 is not excluded for youth workers performing medical treatment. That is the essence of the change. I come now to the interpretation of the amendments. I have here the amendment to item No. Nine for me. That's about the vpt and the care packages. I have indicated that I am in favour of the amendment. I'd like to leave that judgment to the Chamber. Mrs Keijzer's amendment to item No. 10 is about the five-day period. I indicated in the debate that this five-day period was precisely intended to allow a smooth administrative transition between the domains, that parties needed some time to transfer files and that they were small amounts with a high administrative burden. That is why I do not recommend the amendment. On Mrs Keijzer's amendment to item No. We have also discussed 11 in the debate. I have indicated that, if the deadline of 13 weeks is exceeded, this will in no way relieve the health care office of the obligation of care. Even after the thirteen-week period, the healthcare office continues to have a duty to organise a suitable place in an institution and to continue to allow responsible care in the home care situation. That is why I reject the amendment. In Mr Van Dijk's amendment to item No. 13 The rights of insured persons to appropriate care shall be guaranteed. Actually, this is about whether you can arrange to keep the familiar faces. I would like to include Mr Potters' question. He asked whether this would allow for budgetary shifts. As far as I'm concerned, the answer is no. At the time of the indication there is a duty of care for the care office in accordance with the Long-Term Care Act. This arranges that when buying that care you can ensure as much as possible that those familiar faces remain intact. So it is not a shift in commitments and, in my view, it is not a shift with budgetary consequences.
ParlaMint-NL_2016-03-24-tweedekamer-4.u176	In any case, I welcome that answer. Now, in the explanatory statement that we had in connection with the legislative proposal, it is stated that continuity of care should in principle be regulated during the transitional period and is part of this bill; as such, the legislative proposal should be interpreted. Now that the Van Dijk amendment does not involve a budgetary shift and actually describes exactly what is in the explanatory statement, I ask the Secretary of State where exactly the differences are. I honestly don't get it anymore.
ParlaMint-NL_2016-03-24-tweedekamer-4.u177	I understand Mr Potters' question. I think there is a bit of a subtle distinction between the continuity of care and the continuity of care "by whom." I take it from the amendment that Mr Van Dijk says: of course continuity of care, but let us prevent it from being delivered by others while we can also arrange for it to be delivered by the same faces. Of course, there is the reservation that care remains responsible. After all, it would be possible for care demand to increase. Then you have to switch to other care.
ParlaMint-NL_2016-03-24-tweedekamer-4.u178	In order to properly assess the scope of this amendment, I ask the following question. In fact, there is no big difference between this amendment and what is in the explanatory statement, but the Van Dijk amendment is a further specification of what we mean by 'giving care'. It goes a little further in that field, but there is no big difference in material.
ParlaMint-NL_2016-03-24-tweedekamer-4.u179	That's right. The Bergkamp amendment to point No. 14 is actually about that thirteen-week termjin again. I would not be in favour of extending that deadline, not even because it would reduce the pressure on the healthcare office unnecessarily. You just want that duty of care to be enforced. I have indicated that the expiry of that thirteen-week period without there being room should have no consequences for the clients. So I would not really be in favour of arranging for care agencies to have more time, as it were, to find a suitable place, which could also be a side effect of this amendment. That's why I wouldn't recommend it.
ParlaMint-NL_2016-03-24-tweedekamer-4.u180	After the expiry of the thirteen-week period, the debate on duty of care is discussed. Is that the only sanction for the care office to make sure it does its best to find a place?
ParlaMint-NL_2016-03-24-tweedekamer-4.u181	This duty of care does not come after that thirteen-week period; this duty of care is already there at the time an indication has been given. The healthcare office should then check as soon as possible if there is a place available, of course in consultation with the client. Extending the time limit within which the healthcare office must try to deliver a performance is not going to help tighten up the duty of care. Moreover, this duty of care is monitored by the Dutch Healthcare Authority. Just as theoretically, the amendment could have the effect that the Healthcare Authority would only look at it as a structural care agency that exceeds 26 weeks, and I would prefer it to look at it after thirteen weeks.
ParlaMint-NL_2016-03-24-tweedekamer-4.u182	I now give the floor to Mr Van Weyenberg because the amendment was tabled by D66.
ParlaMint-NL_2016-03-24-tweedekamer-4.u183	No, it's mine. It's 26 weeks. Then it's my amendment.
ParlaMint-NL_2016-03-24-tweedekamer-4.u184	Are you referring to the amendment to item No. 14?
ParlaMint-NL_2016-03-24-tweedekamer-4.u185	These amendments are mixed up. I understand your hurry, Mr. Chairman. I'll put it briefly. That duty of care means that a place must be found within a reasonable distance. Mrs Leijten has just tried to clarify what "reasonable distance" is. There's no standard for that. Which means after 13 weeks, someone has to go to an institution he doesn't want to go to. In the end, there will be no sanction for the care office but for the insured person and his family.
ParlaMint-NL_2016-03-24-tweedekamer-4.u186	I thought we discussed this extensively in the debate. I have indicated that if there is no place available, there must be bridge care provided. We make this bridge care more comprehensive; after the 13 weeks it does not end, but there is proper operation towards the care office to make sure that there is a spot. That is why I am not in favour of the deadline.
ParlaMint-NL_2016-03-24-tweedekamer-4.u187	I think there's still a lot of uncertainty about the impact of those 13 weeks on the client. So I'm just making it a little yes/no question in the knowledge that the Secretary of State is about his own answers.
ParlaMint-NL_2016-03-24-tweedekamer-4.u188	For the sake of clarity, this is about the amendment to item No. 14?
ParlaMint-NL_2016-03-24-tweedekamer-4.u189	Yes, but it is really about the problem raised in both Mrs Keijzer's amendment and Mrs Bergkamp's amendment. Do I understand correctly that inserting into this thirteen-week law is in no way a restriction on the right of clients and cannot in any way mean that a client is under pressure to accept a place after, for example, twelve weeks, when a much more appropriate place becomes available after fourteen?
ParlaMint-NL_2016-03-24-tweedekamer-4.u190	That's right.
ParlaMint-NL_2016-03-24-tweedekamer-4.u191	This brings us to the end of the first term. At the beginning of the afternoon meeting, we will discuss the attacks in Brussels.
