ParlaMint-NO_2003-03-19.ana.ud31e28	The representative of Geir-Ketil Hansen will make a private proposal.
ParlaMint-NO_2003-03-19.ana.ud31e1658	I want to thank you for your answer. I am not completely overconfident that the government sees the seriousness of this situation with a larger and larger flagging of Norwegian dough production and semi-finished products in the bakery industry. It is true that the general framework conditions are also important for this industry, but here we have a trend where the rate of duty on flour is much higher than the rate of duty on semi-finished products which are baking and also dough. This is a development that will continue by reducing your customs duties further from 1 July 2004. The Council of State here points out that action to become competitive must be taken, but does not the Council of State see that this uncertainty and deterioration in competitive conditions will reduce recruitment to the industry and also the desire to invest in Norway?
ParlaMint-NO_2003-03-19.ana.ud31e1667	It is true that you were included in the last round of negotiations in Protocol 3 on the removal of industrial elements of the customs duty, and the rate of duty for you is proposed to be reduced by 37 cents. It is – along with the changes in the framework conditions that the questioner addresses and that I touched on in my response – that will be the basis for the assessment made in the context of the agricultural settlement for spring. It will be the first point of measurement as to whether there is a need to put in place instruments to change the framework conditions. But otherwise, some of us experience that foreign bakery products taste, and then it should be a challenge for the industry, the Norwegian industry, to develop products that meet that demand. I hope and expect Norwegian bakers to meet that competition.
ParlaMint-NO_2003-03-19.ana.ud31e1672	I am still not entirely sure that action will be taken. We've recently had a development that has led to 300 fewer bakers in the last couple of years. Within the industry there is a complete fear of fury, and it would be very unfortunate if one were to get the majority of dough and semi-finished products and even the production of bread and buns abroad. It'll be a very unfortunate situation. Then I will again ask the Council of State: can the Council of State promise that action by the Government will be taken to stop this development by flagging out as we have seen, and that it will facilitate dough production, bread and semi-manufactured products, even in the future in Norway?
ParlaMint-NO_2003-03-19.ana.ud31e1677	There are two answers to that. Firstly, the Government is committed to providing a good framework for business to be competitive in the Norwegian market. We will continue to work on that, and there will be actions, both what is in place and what comes from general industrial policy. When it comes to the question of whether I want to guarantee that action will be taken, it might be a little strange if I now concluded with the negotiations that will take place in the agricultural sector and which I have said: the framework conditions for this industry will be assessed in relation to the agricultural sector. I believe that both bakers, staging representatives and the state councils will have to show patience then. It is relatively imminent. There is no doubt that the Minister for Agriculture is aware of this issue, and after this round with the Minister for Fisheries, both the marine and agriculture have been given a strong emphasis on what was raised in the question.
ParlaMint-NO_2003-03-19.ana.ud31e1686	That was comforting.
ParlaMint-NO_2003-03-19.ana.ud31e1700	This question has been postponed to the next Question Time.
ParlaMint-NO_2003-03-19.ana.ud31e1707	I have the following questions for the Minister for Transport: «Sarpsbrua in Sarpsborg is in a wretched constitution. Parts of the bridge have shifted with cracks of 16-17 cm. A 1997 report shows that it is dangerous to traffic due to cracks and slips. If a truck comes up on the pavement or the bridge, it can fall through. The road system is concerned, and the planning of new bridges requires priority. Will the Council of State contribute additional appropriations to the construction of new bridges?’
ParlaMint-NO_2003-03-19.ana.ud31e1716	Plans for the construction of new connections over Sarpsfossen have been justified primarily by capacity constraints and not by the state of existing bridges. However, it is a fact that the bridges are old, and that the connection over time also needs to be renewed for that reason. In recent years, bridges have been subject to regular overhaul by the State Road Service and during the summer, rail-to-road and pavements will be set up. In addition, reinforcement work is planned to be carried out during 2004. Once these works have been completed, the State Road Administration believes that there is no reason for immediate safety concerns. New Sarpsbru is not a priority within allocated planning frameworks for Eastfold for the period 2002–2011. The framework for the next planning period must be returned to the Government in the context of the national transport plan for the period 2006–2015, which is scheduled to be submitted to the Stortinget in early 2004. In this respect, I would like to point out that the Stortinget in the treatment of St.meld. No 31 for 2000-2001 on the division of tasks between State, county and municipality, concluded that the county municipality had a decisive influence on the priorities of the district-allocated framework for national road investment within the leadership defined by the Stortinget and the Ministry of Transport.
ParlaMint-NO_2003-03-19.ana.ud31e1725	I thank the Council of State for the answer. This bridge is approx. 70 years old and too much less traffic. 70 years ago, cars could weigh 5 tons. Today they can weigh ten times as much. Traffic may, in some cases, reach 25 000 vehicles per day. We received a state report in 1997 that clearly describes the state. There are significant cracks and slips in the bridge, and if a truck comes up on the pavement, it can fall through. That is what this report says. Although it is now announced by the Council of State that a handrail can be set up against the roadway and reinforcements, this could not prevent a heavy car from going through in an emergency, and more and more people also say that they believe that the bridge is road dangerous. Does the Council of State, as the supreme authority responsible for the highways in Norway and this bridge mean that the bridge really has an acceptable standard, or should the bridge be closed?
ParlaMint-NO_2003-03-19.ana.ud31e1734	It is quite well known that I am concerned about safety, also on the bridges. That's why we're doing regular analysis of the state of e.g. These bridges are talking about here. This has been done by the State Road Administration, and the measures it has now decided to implement are precisely based on the analyses carried out by the State Road Administration. As I said in my reply, it has been found that there are some measures that can be implemented, and after they have been implemented, there is no reason to believe immediately that safety is in danger. It is absolutely essential in all our work that safety be properly ensured – including at this bridge.
ParlaMint-NO_2003-03-19.ana.ud31e1741	I thank the Council of State for the additional response, and the key was ‘immediately’. In a few years these temporary repairs will have little effect on the medium and long term. I know that the Council of State has indicated that if a new bridge is to be built, it should be financed, possibly in the form of a split layer. Now there's a massive local resistance to this. There are no local proposals for solution models if the country does not contribute. So how does the Council of State feel about solving this problem? Do you have to live with this uncertainty and the development of a more and more dangerous bridge, or do you have to close the bridge?
ParlaMint-NO_2003-03-19.ana.ud31e1746	I've just talked about the reinforcements that you've been going to do on the bridge. The reinforcements are going to be done just because you have to make it safer. There are measures that we implement because security needs to be raised, and I trust that the analyses made by the Road Administration are correct. I would also like to stress that I have not taken the initiative to solve toll financing for some individual projects in this country. I haven't done that so far, and I don't intend to do that in the future either. If such initiatives come locally, we'll see about it, but I don't intend to propose it.
ParlaMint-NO_2003-03-19.ana.ud31e1756	«In a recent report on the framework conditions for the transport of timber and timber by Rørosbanen, Eastern research has highlighted the importance of the railway for the transport of goods. [[01/2003]] However, wood or other forest-industrial products are not transported on track, despite the fact that the volume of this only a few years back was significant. This is a development contrary to what the EU requires and wants. What will the Council of State do to increase the transport of goods, in particular forestry products, at the Rørosbanen?’
ParlaMint-NO_2003-03-19.ana.ud31e1763	For me, it is a goal to get more freight on the railway. That is why I have focused on the framework conditions for this transport sector. The railway framework will be an important theme of the forthcoming national transport plan 2006-2015, presented in the spring 2004 session. As part of this work, the Ministry of Transport is now taking a closer look at the link between external costs and charges for the various modes of transport. Furthermore, it can be mentioned that CargoNet AS is continuously working to improve the efficiency of operations in order to be competitive in relation to the transport of goods by car. Although the competitiveness of CargoNet is greatest in container cargo and combined transport of large volumes over long distances, the company has established Systemtog, which includes the carriage of timber as its own bet area. The trajectory is of great importance for the transport of timber and tiles. CargoNet cargoes around 700,000 –800 000 cubic metres and 150,000–200,000 cubic pieces per. years. Much of this transport goes on the Rørosbahn, as those who sell timber and chips stick along this section of the track. CargoNet has new wagons for timber and tile transport to order, and the company is negotiating with customers regarding contractual conditions before final ordering is decided. I can also mention that as of 15 March this year, the Norwegian rail network is open to Norwegian licensed railway undertakings wishing to operate domestic freight services. This goes beyond what the EU requires, as it only opens up competition on international freight transport on the so-called TERFN network, the Trans European Rail Freight Network. Increased competition in the transport of goods on the rail network in Norway is an important instrument both to strengthen rail as a means of transport through increased efficiency and to improve the utilisation of available capacity on today’s rail network.
ParlaMint-NO_2003-03-19.ana.ud31e1772	I will first be allowed to give honor to the Council of State for her starting point. There, I think, we fully agree on the importance not only for the Rørosbanen and the Solørbanen, but also for other sections of the track in relation to the forest in Norway. It is often forgotten when discussing the train. We know that if we just moved the amount of timber that is currently going on the Røros track, onto the roads in Hedmark and inland, it would mean between 40,000 and 60,000 carloads on already traffic-laden roads. This means high traffic loads and also concerns road safety. What is paradoxical is that we still haven't been able to ensure that forest industry products are transported by train. There, developments have gone in the wrong direction for us who want to take care of the Røros Railway, and I would also assume that for a Left State Council it is sad to see that you do not succeed with it. That's where the EU comes in and will make future demands for us. What can the Council of State do today specifically to ensure that developments will reverse?
ParlaMint-NO_2003-03-19.ana.ud31e1779	It is absolutely right that it is important when we have the infrastructure lying there, that we are able to use it efficiently, not least on the freight transport side. This has several reasons, not least environmental considerations and safety considerations on the roads that will be the option. The framework conditions we impose on this area are important. Let me give you one example. A while ago, the question was whether we should make it lawful to drive with 25 m long car trains on Norwegian roads. We decided not to do that. The opposite would have been a decision which would have had an impact on the transport of timber and would have been useful to those who wanted to have timber transport by road in front of the railway. The fact that we went in and decided it would make it more convenient to drive timber on trains rather than on the road. And as I mentioned in my answer: CargoNet is working on this area, because they also see that there is a potential here.
ParlaMint-NO_2003-03-19.ana.ud31e1786	I am afraid that it will be too late if you push this work into the future transport plan, and that you actually have to take action now, because over the last few years we have seen a development where you have practically wiped out the forest industry products on trains, and that even CargoNet has not been able to achieve the goal that we politicians might want for forest industry products. So the question is whether the government's ability to see any possibility that we can get more forest industry products, not just timbers and chips, onto the train, before we start to sit down with a rather difficult plan.
ParlaMint-NO_2003-03-19.ana.ud31e1791	We have already, as I mentioned, taken action in relation to this. We have opened up competition in the area of freight, which allows transport services other than CargoNet to be carried out on this railway infrastructure that we have. That's something we've already opened up to. I mentioned this with long car combinations that we have already made a decision on, and not least that CargoNet is busy trying to find further solutions here. That means there's a lot going on in this area, to which of course I want to stimulate as much as I can. Now, of course, I cannot dictate to everyone who works in the industry that they should choose to drive trains rather than drive cars on the road, but I will do what is possible for me, in order to facilitate it. I mean we're on your way now.
ParlaMint-NO_2003-03-19.ana.ud31e1805	I would like to ask the Minister for Transport the following questions: ‘«Fail home for a 50-note note» is a traffic security service aimed at young people in Sogn and Fjordane. One now actively goes out and offers the Russian to search for the Try Home model, even if the Russian event falls outside the regular times and places of the established arrangement. One would, upon request, be able to receive supplements for the rent of a bus to/from a Russian hit in the county. Will the Council of State take initiatives against road offices and other actors in order to ensure that the Russian Federation in the rest of the country can have a corresponding supply?’
ParlaMint-NO_2003-03-19.ana.ud31e1814	Everyone, first of all, I really want to pay tribute to the commitment you have in Sogn and Fjordane to road safety. That should be a good example for many other states. «Fail home for a 50-note note» in Sogn and Fjordane is a road safety measure undertaken by and financed by the county municipality. The action is a project aimed at young people in the county and aims to provide young people with a safe and collective transport option on their way home from the towns and cities. The state road authority has been involved in initiating and planning the measure. I am in favour of the initiative taken by the County of Sogn and Fjordane. In addition to the fact that the measure could have a safety gain, I believe that it can help to give young people good habits in relation to the use of collective travel equipment. The municipalities of Sogn and Fjordane presented this and other local initiatives in the field of road safety to the Ministry of Transport and the Directorate-General for Road Transport at a separate meeting on 7 May 2002. It was then agreed that the Directorate of Roads should assume responsibilities and costs by evaluating the action. Based on the results of this evaluation, I will, in consultation with the Directorate of Roads, consider how we can contribute to the follow-up to the action on a larger scale. Of course, if other counties or municipalities will introduce the offer on their own initiative before this evaluation has been carried out, there is nothing wrong with it. And I'm very positive about it. With last year's tragic Russian car accidents in mind, I have seen it as very important to strengthen measures that can prevent such events from repeating themselves. This year, a number of new measures will be put in place to prevent serious accidents, including:\t\t You can change the settings of the grid. \t\t \t Free control of Russian cars at all public roadside roadside roadside roadside open roadside control stations for the control of Russian cars voluntary blockage system for the safety approval of Russian cars improves information on what should be done and what is permitted for the refurbishment and accommodation of vehicles frequent roadside checks in Russian Age hearing proposals on requirements for safety belts in all seats of cars converted to Russian cars The effectiveness of these measures requires cooperation between schools and relevant departments such as the police and the State Road Service. Of course, such cooperation must involve the trust of the Russians and the individual Russians. I will take the initiative to cooperate closely with the school authorities on this in the future.
ParlaMint-NO_2003-03-19.ana.ud31e1846	I thank the Council of State for your answer. That was a good answer, and I take the praise to Sogn and Fjordne for what they have done. Politicians in Sogn and Fjordane have prioritised this for several years. They are well aware of the professional cooperation that a person has with the road office, which is the basis for a person to work with it. The reason I'm taking up the question in Question Time is that after the tragic Russian accident last year, the Minister for Trade had been in contact with student organisations, with the Russians, with the State Road Administration and with Safer Traffic, where a follow-up was in progress. It was therefore natural to ask questions now as it approaches spring, about what one has done. I am very satisfied with the measures that the Council of State is putting forward, perhaps with the exception of the fact that I do not have any measures to prevent young people from getting involved in cars. One thing is the Russian cars themselves, but there are also a lot of private cars being filled up. Will the State Council continue to work on providing young people with an alternative to sitting in private cars?
ParlaMint-NO_2003-03-19.ana.ud31e1853	There's no doubt that information means a lot. Youth is still new. So those who are Russian this year are not the ones who are Russian next year. That's how it's going to be all the time. So it's awfully important that we're active on the information page. Therefore, we suggest that when we first introduce a concrete activity in relation to both Russian cars and Russians and young people affected here, the state road system will continue to do so. We also see that some schools are apprehensive about this. Some see the point that a high school student has a unique chance of reaching 16- to 19-year-olds. The exposure in the various schools varies considerably. What I want is that there should be a great commitment everywhere. Examples of highschools have made a phenomenal effort, including: Valdre's continuing school, where you've got a youth engagement. That's what we need, as much as we need orders and rules.
ParlaMint-NO_2003-03-19.ana.ud31e1858	I thank you again for your answer. What is one of the problems of the politicians in Sogn and Fjordane is, of course, prioritizing funds for this kind of bet, but one gets quite a lot out of very small funds. A few days ago, we received this paper in the post entitled ‘Peddling and Youth — Government’s Goals and Response Areas in the 2003 State Budget’. Unfortunately, there is very little investment in youth in particular related to traffic security. There is a small page about Safe Traffic and this with a safe school road, and it is very good. But I should like the Council of State in next year's corresponding announcement from the Government to include this both in the budget for the next year and in the leadership that she has now told us about here in the staging room, so that the road offices follow it up and local and regional politicians also get a signal from the Government that this is a very important investment in relation to our youth. The government writes that ‘central authorities have important tasks as drivers’ – and it’s the driving role that I was initially out there after the Minister for Transport appears to be very clear today, and hopes that she will follow it up.
ParlaMint-NO_2003-03-19.ana.ud31e1867	I think there is a fairly large consensus between us that commitment to road safety is important, including among young people, both because youth is a vulnerable group in relation to accident statistics and because it will contribute to creating attitudes for the rest of a long life. That's why this is important. It is now possible for me to put leadership in how, for example. This type of problem has to be addressed by the state road authority. We're adding those leaders now, and we're going to continue that. Then, of course, we want a great commitment from both the school and county sides. There I like to – and I have done it in many ways – give strong signals about what I want. Then it's up to the county council how to choose to prioritize both funds and efforts otherwise. Finally, I will once again pay great tribute to Sogn and Fjordane for the efforts they have made.
ParlaMint-NO_2003-03-19.ana.ud31e1879	I have the following questions for the Minister of Local and Regional Affairs: «Norway currently has 434 municipalities. Many are very small in population. In Denmark, Minister of the Interior Lars Løkke Rasmussen spoke about reducing the number of Danish municipalities from 271 to 40-50. Hedmark Right recently proposed to reduce the number of municipalities in Hedmark from 22 to 4 to 6 large municipalities. Many suggest that this question will become more and more topical in the future. Will the Council of State explain its view of today’s Norwegian municipal structure and what the Government is doing to stimulate further investigations into municipal associations?’
ParlaMint-NO_2003-03-19.ana.ud31e1888	I believe that the Norwegian municipal structure is not appropriate in relation to the tasks and responsibilities of the municipalities and should continue to have as producers of important welfare services. For some municipalities, especially small ones, there may be an imbalance between the tasks they will perform and the resources – economic, organisational and not least personnel – they have available. In particular, the availability of skilled labour could become a critical factor for many municipalities in the years to come. Poor delivery capacity in key welfare areas will over time lead to reduced legitimacy and trust in the municipalities as well as to a lower interest in participation in the democratic arenas. The size decided in 1995 that all municipal associations should be voluntary. This is firm. However, this does not exempt local politicians from the responsibility for discussing possible instruments to meet the needs of the future. It is important not to have emotional arguments alone. At the bottom, therefore, we believe that there should be investigations that can as far as possible make the consequences of the different elections visible, and thus serve as a basis for decision-making for the debates that local politicians around the country are obliged to take. In order to receive support for investigations into municipal associations, we require inter alia: that the investigation is presented to the population and that public hearings are conducted. I am aware that many municipalities are in an economic situation that can easily lead to less emphasis being placed on the tasks after an investigation than would be desirable. That is why, from 2003, we have introduced two new measures to improve this part of the process: 1st@item: inlistbox Each municipality that has participated in the investigation will be able to receive, upon request, support of up to DKK 100000 for information and public hearing.2. It also opens up areas with municipalities that have a specific need for further assistance for process guidance to do so. A research-based review of the criteria for local government classification has also been launched which was used by the Christiansen Committee. Updated criteria for what characterises a good municipality classification will be useful for municipalities that now and in the future want to explore associations. This review will be completed during the summer of 2003. As long as we've put the emphasis on volunteering, and the Storting has taken that decision, the Government will certainly follow that up. But at the same time, volunteering is a local obligation to address the issue. It is not a discharge, but a clear responsibilities at the local level. As a municipal minister, I use most of the occasions to stress that the decision in 1995 did not imply that municipal associations were generally voted down in Stortinget, but that there was actually a transfer of responsibility from Stortinget to the municipalities in choosing what the structure would be like in the future.
ParlaMint-NO_2003-03-19.ana.ud31e1908	I thank the Council of State for the answer, which I find interesting and positive, and so far in line with what I had expected from the Council of State. I would like to remind you that Norway has more municipalities today than in 1837 when the Presidency Act was introduced. Then we had 392 municipalities. It is clear that with today’s much more effective means of communication, it may seem strange that more municipalities are needed in Norway today than 166 years ago. Some have been done in recent years to facilitate and stimulate community mergers. We have changed the division law, and Stortinget has decided significantly better financial conditions for municipalities that will merge. However, the pace of association is, to put it mildly, labert. Does the Council of State believe that the current economic conditions in terms of aggregation, and perhaps other legislation, are good enough, since so few municipalities eventually merge?
ParlaMint-NO_2003-03-19.ana.ud31e1919	I would like to remind you that in the period between 1837 and today we have been in over 700 municipalities in Norway. After 1837, it was a large municipal split. One went from the Danish pastoral debt pattern to another municipal structure. I agree with the questioner that there would be a need for a drastic reduction in the number of municipalities in Norway, but I am also very concerned that when we try to get fewer municipalities, voluntary processes are the best way to do it. Voluntary processes create good conditions for aggregation. Some of the examples we've seen related to coercion show that it's not always the best solutions that are chosen when it happens under coercion. We also know that coercive mergers elsewhere than in the municipal structure often cause these kinds of problems. I want to go. Do not be dissatisfied with the number of municipalities today. There are 40 municipalities now investigating and planning referendums. There are many more who report all the time, either for aggregation or for starting close inter-municipal cooperation. But when this ageing period is over, we should take a summary and assess the results that have come out of it, and take a wide-ranging debate on it.
ParlaMint-NO_2003-03-19.ana.ud31e1928	I thank you once again for your answer. Of course, we agree that voluntary action should be taken in the case of associations of municipalities. I just want to remind you that in 1998, it was well, investigated 19 municipalities in six areas of aggregation, and it only ended up with one merger, namely Re. At present, as the Council of State mentions, there are a good number of municipalities, approx. 40, where possible association was investigated. And then we'll see how many of them end up with aggregation. I hope that the result will not be as bad as it was the previous time. I could ask if the Council of State is open to work out a solution in which municipalities that merge, may get a certain degree of e.g. debt restructuring, or whether she would reject such a thought immediately? And let me ask you another question, if I perceive the Council of States correctly: will the Council of State assume that, for example. do municipalities with financial problems first have to investigate a merger before it is relevant to additional financial assistance from the State?
ParlaMint-NO_2003-03-19.ana.ud31e1939	First of all, we know that at least we're going as far as the last time, since we've had the first positive vote on the municipal merger in the beer and the wind farm. I think that the mood has changed considerably in relation to these questions locally, that you see the need for it. Not least the question of skilled labour has gradually become acceptable in many municipalities. With regard to the question of possible debt cancellation or other instruments, we have planned to return to it in the context of the municipal economic proposition. I don't think indebtedness is necessarily an instrument, but it may be that more carrots are to be established, some because there are some infrastructure investments that may need to be made directly linked to a community, not that we should build bridges over the Ministry of Local Affairs' budget, but that we, for example, should. may propose additional financing, or investment in technological infrastructure, in order to enable municipalities to work well together later. I will come back to Stortinget with that, and then maybe we can have a wide debate on whether more carrots are going to be involved in community mergers.
ParlaMint-NO_2003-03-19.ana.ud31e1946	The Minister of Agriculture was traveling, I registered, so there are several government councils that have commented on his subject.
ParlaMint-NO_2003-03-19.ana.ud31e1960	This question has been withdrawn.
ParlaMint-NO_2003-03-19.ana.ud31e1966	I will ask the Minister for the Environment the following questions: ‘The requirements for permanent stocks of hazardous waste in Norway are strict. The northern section of the Lang Island was selected as such after a long process, where, among other things: the emphasis was placed on the tightness of the fracture. Norwegian Waste Management, NOAH, has now applied for the use of the south break on the island of Lang Island for the storage of hazardous waste. The south break is not close, and there is still good capacity to store hazardous waste in the north break. Does the Council of State consider that there is now a need to extend the capacity for the storage and treatment of hazardous waste in Norway?’
ParlaMint-NO_2003-03-19.ana.ud31e1975	I agree with the representative Sørensen that the requirements for the final treatment of hazardous waste are strict. It is my intention that they remain strict, and of course it is not appropriate to weaken the requirements that ensure the environmentally sound treatment of hazardous waste. State pollution control, SFT, is now examining an application from NOAH Holding AS, NOAH, for the modification and extension of the current authorisation for the treatment and landfill of hazardous waste on the island of Lang Island. This type of case is subject to detailed proceedings. Among other things, comprehensive environmental impact assessments are being prepared on which all interested parties can comment. The procedure shall ensure that all material aspects have been clarified and provide the best possible basis for decision-making. Necessary environmental requirements will be laid down in the emissions permit, including requirements to prevent leaching of pollution from the landfill. The Ministry of the Environment is the Board of Appeal for decisions taken by the SFT. Therefore, an amendment to the authorisation of the NOAH in Langøya could be subject to appeal proceedings in the Ministry at a later stage. I therefore do not think it appropriate at this stage to give a detailed assessment of this specific case. The annual figure is approx. 630000 tonnes of hazardous waste in Norway. This amount may vary slightly from year to year, for example: as a result of variations in activities in business and in private consumption. Furthermore, the amount could increase as a result of the definition of several waste types as hazardous waste. I adopted a change to the waste legislation before the end of the year that would result in such an extension of the list of hazardous waste types. At the same time, statistics show that more than 50000 tonnes of hazardous waste are at risk. It's a high priority task to reduce this, and I have, among other things, asked the SFT to intensify control and oversight work in order to increase the level of collection. 5 000 enterprises have received letters to this effect, and hundreds of checks are also carried out during these days. In addition, extensive national clean-up work in contaminated sediments and contaminated land could result in large amounts of contaminated mass that need to be treated properly. All of this obviously requires good treatment solutions with sufficient capacity in the short and long term. Much of the polluting masses are treated on site, and much of the waste can go to different types of recovery, both material and energy recovery. Nevertheless, some have to go to final treatment in environmentally appropriate landfills. It is a national target that there should be sufficient capacity for such final treatment in Norway. The Langøya site will be fully central to the future final treatment of inorganic hazardous waste and contaminated mass. If the amount of hazardous waste and contaminated mass generated increases, the life span of the landfill will be reduced, while it could increase if new treatment and recycling solutions are developed. Future exports and imports of hazardous waste will also have an impact on developments. Any increase in capacity in Lang Island will initially help to ensure sufficient national treatment capacity in the longer term. Like the representative Sørensen, I am concerned that the necessary environmental requirements are being imposed on the plant.
ParlaMint-NO_2003-03-19.ana.ud31e1986	I thank you for your answer and for your review. But I think the Council of State jumps over the main question: Do we need to increase this capacity now? It is also the case that it is discussed whether or not to sell the company NOAH. And isn't it that when you're going to set the value of a company whose purpose is, among other things, is the storage of hazardous waste, will the remaining storage space for hazardous waste be an essential part of the valuation of that company? Is there any consideration of the value of NOAH, or is there any consideration that we need more storage space for hazardous waste that is the reason why we want to use the less suitable acid fraction also for storing the most hazardous waste?
ParlaMint-NO_2003-03-19.ana.ud31e1995	As I explained in my answer, this is how we want to minimize what is going to be final treatment, that is. hazardous waste that has to be landfilled. But some hazardous waste actually has to be landfilled, and then I'm very concerned that it's being landfilled in a proper way. I also underlined in my reply that the intention is that there should be strict environmental requirements and that, of course, it is not appropriate to weaken the requirements that ensure the environmentally sound treatment of waste. In doing so, I also answered the question relating to the requirements to be imposed on landfills to accept hazardous waste, in relation to the risk of release. That's point one. Point 2: In connection with the clean-up operations we are now doing in the sediments, a number of pollutants will have to be landfilled, possibly on, for example. Long Island. This is a necessary cleanup. I have noticed that many of those who are most interested in the environment also want some of this to be deposited and not just covered up.
ParlaMint-NO_2003-03-19.ana.ud31e2004	To the last point: I fully agree. That's also one of the motivations of my question. The south break in Lang Island has been only a potential landfill site for contaminated sediments which do not require as strict restrictions as the most hazardous waste. We have to cast that in plaster before we deposit it. The company now applies for Lang Island to have the most hazardous waste disposed of. And then it will be better for this company to focus on hazardous waste in the first place. I think there's a reason to ask the Council of State if it couldn't be right that we'd rather bet on the polluting mass there than bet on the most dangerous waste. Then I'll have to ask you an additional question. In the newspapers in Westfold, it has been written over the past week that Statoil wants to landfill low-radioactive waste in the Northern Break on Lang Island. It would be a retreat if that were to happen, because then they had a mixture of chemical waste and radioactive waste. There is one way to store what almost no other country does. Can the Council of State assure that this will not happen?
ParlaMint-NO_2003-03-19.ana.ud31e2011	There were many questions to be answered within 1 minute. But to take the last question, about the low-radioactive waste, which can also be called scale: In the case of the Lang Island, there is no permission to receive and treat radioactive waste. And based on the information I have, there are no concrete plans to use Lang Island for this purpose. So the question of the storage of hazardous waste. The main problem is that 50 000 tonnes of hazardous waste are not treated properly. Part of it simply goes into the drain and it is deposited in places where it is not to be deposited. The main challenge now is to minimise the use of hazardous waste. And then you have to treat it properly. If this hazardous waste is to be finalized, the Lang Island is a very good place to store it. In order to extend the storage capacity at this site, the site must also comply with the requirements already imposed in relation to the landfill of hazardous waste.
ParlaMint-NO_2003-03-19.ana.ud31e2020	So we go to question 13.
ParlaMint-NO_2003-03-19.ana.ud31e2027	This question is originally addressed to the Minister of Oil and Energy, but will be answered by the Minister of Environmental Protection.
ParlaMint-NO_2003-03-19.ana.ud31e2030	I want to ask you the following questions: «According to the newspaper Politiken 27 February d.o.b. the Danish climate plan may result in a wholesale price increase in the Nordic power market of 5-6 øre/kWh. Danish power generators will have to cover CO2 emissions from the purchase of European CO2 allowances. No extra wind is added due to: high costs. How does the Council expect the Danish climate action to affect Norwegian security of supply and electricity prices for Norwegian consumers?’
ParlaMint-NO_2003-03-19.ana.ud31e2039	The Danish government presented its climate strategy at the end of February. The main message is that Denmark should fulfil its international obligations in the most cost-effective way possible. The Danish Government proposes an extensive use of market-based mechanisms, including the implementation of the EU ETS Directive and the use of project-based mechanisms under the Kyoto Protocol. Danish energy production is largely based on fossil energy sources. Energy production therefore accounts for a large proportion of Danish greenhouse gas emissions. It has a significantly different emission structure than what we have in Norway, how much of the energy production comes from renewable energy, read: hydropower. When the EU ETS Directive is implemented in Denmark, Danish electricity producers will be subject to quota obligations. According to the proposal for a directive, they will be allocated a certain number of allowances each year. To the extent that the emissions exceed the allowances allocated, power producers must purchase allowances on the market. There's nothing dramatic new about this. As early as 1999, the Danish Parliament decided that electricity producers in Denmark should be allocated annual CO2 allowances for the period 2000-2003. If increased power generation has led to emissions beyond the allocated allowances, a charge has been levied to the country corresponding to 40 DKK/tonne of CO2. The scheme has been tightened up for each year, but in practice the quota system operates around such a way that Danish power generation for export is subject to charging. The scheme has not prevented Denmark from increasing its power generation once hydropower production has been reduced this winter. Based on this experience, I cannot see that the Danish Climate Change Plan and the ETS Directive will weaken security of supply. It would be a matter of preliminary speculation to say something about the impact of the ETS on the price of the Nordic power market. Important decisions that affect the tightness of the allowance system and hence the prices of the allowances have not yet been taken. Each country must indicate by the end of March 2004 how many allowances it will allocate in total for the 2005-2007 period and how they intend to allocate them. The Commission is working on guidelines for the allocation of allowances by countries to activities covered by the ETS Directive. The Commission also intends to submit a proposal on how to link the ETS to the CDM and Joint Implementation, JI, Clean Development Mechanism under the Kyoto Protocol in April/May of this year. Access to the project-based mechanisms could be important for Danish power producers. The Danish government proposes that the purchase of climate allowances/credit abroad should be an important part of the fulfilment of Denmark’s climate obligation. With regard to electricity prices in the coming years, developments in supply and demand in the Nordic and European energy markets will be of great importance. In this context, for example: the further design of the European greenhouse gas emission allowance system is a central element.
ParlaMint-NO_2003-03-19.ana.ud31e2052	I thank the Council of State for the answer. A huge power deficit in both Norway and Sweden now leads to Danish coal-fired power plants running high. This will, of course, exacerbate the Danish climate accounts. High quota prices and Danish policy environmental objectives are likely to lead to even higher prices for Danish coal power stations in the future before they will increase production to cover the Norwegian-Swedish deficit. Unfortunately, lack of political action has led to very few concrete plans for increased power generation in Norway today. Does not the Council of State suspect that Norwegian electricity consumers are at risk of even higher electricity prices in view of this?
ParlaMint-NO_2003-03-19.ana.ud31e2061	The representative Vaksdal now claims that the Danish government’s climate strategy could increase wholesale prices by between 5 and 6 øre per. kWh. The climate strategy assumes an increase in the wholesale price of electricity. This is primarily due to the fact that they expect the long-term price of the Nordic electricity market to be determined by the costs of new generation capacity. They also assume that current high prices are due to a temporary situation on the power market, namely dry years, and that there will be a continuous surplus of electricity in the northern European market until 2012. It is such a reasoning that is behind their assumption of an increase from 17 to 18 øre to 24 øre. The Danish authorities have calculated the electricity price of electricity in Europe at different quota prices. If the price would be 50 per cent. tonne, they assume that this will give a price increase of 2 øre per. kWh. Danish coal-fired power stations, on the other hand, will be able to increase their costs by about 5 øre per. kWh and reduced competitiveness compared to producers with other energy sources. Thus, these increased costs cannot be completely passed on to consumers. With an allowance price of NOK 100, they assume that the electricity price could increase by 4 cents. In any case, one has to expect prices to be substantially lower than they were in winter.
