ParlaMint-NO_2003-01-29.ana.ud1382e28	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-01-29.ana.ud1382e1522	I want to thank you for the answer, which was more precise in relation to my starting point and my question. For example, the Right Party and the Labour Party have: agreed on the construction of gas power plants in Norway with the best technology available. So natural force, which has been granted a concession, says that they have not received political signals to initiate the construction of these gas power stations. Right-wing energy policy spokesperson has been out in today's business and said that now State Council should Steensnæs and the Government should take the initiative to build these gas power stations. It'll be an important step in the right direction. Will the Minister of Industry contribute to the further development of the gas power stations that have already been granted a concession?
ParlaMint-NO_2003-01-29.ana.ud1382e1531	I've seen the statements of the various people involved in this field, and it's a correct description of Klungland coming with regard to its own party's history of our attitude to achieving a force balance. In the case of gas-fired power plants, which have been granted a joint concession for the development of 12 TWh, I cannot believe that there is a need for so-called political signals. It's not on the basis of political signals you start that construction. It is based on some realities, which are based on commercially reasonable, thoughtful calculations and analyses. And it's as far as I understand, not commercially interesting to build gas power plants per. today. It has to do with assumed price developments in the near future. I can't see that there are political signals that are going to trigger that construction, but that the owners who are going to stand behind and finance this, will find it commercially interesting to start it up.
ParlaMint-NO_2003-01-29.ana.ud1382e1538	Question 21 is to be asked by the representative of Heidi Sørensen. The President cannot see that she is present in the Chamber, and we move on to the next question.
ParlaMint-NO_2003-01-29.ana.ud1382e1546	I have the following questions for the Minister of Local and Regional Affairs: ‘As a transitional measure, Germany and Austria have received a seven-year derogation from EU rules on the free movement of workers within the EEA territory following the enlargement of the EU, pursuant to the Evening Post of 16 January 2003. Finland has made it clear that they want to ask for a similar scheme, and now it seems that Sweden too is following. What will the Government do in this area?’
ParlaMint-NO_2003-01-29.ana.ud1382e1555	The draft Accession Treaty between the EU and the new Member States agrees on a transitional period of up to seven years, during which EU countries have the opportunity to restrict access to their labour markets through national legislation and bilateral agreements. Germany, Austria, France and Finland have indicated that they will make use of specific transitional arrangements, while others, for example: Denmark and Sweden, so far, have signaled that they will open the labour market from the first day. Both the previous and the current Governments have said that Norway does not require the use of specific transitional arrangements for the free movement of persons in the context of the EU enlargement and a new EEA Agreement. The rights and obligations of the EEA Agreement vis-à-vis the enlarged EU should be applied, with the adaptations agreed between the EU and the accession countries. This view was put behind us by an opinion of the EEA/EFTA countries to the European Commission in March 2001. In view of the need for labour in several sectors, we have seen it as positive that enlargement will make it easier to recruit labour that cannot be supplied domestically. Even if we open up from the first day, within the transitional period of up to seven years, action can be taken against new immigration if a serious labour market imbalance occurs. A Nordic working group in which Norway participates will examine how the criteria for the use of such a safety mechanism can be defined. I would also like to remind you that issues relating to the free movement of persons vis-à-vis the accession countries will be part of an overall negotiated solution that the Stortinget will have to decide in due course. I noticed that a recent Swedish investigation suggested that Sweden use the possibility of transitional arrangements for free movement of persons. The reason for this is not fear of increased labour immigration, but of increased influxes of people who want to exploit Swedish welfare systems or commit criminal acts. It is important to note that the Swedish Government has not taken a decision on the proposals. The investigation shall be subject to general consultation. However, government spokespersons have agreed with the investigator’s assessment that there will be no disruption in the Swedish labour market in the context of enlargement. The proposals have also been strongly criticised by the social partners in Sweden, among others. from LO. On our side, we want to assess whether some of the elements in the Swedish investigation are relevant to us. Finally, for the sake of order, I would like to draw attention to the fact that by opening up the labour market to the new EU countries, Norway is not giving up control over illegal immigration. Border checks between the present Schengen country and the new EU countries will be maintained until they have fulfilled all the requirements for the implementation of the Schengen acquis. They will be subject to the same thorough evaluation as, among other things, Norway experienced before joining Schengen.
ParlaMint-NO_2003-01-29.ana.ud1382e1573	I thank the Council of State for the answer, which has so far become known through the VG in the last few days. When the Council of State refers to the fact that the Stoltenberg government also believed that there should be free labour immigration within the EEA territory, that is correct. To date, Norway and Sweden have agreed on open borders for the new EU members from the east. But now it is that perhaps more countries in the Nordic countries and many large continental EU countries, such as Germany, France, Italy and Austria, will require five years of transition, which is possible under the Treaty of Rome. This is new, and it is quite essential in this case. Therefore, it must also be allowed to demand that the Government get on the road. My question to the Council of State is: How has the Government intended to inform the Storting about this matter, and when will it come?
ParlaMint-NO_2003-01-29.ana.ud1382e1582	This is part of the EEA Agreement currently under negotiation in negotiations between the EU and the accession countries and the EU/EFTA countries. The size has been briefed on the principles underlying the EEA Agreement and the negotiations that have taken place in the bodies in which it has been natural to inform about the negotiations. In this way, Stortinget has been informed that no special reservations have been made. The reason why there have been no special reservations has been that there has been a standing part of Norwegian policy since we reported at the beginning of the work on enlargement that we should not have separate transitional arrangements. Nor is it new that some large countries in Europe have asked for transitional arrangements. It has been known for many years, and it was also known in 2001 that some countries feared the free movement of persons and would use transitional arrangements.
ParlaMint-NO_2003-01-29.ana.ud1382e1587	I thank the Council of State for the answer. I would like to make a little progress towards what the Swedish Committee has now presented, among other things. in view of their concern that new forms of organised crime may be possible because of the wide differences in welfare schemes and incomes between maybe the Nordic countries, in particular, and many of the new candidate countries. I would like to ask the Council of State: how does the Council of State think that we can prevent such crime from happening to us too, because we cannot be so blind that we cannot see it happening? I expect everyone who's going to work here to also deal with the same employment agreements, the same collective agreements and other rights as the Nordics have. Will the Council also confirm that this is not a social dumping issue, but that we have to deal with Norwegian working conditions?
ParlaMint-NO_2003-01-29.ana.ud1382e1596	When we get free immigration in the form of free movement of persons within an enlarged EU and an enlarged EEA, it will mean that there is a potential for more attempts to exploit systems. The government sees that very clearly. So we're going to set up a working group that's going to go through both the things that came from the Swedish investigation, and also other parts of it. We have already started work to look at the responsibilities of employers when we experience that we have engaged illegal labour, just to prevent us from getting crime related to people being exploited. We are aware that this may be a problem. At the same time, I would like to stress that this was also part of the 1994 debate related to the enlargement of the EEA, and there is a huge welfare gap between Greece and Norway, but it has not stormed Greeks into Norway during this period. Then I want to remind you that we also have a law on the publication of collective bargaining agreements. If it turns out that there is social dumping, we have an instrument that can be used by the social partners to do something about it.
ParlaMint-NO_2003-01-29.ana.ud1382e1606	I have a question for the Minister of Defence: «In the Kristiansand area, six defence associations have merged in Kristiansand Defence Foundation Gimlemoen [[approx. 1 500 members]] [[KFSG]] Will the Council of State take some initiative to ensure that the KFSG is a local organisation and that their important defence work can continue in the future?’
ParlaMint-NO_2003-01-29.ana.ud1382e1615	Kristiansand Military Society, which has later become part of Kristiansand Defence Foundation Gimlemoen, has spent several years using building 84 in Gimlemoen camp for its meeting activities. Following the closure of the Gimlemoen War School, Gimlemoen was transferred to State Building in 1995 for Agder district high school. State buildings initially had other plans for the use of building 84, but the Ministry of Defence has contributed to State Building having now accepted the construction of Kristiansand Defence Foundation and offered the foundation a lease of 25 years. However, the defence foundation is of the opinion that state buildings require a rent higher than that of the foundation. This, of course, is a relationship between the defence foundation and the landlord. Then I would like to remind you that State Building is subject to the Ministry of Labour and Administration, not the Ministry of Defence. However, I am aware that the Foundation and State Building are engaged in a dialogue on the rental calculation, and I await a conclusion from this. But if the foundation and state building in this process do not come to an arrangement, I am determined that the defence will facilitate the use of the Defence Assembly Room at Kjevik, where the Defence Force gathers its operations in the Kristiansand area ahead. I also appreciate the proposaler's commitment to Kristiansand Defence Foundation Gimlemoen and hope that the defence foundation will have good premises for its business in the future.
ParlaMint-NO_2003-01-29.ana.ud1382e1626	I would first like to thank you for your answer. I see the councils as positive. The Council of State is probably just as aware of it as I am, that the defence foundation wants to be primarily on the Gimlemo, but within an acceptable price. There is probably talk here of NOK 100,000, while I understand that they have received an offer that is up to NOK 200,000. Now we can't negotiate on price here, that's not it, but they believe that as a volunteer organisation they don't have the power to pay such a large amount. I hope that we can find a solution within the framework that they can accept. If they don't want, as I see it, to be close to Kristiansand Center, for example. on the Odder Island or Marvika, which are old military areas where there might be opportunities. The third and last option I perceive is Kjevik. I wonder if the Council of State, along with its colleague, Victor D. Norman, will work on such a priority?
ParlaMint-NO_2003-01-29.ana.ud1382e1635	I have registered what the representative Halvorsen mentions, namely that the offer made by Statsbyggen is considered by the foundation to be a higher rent than they ideally want. Now the contract between the defence foundation and State Building is based on cost-effective rentals. It is likely that the Ministry of Defence, if it were the Ministry of Defence that had still owned the premises, would also have demanded cost-effective rentals, for there are applicable guidelines. However, we are aware of the difficult position of the Gimlemoen Defence Foundation. That is why, among other things, The State Secretary of the Ministry of Defence, a meeting with the Foundation on 12 September, also attended by Defence Buildings to look at possible solutions. The defense has some buildings under disposal, not least on Odder Island and Marvika. However, it is not natural to give the defence foundation access to buildings included in disposal plans, and therefore we need to concentrate on the offer of the place where the defence will be left, namely Kjevik.
ParlaMint-NO_2003-01-29.ana.ud1382e1644	Thank you. I'll make the last question a little more fundamental question. As aggregate representatives, we receive very many enquiries about the disposal of buildings and installations, from e.g. Oscarsborg and Fredrikstad, from municipalities out in the districts occupied by construction. I just want to ask: is the Council satisfied with the work being done by Defence Building towards the municipalities in the current disposal process? At least there's a very big deal going on from the municipalities in this field. Could the Council of State, if appropriate, come back to Stortinget with a notification of this?
ParlaMint-NO_2003-01-29.ana.ud1382e1653	I fully agree with the representative of Halvorsen that the problem of disposal represents a challenge for all of us as politicians, because it is quite obvious that when you are about to dispose of large areas, it will be a wish from buyers and local municipalities to take over this at the cheapest possible rate. At the same time, as politicians, we have put very strong leadership on Defence Buildings to act in a market economy way. Not least, in the last round of government budgets, we had a budget settlement order in Stortinget that defence buildings would raise 100 million. kr more in sales revenue than what was the Government’s budget proposal. It's a dilemma for all of us, because we can't give Defence Buildings a job to raise income, while helping everyone who wants to buy cheaply. Here we must have a general rule to stick to, while we are dealing with the matters as they come.
ParlaMint-NO_2003-01-29.ana.ud1382e1663	After this morning's discussions on war, peace, bombing and the UN, I will address a more entertaining aspect of defence policy: «According to Today's Business January 20th this year, the Defense will take part in the launch of the latest James Bond film. According to the newspaper, the return on participation is a closed view of the film the next day. The defense participated for free during the launch of the previous Bond film, and was then criticized for their participation. Was the Council of State informed of the decision to make the defence resources available in advance, and what does the Council of State think about the involvement of the Defence in these types of events?’
ParlaMint-NO_2003-01-29.ana.ud1382e1672	In this case, the film company Fox made direct contact with the Defence Command and asked if the Marine Defense personnel could participate in the premiere of the James Bond film. The Inspector-General for Maritime Defence approved such an arrangement, provided that it did not incur additional costs for the Defence. The Maritime Defence Command School wanted an increased focus on recruitment, including: to the Fridtjof Nansen-class frigates. The James Bond film makes the prison lives visible and the Maritime Defense on an arena that attracts young people and the media. ==References== 50 students shall be set up along the red runner into the cinema and into the premiere party after the performance. The students wear service suits, which are almost identical to the uniform James Bond uses. No weapons of any kind will be used, and the school uses its own bus tour-return Horten–Oslo. Students, who participate on a voluntary basis, have an unusual experience. In addition, students, private and employees of the school are given a closed presentation of the film with a partner. This therefore serves as a welfare measure for students. I was not informed about the matter in advance, nor has it been necessary. This is a recruitment and welfare measure that is well within the framework and powers of defence. These procedures were reviewed by the Defence in 1998, following the incident to which the respondent refers, when armed guards participated in the launch of a James Bond film in 1997. The defence shall be serious and dignified in all respects. But that doesn't mean you have to be afraid to show up in uniform. In our days, the defence personnel are proud to wear the uniform – even when they go to the cinema. I hope we can keep them going. With the challenge of recruiting young people, and with the line we have taken in the delegation of responsibilities and powers, I consider this to be a decision within the given powers, which has had the clear intention of increasing the recruitment of the Maritime Defence Agency and of having the Maritime Defense branded in a positive way.
ParlaMint-NO_2003-01-29.ana.ud1382e1687	I would like to thank you for a clarification. I fully agree that the defence should wear its uniforms with pride, and that the defence personnel should be visible. Of course, I do not believe that we should have welfare measures for soldiers. On the contrary, I think it is important in the future to strengthen some measures to ensure a wider recruitment also for protection and make it more attractive. I am also anxious to get the case on measures to strengthen the protection obligation back to Stortinget. In this case, however, I would like to ask the Council of State whether there are some guidelines developed by the Ministry of Defence for what the defence can and should participate in different civil events of a more commercial nature.
ParlaMint-NO_2003-01-29.ana.ud1382e1696	In this case, there are no guidelines drawn up by the Ministry, but guidelines developed by the Defence Office itself. Just because there was an episode in 1997 with the arming of soldiers associated with such an event, the Defence itself reviewed this regulation in 1998 in order to ensure that the decisions taken downwards in the organisation comply with the regulations in force. I have therefore not seen the department's need to instruct the defense on these questions. I believe that it is the Defense able to do itself. The defence will have everything to do with acting responsibly, while at the same time having the important responsibility for ensuring recruitment and also having welfare measures that make it attractive to be involved.
ParlaMint-NO_2003-01-29.ana.ud1382e1703	I also asked this supplementary question because we had an episode a few months ago, when a marine officer demanded two marine vessels for use in his own wedding. It may well be that both procedures and guidelines for the use of defence materials and recruits should be reviewed so that the defence is at least not subject to criticism. I would also like to allow myself to add that defence policy extends far, from Operation Enduring Freedom through ammunition debates to the Council of State's knees – so at least it is never boring to sit in the Defence Committee.
ParlaMint-NO_2003-01-29.ana.ud1382e1710	No, the last one is accepted. But at the same time, I would like to say that in a world of big and difficult questions, it is important that the Ministry of Defence spends its time regulating, governing and monitoring precisely the big and difficult issues. We need in the future a kind of defense leaders who have both good judgment and the ability to make judgements themselves at the practical level. I therefore believe that this type of action should be measures that we trust in a delegated decision, without trying to make too detailed a regulation from the top. Just because discretion is not the same with each other, we have to trust that the discretion exercised in the sequences is as reasonable as possible, and that the defense may intervene in retrospect if there are episodes in which one believes that the judgement has not been fully satisfied.
ParlaMint-NO_2003-01-29.ana.ud1382e1717	The representative, Heidi Sørensen, is now present in the Chamber, and we are going back to question 21. We thank the state councillor, Torild Skogsholm, for having the opportunity to wait a little.
ParlaMint-NO_2003-01-29.ana.ud1382e1726	I thank the President for his goodwill and the Council of State for waiting, and I regret the strongest delay. I have a question for the Minister for Transport: ‘Alnabru is the most heavily contaminated area in the city in terms of dangerous health air pollution. Plans for the extension of the Alnabru terminal will lead to increased trailer traffic in this area. The freight terminal at Alnabru has no port connection, and much transhipment takes place from train to trailer and vice versa. How does the State Council assess the extension and future of the Alnabru terminal, in view of the air pollution situation in the Groruddalen and the objective of better interconnection between ship and train freight?’»
ParlaMint-NO_2003-01-29.ana.ud1382e1737	The representative Sørensen addresses an important and difficult issue — the balance between the need for environmentally friendly and efficient transport of goods by the large community and the negative effects of such transport on the environment, health and well-being in the vicinity of Alnabru. In order to achieve national objectives on efficient and environmentally friendly freight transport, Norway needs to have a well-functioning hub for goods with good development opportunities for combined transport. Not least in order to strengthen the role of the railway in freight transport. The Alnabru Terminal has a transport very good location for such a hub and increased use of combined transport and container cargo has given strong growth in the handling of goods at Alnabru. The terminal has a port connection to Oslo Harbour, on its own freight track from Alnabru to Sørenga. The conditions are therefore well arranged for the interconnection of freight between ship and train. Major transport operators have shown great interest in increasing the use of rail transport. Several large terminal installations have therefore been built into the area and there are plans for further development. There is a great need for environmental improvement in Groruddalen. For this reason, broad cooperation between the State and the Municipality of Oslo on better environment in the Groruddalen, where environmentally friendly transport and improvement of outdoor areas are an important theme, and business and local organisations are invited to cooperate. A cooperation group in which the transport authorities also participate will present a concrete programme for this work before Easter. In order to help improve the health and environmental situation in Groruddalen, I have asked the Directorate of Road, in cooperation with the Municipality of Oslo, to draw up a contingency plan for local emergency measures on days of large pollution of nitrogen dioxide and particulate matter. The contingency plan shall contain measures that may be implemented from the next winter onwards. I have also asked the Directorate of Roads to look at longer-term measures and instruments that can help meet national and local pollution reduction targets. Here there is also a strong local involvement in Oslo, and the state and the municipalities of Oslo cooperate among other things. stronger than ever to accelerate the upgrading and expansion of the T-railway system and other parts of the Oslo area public transport, thus reducing the car and environmental emissions from the transport sector. Moving today's freight terminal will lead to poorer rail conditions and increased environmental problems in the Oslo area, among others. in the form of more traffic on the road through the Groruddalen.
ParlaMint-NO_2003-01-29.ana.ud1382e1756	There are two things I would like to ask about further. I agree that this is a difficult matter, and I would like to make it clear that our party has not concluded either, because this concerns plans that extend far in time, not least as regards the handling of goods. But the Council of State is also well aware of the decision in Oslo City Council, and what the City Council in Oslo is working hard for, the Fjordby Decision, that from 2011 there will be no container port in Sørenga. Then the Alnabru terminal loses its port connection. I would like to hear the Council of State's assessments of the terminal in the light of that. An environmental plan shall be drawn up for the Groruddalen, for which the planning office in Groruddalen is responsible. Isn't it a little unfortunate if you conclude with the expansion of the Alnabru terminal without this being part of the overall planning work?
ParlaMint-NO_2003-01-29.ana.ud1382e1763	Compared to the very last time the representative was in the room. I would like to say that I am concerned that we have a good cooperation between the state and the municipality just to take care of the concerns that we should and should take into account local environmental conditions, both in the short and long term. It's clear that there's some uncertainty ahead of time, and not so far in time. The potential investments made, whether on the rail track or in relation to ports and terminals, are usually a bit of a long-term investment. Therefore, it is important that all stakeholders sit down and go through what the outcome will be, what ways we can meet both demands and want it to be a good living environment, and that we have good overall environmental solutions. And when I say good environmental solutions, I also mean good transport solutions that provide good environmental results.
ParlaMint-NO_2003-01-29.ana.ud1382e1768	Then I have to repeat my question about the Fjordby decision and the Alnabru terminal in light of that. Then I would also say that it per. date does not exist, at least not as I can see, some good, complete plans for getting more transport from trailers and over to boat and train. We have an unexplained port situation in Oslofjorden, and we also have an unexplained terminal situation in Stavanger. Thinking about rail and port in this regard becomes an important job in dealing with the national transport plan. In connection with the collective communication, SV suggested that we get a separate notification of collective goods, but the majority rejected it. I have a certain fear that this very important freight problem will drown in the national transport plan. I know the members of the committee so well that I think there will be things closer to them than the future handling of goods. How has the Council of State planned to deal with this?
ParlaMint-NO_2003-01-29.ana.ud1382e1777	First of all, I would like to say that I am very happy that it did not become a common collective and freight message. There are two separate issues, although both are largely coined to create a better environment locally as well as nationally. In the case of rail and port, it turns out that the maritime/rail crossing is not so large. It should have been bigger, but it's not that big. In practice, it turns out that the greatest gain we can gain from exploiting the possibilities of road-rail transition. Of course, it is a challenge just to take care of all three sectors, both from road to rail and, as far as possible, from port to rail. We're going to try to do that when we're working on the transport plan, as far as possible. It is precisely the process that has been initiated on the railway side now, and there has been a hearing on the long-term possibilities of goods on the railway.
ParlaMint-NO_2003-01-29.ana.ud1382e1784	Then we go back to question 15.
ParlaMint-NO_2003-01-29.ana.ud1382e1790	This question, from the representative of Øyvind Vaksdal to the Minister for Oil and Energy, will be answered by the Minister for the Environment on behalf of the Minister for Oil and Energy, who has left.
ParlaMint-NO_2003-01-29.ana.ud1382e1793	I want to ask you the following questions: ‘In the newspaper on 11 January, the Council of State refuses to amend depreciation rules or to provide tax relief for the construction of gas power plants. This is justified by distortions of competition and the EEA rules. At the same time, CO2 management is defended because the EEA opens up to support environmental measures. In relation to increasing imports of Danish coal power, upgrading and adjustment of Norwegian hydroelectric power stations are undoubtedly very environmentally friendly. Can we expect the Council of State to come up with measures that will give incentives to take this work forward?’
ParlaMint-NO_2003-01-29.ana.ud1382e1802	Recent developments in the power market have shown that Norway’s hydropower-based power supply is vulnerable in a dry year that we experienced last year. We've been through a period of high prices while flooding in our power plants is at a very low level. This development is also worrying in terms of security of supply. The government has taken a number of measures to remedy the consequences of the situation in the power market for individual consumers. The government has, among other things: proposed for Stortinget to grant 50 million. kr to a support scheme for households investing in alternative heating solutions or other reasonable saving measures. The government will follow this up with further measures to improve the situation in the power supply both in the short and long term. The representative of Vaksdal points to an important area in that context. Upgrading and extension of existing hydropower plants may be interesting with a view to improving the long-term power supply. This can also be done in many cases in an environmentally friendly and reasonable way. This thought is not new either. The potential for exploiting more hydropower through micro, mini and small power plants was mentioned in NOU 1998: 11, Energy and power balance by 2020. The government discussed this in St.meld. No 29 for 1998-1999, on energy policy. Int. S. No 122 for 1999-2000 promoted the Energy and Environment Committee, inter alia: the proposal that the Storting should ask the Government to propose incentives to trigger the high potential of upgrading and expansion of existing hydropower plants. There are many upgrade and expansion projects that are in progress today but are not yet economically viable. One has relatively good experience with a previous aid scheme at the beginning of the 1990s which provided investment aid for upgrading and extension projects, O/U projects. The aid was financed by the Ministry of Oil and Energy and administered by the NVE. On the basis of certain criteria, a large number of projects were supported. The background to the aid scheme was the desire for a faster exploitation of the potential for more force out of existing installations. The worrying power situation shows the need to strengthen energy supply. At the same time, I would like to stress that hydropower expansion does not solve the problem of dry years, as we experienced last year, which is the cause of the power situation this year. We see the potential to streamline the facilities we have, but a key challenge in the future is to reduce the unilateral dependence on hydropower and to reduce the use of electricity for heating. The government is therefore also working to stimulate energy savings through Enova and to have by 2010 renewable energy sources equivalent to at least 3 TWh production from wind power plants and at least 4 TWh from waterborne heat based on renewable energy sources. In addition, all good proposals for action are assessed on an ongoing basis by the Ministry of Oil and Energy.
ParlaMint-NO_2003-01-29.ana.ud1382e1821	I thank the Council of State for the answer. There are already aid schemes for wind power because of its so-called eco-friendliness. Many believe, also rightly, that windmills cause great natural interference, and some even claim that this is visual seams. Therefore, there is reason to believe that only hydropower should be the only renewable energy source that is environmentally friendly enough to fall within the scheme of green certificates. Unlike wind power, hydropower is also socio-economically profitable. Does this not mean that hydropower should be equated with wind power in energy and environmental policy?
ParlaMint-NO_2003-01-29.ana.ud1382e1830	As a starting point, investments made on the hydroelectric side should be economically viable. However, as I also said in my reply, support schemes for upgrading measures in already developed watercourses have been introduced in the past. There's a potential there of 11 TWh, if you take advantage of it all. The government has now planned to review the opportunities that lie there, and then assess whether it is natural to go into support measures to provide for this upgrading and take out the energy potential. But as I also underlined, the difficult force balance situation we have now had is because last year it was an extremely dry year. From the fall to the end of the day it has never rained so little – at least it has not rained so little in very, very many years. And that situation wouldn't have been much easier if we had still just made ourselves dependent on hydropower.
ParlaMint-NO_2003-01-29.ana.ud1382e1837	I thank you again for the answer. In the planned Sauda expansion, there is a real danger that the Government and the Workers' Party will also give in to symbol politics this time and reduce the power potential like what we saw during the treatment of Upper Otta. For example, if this potential were halved, a needed wind power plant of about 64 windmills, 80 metres high, would replace this amount of power. Does the State Council consider 64 windmills, with construction roads and sealed cable trenches over a very large area, to be a better environmental policy than an environmentally-adapted hydropower deployment according to the NVE’s stop?
ParlaMint-NO_2003-01-29.ana.ud1382e1846	What I said in my previous answer was that 97 pst. of the electricity we use in Norway today comes from hydropower. It's a very high number. We should also bet on a number of other alternative sources of energy. The representative is engaged in wind power. The size has adopted a target of 3 TWh, to which the Government relates. In our neighbouring country, Denmark, there is a much larger expansion, and it has been combined with environmental considerations and conservation of the landscape. There are some dilemmas there that the representative also addresses. Then we have a potential of 4 TWh relative to the waterborne heat. It's a great potential that it's profitable for the individual to go into if you see it over a decade. There are some capital costs in the initial phase that make it not completely comparable. With regard to the Sauda expansion, the government will go through that concession request and come back to the Stortinget with a case related to Sauda.
ParlaMint-NO_2003-01-29.ana.ud1382e1855	Let's move on to question 25.
ParlaMint-NO_2003-01-29.ana.ud1382e1861	I would like to ask the Minister for the Environment the following questions: «Member States indirectly influence the environment through their procurement policies. Public enterprises purchase goods and services for over 200 billion kroner each year. By favouring the most environmentally friendly alternatives, the country can help to distort production in a more environmentally friendly way. What initiatives will the Government take to prioritize the procurement of recovered material in public enterprises?’
ParlaMint-NO_2003-01-29.ana.ud1382e1870	I agree with the representative Skei Grande that the State should go ahead and exploit its consumer power by seeking environmentally friendly products and services. Therefore, ‘green procurement’ is a central focus of the Government’s Green State work. The State must not only impose environmental requirements on the outside world but also be environmentally friendly in its own operations. We have set ourselves as a concrete goal for the work with the Green State to get all the departments really going. That's what you've done. We're going to put environmental management systems in place by 2005, and that's what we're going to do. This will ensure systematic and long-term efforts to address environmental concerns in the operation of activities. In addition to ‘green procurement’, this is also about environmentally friendly solutions in waste, energy and transport. We have now sent a proposal to the supervisor to ensure that this is effectively and effectively implemented throughout the country. Last November, I also sent a letter to all the departments asking for routines to be established both in the department and the underlying offices to ensure increased use of paper products based on recycled material. For a number of other products, it is also possible to ask for waste-based solutions. For example, office chairs are actually made of recycled cartilage corks and ketchup bottles on Røros. It is important that, through its purchases, the country contributes to strengthening the market for waste-based raw materials. This can be done by asking for products based on waste and by making sure that the raw materials used in the production of different products are wholly or partly based on waste. Each State activity is directly responsible for its own procurement and is required, through a new law on public acquisitions, to take environmental considerations into account in individual acquisitions. The Ministry of Industry and Trade is now developing its own guide on how ‘green procurement’ can be carried out in line with the legislation. Taking environmental considerations into account in purchasing involves emphasising the impact of products on the external environment and taking into account environmental impacts throughout the life cycle of the product, from the extraction of raw materials to the elimination. Implementing such assessments may be complicated and therefore eco-labelling schemes have been established to facilitate the work and choice of purchasers, inter alia. the official Nordic Eco-label scheme Swan. In order to become the eco-label, too many products are required to use recycled material as raw material in production. In addition, the products must be capable of being recovered when they end up as waste. The government is very positive about these schemes and contributes financially to their maintenance and expansion to several product groups. The State may provide important external signals by sweeping at its own door, which was occupied by the representative, while, through its purchases, it has a significant impact and a real opportunity to influence the development of the market in environmentally friendly products.
ParlaMint-NO_2003-01-29.ana.ud1382e1887	Thank you very much for a very good answer. I am pleased that the environmental exposure of the Council of State is so great and that the Left Initiative of Bondevik I, called Green State, is being followed up. I also have a great sense of using the market for the benefit of the environment. My follow-up question is whether the Council of State feels that all the structures in the state, including those that have traditionally had no environmental exposure and competence in their midst, feel that this is something they should be involved in.
ParlaMint-NO_2003-01-29.ana.ud1382e1896	It's an important question that the representative Skei Grande raises there. We are now working actively in relation to all departments, and also for them to follow up their offices. But after this is underlined again, we're going to go a round in relation to the fact that it's not just the departments and the very nearby floors, but also the state's external offices, state-owned companies and management companies that can be involved in getting a reminder of this. If you look at all the purchases made by the state in one year, they are incredibly large, and by going ahead with a good example, for example. By largely using return paper where possible, it will also provide the basis for environmental technology enterprises, which have not least been occupied by the Left, and which we will try to follow up also in the Government, as is also stated in the Sem Declaration. So we're on here.
ParlaMint-NO_2003-01-29.ana.ud1382e1913	This question has been transferred to the Minister of Finance. However, the question has been put to the next Question Time.
ParlaMint-NO_2003-01-29.ana.ud1382e1919	I will ask the Minister for the Environment the following questions: ‘For the first time in recent times, wolves have been detected in Rogaland. Several sheep are killed in Eigersund. Will the Council of State put in place something to prevent the killing of wolves being denied in the most sheepy area of the country?’
ParlaMint-NO_2003-01-29.ana.ud1382e1928	As the representative of Meltveit Kleppa points out, recent damage has been found due to wolf in the municipality of Eigersund in Rogaland. I am aware that on 17 January six sheep were found killed by a wolf. Furthermore, four sheep were killed because of injuries, and three sheep are missing. On the basis of these damage, Rogaland applied for a breeding permit from ovine and caprine species on 20 January of this year. On the following day, 21 January, the Directorate for Nature Management, which corrected him, took a decision on which the permission to give birth was provisionally refused. This decision has now been appealed against and is being dealt with by the Directorate. The Directorate for Nature Management may then either amend its previous decision, or they may maintain previous refusals and forward the matter to the Ministry of the Environment as the overall appeal authority. For understandable reasons, I can't now pre-shoot the outcome. The Directorate follows the situation in the area very closely, both in the case of possible new damage, and in the case of the results of DNA analyses of wolves in the area of damage. The Directorate has further informed that a new decision in the light of the complaint and new information will be available next week. The DNA analyses that have now been sent to a laboratory in Sweden will reveal whether this is the same individual that has held up in South West Norway in recent months. These analyses also provide an opportunity to determine the gender of the individual and to identify the individual’s role in the genetic survival of the wolf population. The analytical results are expected to the directorate early next week. Eigersund is part of an area that is traditionally suitable for sheep farming by nature, as the representative Meltveit Kleppa pointed out. So that's one of the most sheepy areas in the country. Furthermore, the area has a long tradition of allowing sheep to graze over large parts of the year. It is therefore not desirable to establish solid wolves in this area. This is also apparent from the adopted wolf management zone, where Eigersund is clearly outside the zone where pairs or family groups of wolves are to be accepted. However, there is no automatic means by which any roaming animal located outside the management zone shall be considered in common without any actual damage, potential damage in the future, prevention possibilities and survival of the population being assessed. This follows both from the management zone and from the guidelines drawn up for the management of large predators by the Game Act with regulations. The management apparatus follows developments in this area very closely and is ready to take a new decision at very short notice if the situation is to cope with new damage cases before the DNA analyses are completed at the beginning of the next week.
